identifier,name
01dc695e6faff800f9135e19cfbf5cca,Precious Metals
0414ed4d5e0946ed4118de3b7f427227,Consumer - Alcohol
0e9e3fd93092a683600a4cd11ee85c59,Base Metals
16be76f507efedb3eaec50dff3ecf9de,Healthcare - Biotechnology & Pharmaceuticals
17a94fd429eb9f985637dca926926929,Leisure - Restaurants
1823e0dc264e5f31e5a59e30cb97e89b,Tech - Semiconductors
1bed58ef089e489f90e1ae2502c7833d,Tech - Payment & Data Processing
1d1422dd3d3d05d094b8834b2a6242fb,Tech - Networking Equipment
218b32610e92a12017763a16f5a4658f,Publishing
23f55cd043481c063bb4bd7a77f8e60a,Financials - Diversified Banks & Asset Management
274e4482cd01b40d2f0bab0f16226abd,"Broadcasting, Cable, & Satellite"
277a4e4bb614832d3a814b53a12a046a,Rail - Industry
2f1ac6a6b20a10b4d2d011afe836d5f7,"Insurance - Auto, Home, & Life"
30109e3b106fa9cf0d304c699fcc9a07,Tech - Gaming & Entertainment Software
30de030bc9cc7ced5e71626d44d7095c,Consulting & Commerical Services
31869e4bd69ad76a0ef824a86434ac78,"Retail - Electronics, Home, & Other"
44dd9ed01eb2feb455688229bfe25526,Clothing & Apparel
4fed250b539ca7dd3256497c13151593,Retail - Department Stores
50b5f8ca6a9176167f65f58669c8662b,Food Products & Supply
5dd990946c7fd1a9f83e44bee24977de,Consumer - Personal & Household Products
630ce89c38c7e1d028ab95a7e9c0401b,Chemicals
63548f1e8ceff53b8176f3d8b078a9ca,Financials - Consumer Finance & Regional Banks
66c0493623346c08f4e33a2e698fcabd,Tech - Consumer Electronics
688e2005c1e21cc772a972f239a04f7d,"Industrials - Construction, Packaging, & Paper"
72d98650bb9a850ee7032ffdff53b7b6,Aviation - Industry
80deef4fda2ed3e20b5edb3a2458a4e6,"Retail - Supermarkets, Food & Drug"
8da9dba8f319b4fba80b238c15bcd485,Oil & Gas - Industry
962fd276f7367cca730c0327b444cd3d,Consumer - Tobacco
9af6aa209732c1c3cf26709850607e3c,Real Estate
a9e5d51bdfbbedd1b27a329a906dd0f4,Maritime - Industry
ab3fa380cdee61092ca4127fe18b305a,Autos and Parts
ac7e670e1b4269ce25197956b81596c6,Consumer - Soft Drinks
ae733262bcee16d43de9c9a3de2d1d14,Tech - Hardware
af50ebe064241eccf541f59cd75a2828,"Healthcare - Facilities, Equipment, & Services"
bcb03aa61fa13a1d1e380ea549831808,Telecommunications
c05a3046aa2d6599a2af6fe6d2668b38,Entertainment - Industry
c539d431fefee7d631bc41ba51f6e165,Industrials - Conglomerates
ce9b66de3bc0d348ce6fb594a333a2f1,Insurance - Healthcare
d1deb52c9d6e9b0c6cd900d310ca203e,Utilities - Industry
d9cd1c13ee06a615fea0e8243604f36f,Tech - Social Media
e499e3322504620dda1c52417296a33e,Aerospace & Defense
e926e8f80cf92e32c311ad3d8eb0c5dd,Retail - Internet Ecommerce
ec232091de3a06137d583da9b9468ca4,Industrials - Equipment & Machinery
eecf0eb80b10eb15ea84557815ead278,Leisure - Casinos & Gaming
f332c9603f625196cab96247cc258d90,Advertising
f68e51159b5a72b1121793e6cb960a1e,Tech - Software & Services
f786eb002c32943d0eb0ab240c83e402,Freight and Logistics
fcc1acd3b13e1f24b52ce81210aff1af,"Leisure - Hotels, Resorts, & Cruises"
