identifier,name,popularity,Wikipedia
00DH8ZLMTIgfXqSKcgkeSU,Marc  &  Lynne Benioff,5,Marc%20%20%26%20%20Lynne%20Benioff
01dlYa1ZsgKfuj0CiwShmA,D. L. Congdon,1,D.%20L.%20Congdon
01uFd3xSmCCcaObuGQwiMv,Nelson Peltz,61,Nelson%20Peltz
02FA35XgMWBd7KUlsPm2Jz,Mark S. Hoplamazian,2,Mark%20S.%20Hoplamazian
02uCroclANhdqVln4a8l8d,Thorhild Widvey,21,Thorhild%20Widvey
04JBUMYuCXmdvuAN73J000,Thomas Peterffy,21,Thomas%20Peterffy
04OmoDLooD7f0NTZSfzCxD,Sheldon G. Adelson,2,Sheldon%20G.%20Adelson
04gv5pzT4ImabMvSk1iZ13,Pawan Kumar Goenka,8,Pawan%20Kumar%20Goenka
05rQaI71WbyaxBqST5co2Y,Merck,1,Merck
06jkmgB0JC5ezvqwQMsjpv,Plattner,1,Plattner
06rrTWhSx2IcWaY8zR2RKO,Fisher's exact test,1,Fisher%27s%20exact%20test
06uVZ3HG4GmfZNpNjtzivL,Miguel Galuccio,2,Miguel%20Galuccio
0745L1aoQ33ccBAieUzL4G,Michael Moritz,58,Michael%20Moritz
07FLGgVOtuTfC3uKXkq6WG,Larry Kellner,18,Larry%20Kellner
07cqHs7TpzndGFNaEx4ygq,David I. McKay,9,David%20I.%20McKay
08MmiMtBYeWdxeSGLxHU1G,Vince Jr.,2,Vince%20Jr.
09M7qhkrpDnbO4g7E2cPwL,G. Gref,1,G.%20Gref
09PAIqeMK0mbtBkmYKYIMp,Douglas Morris,2,Douglas%20Morris
09RjeGwVjM2bIEtLrkWVFa,Evan Greenberg,2,Evan%20Greenberg
09SGUOxJ04NbRnIz6Upfia,William Clay Ford Jr.,51,William%20Clay%20Ford%20Jr.
09e8byBeIhycKvNEGqQPbR,Gautam Adani,52,Gautam%20Adani
0A9O6apHobFe5fxybPBsnN,Henrik Andersen,28,Henrik%20Andersen
0BMUDmVPCUlcxVBUNYbizB,Brian L. Roberts,52,Brian%20L.%20Roberts
0BljV3OqpkBb8la62lePFF,Brian Goldner,54,Brian%20Goldner
0BqceQ0TV9zbFHheorMwPO,under 30 can afford $2 million+,1,under%2030%20can%20afford%20%242%20million%2B
0BulerXnRSEefdpCj8bXLU,"Arthur Ochs Sulzberger, Jr.",1,Arthur%20Ochs%20Sulzberger%2C%20Jr.
0C1kZTQD2ICcJWspbHQOFx,Sir Lucien Grainge,1,Sir%20Lucien%20Grainge
0CEN8mCBfRXbLLZdeFjmnJ,Marne Levine,15,Marne%20Levine
0CyH3GuSGPabWAofksgP6r,Rupert family,1,Rupert%20family
0DF9aXbapoIdLKn0bPioWi,Anstu Stables,3,Anstu%20Stables
0Dr5qecA2wgdL3Yp1BxCHj,Tom Leighton,7,Tom%20Leighton
0EXoc2OC0Ehf9pKuXjk8u5,Saudi_Aramco,2,Saudi_Aramco
0FeDQYsWMWeemwJ5qAERgb,Gautam Shantilal Adani,1,Gautam%20Shantilal%20Adani
0GGp19O1CdRahVDtwLtw2y,Ben Silbermann,22,Ben%20Silbermann
0GUoBN7kKXYcN5ZPve7Gma,Robin_Hayes,1,Robin_Hayes
0HHd9LeJuWpasbr1zbhzYn,Micky,5,Micky
0IHPUAmoObCcJgEBnDKJGE,Charles Bunch,7,Charles%20Bunch
0Ihoq8K1q1qcDJjytUoXkn,Sheik Al Maktoum,1,Sheik%20Al%20Maktoum
0J37Kxm98owed7i1q9S137,Robin Yanhong Li,3,Robin%20Yanhong%20Li
0K1BHOZvcAce6oykwviZ2W,"Mark Rachesky, MD",1,Mark%20Rachesky%2C%20MD
0KZtdjLYisScsN0XiWBJNG,Shuntaro Furukawa,22,Shuntaro%20Furukawa
0KmzV8yKXdpdu5y8dU94gY,Howard Defined,1,Howard%20Defined
0LKgRcwc8qPaXvGeGqCxYn,Lawrence J. Ellison,2,Lawrence%20J.%20Ellison
0LcSzvSDwMUeHviOAWH1tx,Peter Barker,4,Peter%20Barker
0Lj2vN6mipScuIHYOW8tyj,Howard federal government,1,Howard%20federal%20government
0M4YrXqCfbveTQhDf18gRg,Rupert [Murdoch,1,Rupert%20%5BMurdoch
0Mfy39QXMT3fvyn0LinVug,Bob Bakish,15,Bob%20Bakish
0MjeRIlZBGNbD9FFniHct1,Fisher R. & nbsp;A.,1,Fisher%20R.%20%26%20nbsp%3BA.
0OBOsrWRCGCbQAAignaZ5q,Murdoch-owned,1,Murdoch-owned
0Oo4GFjDoIQbATcfVBjAcd,Carolyn Julia McCall,1,Carolyn%20Julia%20McCall
0Pmx7cZDH3WdowdV6fBJvj,Saudi Armco,1,Saudi%20Armco
0QDmXvcAQgFdB1VwMELSSG,Hon. John Howard,1,Hon.%20John%20Howard
0QJ5G5PgW0mcqzMoJeLDDV,William J. Lynch Jr.,5,William%20J.%20Lynch%20Jr.
0QURCTBK3gkezslUbx5Dr4,Mingzhe Ma,1,Mingzhe%20Ma
0S0wYqaDeEKdLFSoyJWb2r,Ronald_Perelman,1,Ronald_Perelman
0SKno98si7Bf2CMx2vYA4h,Adam Neumann,38,Adam%20Neumann
0SakgdQ5CeldyY4R5ntpHk,Robert A. Bradway,4,Robert%20A.%20Bradway
0TCEIlh2vmgafcIZvl2drV,Stewart Bainum Jr,1,Stewart%20Bainum%20Jr
0TLJ0B5Hn9LcGwTkQx4jOx,Doug Morris,106,Doug%20Morris
0TbjU4xcnfKcD5MYehOs61,Henry Keizer,10,Henry%20Keizer
0Uy1MCa9WaRcIA37pGU2bL,Strauss Zelnick,17,Strauss%20Zelnick
0Y0aOnjPHHobn3jsDOXj49,Mark Rein,28,Mark%20Rein
0YKVktlA6HzcRqZJJrBbjF,Arab-American Oil Company,1,Arab-American%20Oil%20Company
0YjtKvIrHHebj5STOYxtdM,Maurice J. Gallagher Jr.,23,Maurice%20J.%20Gallagher%20Jr.
0Z9IePGSqxNcNwzriFumd0,Renato Mazzoncini,4,Renato%20Mazzoncini
0ZKSnEWx0fObHTotUYosZD,William Lauder,3,William%20Lauder
0ZRvQrVWTMEbWDR4CIdY9x,Andrew,1,Andrew
0ZU3ghpLR7FeURgwL0pGRc,Phil Knight,161,Phil%20Knight
0ZfOg2vX2Sxc0Ye4VdEHod,Redmondite,1,Redmondite
0ZrSTXVcQ9JdvyNnICq001,"William C. Ford, Jr.",1,William%20C.%20Ford%2C%20Jr.
0a0orz33zPLbJ2NvFMJwT0,John_Howard,2,John_Howard
0bRVzotfulvcCzyu1xemta,Michael J. Jackson,2,Michael%20J.%20Jackson
0biItQHtQY5eQoqnRvvc5f,Rajesh Gopinathan,13,Rajesh%20Gopinathan
0bk876eFsajb9lAAUF3tOU,Mark Thompson (media executive),3,Mark%20Thompson%20%28media%20executive%29
0c7uCTsPwauddVOvshFh5L,Myron E. Ullman,8,Myron%20E.%20Ullman
0cIXbYHkAsZe48Eq9EDpku,Stephen P. Joyce,3,Stephen%20P.%20Joyce
0cQk7giyrnoba1hCWQ00ZB,Rocket Man,1,Rocket%20Man
0dIQXhY6PBubUP96RYF86J,Bruno Lafont,6,Bruno%20Lafont
0dmYGWFJ3Nrc4RegEIGfDG,James Skippen,4,James%20Skippen
0dmZ686WTXrf2TwqFDbm5R,Johan Lundgren (businessman),1,Johan%20Lundgren%20%28businessman%29
0eTFke3PrCbeq99p3wN0dT,Richard Caruso,6,Richard%20Caruso
0elfhB2ilELcFS1KwMSusT,Catherine Livingstone,19,Catherine%20Livingstone
0exeeYLzI7UdMLCRZNILPU,Michael M. Lynton,1,Michael%20M.%20Lynton
0fec3BXVrm6apyQJOXGzyZ,Mark Elliot Zuckerberg,1,Mark%20Elliot%20Zuckerberg
0g9MprRXLHud0hJgTaM5tz,Jes_Staley,2,Jes_Staley
0i3RCPLIEL2cocOew7Y9Qz,Mr. McMahon,154,Mr.%20McMahon
0izFjljxoMvfPJgiMtKZzs,John Thompson,3,John%20Thompson
0jS4Ldwr8V7fJKAjex72sV,Axel A. Weber,36,Axel%20A.%20Weber
0jdcWRJSmPSdRqXZbSdfM8,owner of an international media empire,1,owner%20of%20an%20international%20media%20empire
