identifier,name,CapitalIQ,description,birthPlace,Wikipedia,birthName,deathPlace,birthDate,deathDate
00J2LwIDHm3ca0Z5arRRDN,Chee Yioun Tan,8415056,,,,,,,
00KHbnGk28Kco3uHXflAnw,Jiajun Chen,598800685,,,,,,,
00L2soaESyGeCgLGBnTnQJ,Koichi Suzuki,756575,,,,,,,
00VAD3ZXyPZb3wXW2GaI9c,Masashige Mizuyama,,,,,,,,
00VZ4lpBrEpfqqxTeAd2Th,Stefan Kaufmann,427802279,,,,,,,
00dKpdRNR9yeo2rdF1Ux8t,Michael J. Turner,8688328,,,,,,,
00gzJ65EeP5cQo0oXfp8yj,Michael V. Shustek,183940657,,,,,,,
00hhoeJMjlXcnsjoVNdYhj,R. Alex Rankin,47789622,,,,,,,
00jVXAcRGuYcim7CS5dbik,Thomas Schneider,576762834,,,,,,,
00kt5keRz5HdEcpK2mMKM5,Francesca Isgro,671748952,,,,,,,
00oklbkFVL2cVY5IsS0R90,Christopher A. Sinclair,284991520,"Christopher A. Sinclair (born September 5, 1950) is an American businessman. He is the chairman of Reckitt, the consumer health and household products company. He is the former chairman and CEO of Mattel, the toy company. Previously, he was chairman and CEO of Pepsi-Cola, the beverage company. Background Sinclair was born in Hong Kong, and spent his childhood in Mumbai, India, and was educated at the Kodaikanal International School followed by four years at Vermont Academy in Saxtons River, Vermont. Sinclair's father was president of Esso Oil (now Exxon Mobil)'s international operations. He graduated summa cum laude from the University of Kansas with a bachelor's degree in marketing, and he was a member of Alpha Tau Omega. Sinclair went on to receive an MBA from the Tuck School of Business at Dartmouth College in 1973. Business career Sinclair began his career at General Foods and Newsweek, before spending more than 15 years at PepsiCo. In 1989, he was promoted from Pepsi USA's central division president to president of newly formed Pepsi-Cola International. Sinclair was promoted to CEO of PepsiCo Foods and Beverages International in 1993, and ultimately to chairman and CEO of Pepsi-Cola. He was a member of the PepsiCo board of directors. Sinclair directed Pepsi's entry into the Indian market, and recruited Pepsi's former CEO Indra Nooyi. As an example of his ambition, Sinclair told Fortune magazine in 1994, "" If Coke starts growing 8%, we'll do 10% or 12%. "" Sinclair predicted non-U.S. cola sales of $5 billion by 1995, and exceeded his goal. He retired from PepsiCo in 1996.",Hong Kong,en.wikipedia.org/wiki/Christopher_A._Sinclair,,,,
0119ocQBucXb16rOLRq2Fz,David R. Guyer,36602422,,,,,,,
018c5b0whqCeOpe6eldgOb,Barbara Duck,,,,,,,,
01A9qV2oiApasPWI6ByAlN,William Vernon Russell,601715288,,,,,,,
01GVhVuSodAdXPMXGqvjGJ,Phillip Jabulani Moleketi,116469420,,,,,,,
01Hy9fUNjDOeodR2BuTpr8,Partha Pratim Sengupta,678420793,,,,,,,
01IyKcJD7WVdVUm30GP0BR,Robert H. Wadsworth,141189948,,,,,,,
01Mn3sUgsDoca9RKbpR3pv,Steven R. Gardner,375097,,,,,,,
01OYpk9sP6XfUi9cztaUhr,Michael A. Volkema,181740,,,,,,,
01Oy53x3WypaXLa8q1WifK,Steven J. Owen,253615966,,,,,,,
01XEQCJ2xyvbcye1NgPVo9,Shui-Shu Hung,4612347,,,,,,,
01ZLsIAT4xGf1GuwSAG6Bb,Tzyy Jang Tseng,9934194,,,,,,,
