identifier,name
0feae450b7e8732c04c0b62b6345364c,Financials
11d73f91e9cfc329566dd4203eeed4ce,Basic Resources
1276aeb6e6d9bf6b90ad02924678b879,Telecommunications
1cbff838a9ca2a77ae56eb05ed01e5e3,Entertainment
258876d961eb6131fb0162599a90b45a,Media
293f3793a0532c7900d9aa1ae395792c,Restaurants & Leisure
3d711a6697180971880cab0d38aea817,Industrials
474f70231a3f58d8662b2d8c06c2dcb1,Oil & Gas
4cf6cd6fa4d3eedf721cc33e83e9ff91,Autos & Parts
4e267cae6a7a079a3ad9cb628b207992,Transportation
68a23c320b5ce65053e0d066d0534df1,Consumer Staples
84f41bce6078be5540e5ae9b2afaf6db,Retail
90fbd0f76c6450bdba7d59afa34e1982,Aerospace & Defense
a4e430629ddf96ec827601c4ccf8bc6f,Semiconductors
a90804aee35ab4d68a85aa4a2c51c602,Consumer Discretionary
ba46e75a7aefcb7e152b31aebae04d36,Hardware
c4509ce0432cd180b156c05f27a37a5b,Healthcare
e04c4bf966eaccc75741bef84c20b5a2,Utilities
f8938d8dfe1e88a5852996c0f6881b32,Software
