labels,type,type_list,variant,row_index,keyword,guid,caption_name,Secondary Terms,Join Type,Exclude Terms,Plural,Possessive,relate_column2,key_edit_time,Dupe,data_source,source_identifier,global_identifier
"[""NameVariant"",""Caption""]",Caption,"[""NameVariant"",""Caption""]",Buffalo Wild Wings,1,,020cce34368d045922c32ff4a1ac63dc,Buffalo Wild Wings,,,,,,,2021.05.26 03:55:01,1,mapping,eb6500e44657e17a6225896cfc99ef84,mapping__eb6500e44657e17a6225896cfc99ef84
"[""NameVariant""]",NameVariant,"[""NameVariant""]",blazin wings,1,blazin wings,,,,,,,,,,,mapping,e754907b8f5b5fb0dce8edd3aaf9c53a,mapping__e754907b8f5b5fb0dce8edd3aaf9c53a
"[""NameVariant""]",NameVariant,"[""NameVariant""]",buffalo wings international,2,buffalo wings international,,,,,,,,,,,mapping,fadf179c213440c78878f156c373ff6c,mapping__fadf179c213440c78878f156c373ff6c
"[""NameVariant""]",NameVariant,"[""NameVariant""]",bwld global ii,3,bwld global ii,,,,,,,,,,,mapping,a56e630bfd5b5017587d5a70336a9678,mapping__a56e630bfd5b5017587d5a70336a9678
"[""NameVariant""]",NameVariant,"[""NameVariant""]",bwld global i,4,bwld global i,,,,,,,,,,,mapping,a3fea98a07798ca44dc898e70e577dfc,mapping__a3fea98a07798ca44dc898e70e577dfc
"[""NameVariant""]",NameVariant,"[""NameVariant""]",buffalo wild wings international,5,buffalo wild wings international,,,,,,,,,,,mapping,931e3e340f6bae235d2150774d988823,mapping__931e3e340f6bae235d2150774d988823
"[""NameVariant""]",NameVariant,"[""NameVariant""]",buffalo wild wings global franchising b.v.,6,buffalo wild wings global franchising b.v.,,,,,,,,,,,mapping,f894003dcdb53f7cc3b536f7ac51819e,mapping__f894003dcdb53f7cc3b536f7ac51819e
"[""NameVariant""]",NameVariant,"[""NameVariant""]",bww jersey wings,7,bww jersey wings,,,,,,,,,,,mapping,8ffbf96a42e0dfce936a29e07721ff1a,mapping__8ffbf96a42e0dfce936a29e07721ff1a
"[""NameVariant""]",NameVariant,"[""NameVariant""]",bwld canada,8,bwld canada,,,,,,,,,,,mapping,7122c8982aa6b0ea5de7150a5ac425b7,mapping__7122c8982aa6b0ea5de7150a5ac425b7
"[""NameVariant""]",NameVariant,"[""NameVariant""]",wings across america,9,wings across america,,,,,,,,,,,mapping,f9eb5d487940dcf84f7cb5e8040168ce,mapping__f9eb5d487940dcf84f7cb5e8040168ce
"[""NameVariant""]",NameVariant,"[""NameVariant""]",wild wings,10,wild wings,,,,,,,,,,,mapping,e828018ef18f9825d99b9ce73449b200,mapping__e828018ef18f9825d99b9ce73449b200
"[""NameVariant""]",NameVariant,"[""NameVariant""]",buffalo wild wings,11,buffalo wild wings,,,,,,,,,,,mapping,349aeb47a74b032a9d642b5f49fd2a12,mapping__349aeb47a74b032a9d642b5f49fd2a12
"[""NameVariant""]",NameVariant,"[""NameVariant""]",buffalowildwings,12,buffalowildwings,,,,,,,,,,,mapping,5e65529094d2eed20e383d6f2d00dac4,mapping__5e65529094d2eed20e383d6f2d00dac4
"[""NameVariant""]",NameVariant,"[""NameVariant""]",wildwings,13,wildwings,,,,,,,,,,,mapping,73fd5619260ebbcc868fef3402f2f457,mapping__73fd5619260ebbcc868fef3402f2f457
