java.util.Map,,,,
keyword,caption_name,guid,address,coordinates
1800flowers.com,1800Flowers,894fb3718aef4fac966643eb37b49dea,,
1-800-flowers.com inc.,1800Flowers,894fb3718aef4fac966643eb37b49dea,,
3m.com,3M Company,48562aee0bffd911051ef423793942e0,,
3m company,3M Company,48562aee0bffd911051ef423793942e0,,
spglobal.com,S&P Global,dfebd27ad984ba163dc65df523e8abf0,,
99only.com,99 Cents Only Stores,54d2775a1c0ab095f9610aece04e858c,,
aarp.org,AARP,2f7155bb7a483ecb151b2c6ef70bc228,,
aarp,AARP,2f7155bb7a483ecb151b2c6ef70bc228,,
abcsupply.com,ABC Supply,,,
abc supply co.,ABC Supply,,,
abc supply company,ABC Supply,,,
abm.com,ABM Industries,75281c1dd310569fe2bf55fac09e5238,,
abm industries,ABM Industries,75281c1dd310569fe2bf55fac09e5238,,
abm industries incorporated,ABM Industries,75281c1dd310569fe2bf55fac09e5238,,
accobrands.com,ACCO Brands,0ef21d01bd663d2e64315cbafdd54d71,,
acco brands,ACCO Brands,0ef21d01bd663d2e64315cbafdd54d71,,
acehardware.com,Ace Hardware,33d12e35c640c5bfe758459e5c0cea86,,
ace hardware,Ace Hardware,33d12e35c640c5bfe758459e5c0cea86,,
ace hardware corp,Ace Hardware,33d12e35c640c5bfe758459e5c0cea86,,
landolakes.com,Land O'Lakes,f96c50719f117892d842d25e57b99604,,
activisionblizzard.com,Activision Blizzard,5f1a65971ad63c9cf9be9b25b89b5e28,,
activision blizzard inc.,Activision Blizzard,5f1a65971ad63c9cf9be9b25b89b5e28,,
adt.com,ADT,c6203c1cdf442cca2f468ebe07bb7650,,
adt llc,ADT,c6203c1cdf442cca2f468ebe07bb7650,,
adt security services,ADT,c6203c1cdf442cca2f468ebe07bb7650,,
adtalem.com,Adtalem,a03153bd0b88c5aa0c4015b844de032e,,
adtalem global education,Adtalem,a03153bd0b88c5aa0c4015b844de032e,,
adtalem global education inc,Adtalem,a03153bd0b88c5aa0c4015b844de032e,,
advance.com,Advance Publications,d7687a14f8ce222fc304a29797d136c4,,
advance publications,Advance Publications,d7687a14f8ce222fc304a29797d136c4,,
advance publications inc.,Advance Publications,d7687a14f8ce222fc304a29797d136c4,,
amd.com,AMD,0a35837255a92fa6950dd8c35bf2eede,,
amd telecom - provedor de internet,AMD,0a35837255a92fa6950dd8c35bf2eede,,
advanced micro devices inc,AMD,0a35837255a92fa6950dd8c35bf2eede,,
advanced micro devices,AMD,0a35837255a92fa6950dd8c35bf2eede,,
aecom.com,AECOM,c57aa05854c32433f5c7c05412f6ea42,,
aecom,AECOM,c57aa05854c32433f5c7c05412f6ea42,,
aecom limited,AECOM,c57aa05854c32433f5c7c05412f6ea42,,
aecom technology corporation,AECOM,c57aa05854c32433f5c7c05412f6ea42,,
aegworldwide.com,AEG,b0b26c60674376cc026db435114dc253,,
aeg,AEG,b0b26c60674376cc026db435114dc253,,
aeg ogden pty,AEG,b0b26c60674376cc026db435114dc253,,
aeromexico.com,Aeromexico,e033d1d90ea50a530861ef856078d85b,,
aerovias de mexico,Aeromexico,e033d1d90ea50a530861ef856078d85b,,
aes.com,AES,cb19780c79d36b54dc29024b23cd8ecd,,
aes pacific,AES,cb19780c79d36b54dc29024b23cd8ecd,,
aes corporation,AES,cb19780c79d36b54dc29024b23cd8ecd,,
aetna.com,Aetna,ade4c68cba85e3beb73a3413c0888b7d,,
aetna,Aetna,ade4c68cba85e3beb73a3413c0888b7d,,
aetna inc.,Aetna,ade4c68cba85e3beb73a3413c0888b7d,,
aftonchemical.com,Afton,,,
aholddelhaize.com,Ahold Delhaize,425b8eee0e7dc8faa8e649beb4ae2ae4,,
ahold delhaize,Ahold Delhaize,425b8eee0e7dc8faa8e649beb4ae2ae4,,
aia.com,AIA Group Limited,3184da48271d356bdbdc89041b7f0471,,
aia shared services (hong kong),AIA Group Limited,3184da48271d356bdbdc89041b7f0471,,
pt. aia financial,AIA Group Limited,3184da48271d356bdbdc89041b7f0471,,
aia group limited,AIA Group Limited,3184da48271d356bdbdc89041b7f0471,,
travelguardworldwide.com,AIG Global Security,2d443968d5d9c9665e5755709346d6b9,,
american international group,AIG Global Security,2d443968d5d9c9665e5755709346d6b9,,
hyatt.com,Hyatt,97330640744feddc52f9fecbf39e3cd9,,
hyatt corporation,Hyatt,97330640744feddc52f9fecbf39e3cd9,,
hyatt services gmbh,Hyatt,97330640744feddc52f9fecbf39e3cd9,,
hyatt,Hyatt,97330640744feddc52f9fecbf39e3cd9,,
aircanada.com,Air Canada,e2437347300ecc96b6855502ea951918,,
air canada,Air Canada,e2437347300ecc96b6855502ea951918,,
airliquide.com,Air Liquide,243219158ce7875a0c3968c8a8f1480b,,
air liquide it s.a.,Air Liquide,243219158ce7875a0c3968c8a8f1480b,,
air liquide industrial services pte,Air Liquide,243219158ce7875a0c3968c8a8f1480b,,
air liquide sa pour etude exploit des procedes georges claude,Air Liquide,243219158ce7875a0c3968c8a8f1480b,,
airproducts.com,Air Products,16663054d4cf729ade9087e03c647c89,,
air products & chemicals,Air Products,16663054d4cf729ade9087e03c647c89,,
air products and chemicals inc,Air Products,16663054d4cf729ade9087e03c647c89,,
airbus.com,Airbus,252db0d6399cb907417e6bc9b56042d5,,
airbus defence and space sas,Airbus,252db0d6399cb907417e6bc9b56042d5,,
airbus defense and space gmbh,Airbus,252db0d6399cb907417e6bc9b56042d5,,
airbus,Airbus,252db0d6399cb907417e6bc9b56042d5,,
akzonobel.com,Akzo,0c8d72f989770d090fe37347bd204a42,,
akzonobel,Akzo,0c8d72f989770d090fe37347bd204a42,,
alaskaair.com,Alaska Airlines,b0f8c459eef3e7bdb07610abf2424682,,
alaska airlines,Alaska Airlines,b0f8c459eef3e7bdb07610abf2424682,,
albemarle.com,Albemarle,c5f60750814c75ec644016c571114e54,,
albemarle corp,Albemarle,c5f60750814c75ec644016c571114e54,,
alcoa.com,Alcoa,912c7f4c962b842002462c097711a224,,
alcoa,Alcoa,912c7f4c962b842002462c097711a224,,
alcoa corporation,Alcoa,912c7f4c962b842002462c097711a224,,
alexion.com,Alexion,0561c22457ce25c15c5251b4100d79e7,,
alintaenergy.com.au,Alinta,,,
alinta energy,Alinta,,,
allegiantair.com,Allegiant Air,6cff2051b567eae22c4b7eacd9b63cab,,
allegiant air llc,Allegiant Air,6cff2051b567eae22c4b7eacd9b63cab,,
allegisgroup.com,Allegis,,,
allegis group,Allegis,,,
allergan.com,Allergan,7617854c31f0ae2f268b73a8666f22c4,,
allergan,Allergan,7617854c31f0ae2f268b73a8666f22c4,,
allergan inc.,Allergan,7617854c31f0ae2f268b73a8666f22c4,,
alliancedata.com,Alliance Data,7bd58a4cfcbee8688be7574fff5d8455,,
ads alliance data systems,Alliance Data,7bd58a4cfcbee8688be7574fff5d8455,,
alliance data systems,Alliance Data,7bd58a4cfcbee8688be7574fff5d8455,,
alliantenergy.com,Alliant Energy,1cd2c8c8879bc36c62ad81c0ba79c29d,,
alliant energy,Alliant Energy,1cd2c8c8879bc36c62ad81c0ba79c29d,,
ally.com,Ally Financial,dd4bc800f9a4c4d6659f7f7818d8c45d,,
ally financial,Ally Financial,dd4bc800f9a4c4d6659f7f7818d8c45d,,
ally financial inc.,Ally Financial,dd4bc800f9a4c4d6659f7f7818d8c45d,,
landsend.com,Lands' End,944b09615c71dd94dfe3e1c8686a982a,,
lands' end,Lands' End,944b09615c71dd94dfe3e1c8686a982a,,
