keyword,relate_column
caprisun,029b8626847fdc22ef1f0684a4fb2300
capri sun,029b8626847fdc22ef1f0684a4fb2300
nestea,029b8626847fdc22ef1f0684a4fb2300
femsa,029b8626847fdc22ef1f0684a4fb2300
smart water,029b8626847fdc22ef1f0684a4fb2300
vitamin water,029b8626847fdc22ef1f0684a4fb2300
minutemaid,029b8626847fdc22ef1f0684a4fb2300
inca kola,029b8626847fdc22ef1f0684a4fb2300
costa coffee,029b8626847fdc22ef1f0684a4fb2300
simply lemonade,029b8626847fdc22ef1f0684a4fb2300
fairlife,029b8626847fdc22ef1f0684a4fb2300
smartwater,029b8626847fdc22ef1f0684a4fb2300
seagram's,029b8626847fdc22ef1f0684a4fb2300
vitaminwater,029b8626847fdc22ef1f0684a4fb2300
barq's,029b8626847fdc22ef1f0684a4fb2300
honest tea,029b8626847fdc22ef1f0684a4fb2300
incakola,029b8626847fdc22ef1f0684a4fb2300
simply limeade,029b8626847fdc22ef1f0684a4fb2300
embotelladora andina,029b8626847fdc22ef1f0684a4fb2300
gold peak tea,029b8626847fdc22ef1f0684a4fb2300
glaceau,029b8626847fdc22ef1f0684a4fb2300
international beverages,029b8626847fdc22ef1f0684a4fb2300
diamond beverages,029b8626847fdc22ef1f0684a4fb2300
coke subsidiary,029b8626847fdc22ef1f0684a4fb2300
beatriz perez,029b8626847fdc22ef1f0684a4fb2300
manuel arroyo,029b8626847fdc22ef1f0684a4fb2300
james quincey,029b8626847fdc22ef1f0684a4fb2300
jim quincey,029b8626847fdc22ef1f0684a4fb2300
coke ceo,029b8626847fdc22ef1f0684a4fb2300
ceo of coke,029b8626847fdc22ef1f0684a4fb2300
ceo of coca-cola,029b8626847fdc22ef1f0684a4fb2300
coca-cola ceo,029b8626847fdc22ef1f0684a4fb2300
alfredo rivera,029b8626847fdc22ef1f0684a4fb2300
nikos koumettis,029b8626847fdc22ef1f0684a4fb2300
james l. dinkins,029b8626847fdc22ef1f0684a4fb2300
bernhard goepelt,029b8626847fdc22ef1f0684a4fb2300
xin lu,10d56b87ab89ac36d0e65d7f86ee9710
brian smith,029b8626847fdc22ef1f0684a4fb2300
cocacola,029b8626847fdc22ef1f0684a4fb2300
diet coke,029b8626847fdc22ef1f0684a4fb2300
coke zero,029b8626847fdc22ef1f0684a4fb2300
cherry coke,029b8626847fdc22ef1f0684a4fb2300
cocacolaco,029b8626847fdc22ef1f0684a4fb2300
town and country building society,0363c8711ca6883c7d1c908520210f61
townandcountrybuildingsociety,0363c8711ca6883c7d1c908520210f61
shayne elliott,0363c8711ca6883c7d1c908520210f61
anz bank,0363c8711ca6883c7d1c908520210f61
anzbank,0363c8711ca6883c7d1c908520210f61
#anzbank,0363c8711ca6883c7d1c908520210f61
australia and new zealand banking group,0363c8711ca6883c7d1c908520210f61
australia and new zealand banking,0363c8711ca6883c7d1c908520210f61
australiaandnewzealandbanking,0363c8711ca6883c7d1c908520210f61
xin ming wang,74e09c3838bd72068040aa9c2c1fbf02
century aluminum,040559f34c661c456471bc6e9f9a5d12
compania minera antamina,040559f34c661c456471bc6e9f9a5d12
chemoil,040559f34c661c456471bc6e9f9a5d12
centuryaluminum,040559f34c661c456471bc6e9f9a5d12
chemoilenergy,040559f34c661c456471bc6e9f9a5d12
ale combustiveis,040559f34c661c456471bc6e9f9a5d12
kazzinc,040559f34c661c456471bc6e9f9a5d12
chemoil energy limited,040559f34c661c456471bc6e9f9a5d12
sherwinalumina,040559f34c661c456471bc6e9f9a5d12
uc_rusal,040559f34c661c456471bc6e9f9a5d12
izimbiwa coal,040559f34c661c456471bc6e9f9a5d12
ucrusal,040559f34c661c456471bc6e9f9a5d12
mangoola coal operations pty limited,040559f34c661c456471bc6e9f9a5d12
mt owen pty limited,040559f34c661c456471bc6e9f9a5d12
nc coal company pty limited,040559f34c661c456471bc6e9f9a5d12
oakbridge pty ltd,040559f34c661c456471bc6e9f9a5d12
mangara limited,040559f34c661c456471bc6e9f9a5d12
petrochad limited,040559f34c661c456471bc6e9f9a5d12
grupoprodeco,040559f34c661c456471bc6e9f9a5d12
prodeco group,040559f34c661c456471bc6e9f9a5d12
ravensworth operations pty ltd,040559f34c661c456471bc6e9f9a5d12
st shipping & transport pte ltd glencore ag,040559f34c661c456471bc6e9f9a5d12
tavistock collieries limited,040559f34c661c456471bc6e9f9a5d12
topley corporation,040559f34c661c456471bc6e9f9a5d12
umcebo mining,040559f34c661c456471bc6e9f9a5d12
united company rusal,040559f34c661c456471bc6e9f9a5d12
xstrata limited uk,040559f34c661c456471bc6e9f9a5d12
carbones del cerrejon,040559f34c661c456471bc6e9f9a5d12
port kebla coal terminal,040559f34c661c456471bc6e9f9a5d12
port waratah coal services,040559f34c661c456471bc6e9f9a5d12
wiggins island coal export terminal,040559f34c661c456471bc6e9f9a5d12
polymet mining corp,040559f34c661c456471bc6e9f9a5d12
century aluminum company,040559f34c661c456471bc6e9f9a5d12
hg storage internrartionl limited,040559f34c661c456471bc6e9f9a5d12
noranda income fund,040559f34c661c456471bc6e9f9a5d12
trevali mining company,040559f34c661c456471bc6e9f9a5d12
recylex sa,040559f34c661c456471bc6e9f9a5d12
united joint venture,040559f34c661c456471bc6e9f9a5d12
wandoan joint venture,040559f34c661c456471bc6e9f9a5d12
cumnock joint venture,040559f34c661c456471bc6e9f9a5d12
foybrook joint venture,040559f34c661c456471bc6e9f9a5d12
hail creek joint venture,040559f34c661c456471bc6e9f9a5d12
hunter valley operations joint venture,040559f34c661c456471bc6e9f9a5d12
bulga joint venture,040559f34c661c456471bc6e9f9a5d12
liddell joint venture,040559f34c661c456471bc6e9f9a5d12
oaky creek coal joint venture,040559f34c661c456471bc6e9f9a5d12
rolleston joint venture,040559f34c661c456471bc6e9f9a5d12
ulan coal mines joint venture,040559f34c661c456471bc6e9f9a5d12
goedgevonden joint venture,040559f34c661c456471bc6e9f9a5d12
ernest henry mining,040559f34c661c456471bc6e9f9a5d12
merafe pooling and sharing joint venture,040559f34c661c456471bc6e9f9a5d12
kabanga joint venture,040559f34c661c456471bc6e9f9a5d12
mototolo joint venture,040559f34c661c456471bc6e9f9a5d12
rhovan pooling and sharing joint venture,040559f34c661c456471bc6e9f9a5d12
aguilar mine,040559f34c661c456471bc6e9f9a5d12
cobar mine,040559f34c661c456471bc6e9f9a5d12
los quenuales,040559f34c661c456471bc6e9f9a5d12
mina aguilar,040559f34c661c456471bc6e9f9a5d12
moreno group,040559f34c661c456471bc6e9f9a5d12
mutanda mining,040559f34c661c456471bc6e9f9a5d12
palpala smelter,040559f34c661c456471bc6e9f9a5d12
sherwin alumina,040559f34c661c456471bc6e9f9a5d12
sherwin-alumina,040559f34c661c456471bc6e9f9a5d12
peter coates,040559f34c661c456471bc6e9f9a5d12
martin gilbert,040559f34c661c456471bc6e9f9a5d12
anthony hayward,040559f34c661c456471bc6e9f9a5d12
ivan glasenberg,040559f34c661c456471bc6e9f9a5d12
leonhard fischer,040559f34c661c456471bc6e9f9a5d12
patrice merrin,040559f34c661c456471bc6e9f9a5d12
glencore,040559f34c661c456471bc6e9f9a5d12
glencore's,040559f34c661c456471bc6e9f9a5d12
glencoreaus,040559f34c661c456471bc6e9f9a5d12
glencoretech,040559f34c661c456471bc6e9f9a5d12
glencores,040559f34c661c456471bc6e9f9a5d12
canadian pacific railway limited,33de4e3571e77e8e73697f427ab328f0
#chryslercares,9b4a4b7ea393092e675779f53823258c
chrsyler,9b4a4b7ea393092e675779f53823258c
xin qi,f9ebd712b7775ebdc0a1e97afd4cd4c0
xin rong zhang,ad9702a61ffbba1ee1f286ba52dea0ea
xin she lu,49aa493c17c822226bf64bcca438ac6c
xin tian,91aa6724b2d0aeee24f56e4b76d19062
xin wen wang,4df2f54abc004588417b28bda8bcdd39
chryssler,9b4a4b7ea393092e675779f53823258c
#chrysler,9b4a4b7ea393092e675779f53823258c
xin yi zhou,36ef407f8dd1d33aeb3d947836688f93
xin zhang,192f0f8e71c16b480bbd4bb90924b3cf
xing quan wang,c72c4230ac101ca9bcf036b83c4eff55
board walmart international,343b1f841f2758ce00d11e5b07c3a2e9
xing xiao,d35a51746b7b3b9cda51de9371b3691d
xing xu,c6eab4e2b495ee462c6ada3f2f5bc825
#fiatchrysler,9b4a4b7ea393092e675779f53823258c
xing ya feng,9ab1b503c8dbb9441b861e71624d5533
xing yingmei,f9802d5b943657fbc500e64e00c7d9f6
mindygrossman,0728af0e10f246dd4cf153622bf4cb2c
