name,label,types,merge_global_identifier,caption,wikipedia_url,wikidata_id,dbpedia_id,file_source,data_source,source_identifier,global_identifier,description,logo,image
Buffalo Wild Wings,Organization,"[""Company"",""Organisation"",""Agent"",""Restaurant"",""Subsidiary"",""Restaurantchain"",""Publiccompany"",""Fastfoodrestaurantchain""]",KP__020cce34368d045922c32ff4a1ac63dc,Buffalo Wild Wings,https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,Q509255,http://dbpedia.org/resource/Buffalo_Wild_Wings,crisk_keyword_to_guid_caption_name,crisk_keyword_to_guid_caption_name,https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,crisk_keyword_to_guid_caption_name__https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,"Buffalo Wild Wings (originally Buffalo Wild Wings & Weck, hence the numeronym BW3) is an American casual dining restaurant and sports bar franchise in the United States, Canada, India, Mexico, Oman, Panama, Philippines, Saudi Arabia, United Arab Emirates, and Vietnam which specializes in Buffalo wings and sauces. As of June 2017, it had 1,238 locations (625 directly owned by the company, and 612 franchised locations) across all 50 U.S. states and DC. An alternate nickname in recent usage by the company is B-Dubs. The company is operated out of Sandy Springs, Georgia, home to its parent company, Inspire Brands, just north of Atlanta. However, Inspire still maintains a support center in Minneapolis, Minnesota, the location of its previous headquarters.","[""http://commons.wikimedia.org/wiki/Special:FilePath/BW3_Athens_OH_USA.JPG?width=300""]","[""http://commons.wikimedia.org/wiki/Special:FilePath/CBW3logoedit.png"",""http://commons.wikimedia.org/wiki/Special:FilePath/Buffalo_wildwings_logo18.png"",""http://commons.wikimedia.org/wiki/Special:FilePath/Buffalo_Wild_Wings_–_New_Caney,_Texas.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/Buffalo_Wild_Wings_Carson_IMG_20180405_110842.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/Buffalo_Wild_Wings_Exterior.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/Buffalo_Wild_Wings_in_Gillette,_Wyoming.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/Buffalo_Wild_Wings_–_Arden,_North_Carolina.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/BW3_Athens_OH_USA.jpg""]"
Rusty Taco,Company,"[""Company"",""Organisation"",""Agent"",""Subsidiary"",""Fastfoodrestaurantchain""]",,Rusty Taco,https://en.wikipedia.org/wiki/Rusty_Taco,Q54871352,http://dbpedia.org/resource/Rusty_Taco,crisk_keyword_to_guid_caption_name,crisk_keyword_to_guid_caption_name,https://en.wikipedia.org/wiki/Rusty_Taco,crisk_keyword_to_guid_caption_name__https://en.wikipedia.org/wiki/Rusty_Taco,"Rusty Taco is a chain of fast food Taco restaurants in nine states across the United States. Rusty Taco was founded by Rusty Fenton and his wife Denise in 2010. The name was shortened to R Taco in 2015, but on September 5, 2018, R Taco announced it was changing its name back to Rusty Taco. Rusty Fenton died in 2013 of kidney cancer. In 2014, a majority of shares of Rusty Taco were acquired by Buffalo Wild Wings. Buffalo Wild Wings along with R Taco were acquired by Arby's Restaurant Group in 2018, forming Inspire Brands.",[],"[""http://commons.wikimedia.org/wiki/Special:FilePath/Rusty_Taco_logo.svg""]"
Paul Brown,AAEntity,,,Buffalo Wild Wings CEO Paul Brown,,,,crisk_keyword_to_guid_caption_name,crisk_keyword_to_guid_caption_name,Paul Brown,crisk_keyword_to_guid_caption_name__Paul Brown,,,
Capri Sun,Brand,"[""Brand"",""Company"",""Juice"",""Trademark""]",,Capri Sun,https://en.wikipedia.org/wiki/Capri_Sun,Q969761,http://dbpedia.org/resource/Capri_Sun,crisk_keyword_to_guid_caption_name,crisk_keyword_to_guid_caption_name,https://en.wikipedia.org/wiki/Capri_Sun,crisk_keyword_to_guid_caption_name__https://en.wikipedia.org/wiki/Capri_Sun,"Capri Sun (UK: /ˈkæpri/, US: /kəˈpriː/) is a German juice concentrate drink owned by Capri Sun Group Holding in Germany, which is a privately held company of Hans-Peter Wild. It was introduced in 1969 and named after the Italian island of Capri. Capri Sun has been distributed in the United States since 1981. Kraft Heinz is a licensed production partner for North America. In the Netherlands, France, the UK, Belgium and Ireland, it is distributed by Coca-Cola Europacific Partners.","[""http://commons.wikimedia.org/wiki/Special:FilePath/Capri-Sun_logo.svg?width=300"",""https://commons.wikimedia.org/wiki/File:Caprisun_logo.png""]","[""http://commons.wikimedia.org/wiki/Special:FilePath/Andreas_Gryphius.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/Gryphius_Signature.gif"",""http://commons.wikimedia.org/wiki/Special:FilePath/Caprisun_logo.png"",""https://commons.wikimedia.org/wiki/File:Capri-Sun_und_Capri-Sonne.jpg""]"
Nestea,Brand,"[""Brand"",""Company"",""Iced_tea"",""Trademark"",""Foodmanufacturer""]",,Nestea,https://en.wikipedia.org/wiki/Nestea,Q1993628,http://dbpedia.org/resource/Nestea,crisk_keyword_to_guid_caption_name,crisk_keyword_to_guid_caption_name,https://en.wikipedia.org/wiki/Nestea,crisk_keyword_to_guid_caption_name__https://en.wikipedia.org/wiki/Nestea,"Nestea is a Swiss brand of iced tea and pop beverages owned by Nestlé, manufactured by The Coca-Cola Company and distributed by Nestlé's beverage department in the United States and by Beverage Partners Worldwide (BPW), a joint venture between The Coca-Cola Company and Nestlé, in the rest of the world. It competes with Unilever/PepsiCo's Lipton Iced Tea and Fuze Tea. Nestea provides a variety of tea products, including liquid and powdered tea concentrates, refrigeratable teas, and ready-to-drink bottles dispensed by vendor or vending machine. The beverage comes in several flavors, depending on the country. Since the start of 2017, Nestlé and Coca-Cola agreed to end the iced tea Nestea joint venture after 16 years of collaboration. One of the reasons for this, is that Coca-Cola and Nestlé want to pursue different strategies in a rapidly changing market. Nestlé will handle the distribution of Nestea in most countries except in Canada, Spain, Portugal, Romania, Andorra, Bulgaria, Hungary and Serbia where Coca-Cola will retain a license. In 2019, Nestea rebranded as a natural product. The new recipe, launched by Nestlé after the end of the joint venture, does not contain artificial colors and flavors, corn syrup and no GMO ingredients anymore. In addition, Nestea ready-to-drink iced tea is made with stevia extract and can be found in different flavors such as lemon, raspberry and peach. The new recipe sources its tea leaves from Nilgiri, a region in India.",[],"[""http://commons.wikimedia.org/wiki/Special:FilePath/Nestea_bottle.jpg""]"
Femsa,Company,"[""Company"",""Organisation"",""Beverage"",""Agent"",""S_a___corporation_"",""Publiccompany"",""Brewery"",""Enterprise"",""Business""]",,Femsa,https://en.wikipedia.org/wiki/FEMSA,Q1435628,http://dbpedia.org/resource/Femsa,crisk_keyword_to_guid_caption_name,crisk_keyword_to_guid_caption_name,https://en.wikipedia.org/wiki/FEMSA,crisk_keyword_to_guid_caption_name__https://en.wikipedia.org/wiki/FEMSA,"Fomento Económico Mexicano, S.A.B. de C.V., doing business as FEMSA, is a Mexican multinational beverage and retail company headquartered in Monterrey, Mexico. It operates the largest independent Coca-Cola bottling group in the world and the largest convenience store chain in Mexico. It is also the second largest shareholder of Heineken N.V.. FEMSA reported revenues of US$26.9 billion for 2019, making it the fifth largest company of Mexico. It has operations in Latin America mainly through bottling plants, convenience stores, drugstores, fuel stations, and third-party logistic services, and in the United States, where it participates in the jan-san distribution industry. It is well known in Mexico for its convenience store chain Oxxo, it previously owned Cuauhtémoc Moctezuma Brewery (exchanged in 2010 for a 20% stake in Heineken N.V.), and for being the owner of the C.F. Monterrey, a Mexican First-Division football team. FEMSA has been listed on the Mexican Stock Exchange since 1978 and on the NYSE through ADRs since 1998. It is a constituent of the IPC, the main benchmark index of the Mexican Stock Exchange, and of the S&P Latin America 40, which includes leading, blue chip companies from Latin America.","[""http://commons.wikimedia.org/wiki/Special:FilePath/FEMSA_Logo.svg?width=300"",""https://commons.wikimedia.org/wiki/File:FEMSA_Logo.svg""]","[""http://commons.wikimedia.org/wiki/Special:FilePath/FEMSA_Logo.svg""]"
Smart Water,Wikimediadisambiguationpage,"[""Wikimediadisambiguationpage""]",,Smart Water,https://en.wikipedia.org/wiki/Smart_Water,Q19929379,http://dbpedia.org/resource/Smart_Water,crisk_keyword_to_guid_caption_name,crisk_keyword_to_guid_caption_name,https://en.wikipedia.org/wiki/Smart_Water,crisk_keyword_to_guid_caption_name__https://en.wikipedia.org/wiki/Smart_Water,Wikimedia disambiguation page,[],"[""http://commons.wikimedia.org/wiki/Special:FilePath/Argyresthia_luteella.jpg""]"
Vitamin Water,Company,"[""Company"",""Organisation"",""Agent"",""Subsidiary""]",,Vitamin Water,https://en.wikipedia.org/wiki/Energy_Brands,Q1094880,http://dbpedia.org/resource/Vitamin_Water,crisk_keyword_to_guid_caption_name,crisk_keyword_to_guid_caption_name,https://en.wikipedia.org/wiki/Energy_Brands,crisk_keyword_to_guid_caption_name__https://en.wikipedia.org/wiki/Energy_Brands,"Energy Brands, also doing business as Glacéau, is a privately owned subsidiary of The Coca-Cola Company based in Whitestone, Queens, New York, that manufactures and distributes various lines of enhanced water. Founded in May 1996 by J. Darius Bikoff with an electrolyte enhanced line of water called Smartwater, Energy Brands initially distributed its products to health food stores and independent retailers in the New York area. Adding Fruitwater and VitaminWater to its line in 1998 and 2000, respectively, the company expanded to nationwide distribution in the early 2000s. By 2002, the Glacéau line of waters were the top selling enhanced water brand in the United States, with the company's VitaminWater being its best selling product. In 2006, the company earned US$350 million in revenues. The company then began its global expansion, launching its products in the United Kingdom and Australia in 2008, France in 2009 and Argentina in 2011. Energy Brands is owned primarily by Bikoff, employees, and small investors. Rapper 50 Cent obtained a minority share of the company as part of an endorsement deal in the company. Thirty percent of the equity was sold to LVMH sometime in the 2000s, which in turn sold those shares. The shares eventually were sold to India-based Tata Group in August 2006, which held the shares until May 2007 when The Coca-Cola Company purchased the company as an independent subsidiary, leaving its actual operations with its existing management including Bikoff.",[],"[""http://commons.wikimedia.org/wiki/Special:FilePath/Glacéau_vitaminwater.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/Bebidas_vitaminadas..jpg""]"
Minute Maid,Brand,"[""Brand"",""Company"",""Organisation"",""Agent"",""Business""]",,Minute Maid,https://en.wikipedia.org/wiki/Minute_Maid,Q1206056,http://dbpedia.org/resource/Minute_Maid,crisk_keyword_to_guid_caption_name,crisk_keyword_to_guid_caption_name,https://en.wikipedia.org/wiki/Minute_Maid,crisk_keyword_to_guid_caption_name__https://en.wikipedia.org/wiki/Minute_Maid,"Minute Maid is a product line of beverages, usually associated with lemonade or orange juice, but which now extends to soft drinks of different kinds, including Hi-C. Minute Maid is sold under the Cappy brand in Central Europe and under the brand ""Моя Семья"" (Moya sem'ya, ""My Family"") in Russia and the Commonwealth of Independent States. Minute Maid was the first company to market frozen orange juice concentrate, allowing it to be distributed throughout the United States and served year-round. The Minute Maid Company is owned by The Coca-Cola Company, the world's largest marketer of fruit juices and drinks. The firm opened its headquarters in Sugar Land Town Square in Sugar Land, Texas, United States, on February 16, 2009; previously it was headquartered in the 2000 St. James Place building in Houston.","[""http://commons.wikimedia.org/wiki/Special:FilePath/Minute_Maid_Logo.svg?width=300"",""https://commons.wikimedia.org/wiki/File:Minute_Maid_Logo.svg""]","[""http://commons.wikimedia.org/wiki/Special:FilePath/MinuteMaidPulpy_1000ml_Indonesia.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/MinuteMaid_Bottle.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/Minute_Maid_Logo.svg"",""http://commons.wikimedia.org/wiki/Special:FilePath/SimplyLemonade-ChrisMetcalf.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/MinuteMaidBoost.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/MinuteMaidHQSugarLandTX.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/Frugos_PY_Peach.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/2000StJamesfrmrMMHQB.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/BJS_Line_2_icon.svg""]"
Inca Kola,Brand,"[""Brand"",""Televisionshow"",""Beverage"",""Soft_drink"",""Cola"",""Softdrink""]",,Inca Kola,https://en.wikipedia.org/wiki/Inca_Kola,Q593369,http://dbpedia.org/resource/Inca_Kola,crisk_keyword_to_guid_caption_name,crisk_keyword_to_guid_caption_name,https://en.wikipedia.org/wiki/Inca_Kola,crisk_keyword_to_guid_caption_name__https://en.wikipedia.org/wiki/Inca_Kola,"Inca Kola (also known as ""the Golden Kola"" in international advertising) is a soft drink that was created in Peru in 1935 by British immigrant Joseph Robinson Lindley. The soda has a sweet, fruity flavor that somewhat resembles its main ingredient, lemon verbena (verbena de Indias or cedrón in Spanish). Americans compare its flavor to bubblegum or cream soda. Sometimes categorized as a champagne cola, it has been described as ""an acquired taste"" whose ""intense color alone is enough to drive away the uninitiated."" The Coca-Cola Company owns the Inca Kola trademark everywhere but in Peru. In Peru, the Inca Kola trademark is owned by Corporación Inca Kola Perú S.A., which since 1999 is a joint venture between The Coca-Cola Company and the Lindley family, former sole owners of Corporación Inca Kola Perú S.A. and Corporación Lindley S.A. Inca Kola is a source of national pride and patriotism in Peru, a national icon. Inca Kola is available in parts of South America, North America and Europe, and while it has not enjoyed major success outside Peru, it can be found in Latin American specialty shops worldwide. Inca Kola is sold in bottles and with an Inca motif.","[""http://commons.wikimedia.org/wiki/Special:FilePath/IncaKolaBottleGlass.jpg?width=300""]","[""http://commons.wikimedia.org/wiki/Special:FilePath/IncaKolaBottleGlass.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/Inca_Kola_Gordita_191207.jpg"",""http://commons.wikimedia.org/wiki/Special:FilePath/Inca_Kola_Slogan_El_Sabor_del_Peru.jpg"",""https://commons.wikimedia.org/wiki/File:IncaKolaBottleGlass.jpg""]"
