guid,location_name,coordinates,lat,lon,Dupe,,,,,Coord - Rounded1,Coord - Rounded2,lat - Rounded1,lat - Rounded2,Mismatch Check,,
000cc2b6ec2ef98f144c7aa891fd55f4,"Sprint HQ, Shawnee Mission, KS, USA","38.9156634, -94.6587588",38.9156634,-94.6587588,1,,,,,38.916,-94.659,38.916,-94.659,Match,,
0020e59f334b6d2d0aca9522978c7161,"Newport Beach, CA, USA","33.6188829, -117.9298493",33.6188829,-117.9298493,1,,,,,33.619,-117.93,33.619,-117.93,Match,,
003479fc399388aad462f50fe8fb6932,"Toledo, OH, USA","41.6528052, -83.5378674",41.6528052,-83.5378674,1,,,,,41.653,-83.538,41.653,-83.538,Match,,
003a9b1316daa8730552228666cd4ec4,"Bellevue, WA, USA","47.6101497, -122.2015159",47.6101497,-122.2015159,1,,,,,47.61,-122.202,47.61,-122.202,Match,,
004cecc8b143dfac1a955b4e95cfa5fd,"Scottsdale, AZ, USA","33.4941704, -111.9260519",33.4941704,-111.9260519,1,,,,,33.494,-111.926,33.494,-111.926,Match,,
0063d08b0ebdbd360e972ba69fc5eb90,"Evenemangsgatan 13, Solna 169 56","59.36937139999999, 18.0028503",59.3693714,18.0028503,1,,,,,59.369,18.003,59.369,18.003,Match,,
0089f1981753a537d2359de733eee89f,"Calgary, Alberta, Canada","51.0447331, -114.0718831",51.0447331,-114.0718831,1,,,,,51.045,-114.072,51.045,-114.072,Match,,
008d5bcd910f8740470098544d380397,"Carlsbad, CA, USA","33.1580933, -117.3505939",33.1580933,-117.3505939,1,,,,,33.158,-117.351,33.158,-117.351,Match,,
00a1750f4366a8b59a4701841f4054bd,"New York, NY, USA","40.7127753, -74.0059728",40.7127753,-74.0059728,1,,,,,40.713,-74.006,40.713,-74.006,Match,,
00ada8d42a1bb66cd17e929457ef947f,"Billerica, MA, USA","42.5584218, -71.2689461",42.5584218,-71.2689461,1,,,,,42.558,-71.269,42.558,-71.269,Match,,
