name,caption,type,labels,type_list,wikipedia_url,wikidata_id,dbpedia_id,file_source,data_source,source_identifier,global_identifier,needs_human_review,human_review_reason,description,logo,image,homepage,handles
3m,3m,Organization,"[""Organization""]","[""Brand"",""Company"",""Organisation"",""Agent"",""PublicCompany"",""Conglomerate""]",https://en.wikipedia.org/wiki/3M,Q159433,http://dbpedia.org/resource/3m,logo_classes,logo_classes,https://en.wikipedia.org/wiki/3M,logo_classes__https://en.wikipedia.org/wiki/3M,true,"Multiple top priority types: Brand, Organization","The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota. 3M made $32.8 billion in total sales in 2018, and ranked number 95 in the Fortune 500 list of the largest United States corporations by total revenue. As of 2018, the company had approximately 93,500 employees, and had operations in more than 70 countries.","[""http://commons.wikimedia.org/wiki/Special:FilePath/3M_wordmark.svg?width=300"",""https://commons.wikimedia.org/wiki/File:3M_wordmark.svg""]","[""https://commons.wikimedia.org/wiki/File:3-M_Building_Maplewood_MN1.jpg""]",https://www.3m.com/,"[""3M""]"
7eleven,7eleven,Organization,"[""Organization""]","[""Company"",""Business"",""Organisation"",""Agent"",""WhollyOwnedSubsidiary""]",https://en.wikipedia.org/wiki/7-Eleven,Q17221821,http://dbpedia.org/resource/7eleven,logo_classes,logo_classes,https://en.wikipedia.org/wiki/7-Eleven,logo_classes__https://en.wikipedia.org/wiki/7-Eleven,,,"7-Eleven, Inc. (stylized as 7ᴇʟᴇᴠᴇn) is an American international chain of convenience stores, headquartered in Dallas, Texas. The chain was founded in 1927 as an ice house storefront in Dallas. It was named Tote'm Stores between 1928 and 1946. After 70% of the company was acquired by Japanese affiliate Ito-Yokado in 1991, it was reorganized as a wholly owned subsidiary of Seven-Eleven Japan Co., Ltd in 2005, and is now held by Chiyoda, Tokyo-based Seven & I Holdings Co., Ltd. 7-Eleven operates, franchises, and licenses 71,100 stores in 17 countries as of July 2020.","[""http://commons.wikimedia.org/wiki/Special:FilePath/7-eleven-brand.svg?width=300""]",[],https://www.7-eleven.com,[]
abbvie,abbvie,Organization,"[""Organization""]","[""GenericTopLevelDomain""]",,Q24033330,,logo_classes,logo_classes,abbvie,logo_classes__abbvie,,,generic top-level Internet domain,,,http://nic.abbvie/,
abus,abus,Organization,"[""Organization""]","[""Company"",""Business"",""Organisation"",""Agent"",""PublicCompany""]",https://en.wikipedia.org/wiki/Arbutus_Biopharma,Q17747021,http://dbpedia.org/resource/Arbutus_Biopharma,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Arbutus_Biopharma,logo_classes__https://en.wikipedia.org/wiki/Arbutus_Biopharma,true,Disambiguated from https://en.wikipedia.org/wiki/Abus,"Arbutus Biopharma Corporation is a publicly traded Canadian (NASDAQ: ABUS) biopharmaceutical company with an expertise in liposomal drug delivery and RNA interference, and is developing drugs for hepatitis B infection. It is headquartered in Vancouver, British Columbia and has research facilities in Warminster, Pennsylvania. The company was formerly known as Tekmira, which was spun out of Inex Pharmaceuticals in 2007.",[],[],http://arbutusbio.com/,[]
accenture,accenture,Organization,"[""Organization""]","[""Company"",""Business"",""Organisation"",""Agent"",""PublicCompany"",""ConsultingCompany""]",https://en.wikipedia.org/wiki/Accenture,Q338825,http://dbpedia.org/resource/.accenture,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Accenture,logo_classes__https://en.wikipedia.org/wiki/Accenture,,,"Accenture plc is an Irish-based multinational company that provides consulting and professional services. A Fortune Global 500 company, it reported revenues of $44.33 billion in 2020 and had 569,000 employees. In 2015, the company had about 150,000 employees in India, 48,000 in the US, and 50,000 in the Philippines. Accenture's current clients include 91 of the Fortune Global 100 and more than three-quarters of the Fortune Global 500. On 11 July 2019, Accenture appointed Julie Sweet as its new chief executive officer. She accepted her office on 1 September 2019. It has been incorporated in Dublin, Ireland since 2009.","[""http://commons.wikimedia.org/wiki/Special:FilePath/Accenture.svg?width=300"",""https://commons.wikimedia.org/wiki/File:Accenture.svg""]","[""https://commons.wikimedia.org/wiki/File:Grand_Canal_Square_-_panoramio.jpg""]",http://www.accenture.com,"[""Accenture""]"
adidas,adidas,Organization,"[""Organization""]","[""Company"",""Business"",""Organisation"",""PublicCompany"",""LocalInternetRegistry"",""Agent"",""Aktiengesellschaft""]",https://en.wikipedia.org/wiki/Adidas,Q3895,http://dbpedia.org/resource/Adidas,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Adidas,logo_classes__https://en.wikipedia.org/wiki/Adidas,,,German multinational corporation,"[""https://commons.wikimedia.org/wiki/File:Adidas_Logo.svg"",""http://commons.wikimedia.org/wiki/Special:FilePath/Adidas_Logo.svg?width=300""]","[""https://commons.wikimedia.org/wiki/File:Herzogenaurach_-_Adidas_-_2016.jpg""]",https://www.adidas-group.com/en/,"[""adidasUS"",""adidasUK"",""adidas"",""adidasZA"",""adidasbrasil"",""adidas_ES""]"
aflac,aflac,Organization,"[""Organization""]","[""Company"",""Business"",""Organisation"",""Agent"",""PublicCompany""]",https://en.wikipedia.org/wiki/Aflac,Q26311,http://dbpedia.org/resource/Aflac,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Aflac,logo_classes__https://en.wikipedia.org/wiki/Aflac,true,Top candidate has similarity below 0.9,"Aflac Inc. /ˈæflæk/ (American Family Life Assurance Company) is an American insurance company and is the largest provider of supplemental insurance in the United States. The company was founded in 1955 and is based in Columbus, Georgia. In the U.S., Aflac underwrites a wide range of insurance policies, but is perhaps more known for its payroll deduction insurance coverage, which pays cash benefits when a policyholder has a covered accident or illness. The company states it ""provides financial protection to more than 50 million people worldwide"". In 2009, Aflac acquired Continental American Insurance Company for $100 million; this enabled Aflac to sell supplemental insurance on both the individual and group platform. As of June 30, 2012, Aflac was represented by approximately 19,300 sales agencies in Japan, and 76,900 licensed sales associates in the U.S.",[],"[""https://commons.wikimedia.org/wiki/File:AFLAC_Tower_Columbus_Georgia.jpg""]",http://www.aflac.com,"[""Aflac""]"
airhawk,airhawk,Film,"[""Film""]","[""Film"",""Work""]",https://en.wikipedia.org/wiki/Airhawk,Q15039374,http://dbpedia.org/resource/Airhawk,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Airhawk,logo_classes__https://en.wikipedia.org/wiki/Airhawk,true,Top candidate has similarity below 0.9,"Airhawk, also known as Star of the North, is a 1981 Australian television action film directed by David Baker and starring Eric Oldfield and Louise Howitt. It was based on the cartoon strip Air Hawk and the Flying Doctors by John Dixon.",[],[],,[]
airness,airness,Organization,"[""Organization""]","[""Company"",""Business"",""Organisation"",""Agent"",""PrivatelyHeldCompany""]",https://en.wikipedia.org/wiki/Airness,Q408861,http://dbpedia.org/resource/Airness,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Airness,logo_classes__https://en.wikipedia.org/wiki/Airness,true,Top candidate has similarity below 0.9,Airness is a footwear trademark founded in 1999 in Saint-Denis (France) by Malamine Koné. The logo includes the image of a black panther.,"[""http://commons.wikimedia.org/wiki/Special:FilePath/Airness_logo.png?width=300""]",[],http://www.airness.fr/,[]
aldi,aldi,Organization,"[""Organization""]","[""Brand"",""Company"",""Organisation"",""Agent"",""PrivatelyHeldCompany"",""DiscountStore"",""SupermarketChain"",""Conglomerate""]",https://en.wikipedia.org/wiki/Aldi,Q125054,http://dbpedia.org/resource/Aldi,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Aldi,logo_classes__https://en.wikipedia.org/wiki/Aldi,true,"Multiple top priority types: Brand, Organization","Aldi (stylized as ALDI) is the common brand of two German family-owned discount supermarket chains with over 10,000 stores in 20 countries and an estimated combined turnover of more than €50 billion. The chain was founded by brothers Karl and Theo Albrecht in 1946 when they took over their mother's store in Essen. The business was split into two separate groups in 1960, that later became Aldi Nord, headquartered in Essen, and Aldi Süd, headquartered in Mülheim. In 1962, they introduced the name Aldi (a syllabic abbreviation for Albrecht Diskont), which is pronounced [ˈaldiː]. In Germany, Aldi Nord and Aldi Süd have been financially and legally separate since 1966, although both divisions' names may appear as if they were a single enterprise with certain store brands or when negotiating with contractor companies. The formal business name is Aldi Einkauf GmbH & Compagnie. Aldi's German operations consist of Aldi Nord's 35 individual regional companies with about 2,500 stores in western, northern, and eastern Germany, and Aldi Süd's 32 regional companies with 1,900 stores in western and southern Germany. Internationally, Aldi Nord operates in Denmark, France, the Benelux countries, Portugal, Spain and Poland, while Aldi Süd operates in Ireland, the United Kingdom, Hungary, Switzerland, Australia, China, Italy, Austria and Slovenia. Both Aldi Nord (as Trader Joe's) and Aldi Süd (as Aldi) also operate in the United States with 1,600 stores between them as of 2017, and the U.S. is the only country to have both Aldi companies operating outside of Germany. In 2020, it was reported that Aldi Nord and Aldi Süd have been planning since 2018 to merge the two branches by 2022 in a bid to reduce redundancies and raise efficiency.","[""http://commons.wikimedia.org/wiki/Special:FilePath/AldiNord-WorldwideLogo.svg?width=300"",""https://commons.wikimedia.org/wiki/File:ALDI_Nord_Logo_2015.png"",""https://commons.wikimedia.org/wiki/File:AldiWorldwideLogo.svg""]","[""https://commons.wikimedia.org/wiki/File:ALDI_Süd_in_Macclesfield,_UK.jpg""]",https://www.aldi.com/,"[""AldiUSA"",""AldiUK"",""Aldi_Ireland"",""AldiAustralia""]"
alfaromeo,alfaromeo,SponsoredTopLevelDomain,"[""SponsoredTopLevelDomain""]","[""SponsoredTopLevelDomain""]",,Q26981422,,logo_classes,logo_classes,alfaromeo,logo_classes__alfaromeo,,,,,,,
allett,allett,AAEntity,"[""AAEntity""]",,,,,logo_classes,logo_classes,allett,logo_classes__allett,,,,,,,
allianz,allianz,Organization,"[""Organization""]","[""Company"",""Organisation"",""Bank"",""Agent"",""PublicCompany"",""InsuranceCompany""]",https://en.wikipedia.org/wiki/Allianz,Q487292,http://dbpedia.org/resource/Allianz,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Allianz,logo_classes__https://en.wikipedia.org/wiki/Allianz,true,Top candidate has similarity below 0.9,"Allianz SE (/ˈæliənts/ AL-ee-ənts, German: [aˈli̯ants]) is a German multinational financial services company headquartered in Munich, Germany. Its core businesses are insurance and asset management. As of 2014, it is the world's largest insurance company, the largest financial services group and the largest company according to a composite measure by Forbes magazine, as well as the largest financial services company when measured by 2013 revenue. The company is a component of the Euro Stoxx 50 stock market index. Its asset management division, which consists of PIMCO, Allianz Global Investors and Allianz Real Estate, has €2,432 billion of assets under management (AuM), of which €1,775 billion are third-party assets (Q1 2021). Allianz sold Dresdner Bank to Commerzbank in November 2008. As a result of this transaction, Allianz gained a 14% controlling stake in the new Commerzbank.","[""http://commons.wikimedia.org/wiki/Special:FilePath/Allianz.svg?width=300"",""https://commons.wikimedia.org/wiki/File:Allianz.svg""]","[""https://commons.wikimedia.org/wiki/File:Wzwz_schwabing_26_allianz_building.JPG""]",https://www.allianz.com/,[]
allstate,allstate,Organization,"[""Organization""]","[""TopLevelDomain""]",,Q26989372,,logo_classes,logo_classes,allstate,logo_classes__allstate,,,top-level Internet domain,,,http://nic.allstate/,
altria,altria,Organization,"[""Organization""]","[""Company"",""Organisation"",""Agent"",""PublicCompany""]",https://en.wikipedia.org/wiki/Altria,Q445007,http://dbpedia.org/resource/Altria,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Altria,logo_classes__https://en.wikipedia.org/wiki/Altria,true,Top candidate has similarity below 0.9,"Altria Group, Inc. (previously known as Philip Morris Companies, Inc.) is an American corporation and one of the world's largest producers and marketers of tobacco, cigarettes and related products. It operates worldwide and is headquartered in unincorporated Henrico County, Virginia, just outside the city of Richmond. Altria is the parent company of Philip Morris USA (producer of Marlboro cigarettes), John Middleton, Inc., U.S. Smokeless Tobacco Company, Inc., and Philip Morris Capital Corporation. Altria also maintains large minority stakes in Belgium-based brewer ABInBev, the Canadian cannabis company Cronos Group, and the e-cigarette maker JUUL Labs. It is a component of the S&P 500 and was a component of the Dow Jones Industrial Average from 1985 to 2008, dropping due to spin-offs of Kraft Foods Inc. in 2007 and Philip Morris International in 2008.","[""https://commons.wikimedia.org/wiki/File:Altria_Group.svg""]","[""https://commons.wikimedia.org/wiki/File:Altria_Building_(8156028882).jpg""]",http://www.altria.com,"[""altrianews""]"
aluratek,aluratek,AAEntity,"[""AAEntity""]",,,,,logo_classes,logo_classes,aluratek,logo_classes__aluratek,,,,,,,
amazon,amazon,Organization,"[""Organization""]","[""AAEntity"",""MusicalWork""]",https://en.wikipedia.org/wiki/Amazon_(chess),Q647433,http://dbpedia.org/resource/Amazon_(chess),logo_classes,logo_classes,https://en.wikipedia.org/wiki/Amazon_(chess),logo_classes__https://en.wikipedia.org/wiki/Amazon_(chess),,,fairy chess piece that can move like a queen or a knight,[],"[""https://commons.wikimedia.org/wiki/File:Chess_Alt26.svg""]",,[]
amcrest,amcrest,AAEntity,"[""AAEntity""]",,,,,logo_classes,logo_classes,amcrest,logo_classes__amcrest,,,,,,,
amedisys,amedisys,Organization,"[""Organization""]","[""Company"",""Business"",""Organisation"",""Agent"",""PublicCompany""]",https://en.wikipedia.org/wiki/Amedisys,Q4742102,http://dbpedia.org/resource/Amedisys,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Amedisys,logo_classes__https://en.wikipedia.org/wiki/Amedisys,true,Top candidate has similarity below 0.9,"Amedisys, Inc. is an American healthcare company based in Baton Rouge, Louisiana. They are one of the largest home health providers and second largest hospice care provider in the United States. Amedisys provides in-home skilled nursing, physical therapy, occupational therapy and speech language pathology, medical social work, home aides, and hospice and bereavement services, with 11 million patient care visits in 2011. Amedisys employs more than 21,000 individuals at more than 500 locations in 39 states and Washington, D.C.. In 2010, annual revenues were approximately $1.6 billion. Amedisys was ranked 999 on the Fortune 1000 in 2011.","[""http://commons.wikimedia.org/wiki/Special:FilePath/Amedisys.svg?width=300""]",[],http://www.amedisys.com,"[""amedisysinc""]"
americanairlines,americanairlines,Organization,"[""Organization""]","[""AircraftFleet""]",,Q21139577,,logo_classes,logo_classes,americanairlines,logo_classes__americanairlines,true,Top candidate has similarity below 0.9,fleet of Airbus A319/A320/A321 family airliners used by American Airlines,,,,
americanexpress,americanexpress,Organization,"[""Organization""]","[""GenericTopLevelDomain""]",,Q26980832,,logo_classes,logo_classes,americanexpress,logo_classes__americanexpress,,,generic top-level Internet domain,,,,
