name,type,labels,type_list,rowIndex,file_source,data_source,source_identifier,global_identifier,Class,Company,CompanyParent,ExampleImage,Visual,RecommendedThreshold,Index,VolumePerDay,AmendedThreshold
3m,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",1,logo_classes,logo_classes,https://en.wikipedia.org/wiki/3M_nv_2cbfd721bc172f74461bb9b0ef20d17a,logo_classes__2cbfd721bc172f74461bb9b0ef20d17a,3m,3m,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/3m.jpg,,0.9,1,,
Minnesota Mining and Manufacturing Company,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/3M_nv_344119d2ed2cb4143ae670d7a86ec79d,logo_classes__344119d2ed2cb4143ae670d7a86ec79d,Minnesota Mining and Manufacturing Company,,,,,,,,
3M Company,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/3M_nv_7f662cb57e8ca8dabd162b24dc69e86b,logo_classes__7f662cb57e8ca8dabd162b24dc69e86b,3M Company,,,,,,,,
Minnesota Mining and Manufacturing,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/3M_nv_9c273488b07d5da30380030dbf57f060,logo_classes__9c273488b07d5da30380030dbf57f060,Minnesota Mining and Manufacturing,,,,,,,,
7eleven,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",2,logo_classes,logo_classes,https://en.wikipedia.org/wiki/7-Eleven_nv_b0250d52de04ada103ca2dc85455c955,logo_classes__b0250d52de04ada103ca2dc85455c955,7eleven,7eleven,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/7eleven.png,,0.5,355,,
"7-Eleven, Inc.",NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/7-Eleven_nv_acffff4a81d5d4a3fd04f11274317bd4,logo_classes__acffff4a81d5d4a3fd04f11274317bd4,"7-Eleven, Inc.",,,,,,,,
abbvie,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",3,logo_classes,logo_classes,abbvie_nv_811d82f114c10225fee8cc78fc837aaa,logo_classes__811d82f114c10225fee8cc78fc837aaa,abbvie,abbvie,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/abbvie.webp,,0.7,371,,
dot abbvie,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,abbvie_nv_ed4a3d62d79717d4901d8f4768e4e319,logo_classes__ed4a3d62d79717d4901d8f4768e4e319,dot abbvie,,,,,,,,
abus,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",4,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Arbutus_Biopharma_nv_f3019e87351ea51afc4b0f6673f5dba3,logo_classes__f3019e87351ea51afc4b0f6673f5dba3,abus,abus,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/abus.jpg,,0.9,2,,
Arbutus Biopharma,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/Arbutus_Biopharma_nv_e119030688a33ec1ca7d8ffcf2863bea,logo_classes__e119030688a33ec1ca7d8ffcf2863bea,Arbutus Biopharma,,,,,,,,
Tekmira Pharmaceuticals,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/Arbutus_Biopharma_nv_f6ff4fd47329101ec20fc48b1000b92d,logo_classes__f6ff4fd47329101ec20fc48b1000b92d,Tekmira Pharmaceuticals,,,,,,,,
accenture,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",5,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Accenture_nv_328fa8a8bcaeda3ebd1e0ee89d274b2d,logo_classes__328fa8a8bcaeda3ebd1e0ee89d274b2d,accenture,accenture,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/accenture.jpg,,0.6,3,,
adidas,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",6,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Adidas_nv_983c7915a871ab393ea4a75ca4f35727,logo_classes__983c7915a871ab393ea4a75ca4f35727,adidas,adidas,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/adidas.jpg,,0.6,4,,
Adidas AG,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/Adidas_nv_19cc13b52cc63efc7167190972d401b4,logo_classes__19cc13b52cc63efc7167190972d401b4,Adidas AG,,,,,,,,
aflac,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",9,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Aflac_nv_0d4c1703895a9d88477f99496be549df,logo_classes__0d4c1703895a9d88477f99496be549df,aflac,aflac,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/aflac.png,,0.71,384,,
American Family Life Assurance Company,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/Aflac_nv_e478b3dce4b4d58ca01907f6fc357d11,logo_classes__e478b3dce4b4d58ca01907f6fc357d11,American Family Life Assurance Company,,,,,,,,
airhawk,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",10,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Airhawk_nv_6b2489e097beee6f861c5ca74f9823b5,logo_classes__6b2489e097beee6f861c5ca74f9823b5,airhawk,airhawk,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/airhawk.jpg,,0.6,7,,
airness,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",11,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Airness_nv_23c19de44b85c9a839119ad3aac06b50,logo_classes__23c19de44b85c9a839119ad3aac06b50,airness,airness,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/airness.jpg,,NA,8,,
aldi,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",12,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Aldi_nv_5719693c4637ffcb8366ddce19dda820,logo_classes__5719693c4637ffcb8366ddce19dda820,aldi,aldi,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/aldi.jpg,,0.5,9,,
Aldi Stores,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/Aldi_nv_eb46595346adde1531fd03d8d5bf576c,logo_classes__eb46595346adde1531fd03d8d5bf576c,Aldi Stores,,,,,,,,
alfaromeo,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",14,logo_classes,logo_classes,alfaromeo_nv_d334f36564eb1bf3491881ab199f2823,logo_classes__d334f36564eb1bf3491881ab199f2823,alfaromeo,alfaromeo,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/alfaromeo.jpg,,0.5,11,,
allett,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",15,logo_classes,logo_classes,allett_nv_a990561d1e83ee71d9a99d3c501ec02c,logo_classes__a990561d1e83ee71d9a99d3c501ec02c,allett,allett,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/allett.jpg,,NA,12,,
allianz,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",16,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Allianz_nv_8cd40cd2cd97072994d3fb7b9239c59d,logo_classes__8cd40cd2cd97072994d3fb7b9239c59d,allianz,allianz,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/allianz.jpg,,0.55,13,,
Allianz SE,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/Allianz_nv_cea856f872581f3683c3cdbe4e2225db,logo_classes__cea856f872581f3683c3cdbe4e2225db,Allianz SE,,,,,,,,
allstate,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",18,logo_classes,logo_classes,allstate_nv_b38916f8fa05cd3959ae86b6027af49f,logo_classes__b38916f8fa05cd3959ae86b6027af49f,allstate,allstate,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/allstate.jpeg,,0.8,430,,
dot allstate,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,allstate_nv_8fe865c87d6d9c098c5a044298fce2bc,logo_classes__8fe865c87d6d9c098c5a044298fce2bc,dot allstate,,,,,,,,
altria,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",20,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Altria_nv_00fc197831e37a2ba17397d7f30565e2,logo_classes__00fc197831e37a2ba17397d7f30565e2,altria,altria,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/altria.png,,0.8,429,,
"Altria Group, Inc.",NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/Altria_nv_5b4cfa4ab128697431513c52376e7096,logo_classes__5b4cfa4ab128697431513c52376e7096,"Altria Group, Inc.",,,,,,,,
Philip Morris Companies,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/Altria_nv_7d064c89862e81f9b13d332c7b56f1de,logo_classes__7d064c89862e81f9b13d332c7b56f1de,Philip Morris Companies,,,,,,,,
Philip Morris Companies Inc.,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/Altria_nv_6bd8fe54ea60adaee3a6cc9df8fd58b0,logo_classes__6bd8fe54ea60adaee3a6cc9df8fd58b0,Philip Morris Companies Inc.,,,,,,,,
aluratek,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",21,logo_classes,logo_classes,aluratek_nv_396d387a8297923893834d34279a3985,logo_classes__396d387a8297923893834d34279a3985,aluratek,aluratek,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/aluratek.jpg,,0.7,15,,
amazon,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",23,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Amazon_(chess)_nv_3671d887b0938d992edbf2cab5e016e1,logo_classes__3671d887b0938d992edbf2cab5e016e1,amazon,amazon,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/amazon.jpg,,0.5,17,,
queen-knight compound,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/Amazon_(chess)_nv_b87c118732784b843cda1b0cb7b287b5,logo_classes__b87c118732784b843cda1b0cb7b287b5,queen-knight compound,,,,,,,,
Elephant,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/Amazon_(chess)_nv_b214478c1cabb0e322ec2270af15a588,logo_classes__b214478c1cabb0e322ec2270af15a588,Elephant,,,,,,,,
Superqueen,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/Amazon_(chess)_nv_d2cb1f6ae31c1d4d1aea1c6896f044d4,logo_classes__d2cb1f6ae31c1d4d1aea1c6896f044d4,Superqueen,,,,,,,,
amcrest,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",24,logo_classes,logo_classes,amcrest_nv_bc593ef61584756e671527d4c28d880f,logo_classes__bc593ef61584756e671527d4c28d880f,amcrest,amcrest,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/amcrest.jpg,,0.7,18,,
amedisys,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",26,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Amedisys_nv_0b67b5d2b5624fb79b81a6c6ec09d214,logo_classes__0b67b5d2b5624fb79b81a6c6ec09d214,amedisys,amedisys,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/amedisys.png,,0.6,386,,
Amedisys Home Health and Hospice Care,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,https://en.wikipedia.org/wiki/Amedisys_nv_f04723205278513385af964f4cdbc82c,logo_classes__f04723205278513385af964f4cdbc82c,Amedisys Home Health and Hospice Care,,,,,,,,
americanairlines,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",27,logo_classes,logo_classes,americanairlines_nv_7fe2368c1fbccced0c1530ef19a9b404,logo_classes__7fe2368c1fbccced0c1530ef19a9b404,americanairlines,americanairlines,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/americanairlines.jpg,,0.5,359,,0.65
American Airlines A320 family fleet,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,americanairlines_nv_4b3102bddb8df93d6e0ba0184b3881c3,logo_classes__4b3102bddb8df93d6e0ba0184b3881c3,American Airlines A320 family fleet,,,,,,,,
a320americanairlines,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,americanairlines_nv_9a7d6b51ac1f28955e3a06b405ffdfd8,logo_classes__9a7d6b51ac1f28955e3a06b405ffdfd8,a320americanairlines,,,,,,,,
a320aa,NameVariant,"[""NameVariant""]","[""NameVariant""]",-1,external,logo_classes,americanairlines_nv_661a331912925fc93930db9ce57e3951,logo_classes__661a331912925fc93930db9ce57e3951,a320aa,,,,,,,,
americanexpress,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",28,logo_classes,logo_classes,americanexpress_nv_8af55d39ef8db5a643b5739517898b62,logo_classes__8af55d39ef8db5a643b5739517898b62,americanexpress,americanexpress,,https://logo500.s3.us-east-2.amazonaws.com/exemplars/americanexpress.jpg,,0.63,20,,
amgen,Caption,"[""NameVariant"",""Caption""]","[""NameVariant"",""Caption""]",31,logo_classes,logo_classes,https://en.wikipedia.org/wiki/Amgen_nv_aad2621fe32a832a7a37458656f10e8a,logo_classes__aad2621fe32a832a7a37458656f10e8a,amgen,amgen,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Amgen.svg/1200px-Amgen.svg.png,,0.78,387,,
