keyword,caption_name,type,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
cristiano,Cristiano Ronaldo,Celebrity,general.alert4,Celebrity,Cristiano Ronaldo,,Celeb_Mentioner,4ba3e34a0c204bf8f381e06a9ca09ad9,Celeb_Mentioner__4ba3e34a0c204bf8f381e06a9ca09ad9
neymarjr,Neymar,Celebrity,general.alert4,Celebrity,Neymar,,Celeb_Mentioner,0b4b53cec1abaf9da1f5daf5dbd68449,Celeb_Mentioner__0b4b53cec1abaf9da1f5daf5dbd68449
imvkohli,Indian cricket captain Virat Kohli,Celebrity,general.alert4,Celebrity,Indian cricket captain Virat Kohli,,Celeb_Mentioner,ea11d7fdaf99bd9bc5f0168580ee44f5,Celeb_Mentioner__ea11d7fdaf99bd9bc5f0168580ee44f5
sachin_rt,Former Indian cricket captain Sachin Tendulkar,Celebrity,general.alert4,Celebrity,Former Indian cricket captain Sachin Tendulkar,,Celeb_Mentioner,679cc371bc7381fe1dd852df34d1dae9,Celeb_Mentioner__679cc371bc7381fe1dd852df34d1dae9
kaka,Brazilian former soccer player Kaka,Celebrity,general.alert4,Celebrity,Brazilian former soccer player Kaka,,Celeb_Mentioner,753a5d874bd7535d46cf8e314f056a31,Celeb_Mentioner__753a5d874bd7535d46cf8e314f056a31
mesutozil1088,Fenerbahce player Mesut Ozil,Celebrity,general.alert4,Celebrity,Fenerbahce player Mesut Ozil,,Celeb_Mentioner,21b44d009c7c9778d2951bd04edd0927,Celeb_Mentioner__21b44d009c7c9778d2951bd04edd0927
andresiniesta8,Vissel Kobe player Andres Iniesta,Celebrity,general.alert4,Celebrity,Vissel Kobe player Andres Iniesta,,Celeb_Mentioner,984d84aa13b64cbdcc20af57cf1e22bf,Celeb_Mentioner__984d84aa13b64cbdcc20af57cf1e22bf
virendersehwag,Indian former cricket player Virender Sehwag,Celebrity,general.alert4,Celebrity,Indian former cricket player Virender Sehwag,,Celeb_Mentioner,95e5f77f9b11cf15f45484b78755bf6d,Celeb_Mentioner__95e5f77f9b11cf15f45484b78755bf6d
10ronaldinho,Former Brazilian soccer player Ronaldinho,Celebrity,general.alert4,Celebrity,Former Brazilian soccer player Ronaldinho,,Celeb_Mentioner,96693b2b3afe161f8f594be5ac107362,Celeb_Mentioner__96693b2b3afe161f8f594be5ac107362
3gerardpique,FC Barcelona player Gerard Pique,Celebrity,general.alert4,Celebrity,FC Barcelona player Gerard Pique,,Celeb_Mentioner,07bc77ff19a9ba4c37405e0cfd0c7188,Celeb_Mentioner__07bc77ff19a9ba4c37405e0cfd0c7188
jamesdrodriguez,Everton player James Rodriguez,Celebrity,general.alert4,Celebrity,Everton player James Rodriguez,,Celeb_Mentioner,69031e82b4531f95fb8e303052403e1a,Celeb_Mentioner__69031e82b4531f95fb8e303052403e1a
sergioramos,Real Madrid player Sergio Ramos,Celebrity,general.alert4,Celebrity,Real Madrid player Sergio Ramos,,Celeb_Mentioner,e68e5e7b6c6dbf8f2ebd80f136b0ddb3,Celeb_Mentioner__e68e5e7b6c6dbf8f2ebd80f136b0ddb3
falcao,Galatasaray player Radamel Falcao,Celebrity,general.alert4,Celebrity,Galatasaray player Radamel Falcao,,Celeb_Mentioner,23edc8d919aa84e2c0249d11f06befa6,Celeb_Mentioner__23edc8d919aa84e2c0249d11f06befa6
waynerooney,Darby County manager Wayne Rooney,Celebrity,general.alert4,Celebrity,Darby County manager Wayne Rooney,,Celeb_Mentioner,b3476b2a715a077828ba94364c3f6a49,Celeb_Mentioner__b3476b2a715a077828ba94364c3f6a49
luissuarez9,Atletico Madrid player Luis Suarez,Celebrity,general.alert4,Celebrity,Atletico Madrid player Luis Suarez,,Celeb_Mentioner,e2325f87181f688085907048cd770d60,Celeb_Mentioner__e2325f87181f688085907048cd770d60
rafaelnadal,Rafa Nadal,Celebrity,general.alert4,Celebrity,Rafa Nadal,,Celeb_Mentioner,4897899cd8bef34273cddcebf9d9d5e6,Celeb_Mentioner__4897899cd8bef34273cddcebf9d9d5e6
shaq,Shaquille O'Neal,Celebrity,general.alert4,Celebrity,Shaquille O'Neal,,Celeb_Mentioner,596a2939cc1dc7d6abb91afb5df1488a,Celeb_Mentioner__596a2939cc1dc7d6abb91afb5df1488a
kobebryant,Kobe Bryant,Celebrity,general.alert4,Celebrity,Kobe Bryant,,Celeb_Mentioner,bb74e5f5454254972b7db9e4bd6e37c1,Celeb_Mentioner__bb74e5f5454254972b7db9e4bd6e37c1
johncena,John Cena,Celebrity,general.alert4,Celebrity,John Cena,,Celeb_Mentioner,107f995b277b862877d87a09c3008c44,Celeb_Mentioner__107f995b277b862877d87a09c3008c44
rogerfederer,Roger Federer,Celebrity,general.alert4,Celebrity,Roger Federer,,Celeb_Mentioner,60cf0f390cd7a917ff011b6049baf6ee,Celeb_Mentioner__60cf0f390cd7a917ff011b6049baf6ee
benzema,Real Madrid player Karim Benzema,Celebrity,general.alert4,Celebrity,Real Madrid player Karim Benzema,,Celeb_Mentioner,0f09bbaf25ba748cc22fdca97de11c30,Celeb_Mentioner__0f09bbaf25ba748cc22fdca97de11c30
marcelom12,Real Madrid player Marcelo,Celebrity,general.alert4,Celebrity,Real Madrid player Marcelo,,Celeb_Mentioner,e3a86fc9f2285c102dc82f72aefc8820,Celeb_Mentioner__e3a86fc9f2285c102dc82f72aefc8820
carles5puyol,Former Spanish soccer player Carles Puyol,Celebrity,general.alert4,Celebrity,Former Spanish soccer player Carles Puyol,,Celeb_Mentioner,222efdd2125dade983ea34e88c7adafc,Celeb_Mentioner__222efdd2125dade983ea34e88c7adafc
icc,International Cricket Council,Celebrity,general.alert4,Celebrity,International Cricket Council,,Celeb_Mentioner,0849b90e09637a99688a47301f526362,Celeb_Mentioner__0849b90e09637a99688a47301f526362
xabialonso,Vissel Kobe player Xabi Alonso,Celebrity,general.alert4,Celebrity,Vissel Kobe player Xabi Alonso,,Celeb_Mentioner,c003328aacea34fa132e381268d72134,Celeb_Mentioner__c003328aacea34fa132e381268d72134
gautamgambhir,Indian MP Gautam Gambhir,Celebrity,general.alert4,Celebrity,Indian MP Gautam Gambhir,,Celeb_Mentioner,ae9633f8102cbe7f6c350c49c79152d3,Celeb_Mentioner__ae9633f8102cbe7f6c350c49c79152d3
harbhajan_singh,Indian cricket player Harbhajan Singh,Celebrity,general.alert4,Celebrity,Indian cricket player Harbhajan Singh,,Celeb_Mentioner,2b9c6f37bf5b2a94f71346afa09a5fcc,Celeb_Mentioner__2b9c6f37bf5b2a94f71346afa09a5fcc
rioferdy5,Former English soccer player Rio Ferdinand,Celebrity,general.alert4,Celebrity,Former English soccer player Rio Ferdinand,,Celeb_Mentioner,288ea8c345b2799cb9b49f1e72f0fb1f,Celeb_Mentioner__288ea8c345b2799cb9b49f1e72f0fb1f
serenawilliams,Serena Williams,Celebrity,general.alert4,Celebrity,Serena Williams,,Celeb_Mentioner,2b9bac755c32b4d3fe52dc462ffd2ac0,Celeb_Mentioner__2b9bac755c32b4d3fe52dc462ffd2ac0
ashwinravi99,Indian cricket player Ravichandran Ashwin,Celebrity,general.alert4,Celebrity,Indian cricket player Ravichandran Ashwin,,Celeb_Mentioner,82ac39487cb261ddeb93242d131c0000,Celeb_Mentioner__82ac39487cb261ddeb93242d131c0000
