company,GUID,caption name,exactcheck,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
brookshire grocery company,feb6bf7a1d9be9bd5e5f9123d8a38045,Brookshire Grocery Company,,Organization,Brookshire Grocery Company,,CrunchbaseFunding_CompanyMapping,cb0b6ac32ab51c8ae8e56e30b5cdeb10,CrunchbaseFunding_CompanyMapping__cb0b6ac32ab51c8ae8e56e30b5cdeb10
sprint,000cc2b6ec2ef98f144c7aa891fd55f4,Sprint,,Pipeline,Sprint,,CrunchbaseFunding_CompanyMapping,ffc3dc096e3578a9474b7976953f0ef9,CrunchbaseFunding_CompanyMapping__ffc3dc096e3578a9474b7976953f0ef9
t mobile,003a9b1316daa8730552228666cd4ec4,T-Mobile,,ForeignMinistry,T-Mobile,,CrunchbaseFunding_CompanyMapping,efa9b6da1d88f66e4674c75bb1a6caaf,CrunchbaseFunding_CompanyMapping__efa9b6da1d88f66e4674c75bb1a6caaf
tmobile,003a9b1316daa8730552228666cd4ec4,T-Mobile,,Consulates,T-Mobile,,CrunchbaseFunding_CompanyMapping,efa9b6da1d88f66e4674c75bb1a6caaf,CrunchbaseFunding_CompanyMapping__efa9b6da1d88f66e4674c75bb1a6caaf
vattenfall,0063d08b0ebdbd360e972ba69fc5eb90,Vattenfall,,DiplomaticFacilities,Vattenfall,,CrunchbaseFunding_CompanyMapping,54c88fd311079a5b6e38a0f0480b728e,CrunchbaseFunding_CompanyMapping__54c88fd311079a5b6e38a0f0480b728e
axalta,00c810b4cd9910f366999eed86c7ad94,Axalta,,FTO,Axalta,,CrunchbaseFunding_CompanyMapping,de392e2c5a22ba42e9d459b6c47492cc,CrunchbaseFunding_CompanyMapping__de392e2c5a22ba42e9d459b6c47492cc
vuzix,00e62327312dc705cff554c38d2a7579,Vuzix,,Keyphrase,Vuzix,,CrunchbaseFunding_CompanyMapping,0e5d4e5e2dcc427b13b0615fca11e639,CrunchbaseFunding_CompanyMapping__0e5d4e5e2dcc427b13b0615fca11e639
huawei,00fb0aa15ef83059804de97160bc5d9f,Huawei,,IndustryTerm,Huawei,,CrunchbaseFunding_CompanyMapping,eac079129ff6113df29219864380f455,CrunchbaseFunding_CompanyMapping__eac079129ff6113df29219864380f455
buffalo wild wings,020cce34368d045922c32ff4a1ac63dc,Buffalo Wild Wings,,Keyphrase,Buffalo Wild Wings,,CrunchbaseFunding_CompanyMapping,df431b20f1fd793e2e09fd15c92c5b2f,CrunchbaseFunding_CompanyMapping__df431b20f1fd793e2e09fd15c92c5b2f
coca-cola,029b8626847fdc22ef1f0684a4fb2300,Coca-Cola,,FTO,Coca-Cola,,CrunchbaseFunding_CompanyMapping,916a17d53dff7bbd06635fac294e86eb,CrunchbaseFunding_CompanyMapping__916a17d53dff7bbd06635fac294e86eb
amerisourcebergen,02bb70447de9693f04485333ef4b4798,AmerisourceBergen,,FTO,AmerisourceBergen,,CrunchbaseFunding_CompanyMapping,4a87a02c83db61627c2c052e25e2ac1c,CrunchbaseFunding_CompanyMapping__4a87a02c83db61627c2c052e25e2ac1c
anz bank,0363c8711ca6883c7d1c908520210f61,ANZ Bank,,Consulates,ANZ Bank,,CrunchbaseFunding_CompanyMapping,0a44bf0a7ac2dd34263ac8fe6f1e5ca9,CrunchbaseFunding_CompanyMapping__0a44bf0a7ac2dd34263ac8fe6f1e5ca9
carnival,03b5a3ccd7d899254a9f250e3f935207,Carnival,,Person,Carnival,,CrunchbaseFunding_CompanyMapping,95291ace058cd20bdd65665944d9e671,CrunchbaseFunding_CompanyMapping__95291ace058cd20bdd65665944d9e671
kimberly clark,03c02166ce6a0a2a586a1a187cc6f2f0,Kimberly Clark,,Diplomat,Kimberly Clark,,CrunchbaseFunding_CompanyMapping,3da32bd2809defe6f2e2bb8e29eef345,CrunchbaseFunding_CompanyMapping__3da32bd2809defe6f2e2bb8e29eef345
cps energy,04c99c27760fdda2fc18b3b58c950f60,CPS Energy,,Keyphrase,CPS Energy,,CrunchbaseFunding_CompanyMapping,ed126362f4674918da70ec974a35989f,CrunchbaseFunding_CompanyMapping__ed126362f4674918da70ec974a35989f
burberry,04d198d7d4f14e412c2639b980e1ac31,Burberry,,CompanyKeyword,Burberry,,CrunchbaseFunding_CompanyMapping,4476771a6c90eeeec43dd09d7c6d1eea,CrunchbaseFunding_CompanyMapping__4476771a6c90eeeec43dd09d7c6d1eea
alexion pharmaceuticals,0561c22457ce25c15c5251b4100d79e7,Alexion Pharmaceuticals,,Organization,Alexion Pharmaceuticals,,CrunchbaseFunding_CompanyMapping,d704a832f6a812950e2e502282ae05a3,CrunchbaseFunding_CompanyMapping__d704a832f6a812950e2e502282ae05a3
wipro,06f83a3ade31d8af1ad177bf4c1d41d2,Wipro Limited,,FTO,Wipro Limited,,CrunchbaseFunding_CompanyMapping,771e01e62739433f9b11031c92890dac,CrunchbaseFunding_CompanyMapping__771e01e62739433f9b11031c92890dac
bmc,09c7363f4201d96ad060d555c40cc1e9,BMC,,Diplomat,BMC,,CrunchbaseFunding_CompanyMapping,396262ee936f3d3e26ff0e60bea6cae0,CrunchbaseFunding_CompanyMapping__396262ee936f3d3e26ff0e60bea6cae0
amc theatres,0a055ff50c220beaed96b10728337ad1,AMC Theatres,,Organization,AMC Theatres,,CrunchbaseFunding_CompanyMapping,fd785a45c257e764af1b24c39bc17060,CrunchbaseFunding_CompanyMapping__fd785a45c257e764af1b24c39bc17060
amd,0a35837255a92fa6950dd8c35bf2eede,Advanced Micro Devices,,DiplomaticFacilities,Advanced Micro Devices,,CrunchbaseFunding_CompanyMapping,18ac368cbb6ed677f8c934350d8acf7b,CrunchbaseFunding_CompanyMapping__18ac368cbb6ed677f8c934350d8acf7b
fannie mae,0a38a68d321bb5bc1561ff025d61f571,Fannie Mae,,FTO,Fannie Mae,,CrunchbaseFunding_CompanyMapping,49016693e432f70f8e8de8490cb9ba5f,CrunchbaseFunding_CompanyMapping__49016693e432f70f8e8de8490cb9ba5f
sprint,0a7729d148f8a78440681f0f261f2021,Sprint,,DiplomaticFacilities,Sprint,,CrunchbaseFunding_CompanyMapping,ffc3dc096e3578a9474b7976953f0ef9,CrunchbaseFunding_CompanyMapping__ffc3dc096e3578a9474b7976953f0ef9
qorvo,0a818c7d7194d2b5b0ec921063aa0d14,Qorvo,,Shipping,Qorvo,,CrunchbaseFunding_CompanyMapping,7f833077d6e9efd0ffb111391f6b7619,CrunchbaseFunding_CompanyMapping__7f833077d6e9efd0ffb111391f6b7619
palo alto networks,0a83692ffa77e3b43873fb69088cc890,Palo Alto Networks,,ForeignMinistry,Palo Alto Networks,,CrunchbaseFunding_CompanyMapping,e6f06fa461bc66fc445c237d2e7d9ed7,CrunchbaseFunding_CompanyMapping__e6f06fa461bc66fc445c237d2e7d9ed7
flex,0ab96b33d67cca9bf81b86ffb927c42f,Flex,,ForeignMinistry,Flex,,CrunchbaseFunding_CompanyMapping,09d2bd168181f1e64c2b1651a80a8aa8,CrunchbaseFunding_CompanyMapping__09d2bd168181f1e64c2b1651a80a8aa8
hilton,0af4c9915ef92f2bac32cf75af1acc8f,Hilton,,News,Hilton,,CrunchbaseFunding_CompanyMapping,c45d1d2d1d491ce1dec8577d17ab0a16,CrunchbaseFunding_CompanyMapping__c45d1d2d1d491ce1dec8577d17ab0a16
