fund_type,formatted,caption_message,caption_template,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
pre_seed,pre-seed,pre-seed,general,Consulates,pre-seed,,Crunchbase_FundType,77bb5c8d967413efdb0041fdd96a7b5b,Crunchbase_FundType__77bb5c8d967413efdb0041fdd96a7b5b
seed,seed,seed,general,Media,seed,,Crunchbase_FundType,fe4c0f30aa359c41d9f9a5f69c8c4192,Crunchbase_FundType__fe4c0f30aa359c41d9f9a5f69c8c4192
angel,angel,angel,general,LegislativeCommittee,angel,,Crunchbase_FundType,f4f068e71e0d87bf0ad51e6214ab84e9,Crunchbase_FundType__f4f068e71e0d87bf0ad51e6214ab84e9
equity_crowdfunding,equity crowdfunding,equity crowdfunding,general,Organization,equity crowdfunding,,Crunchbase_FundType,c6001124ee39af96f66ea268bde638cb,Crunchbase_FundType__c6001124ee39af96f66ea268bde638cb
product_crowdfunding,Product Crowdfunding,,Type 2,Consulates,,,Crunchbase_FundType,d41d8cd98f00b204e9800998ecf8427e,Crunchbase_FundType__d41d8cd98f00b204e9800998ecf8427e
private_equity,private equity,private equity,general,LegislativeCommittee,private equity,,Crunchbase_FundType,8d6bab55074f7d2eb8e03feda1258598,Crunchbase_FundType__8d6bab55074f7d2eb8e03feda1258598
convertible_note,Convertible Note,convertible note,one-off,DiplomaticFacilities,convertible note,,Crunchbase_FundType,1a129815bd75f8b27182f9a490131a74,Crunchbase_FundType__1a129815bd75f8b27182f9a490131a74
debt_financing,debt financing,debt financing,general,CompanyKeyword,debt financing,,Crunchbase_FundType,c769c3bd6c7b8118762ee79970e539a8,Crunchbase_FundType__c769c3bd6c7b8118762ee79970e539a8
secondary_market,secondary market,secondary market,general,Keyphrase,secondary market,,Crunchbase_FundType,f7f1b414bc7ac7e9ad083ca9bce0c9e5,Crunchbase_FundType__f7f1b414bc7ac7e9ad083ca9bce0c9e5
grant,Grant,grant,one-off,Shipping,grant,,Crunchbase_FundType,64fad28965d003cde964ea3016e257a3,Crunchbase_FundType__64fad28965d003cde964ea3016e257a3
non_equity_assistance,Non-Equity Assistance,non-equity assistance,one-off,AAEntity,non-equity assistance,,Crunchbase_FundType,33f9771bd69e1dc3af945da2a6016404,Crunchbase_FundType__33f9771bd69e1dc3af945da2a6016404
undisclosed,Undisclosed,,Type 2,Refinery,,,Crunchbase_FundType,d41d8cd98f00b204e9800998ecf8427e,Crunchbase_FundType__d41d8cd98f00b204e9800998ecf8427e
corporate_round,Corporate Round,,Type 2,Consulates,,,Crunchbase_FundType,d41d8cd98f00b204e9800998ecf8427e,Crunchbase_FundType__d41d8cd98f00b204e9800998ecf8427e
initial_coin_offering,Initial Coin Offering,initial coin offering,one-off,Diplomat,initial coin offering,,Crunchbase_FundType,305adfe5840565557217ae9792e2d3fa,Crunchbase_FundType__305adfe5840565557217ae9792e2d3fa
post_ipo_equity,post-ipo equity,post-ipo equity,general,AAEntity,post-ipo equity,,Crunchbase_FundType,89aeb78d6a3726232e38355d005988f9,Crunchbase_FundType__89aeb78d6a3726232e38355d005988f9
post_ipo_debt,post-ipo debt,post-ipo debt,general,ForeignMinistry,post-ipo debt,,Crunchbase_FundType,9da632a9bfd728c7bf09be25e3ce822e,Crunchbase_FundType__9da632a9bfd728c7bf09be25e3ce822e
post_ipo_secondary,post-ipo secondary,post-ipo secondary,general,space,post-ipo secondary,,Crunchbase_FundType,5ec0e46819afa277274e8fb4ed1f8d71,Crunchbase_FundType__5ec0e46819afa277274e8fb4ed1f8d71
series_a,Series A,Series A,general,ForeignMinistry,Series A,,Crunchbase_FundType,ded6f33bf870bf0a5f68cd3f8cdc90da,Crunchbase_FundType__ded6f33bf870bf0a5f68cd3f8cdc90da
series_b,Series B,Series B,general,Consulates,Series B,,Crunchbase_FundType,9618d03975e71a3271f909902697cc0f,Crunchbase_FundType__9618d03975e71a3271f909902697cc0f
series_c,Series C,Series C,general,Diplomat,Series C,,Crunchbase_FundType,cfe52a28a5c9c436786cb33ab77982ae,Crunchbase_FundType__cfe52a28a5c9c436786cb33ab77982ae
series_d,Series D,Series D,general,Exec,Series D,,Crunchbase_FundType,470ae469115cf38231212fa5f37e53b9,Crunchbase_FundType__470ae469115cf38231212fa5f37e53b9
series_e,Series E,Series E,general,LegislativeCommittee,Series E,,Crunchbase_FundType,edb4703d9415248d6a3ed92cd778a27c,Crunchbase_FundType__edb4703d9415248d6a3ed92cd778a27c
series_f,Series F,Series F,general,space,Series F,,Crunchbase_FundType,8017efa9b61f5d8bef93e6b8a7cd24f0,Crunchbase_FundType__8017efa9b61f5d8bef93e6b8a7cd24f0
series_g,Series G,Series G,general,FTO,Series G,,Crunchbase_FundType,623d2bf10bfdddaaa97a471396922ed6,Crunchbase_FundType__623d2bf10bfdddaaa97a471396922ed6
series_h,Series H,Series H,general,Wells,Series H,,Crunchbase_FundType,2881d9dcaacdc10dff26f5a756d62947,Crunchbase_FundType__2881d9dcaacdc10dff26f5a756d62947
series_i,Series I,Series I,general,DiplomaticFacilities,Series I,,Crunchbase_FundType,f9f4511b28d8e606c8da6a079ec3cd44,Crunchbase_FundType__f9f4511b28d8e606c8da6a079ec3cd44
series_j,Series J,Series J,general,Exec,Series J,,Crunchbase_FundType,1fa14c8ce39e0591697f7b64f529a7b7,Crunchbase_FundType__1fa14c8ce39e0591697f7b64f529a7b7
series_unknown,Venture - Series Unknown,,Type 2,ForeignMinistry,,,Crunchbase_FundType,d41d8cd98f00b204e9800998ecf8427e,Crunchbase_FundType__d41d8cd98f00b204e9800998ecf8427e
