keyword,keyword_upper,caption_name,location,location_lower,location (state),type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
new york city police department,New York City Police Department,New York City Police Department,NYC,nyc,,PoliceDept,,188120,3140002,Policedept,New York City Police Department,,EO_Mentionee,9ae746eee49ecd9624951759b504ed39,EO_Mentionee__9ae746eee49ecd9624951759b504ed39
nypdnews,NYPDNews,New York City Police Department,NYC,nyc,,PoliceDept,,188120,3140002,Policedept,New York City Police Department,,EO_Mentionee,f8a61ac18c96a12563ce4e595d775a56,EO_Mentionee__f8a61ac18c96a12563ce4e595d775a56
nypd,NYPD,New York City Police Department,NYC,nyc,,PoliceDept,,188120,3140002,Policedept,New York City Police Department,,EO_Mentionee,ab1a7eb7ba4cc69480f7b0a40b8993d9,EO_Mentionee__ab1a7eb7ba4cc69480f7b0a40b8993d9
los angeles police department,Los Angeles Police Department,Los Angeles Police Department,Los Angeles,los angeles,,PoliceDept,,188120,3140002,Policedept,Los Angeles Police Department,,EO_Mentionee,e2e8c5547ae2e221d0487f8deb1f4fd2,EO_Mentionee__e2e8c5547ae2e221d0487f8deb1f4fd2
lapd,LAPD,Los Angeles Police Department,Los Angeles,los angeles,,PoliceDept,,188120,3140002,Policedept,Los Angeles Police Department,,EO_Mentionee,358e08f2cedd3a6cd59cce406e1ecce9,EO_Mentionee__358e08f2cedd3a6cd59cce406e1ecce9
lapdhq,LAPDHQ,Los Angeles Police Department,Los Angeles,los angeles,,PoliceDept,,188120,3140002,Policedept,Los Angeles Police Department,,EO_Mentionee,3d787d83715d2b06ccb60dcfbb873878,EO_Mentionee__3d787d83715d2b06ccb60dcfbb873878
dc mpd,DC MPD,"Washington, DC Metropolitan Police Department",DC,dc,,PoliceDept,,188120,3140002,Policedept,"Washington, DC Metropolitan Police Department",,EO_Mentionee,1576e44e7e4f95a169d575433935cdcf,EO_Mentionee__1576e44e7e4f95a169d575433935cdcf
metropolitan police department of the district of columbia,Metropolitan Police Department of the District of Columbia,"Washington, DC Metropolitan Police Department",DC,dc,,PoliceDept,,188120,3140002,Policedept,"Washington, DC Metropolitan Police Department",,EO_Mentionee,bb07ceb7953a5755cb93a009f0ff4758,EO_Mentionee__bb07ceb7953a5755cb93a009f0ff4758
(mpd; dc),(MPD; DC),"Washington, DC Metropolitan Police Department",DC,dc,,PoliceDept,,188120,3140002,Policedept,"Washington, DC Metropolitan Police Department",,EO_Mentionee,bbccfcb176578ea45c68b3b3afab9bb4,EO_Mentionee__bbccfcb176578ea45c68b3b3afab9bb4
dcpolicedept,DCPoliceDept,"Washington, DC Metropolitan Police Department",DC,dc,,PoliceDept,,188120,3140002,Policedept,"Washington, DC Metropolitan Police Department",,EO_Mentionee,90ecefd5ed9dc574611e13df9d3d2af9,EO_Mentionee__90ecefd5ed9dc574611e13df9d3d2af9
dallas police department,Dallas Police Department,Dallas Police Department,Dallas,dallas,,PoliceDept,,188120,3140002,Policedept,Dallas Police Department,,EO_Mentionee,2b08c66cb2fbb60c4f650de8ce282aa3,EO_Mentionee__2b08c66cb2fbb60c4f650de8ce282aa3
(dpd; dallas),(DPD; dallas),Dallas Police Department,Dallas,dallas,,PoliceDept,,188120,3140002,Policedept,Dallas Police Department,,EO_Mentionee,8cc523f09654121e25188af1efeec238,EO_Mentionee__8cc523f09654121e25188af1efeec238
dallaspd,DallasPD,Dallas Police Department,Dallas,dallas,,PoliceDept,,188120,3140002,Policedept,Dallas Police Department,,EO_Mentionee,0858d529814244046e2fde3e1b167e67,EO_Mentionee__0858d529814244046e2fde3e1b167e67
houston police department,Houston Police Department,Houston Police Department,Houston,houston,,PoliceDept,,188120,3140002,Policedept,Houston Police Department,,EO_Mentionee,0fa289a7c7183ee693d2d190a4216fdd,EO_Mentionee__0fa289a7c7183ee693d2d190a4216fdd
hpd,HPD,Houston Police Department,Houston,houston,,PoliceDept,,188120,3140002,Policedept,Houston Police Department,,EO_Mentionee,7e75c88abceb85c736966399b06b9606,EO_Mentionee__7e75c88abceb85c736966399b06b9606
houstonpolice,houstonpolice,Houston Police Department,Houston,houston,,PoliceDept,,188120,3140002,Policedept,Houston Police Department,,EO_Mentionee,4bd39169195f0572e73776f9e63a6758,EO_Mentionee__4bd39169195f0572e73776f9e63a6758
miami police department,Miami Police Department,Miami Police Department,Miami,miami,,PoliceDept,,188120,3140002,Policedept,Miami Police Department,,EO_Mentionee,addb85e2a6d875e82ca4c450293d4b3d,EO_Mentionee__addb85e2a6d875e82ca4c450293d4b3d
miamipd,MiamiPD,Miami Police Department,Miami,miami,,PoliceDept,,188120,3140002,Policedept,Miami Police Department,,EO_Mentionee,5146a1be329d3e1c4849bc14fbef29b1,EO_Mentionee__5146a1be329d3e1c4849bc14fbef29b1
philly police department,Philly Police Department,Philadelphia Police Department,Philadelphia,philadelphia,,PoliceDept,,188120,3140002,Policedept,Philadelphia Police Department,,EO_Mentionee,10c7e7d01a8f18cfa387678ca9352305,EO_Mentionee__10c7e7d01a8f18cfa387678ca9352305
philadelphia police department,Philadelphia Police Department,Philadelphia Police Department,Philadelphia,philadelphia,,PoliceDept,,188120,3140002,Policedept,Philadelphia Police Department,,EO_Mentionee,6e84b5c84f1a077aa3f449f8c778c121,EO_Mentionee__6e84b5c84f1a077aa3f449f8c778c121
phillypolice,PhillyPolice,Philadelphia Police Department,Philadelphia,philadelphia,,PoliceDept,,188120,3140002,Policedept,Philadelphia Police Department,,EO_Mentionee,527fac746f8aa74237f766cdda89ac62,EO_Mentionee__527fac746f8aa74237f766cdda89ac62
detroit police department,Detroit Police Department,Detroit Police Department,Detroit,detroit,,PoliceDept,,188120,3140002,Policedept,Detroit Police Department,,EO_Mentionee,8c56f2071b0ef913737264d79b916c99,EO_Mentionee__8c56f2071b0ef913737264d79b916c99
(dpd; detroit),(dpd; detroit),Detroit Police Department,Detroit,detroit,,PoliceDept,,188120,3140002,Policedept,Detroit Police Department,,EO_Mentionee,f829d768af75d3f750f22ca8f498c32b,EO_Mentionee__f829d768af75d3f750f22ca8f498c32b
detroitpolice,detroitpolice,Detroit Police Department,Detroit,detroit,,PoliceDept,,188120,3140002,Policedept,Detroit Police Department,,EO_Mentionee,c0b18a213e85b4078f6c1cd3bffee550,EO_Mentionee__c0b18a213e85b4078f6c1cd3bffee550
atlanta police department,Atlanta Police Department,Atlanta Police Department,Atlanta,atlanta,,PoliceDept,,188120,3140002,Policedept,Atlanta Police Department,,EO_Mentionee,0eff5df59d14012bba6165c0a88040e0,EO_Mentionee__0eff5df59d14012bba6165c0a88040e0
atlanta_police,Atlanta_Police,Atlanta Police Department,Atlanta,atlanta,,PoliceDept,,188120,3140002,Policedept,Atlanta Police Department,,EO_Mentionee,9704104069fff8ff1546913b1a2eb6d0,EO_Mentionee__9704104069fff8ff1546913b1a2eb6d0
apd,APD,Atlanta Police Department,Atlanta,atlanta,,PoliceDept,,188120,3140002,Policedept,Atlanta Police Department,,EO_Mentionee,048fe38bf4b5b6eb4ec769159e2ebf92,EO_Mentionee__048fe38bf4b5b6eb4ec769159e2ebf92
