keyword,keyword_upper,caption_name,location_name,location_lower,location (state),type,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
margaret s. chin,Margaret S. Chin,NYC Councilmember Chin,NYC,nyc,,CityOfficial,general.alert4,Cityofficial,NYC Councilmember Chin,,EO_Mentioner,5769e029279fb85c61e627177c5af1a6,EO_Mentioner__e88d9ef16ec59ddd91a6f411a08df58f
carlina rivera,Carlina Rivera,NYC Councilmember Rivera,NYC,nyc,,CityOfficial,general.alert4,Cityofficial,NYC Councilmember Rivera,,EO_Mentioner,b6e7723ca0eb334e6b0508565a22f8a8,EO_Mentioner__6a151b602557687849259d1781ccf32d
corey johnson,Corey Johnson,NYC Councilmember Johnson,NYC,nyc,,CityOfficial,general.alert4,Cityofficial,NYC Councilmember Johnson,,EO_Mentioner,7e345b3b5ec4d130835459df857a14bd,EO_Mentioner__8a445016c0d129b102f8f2a9bc3b4e34
keith powers,Keith Powers,NYC Councilmember Powers,NYC,nyc,,CityOfficial,general.alert4,Cityofficial,NYC Councilmember Powers,,EO_Mentioner,9d7d6c1a5e1602a6042ca428dd85e607,EO_Mentioner__4c1ba7dbd6a69b854bc34105f9241ddf
ben kallos,Ben Kallos,NYC Councilmember Kallos,NYC,nyc,,CityOfficial,general.alert4,Cityofficial,NYC Councilmember Kallos,,EO_Mentioner,097d0469fa93d0e442c6ebcaddc03915,EO_Mentioner__ce0d09352350709f855967e74f08a1c9
helen rosenthal,Helen Rosenthal,NYC Councilmember Rosenthal,NYC,nyc,,CityOfficial,general.alert4,Cityofficial,NYC Councilmember Rosenthal,,EO_Mentioner,ca2608c4cb837cfc66745e14d34732cd,EO_Mentioner__b0386964d3ef45e2e92de7c7018ec17a
mark levine,Mark Levine,NYC Councilmember Levine,NYC,nyc,,CityOfficial,general.alert4,Cityofficial,NYC Councilmember Levine,,EO_Mentioner,a959bc3abc9dfd29d3fd3b2c463c456b,EO_Mentioner__d85aa20a7dd197b129907fad442d8be5
diana ayala,Diana Ayala,NYC Councilmember Ayala,NYC,nyc,,CityOfficial,general.alert4,Cityofficial,NYC Councilmember Ayala,,EO_Mentioner,13fad6686fd4977d0c684df698b13cdc,EO_Mentioner__3cb751e9e56f391eed8916aeaf25193b
bill perkins,Bill Perkins,NYC Councilmember Perkins,NYC,nyc,,CityOfficial,general.alert4,Cityofficial,NYC Councilmember Perkins,,EO_Mentioner,dbddc18e071466dd093e1bf7d1703761,EO_Mentioner__5b16ffe0146307125d39be75b601a359
ydanis rodriguez,Ydanis Rodriguez,NYC Councilmember Rodriguez,NYC,nyc,,CityOfficial,general.alert4,Cityofficial,NYC Councilmember Rodriguez,,EO_Mentioner,cf2e107c36922ce9181292e0edfbbd7d,EO_Mentioner__7380026535452a72a5f99ba2ac9f9cfd
eric dinowitz,Eric Dinowitz,NYC Councilmember Dinowitz,NYC,nyc,,CityOfficial,general.alert4,Cityofficial,NYC Councilmember Dinowitz,,EO_Mentioner,dec2f9de07c5cd9e0585c45c2bba4d7c,EO_Mentioner__0bd0c28b8a8bed0e9ce3cca75207f741
kevin riley,Kevin Riley,NYC Councilmember Riley,NYC,nyc,,CityOfficial,general.alert4,Cityofficial,NYC Councilmember Riley,,EO_Mentioner,2e0166bbd761ede55ca3005a33463909,EO_Mentioner__fe899be4e0c1fd942ce7f3d5e9f5cc9f
mark gjonaj,Mark Gjonaj,NYC Councilmember Gjonaj,NYC,nyc,,CityOfficial,general.alert4,Cityofficial,NYC Councilmember Gjonaj,,EO_Mentioner,9bf8f97a80a7caedb405dba34273d83b,EO_Mentioner__418b7c82e8b5edaab6170c2420443a70
fernando cabrera,Fernando Cabrera,NYC Councilmember Cabrera,NYC,nyc,,CityOfficial,general.alert4,Cityofficial,NYC Councilmember Cabrera,,EO_Mentioner,af0199e1e8e8c2b9ffa86c4d6f0de841,EO_Mentioner__97145171acd25ca1eb1357dd862cf7f8
