keyword,caption,topic,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
spear phishing,spear phishing,188348,Person,spear phishing,,IOC_Generic_Hashtag_Keywords,ccd17e2c9824b62389259e48fe31cae9,IOC_Generic_Hashtag_Keywords__ccd17e2c9824b62389259e48fe31cae9
spearphishing,spear phishing,188348,Legislator,spear phishing,,IOC_Generic_Hashtag_Keywords,ccd17e2c9824b62389259e48fe31cae9,IOC_Generic_Hashtag_Keywords__ccd17e2c9824b62389259e48fe31cae9
phishing,phishing,188348,FTO,phishing,,IOC_Generic_Hashtag_Keywords,936b58ef16bb5c6235f8ef7be420ad21,IOC_Generic_Hashtag_Keywords__936b58ef16bb5c6235f8ef7be420ad21
malware,Malware,188368,IndustryTerm,Malware,,IOC_Generic_Hashtag_Keywords,4ea6455c8fe5c3303df84083935a69b5,IOC_Generic_Hashtag_Keywords__4ea6455c8fe5c3303df84083935a69b5
emotet,Emotet,188368,CompanyKeyword,Emotet,,IOC_Generic_Hashtag_Keywords,f8b9c3c022206d6ef8e70add589d8fe6,IOC_Generic_Hashtag_Keywords__f8b9c3c022206d6ef8e70add589d8fe6
opendir,open directory,188347,Consulates,open directory,,IOC_Generic_Hashtag_Keywords,d6124ea8a506416a7c71d1330dc2058b,IOC_Generic_Hashtag_Keywords__d6124ea8a506416a7c71d1330dc2058b
newphishing,phishing,188348,Legislator,phishing,,IOC_Generic_Hashtag_Keywords,936b58ef16bb5c6235f8ef7be420ad21,IOC_Generic_Hashtag_Keywords__936b58ef16bb5c6235f8ef7be420ad21
ransomware,Ransomware,188366,News,Ransomware,,IOC_Generic_Hashtag_Keywords,232a2b16a1710c0ed1d16548ba8bb8f1,IOC_Generic_Hashtag_Keywords__232a2b16a1710c0ed1d16548ba8bb8f1
apt,APT,188349,Media,APT,,IOC_Generic_Hashtag_Keywords,bf103b791b390baa469b42479f7f7f37,IOC_Generic_Hashtag_Keywords__bf103b791b390baa469b42479f7f7f37
maldoc,malicious document,188368,Refinery,malicious document,,IOC_Generic_Hashtag_Keywords,7506df208fc4ae09d9f73b17179c63f6,IOC_Generic_Hashtag_Keywords__7506df208fc4ae09d9f73b17179c63f6
stealer,stealer,188368,ForeignMinister,stealer,,IOC_Generic_Hashtag_Keywords,7ae571e6d05cef91ef380212b3d2c7a8,IOC_Generic_Hashtag_Keywords__7ae571e6d05cef91ef380212b3d2c7a8
trojan,trojan,188368,IndustryTerm,trojan,,IOC_Generic_Hashtag_Keywords,2806906c79cdb8ef05d9595ff8cdc125,IOC_Generic_Hashtag_Keywords__2806906c79cdb8ef05d9595ff8cdc125
malspam,malicious spam,188368,Organization,malicious spam,,IOC_Generic_Hashtag_Keywords,a3bad16d50e4bd67d7a39b748bac58fc,IOC_Generic_Hashtag_Keywords__a3bad16d50e4bd67d7a39b748bac58fc
spam,spam,188348,FTO,spam,,IOC_Generic_Hashtag_Keywords,e09f6a7593f8ae3994ea57e1117f67ec,IOC_Generic_Hashtag_Keywords__e09f6a7593f8ae3994ea57e1117f67ec
smishing,smishing,188348,Media,smishing,,IOC_Generic_Hashtag_Keywords,1f24e13ac55fbdd13d6ba1fb9aca3e88,IOC_Generic_Hashtag_Keywords__1f24e13ac55fbdd13d6ba1fb9aca3e88
rat,remote access trojan,188368,ForeignMinister,remote access trojan,,IOC_Generic_Hashtag_Keywords,7165871bfac0d3d06af034a7dd74b394,IOC_Generic_Hashtag_Keywords__7165871bfac0d3d06af034a7dd74b394
ddos,distributed denial of service,188353,Legislator,distributed denial of service,,IOC_Generic_Hashtag_Keywords,43476738e288c87fb431034201f1b254,IOC_Generic_Hashtag_Keywords__43476738e288c87fb431034201f1b254
phishingkit,phishing kit,188348,Exec,phishing kit,,IOC_Generic_Hashtag_Keywords,ae2c37d6fa70fcd011da7482d99be56a,IOC_Generic_Hashtag_Keywords__ae2c37d6fa70fcd011da7482d99be56a
botnet,Botnet,188368,Consulates,Botnet,,IOC_Generic_Hashtag_Keywords,565b48b1d7e3249c506d05ced0d9994a,IOC_Generic_Hashtag_Keywords__565b48b1d7e3249c506d05ced0d9994a
arnaque,scam,188368,DiplomaticFacilities,scam,,IOC_Generic_Hashtag_Keywords,674a298f5659de080bb22ea002de4fbf,IOC_Generic_Hashtag_Keywords__674a298f5659de080bb22ea002de4fbf
estafa,scam,188368,AAEntity,scam,,IOC_Generic_Hashtag_Keywords,674a298f5659de080bb22ea002de4fbf,IOC_Generic_Hashtag_Keywords__674a298f5659de080bb22ea002de4fbf
malmacro,malicious macro,188368,IndustryTerm,malicious macro,,IOC_Generic_Hashtag_Keywords,49d71036af9a01925562658eb2312c59,IOC_Generic_Hashtag_Keywords__49d71036af9a01925562658eb2312c59
spyware,spyware,188368,Organization,spyware,,IOC_Generic_Hashtag_Keywords,f4abe4bbba17c813595195fffa5fe601,IOC_Generic_Hashtag_Keywords__f4abe4bbba17c813595195fffa5fe601
iocs,indicators of compromise,188368,FTO,indicators of compromise,,IOC_Generic_Hashtag_Keywords,69df47cc5e9970bdc35ca81a26bda1ba,IOC_Generic_Hashtag_Keywords__69df47cc5e9970bdc35ca81a26bda1ba
skimmer,credit card skimmer,188368,Exec,credit card skimmer,,IOC_Generic_Hashtag_Keywords,287cf2cb72f1a569694ebbdca73ccc34,IOC_Generic_Hashtag_Keywords__287cf2cb72f1a569694ebbdca73ccc34
malicious document,malicious document,188368,space,malicious document,,IOC_Generic_Hashtag_Keywords,7506df208fc4ae09d9f73b17179c63f6,IOC_Generic_Hashtag_Keywords__7506df208fc4ae09d9f73b17179c63f6
フィッシング,phishing,188348,IndustryTerm,phishing,,IOC_Generic_Hashtag_Keywords,936b58ef16bb5c6235f8ef7be420ad21,IOC_Generic_Hashtag_Keywords__936b58ef16bb5c6235f8ef7be420ad21
c2,command and control server,188368,LegislativeCommittee,command and control server,,IOC_Generic_Hashtag_Keywords,2334bbcdf1c1862c064515f493545df0,IOC_Generic_Hashtag_Keywords__2334bbcdf1c1862c064515f493545df0
carders,carding,188368,CompanyKeyword,carding,,IOC_Generic_Hashtag_Keywords,863350bfde83cd18be9a6333845ffe44,IOC_Generic_Hashtag_Keywords__863350bfde83cd18be9a6333845ffe44
carding,carding,188368,Refinery,carding,,IOC_Generic_Hashtag_Keywords,863350bfde83cd18be9a6333845ffe44,IOC_Generic_Hashtag_Keywords__863350bfde83cd18be9a6333845ffe44
cryptoscam,cryptocurrency scam,188348,ForeignMinister,cryptocurrency scam,,IOC_Generic_Hashtag_Keywords,9154554d826e109b88e4c39eb1ed1f66,IOC_Generic_Hashtag_Keywords__9154554d826e109b88e4c39eb1ed1f66
browlock,browser lock,188368,Organization,browser lock,,IOC_Generic_Hashtag_Keywords,5998edf848c9d8813dd711d683d10b9f,IOC_Generic_Hashtag_Keywords__5998edf848c9d8813dd711d683d10b9f
honeypot,honeypot,188368,Keyphrase,honeypot,,IOC_Generic_Hashtag_Keywords,c3b806aa71f0887773210e75dd12bdad,IOC_Generic_Hashtag_Keywords__c3b806aa71f0887773210e75dd12bdad
malvertising,malicious advertising,188368,Shipping,malicious advertising,,IOC_Generic_Hashtag_Keywords,b98fe3a283767e470be2dc526a720473,IOC_Generic_Hashtag_Keywords__b98fe3a283767e470be2dc526a720473
