keyword,caption,topic,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
adwind,Adwind trojan,188368,Refinery,Adwind trojan,,IOC_Mapping_File_Hasthags_Keywords,99fbb8352af4ee2aef5757dc9574bc12,IOC_Mapping_File_Hasthags_Keywords__99fbb8352af4ee2aef5757dc9574bc12
agenttesla,Agent Tesla,188368,News,Agent Tesla,,IOC_Mapping_File_Hasthags_Keywords,dce026295e98d595b335955095ff2537,IOC_Mapping_File_Hasthags_Keywords__dce026295e98d595b335955095ff2537
alien,Alien android banking trojan,188368,LegislativeCommittee,Alien android banking trojan,,IOC_Mapping_File_Hasthags_Keywords,d3b129caf17bcf8677a3bd3e2a69c48f,IOC_Mapping_File_Hasthags_Keywords__d3b129caf17bcf8677a3bd3e2a69c48f
ajax security team,Iran-affiliated Ajax Security Team,188349,News,Iran-affiliated Ajax Security Team,,IOC_Mapping_File_Hasthags_Keywords,37fb4ab441da67666bf2734793e9e6db,IOC_Mapping_File_Hasthags_Keywords__37fb4ab441da67666bf2734793e9e6db
ajaxsecurityteam,Iran-affiliated Ajax Security Team,188349,CompanyKeyword,Iran-affiliated Ajax Security Team,,IOC_Mapping_File_Hasthags_Keywords,37fb4ab441da67666bf2734793e9e6db,IOC_Mapping_File_Hasthags_Keywords__37fb4ab441da67666bf2734793e9e6db
amadey,Amadey trojan,188368,Person,Amadey trojan,,IOC_Mapping_File_Hasthags_Keywords,e6a68bf82d91d53ff209dce591978a98,IOC_Mapping_File_Hasthags_Keywords__e6a68bf82d91d53ff209dce591978a98
anatsa,Anatsa android banking trojan,188368,FTO,Anatsa android banking trojan,,IOC_Mapping_File_Hasthags_Keywords,405b0acf4c07963945809212b03550c0,IOC_Mapping_File_Hasthags_Keywords__405b0acf4c07963945809212b03550c0
anubis,Anubis android banking trojan,188368,Consulates,Anubis android banking trojan,,IOC_Mapping_File_Hasthags_Keywords,c03e8822b2cb418e77a1acffd8a36c9d,IOC_Mapping_File_Hasthags_Keywords__c03e8822b2cb418e77a1acffd8a36c9d
anurak,Anurak,188349,Legislator,Anurak,,IOC_Mapping_File_Hasthags_Keywords,67e77814fb0cbd00d9222d770de911fb,IOC_Mapping_File_Hasthags_Keywords__67e77814fb0cbd00d9222d770de911fb
apt c 00,Vietnam-affiliated APT-C-00,188349,Organization,Vietnam-affiliated APT-C-00,,IOC_Mapping_File_Hasthags_Keywords,e39769a4bdcfd8e37d4a0c2729cb4bff,IOC_Mapping_File_Hasthags_Keywords__e39769a4bdcfd8e37d4a0c2729cb4bff
apt c 07,Iran-affiliated APT-C-00,188349,ForeignMinistry,Iran-affiliated APT-C-00,,IOC_Mapping_File_Hasthags_Keywords,cfc8f70bc6c78363ad751856cab5028a,IOC_Mapping_File_Hasthags_Keywords__cfc8f70bc6c78363ad751856cab5028a
apt c 23,APT-C-23,188349,Person,APT-C-23,,IOC_Mapping_File_Hasthags_Keywords,f1d24fc445723aea81bf86d67453e0b9,IOC_Mapping_File_Hasthags_Keywords__f1d24fc445723aea81bf86d67453e0b9
apt c 35,India-affiliated APT-C-35,188349,News,India-affiliated APT-C-35,,IOC_Mapping_File_Hasthags_Keywords,343f443555e0f1106198eead30494c22,IOC_Mapping_File_Hasthags_Keywords__343f443555e0f1106198eead30494c22
apt c 36,Venezuela-affiliated APT-C-36,188349,Pipeline,Venezuela-affiliated APT-C-36,,IOC_Mapping_File_Hasthags_Keywords,8422c5937555e14b0df2815141f17edd,IOC_Mapping_File_Hasthags_Keywords__8422c5937555e14b0df2815141f17edd
apt c 43,APT-C-43,188349,Legislator,APT-C-43,,IOC_Mapping_File_Hasthags_Keywords,b65323bf808416f867ecb264c9e66686,IOC_Mapping_File_Hasthags_Keywords__b65323bf808416f867ecb264c9e66686
apt c 56,APT-C-56,188349,IndustryTerm,APT-C-56,,IOC_Mapping_File_Hasthags_Keywords,e8dbc38f3fa8ab8fa688ffc559bb822e,IOC_Mapping_File_Hasthags_Keywords__e8dbc38f3fa8ab8fa688ffc559bb822e
apt1,China-affiliated APT1,188349,AAEntity,China-affiliated APT1,,IOC_Mapping_File_Hasthags_Keywords,cdb9b87e155cdf85af5eec6593e33b2a,IOC_Mapping_File_Hasthags_Keywords__cdb9b87e155cdf85af5eec6593e33b2a
apt10,China-affiliated APT10,188349,Keyphrase,China-affiliated APT10,,IOC_Mapping_File_Hasthags_Keywords,c93c67c6b5d1035e5f3ba4834b5ff92b,IOC_Mapping_File_Hasthags_Keywords__c93c67c6b5d1035e5f3ba4834b5ff92b
