org,caption_name,guid,hq_address,hq_lat,hq_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
u.s. dept of defense,U.S. Dept Of Defense,,"The Pentagon, Arlington, VA",38.8719,-77.0563,AAEntity,U.S. Dept Of Defense,,IOC_org_copy,92886b723754e7085df439806a3fb3f7,IOC_org_copy__92886b723754e7085df439806a3fb3f7
verizon media,Verizon Media,,"Verizon Communications HQ, New York, NY, USA",44.9866589,-93.2541383,Exec,Verizon Media,,IOC_org_copy,9dabc559645e96575dd34ac1a7a67794,IOC_org_copy__9dabc559645e96575dd34ac1a7a67794
mail.ru,Mail.ru,77b60b649e9f89e053d1c49b8dd45f00,"Moscow, Russia",55.7968802,37.537294,ForeignMinister,Mail.ru,,IOC_org_copy,81bb942f62aaff968877aecfdaf8a75d,IOC_org_copy__81bb942f62aaff968877aecfdaf8a75d
at&t,AT&T,eb4c37efac8ef073aaf6d5e9f4120e0a,"AT&T HQ, Dallas, TX, USA",32.7795597,-96.7988939,Shipping,AT&T,,IOC_org_copy,b74e69c4545cf7fc29395289f96240c2,IOC_org_copy__b74e69c4545cf7fc29395289f96240c2
adobe,Adobe,aea069334333a347c1433a9a8c0ff7c2,"Adobe HQ, San Jose, CA, USA",37.3317153,-121.8934805,Consulates,Adobe,,IOC_org_copy,71f698950c9cdadc3d19bb7411177a78,IOC_org_copy__71f698950c9cdadc3d19bb7411177a78
ibm,IBM,c23e4ad3ad3f861e1c83270299273139,"IBM Corporation HQ, Armonk, NY, USA",41.1083018,-73.7204677,Organization,IBM,,IOC_org_copy,cbf44511d041dc6d1dd73cc0c033122c,IOC_org_copy__cbf44511d041dc6d1dd73cc0c033122c
ford,Ford,81942bef7df5d8a6537067008763ab73,"Dearborn, MI, USA",42.3147537,-83.2101594,Refinery,Ford,,IOC_org_copy,01083da2df15d6ebfe62186418a76863,IOC_org_copy__01083da2df15d6ebfe62186418a76863
uber,Uber,c0f40627427dacd06ff9438863c83be7,"Uber Inc HQ, San Francisco, CA, USA",37.7756852,-122.4179707,Pipeline,Uber,,IOC_org_copy,af00a7270cc3dc7b1bfd41fdb533f6e0,IOC_org_copy__af00a7270cc3dc7b1bfd41fdb533f6e0
sony,Sony,61a341a90a1f8e0bd1383a5d95dd458e,"Sony Pictures Studios HQ, Culver City, CA, USA",35.6311111,139.7438574,DiplomaticFacilities,Sony,,IOC_org_copy,2da860f7216f34598e5cdc6fd7e3098c,IOC_org_copy__2da860f7216f34598e5cdc6fd7e3098c
twitter,Twitter,d7e6c32993a18cd808bc47ac0af51f31,"Twitter HQ, San Francisco, CA, USA",37.7764685,-122.4172004,Pipeline,Twitter,,IOC_org_copy,2491bc9c7d8731e1ae33124093bc7026,IOC_org_copy__2491bc9c7d8731e1ae33124093bc7026
magento,Magento,,"Magento, San Jose, CA, USA",37.3308855,-121.8938777,DiplomaticFacilities,Magento,,IOC_org_copy,fcd7f001e9274fdefb14bff91c799306,IOC_org_copy__fcd7f001e9274fdefb14bff91c799306
slack,Slack,f48898b32f95415ef52b3248a3f0dddf,"500 Howard Street San Francisco, CA, USA",37.7885306,-122.3967284,space,Slack,,IOC_org_copy,3561f3a3c5576e2ce0dc0d1e268bb9b2,IOC_org_copy__3561f3a3c5576e2ce0dc0d1e268bb9b2
starbucks,Starbucks,,"Starbucks Corporation HQ, Seattle, WA, USA",47.581142,-122.3357333,CompanyKeyword,Starbucks,,IOC_org_copy,e486aeca0b12918313aba2cc445c5cb4,IOC_org_copy__e486aeca0b12918313aba2cc445c5cb4
ubiquiti inc.,Ubiquiti Inc.,0c5f0685c88aee07d0e2cfc21878a008,"Ubiquiti, NY, USA",40.7514593,-73.9735056,Shipping,Ubiquiti Inc.,,IOC_org_copy,d450f832730dd9c61662adbf6854fb04,IOC_org_copy__d450f832730dd9c61662adbf6854fb04
shopify,Shopify,8bc153257b06fbb6afe6a4c50b026b2e,"Shopify, Ontario, Canada",45.420453,-75.692777,Wells,Shopify,,IOC_org_copy,48b1feaa8b0d1805a23f59f268fc7c91,IOC_org_copy__48b1feaa8b0d1805a23f59f268fc7c91
paypal,PayPal,cb5aa0e62a22c02eea509f4ed369f97e,"PayPal HQ, San Jose, USA",37.3768507,-121.9227332,DiplomaticFacilities,PayPal,,IOC_org_copy,ad69e733ebae8d264bccaa38d68830e8,IOC_org_copy__ad69e733ebae8d264bccaa38d68830e8
qiwi,QIWI,092c8a75f1c3b8eaf08d83e40eedf8d9,"Kennedy 12, Business Centre Kennedy,, 2nd Floor, P.O. 1087, Nicosia, CY",35.1585284,33.364364,Person,QIWI,,IOC_org_copy,29e157a0723067e0d310b08ea728a518,IOC_org_copy__29e157a0723067e0d310b08ea728a518
mtn group,MTN Group,37c9f2518074bbf54a95df3703181d2e,"216-14th Avenue Fairland 2195 PO Box 9955 Cresta, South Africa",-26.1505604,27.9321122,ForeignMinistry,MTN Group,,IOC_org_copy,8a0198e69032c9248674a478e0112276,IOC_org_copy__8a0198e69032c9248674a478e0112276
zomato,Zomato,,"Vipul Tech Square, Golf Course Road, DLF Phase 5, Sector 43, Gurugram.",28.4597907,77.0956631,Exec,Zomato,,IOC_org_copy,39543e8bccc074553ae6fa2282ddf63e,IOC_org_copy__39543e8bccc074553ae6fa2282ddf63e
airbnb,Airbnb,549f9e87cdd69547c3f20392345a00b5,"Airbnb HQ, San Francisco, CA, USA",37.7719769,-122.4050479,LegislativeCommittee,Airbnb,,IOC_org_copy,09e31a5bddc6d6628252a7bff57d5dce,IOC_org_copy__09e31a5bddc6d6628252a7bff57d5dce
vk.com,VK.com,,"VK, St Petersburg, Russia",59.9356765,30.3259352,News,VK.com,,IOC_org_copy,1a76721f2486f81107746670a065068b,IOC_org_copy__1a76721f2486f81107746670a065068b
gitlab,GitLab,,"268 Bush St, San Francisco, CA",37.7911917,-122.4018184,Media,GitLab,,IOC_org_copy,cf0a6993a4b526850302726c7cca0e7f,IOC_org_copy__cf0a6993a4b526850302726c7cca0e7f
spotify,Spotify,0b2c6af04a2e879090b61bd684361355,"Spotify USA Inc 4 World Trade Center 150 Greenwich Street, New York, NY, USA",40.7103908,-74.0119894,space,Spotify,,IOC_org_copy,fd539ca17a17132049c4fef4619df638,IOC_org_copy__fd539ca17a17132049c4fef4619df638
valve,Valve,,"PO BOX 1688; Bellevue, WA, USA",47.6101153,-122.2001506,Media,Valve,,IOC_org_copy,104400e7d4632e6a82bf0b206b9c32dd,IOC_org_copy__104400e7d4632e6a82bf0b206b9c32dd
github,GitHub,7c377fca4f949c69f19ecb7a4d53daeb,"88 Colin P Kelly Jr Street San Francisco, CA, USA",37.7802617,-122.3905797,DiplomaticFacilities,GitHub,,IOC_org_copy,d3b7c913cd04ebfec0e9ec32cb6fd58c,IOC_org_copy__d3b7c913cd04ebfec0e9ec32cb6fd58c
glassdoor,Glassdoor,,"100 Shoreline Highway Building A Mill Valley, CA, USA",37.880471,-122.5151744,Legislator,Glassdoor,,IOC_org_copy,a31869eb7928df122ceb2f81e27d7e85,IOC_org_copy__a31869eb7928df122ceb2f81e27d7e85
dropbox,Dropbox,75a6131f845974797c5c2823b234ec0f,"Dropbox HQ, San Francisco, CA, USA",37.7660393,-122.3930894,Pipeline,Dropbox,,IOC_org_copy,f92aa92725095d5531f54b4589d99264,IOC_org_copy__f92aa92725095d5531f54b4589d99264
vimeo,Vimeo,,"555 West 18th Street New York, NY 10011 United States",40.7455869,-74.0076567,Legislator,Vimeo,,IOC_org_copy,15db599e0119be476d71bfc1fda72217,IOC_org_copy__15db599e0119be476d71bfc1fda72217
priceline,Priceline,,"800 Connecticut Avenue, Norwalk, CT, 06854",41.0930242,-73.4539645,ForeignMinistry,Priceline,,IOC_org_copy,4286b99d33178fb89d5459ce33e1bab9,IOC_org_copy__4286b99d33178fb89d5459ce33e1bab9
zendesk,Zendesk,7cbf7c8ad281d866db04a3c14f88bb1a,"989 Market St San Francisco, CA, USA",37.7823023,-122.4096056,CompanyKeyword,Zendesk,,IOC_org_copy,a151608a9113acccb09c9ebf7b0b2b6a,IOC_org_copy__a151608a9113acccb09c9ebf7b0b2b6a
