keyword,keyword_upper,caption_name,location,location_lower,type,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
nycdot,nycdot,New York City Department of Transportation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Transportation,,LN_Mentionee,fc7b0b0dcec693479b016f7af10e4333,LN_Mentionee__fc7b0b0dcec693479b016f7af10e4333
nyc_dot,NYC_DOT,New York City Department of Transportation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Transportation,,LN_Mentionee,3611fd4339dd5a17dfba5b777eae4125,LN_Mentionee__3611fd4339dd5a17dfba5b777eae4125
new york city department of transportation,New York City Department of Transportation,New York City Department of Transportation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Transportation,,LN_Mentionee,c7225478a40ee179246619b24ffa2069,LN_Mentionee__c7225478a40ee179246619b24ffa2069
nycschools,NYCSchools,New York City Department of Education,NYC,nyc,SLGAgency,188114,3140002,Slgagency,New York City Department of Education,,LN_Mentionee,b3b2937a636e13f3a5636c3b3737cf57,LN_Mentionee__b3b2937a636e13f3a5636c3b3737cf57
new york city department of education,New York City Department of Education,New York City Department of Education,NYC,nyc,SLGAgency,188114,3140002,Slgagency,New York City Department of Education,,LN_Mentionee,9bc16d5eea6fb5b1ff3dfe347af8e932,LN_Mentionee__9bc16d5eea6fb5b1ff3dfe347af8e932
dsny,dsny,New York City Department of Sanitation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Sanitation,,LN_Mentionee,1598022277e99e4888cd612bbaa16e26,LN_Mentionee__1598022277e99e4888cd612bbaa16e26
new york city department of sanitation,New York City Department of Sanitation,New York City Department of Sanitation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Sanitation,,LN_Mentionee,b832e56ad87301879f20fac2bfafaea0,LN_Mentionee__b832e56ad87301879f20fac2bfafaea0
new york city department of homeless services,New York City Department of Homeless Services,New York City Department of Homeless Services,NYC,nyc,SLGAgency,188289,3140002,Slgagency,New York City Department of Homeless Services,,LN_Mentionee,ef7b1ee1a46fe29ebb830d5443fd6769,LN_Mentionee__ef7b1ee1a46fe29ebb830d5443fd6769
new york city housing authority,New York City Housing Authority,New York City Housing Authority,NYC,nyc,SLGAgency,188289,3140002,Slgagency,New York City Housing Authority,,LN_Mentionee,7378c1e5db2d739aa0cfece70dad2333,LN_Mentionee__7378c1e5db2d739aa0cfece70dad2333
nycha,NYCHA,New York City Housing Authority,NYC,nyc,SLGAgency,188289,3140002,Slgagency,New York City Housing Authority,,LN_Mentionee,a106860d0a79b8745b0ad2225c485ac6,LN_Mentionee__a106860d0a79b8745b0ad2225c485ac6
new york city department of environmental protection,New York City Department of Environmental Protection,New York City Department of Environmental Protection,NYC,nyc,SLGAgency,188133,3140002,Slgagency,New York City Department of Environmental Protection,,LN_Mentionee,a94f24fe688c1e578a7af80e8c83b66b,LN_Mentionee__a94f24fe688c1e578a7af80e8c83b66b
nycdep,nycdep,New York City Department of Environmental Protection,NYC,nyc,SLGAgency,188133,3140002,Slgagency,New York City Department of Environmental Protection,,LN_Mentionee,ad73a23579162fa3fbd4dcfce2b239a7,LN_Mentionee__ad73a23579162fa3fbd4dcfce2b239a7
new york city water board,New York City Water Board,New York City Water Board,NYC,nyc,SLGAgency,188242,3140002,Slgagency,New York City Water Board,,LN_Mentionee,d1c4d116af0a141def67e7f2080b6397,LN_Mentionee__d1c4d116af0a141def67e7f2080b6397
nychealthy,nycHealthy,New York City Department of Health and Mental Hygiene,NYC,nyc,SLGAgency,188124,3140002,Slgagency,New York City Department of Health and Mental Hygiene,,LN_Mentionee,c211ca8a2d3392e46283812585a95753,LN_Mentionee__c211ca8a2d3392e46283812585a95753
new york city department of health and mental hygiene,New York City Department of Health and Mental Hygiene,New York City Department of Health and Mental Hygiene,NYC,nyc,SLGAgency,188124,3140002,Slgagency,New York City Department of Health and Mental Hygiene,,LN_Mentionee,351a820cc541ee4a5f1b942731363aee,LN_Mentionee__351a820cc541ee4a5f1b942731363aee
nycparks,NYCParks,New York City Department of Parks and Recreation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Parks and Recreation,,LN_Mentionee,5d4ab4c43714ced6cdebcb6e66b54437,LN_Mentionee__5d4ab4c43714ced6cdebcb6e66b54437
new york city department of parks and recreation,New York City Department of Parks and Recreation,New York City Department of Parks and Recreation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Parks and Recreation,,LN_Mentionee,b5b5701e14dc979c294050bc1d641163,LN_Mentionee__b5b5701e14dc979c294050bc1d641163
los angeles department of parks and recreation,Los Angeles Department of Parks and Recreation,Los Angeles Department of Parks and Recreation,Los Angeles,los angeles,SLGAgency,188120,3140002,Slgagency,Los Angeles Department of Parks and Recreation,,LN_Mentionee,c565206016d3e5b3253e36fe7c8174d7,LN_Mentionee__c565206016d3e5b3253e36fe7c8174d7
los angeles county department of public health,Los Angeles County Department of Public Health,Los Angeles County Department of Public Health,Los Angeles,los angeles,SLGAgency,188124,3140002,Slgagency,Los Angeles County Department of Public Health,,LN_Mentionee,9cb3e904ae4cf15e719c8a5a35464108,LN_Mentionee__9cb3e904ae4cf15e719c8a5a35464108
lapublichealth,lapublichealth,Los Angeles County Department of Public Health,Los Angeles,los angeles,SLGAgency,188124,3140002,Slgagency,Los Angeles County Department of Public Health,,LN_Mentionee,e82f91dfd048984c49b318347b188533,LN_Mentionee__e82f91dfd048984c49b318347b188533
los angeles department of transportation,Los Angeles Department of Transportation,Los Angeles Department of Transportation,Los Angeles,los angeles,SLGAgency,188120,3140002,Slgagency,Los Angeles Department of Transportation,,LN_Mentionee,63c23102527015e7751c353b0075df40,LN_Mentionee__63c23102527015e7751c353b0075df40
ladot,ladot,Los Angeles Department of Transportation,Los Angeles,los angeles,SLGAgency,188120,3140002,Slgagency,Los Angeles Department of Transportation,,LN_Mentionee,04c5467ec3e359e4e3df93d2ea3cf2ef,LN_Mentionee__04c5467ec3e359e4e3df93d2ea3cf2ef
los angeles homeless services authority,Los Angeles Homeless Services Authority,Los Angeles Homeless Services Authority,Los Angeles,los angeles,SLGAgency,188289,3140002,Slgagency,Los Angeles Homeless Services Authority,,LN_Mentionee,60191dd13ac925b41f7b60161aaa71ba,LN_Mentionee__60191dd13ac925b41f7b60161aaa71ba
lahsa,LAHSA,Los Angeles Homeless Services Authority,Los Angeles,los angeles,SLGAgency,188289,3140002,Slgagency,Los Angeles Homeless Services Authority,,LN_Mentionee,4318de8559f210d70613c0bb2e9e6e0a,LN_Mentionee__4318de8559f210d70613c0bb2e9e6e0a
lahomeless,LAHomeless,Los Angeles Homeless Services Authority,Los Angeles,los angeles,SLGAgency,188289,3140002,Slgagency,Los Angeles Homeless Services Authority,,LN_Mentionee,5c5cd2c86dfec36569893e1287388658,LN_Mentionee__5c5cd2c86dfec36569893e1287388658
los angeles county office of education,Los Angeles County Office of Education,Los Angeles County Office of Education,Los Angeles,los angeles,SLGAgency,188114,3140002,Slgagency,Los Angeles County Office of Education,,LN_Mentionee,34f405c97a56de0d6e19cb15af0ad07e,LN_Mentionee__34f405c97a56de0d6e19cb15af0ad07e
los angeles department of water and power,Los Angeles Department of Water and Power,Los Angeles Department of Water and Power,Los Angeles,los angeles,SLGAgency,188241;188242,3140002,Slgagency,Los Angeles Department of Water and Power,,LN_Mentionee,c1df82894e6256cbeb72315df0657fc7,LN_Mentionee__c1df82894e6256cbeb72315df0657fc7
ladwp,ladwp,Los Angeles Department of Water and Power,Los Angeles,los angeles,SLGAgency,188241;188242,3140002,Slgagency,Los Angeles Department of Water and Power,,LN_Mentionee,e5e489bc4723f17811e6454a807f80b1,LN_Mentionee__e5e489bc4723f17811e6454a807f80b1
los angeles housing authority,Los Angeles Housing Authority,Los Angeles Housing Authority,Los Angeles,los angeles,SLGAgency,188289,3140002,Slgagency,Los Angeles Housing Authority,,LN_Mentionee,f0507a493ef96dd346713912f9444f14,LN_Mentionee__f0507a493ef96dd346713912f9444f14
hacla,hacla,Los Angeles Housing Authority,Los Angeles,los angeles,SLGAgency,188289,3140002,Slgagency,Los Angeles Housing Authority,,LN_Mentionee,9d58d071dbda62e4ae53d1542a2cf95f,LN_Mentionee__9d58d071dbda62e4ae53d1542a2cf95f
washington dc department of transportation,Washington DC Department of Transportation,"Washington, DC Department of Transportation",DC,dc,SLGAgency,188120,3140002,Slgagency,"Washington, DC Department of Transportation",,LN_Mentionee,167c92d1c8358862800a44652a06e11b,LN_Mentionee__167c92d1c8358862800a44652a06e11b
washington dc department of energy & environment,Washington DC Department of Energy & Environment,"Washington, DC Department of Energy and Environment",DC,dc,SLGAgency,188133,3140002,Slgagency,"Washington, DC Department of Energy and Environment",,LN_Mentionee,6168e53d0ae3863d846bb49f1dffd1a3,LN_Mentionee__6168e53d0ae3863d846bb49f1dffd1a3
doee,doee,"Washington, DC Department of Energy and Environment",DC,dc,SLGAgency,188133,3140002,Slgagency,"Washington, DC Department of Energy and Environment",,LN_Mentionee,238d983237d41b6b8ecb8bbf7ac138c1,LN_Mentionee__238d983237d41b6b8ecb8bbf7ac138c1
washington dc housing authority,Washington DC Housing Authority,"Washington, DC Housing Authority",DC,dc,SLGAgency,188289,3140002,Slgagency,"Washington, DC Housing Authority",,LN_Mentionee,6ca39bd383e0f6776f2d9ea4955f1ea5,LN_Mentionee__6ca39bd383e0f6776f2d9ea4955f1ea5
washington dc department of public works,Washington DC Department of Public Works,"Washington, DC Department of Public Works",DC,dc,SLGAgency,188120,3140002,Slgagency,"Washington, DC Department of Public Works",,LN_Mentionee,590a6bb6e8158fdb5965d4f04863974c,LN_Mentionee__590a6bb6e8158fdb5965d4f04863974c
washington dc department of water,Washington DC Department of Water,"Washington, DC Department of Water",DC,dc,SLGAgency,188242,3140002,Slgagency,"Washington, DC Department of Water",,LN_Mentionee,d71bf58b7ed7f1975e2d09c986d64760,LN_Mentionee__d71bf58b7ed7f1975e2d09c986d64760
dallas department of parks and recreation,Dallas Department of Parks and Recreation,Dallas Department of Parks and Recreation,Dallas,dallas,SLGAgency,188120,3140002,Slgagency,Dallas Department of Parks and Recreation,,LN_Mentionee,0a3f77b2b00782c1229d5c02304b5b74,LN_Mentionee__0a3f77b2b00782c1229d5c02304b5b74
dallas county department of health and human services,Dallas County Department of Health and Human Services,Dallas County Department of Health and Human Services,Dallas,dallas,SLGAgency,188124,3140002,Slgagency,Dallas County Department of Health and Human Services,,LN_Mentionee,b6ed7fbf4daf2512e26b7564f8b1eca5,LN_Mentionee__b6ed7fbf4daf2512e26b7564f8b1eca5
dallas department of transportation,Dallas Department of Transportation,Dallas Department of Transportation,Dallas,dallas,SLGAgency,188120,3140002,Slgagency,Dallas Department of Transportation,,LN_Mentionee,e26de7d3a32e513f8866d552816e55e0,LN_Mentionee__e26de7d3a32e513f8866d552816e55e0
dallas independent school district,Dallas Independent School District,Dallas Independent School District,Dallas,dallas,SLGAgency,188114,3140002,Slgagency,Dallas Independent School District,,LN_Mentionee,40f1adbefeeaf148473adbaa0a952a5e,LN_Mentionee__40f1adbefeeaf148473adbaa0a952a5e
dallas housing authority,Dallas Housing Authority,Dallas Housing Authority,Dallas,dallas,SLGAgency,188120,3140002,Slgagency,Dallas Housing Authority,,LN_Mentionee,7bc173b4c298467920b0174979478552,LN_Mentionee__7bc173b4c298467920b0174979478552
dallas department of sanitation,Dallas Department of Sanitation,Dallas Department of Sanitation,Dallas,dallas,SLGAgency,188120,3140002,Slgagency,Dallas Department of Sanitation,,LN_Mentionee,f8ce5a9c3bca3a8670ca662dc2c634d7,LN_Mentionee__f8ce5a9c3bca3a8670ca662dc2c634d7
dallas department of water utilities,Dallas Department of Water Utilities,Dallas Department of Water,Dallas,dallas,SLGAgency,188242,3140002,Slgagency,Dallas Department of Water,,LN_Mentionee,1a5939fb0fa7dd44e7c39cc2fbc39f1b,LN_Mentionee__1a5939fb0fa7dd44e7c39cc2fbc39f1b
houston department of parks and recreation,Houston Department of Parks and Recreation,Houston Department of Parks and Recreation,Houston,houston,SLGAgency,188120,3140002,Slgagency,Houston Department of Parks and Recreation,,LN_Mentionee,eefe2316b7d82930dab1bb56b9291e93,LN_Mentionee__eefe2316b7d82930dab1bb56b9291e93
houston health department,Houston Health Department,Houston Department of Health,Houston,houston,SLGAgency,188124,3140002,Slgagency,Houston Department of Health,,LN_Mentionee,9cd3d6f662db5ba39ada7c09eafb99ff,LN_Mentionee__9cd3d6f662db5ba39ada7c09eafb99ff
houston department of housing and community development,Houston Department of Housing and Community Development,Houston Department of Housing and Community Development,Houston,houston,SLGAgency,188289,3140002,Slgagency,Houston Department of Housing and Community Development,,LN_Mentionee,54fe492eec027919f1f6677cfb2363df,LN_Mentionee__54fe492eec027919f1f6677cfb2363df
miamiparks,miamiparks,Miami Department of Parks and Recreation,Miami,miami,SLGAgency,188120,3140002,Slgagency,Miami Department of Parks and Recreation,,LN_Mentionee,2b4eb1cb79fce5ac44f53b297310a38b,LN_Mentionee__2b4eb1cb79fce5ac44f53b297310a38b
miami department of parks and recreation,Miami Department of parks and Recreation,Miami Department of Parks and Recreation,Miami,miami,SLGAgency,188120,3140002,Slgagency,Miami Department of Parks and Recreation,,LN_Mentionee,f17db68a78fbbc52da91b1c838ab19c7,LN_Mentionee__f17db68a78fbbc52da91b1c838ab19c7
