keyword,keyword_upper,caption_name,location_name,location_lower,type,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
gothamgazette,gothamgazette,Gotham Gazette,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Gotham Gazette,,LN_Mentioner,831ccd931234eef04d770f3e7857bc5c,LN_Mentioner__831ccd931234eef04d770f3e7857bc5c
thecityny,thecityny,The City,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,The City,,LN_Mentioner,c9a2e234485cea5ade9c9415c320ba20,LN_Mentioner__c9a2e234485cea5ade9c9415c320ba20
cityandstateny,cityandstateny,City and State NY,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,City and State NY,,LN_Mentioner,799af83fdd034e8b4161905404f1a050,LN_Mentioner__799af83fdd034e8b4161905404f1a050
queenseagle,queenseagle,Queens Daily Eagle,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Queens Daily Eagle,,LN_Mentioner,bca0580ced6311186a0189a766648650,LN_Mentioner__bca0580ced6311186a0189a766648650
ny1,NY1,Spectrum News NY1,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Spectrum News NY1,,LN_Mentioner,542cfad5fc734c45fc2a006c1f53423b,LN_Mentioner__542cfad5fc734c45fc2a006c1f53423b
nbcnewyork,NBCNewYork,NBC New York,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,NBC New York,,LN_Mentioner,7ad51079bc38162b289205dd31f85828,LN_Mentioner__7ad51079bc38162b289205dd31f85828
cbsnewyork,CBSNewYork,CBS New York,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,CBS New York,,LN_Mentioner,ff7fbbe2c84224b54d01dc9df77f5f4c,LN_Mentioner__ff7fbbe2c84224b54d01dc9df77f5f4c
abc7ny,ABC7NY,ABC7 New York,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,ABC7 New York,,LN_Mentioner,a27e3ab8284efefe474f5dc568efe180,LN_Mentioner__a27e3ab8284efefe474f5dc568efe180
news12bk,News12BK,News12BK,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,News12BK,,LN_Mentioner,3aac02fecfa9c58f92ad46da3188db45,LN_Mentioner__3aac02fecfa9c58f92ad46da3188db45
news12bx,News12BX,News12BX,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,News12BX,,LN_Mentioner,e8a30c4baa0e292f9636d26ece1db264,LN_Mentioner__e8a30c4baa0e292f9636d26ece1db264
siadvance,siadvance,Staten Island Advance,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Staten Island Advance,,LN_Mentioner,92d55cf2db0887ffb24e573609eb3b0f,LN_Mentioner__92d55cf2db0887ffb24e573609eb3b0f
nytmetro,NYTMetro,New York Times Metro,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,New York Times Metro,,LN_Mentioner,75d65f17e84f7927718d76467cb28054,LN_Mentioner__75d65f17e84f7927718d76467cb28054
pix11news,PIX11news,PIX11 News,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,PIX11 News,,LN_Mentioner,8832eb52d8d197d7907db79cd536650c,LN_Mentioner__8832eb52d8d197d7907db79cd536650c
nypost,nypost,New York Post,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,New York Post,,LN_Mentioner,f35f2eec037ff24906496198d5dbd7c2,LN_Mentioner__f35f2eec037ff24906496198d5dbd7c2
newyorkbeacon,NewYorkBeacon,New York Beacon,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,New York Beacon,,LN_Mentioner,2b05148ce9441e170fbb453da1083ae0,LN_Mentioner__2b05148ce9441e170fbb453da1083ae0
chalkbeatny,ChalkbeatNY,Chalkbeat New York,NYC,nyc,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Chalkbeat New York,,LN_Mentioner,d5128134d2cee5bda54941f9dc41ed55,LN_Mentioner__d5128134d2cee5bda54941f9dc41ed55
