handle,caption_name,Category,Topic GUID,Topic Name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1199mass,1199SEIU Massachusetts,Union,214218,Reputation,ForeignMinister,1199SEIU Massachusetts,,advocacy_groups_handles,c3c509905d28ba250b4c2c8aa4daa424,advocacy_groups_handles__2c00b3037d4abda12b04d0c330ac6a5e
1199seiu,1199SEIU,Union,214218,Reputation,ForeignMinister,1199SEIU,,advocacy_groups_handles,c72f58ef50e22644871642e45df7595a,advocacy_groups_handles__9e1c328e700cd13f74265e5490c019c8
1199seiu_mddc,1199SEIU Maryland & DC,Union,214218,Reputation,AAEntity,1199SEIU Maryland & DC,,advocacy_groups_handles,3b6d2e770d5ef736583e595f05c5c889,advocacy_groups_handles__9e54b2cdfb913fc67cdc6e310858af5a
1199seiu_nj,1199SEIU New Jersey,Union,214218,Reputation,Person,1199SEIU New Jersey,,advocacy_groups_handles,54a91e943b2ea0bb93858cc0d21ce466,advocacy_groups_handles__4dcc9f150930ae79bb9b5e70c2cb6766
1199seiu_ny,1199SEIU New York,Union,214218,Reputation,IndustryTerm,1199SEIU New York,,advocacy_groups_handles,ddaded16df95f71bce69412a5d2750db,advocacy_groups_handles__f25c71c1c6de8b04ee59e9b3746823f7
1199seiuflorida,1199SEIUFlorida,Union,214218,Reputation,ForeignMinistry,1199SEIUFlorida,,advocacy_groups_handles,9b2c748be8fe3ccce7e77cfc9d72be69,advocacy_groups_handles__49922ec4f71e70c3547d5e83770b3323
32bjseiu,32BJ SEIU,Union,214218,Reputation,Media,32BJ SEIU,,advocacy_groups_handles,6f999905c3f059ca014e5fc2c65b1935,advocacy_groups_handles__1d956c22055872b3deb7054c4290d926
actorsequity,Actors' Equity,Union,214218,Reputation,ForeignMinistry,Actors' Equity,,advocacy_groups_handles,c227f55b9d81d4a9284eb61270280162,advocacy_groups_handles__3c8394c1e8b4d32e369db3f5679daf89
afgenational,AFGE,Union,214218,Reputation,ForeignMinister,AFGE,,advocacy_groups_handles,5234a5dd8ef4e50bb873f7c6b78c82b3,advocacy_groups_handles__9b5afe67c15f1206a50d0fff000697f1
afscme,AFSCME,Union,214218,Reputation,ForeignMinistry,AFSCME,,advocacy_groups_handles,bab0e8af6aac8ddf17375550535889c3,advocacy_groups_handles__a576e4ff4bd2f9c06baa00ea03891885
