handle,caption_name,location_lower,include_groups,entity_type,location,lat,long,exclude_groups,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
farmersweekly,Farmers Weekly,"sutton, uk",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Sutton, UK",51.3614279,-0.193961,,"51.3614279, -0.193961",AgriculturePress,Farmers Weekly,,agripress_dgm_agr_mentioner_entities,b32df0b238d99174d4a9fe90f619d1e9,agripress_dgm_agr_mentioner_entities__b32df0b238d99174d4a9fe90f619d1e9
westernproducer,The Western Producer,"saskatoon, canada",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Saskatoon, Canada",52.157902,-106.6701577,,"52.157902, -106.6701577",AgriculturePress,The Western Producer,,agripress_dgm_agr_mentioner_entities,e3ac4ac74235a554a47b07bd85f39875,agripress_dgm_agr_mentioner_entities__e3ac4ac74235a554a47b07bd85f39875
dtnpf,The Progressive Farmer,"birmingham, al",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Birmingham, AL",33.5185892,-86.8103567,,"33.5185892, -86.8103567",AgriculturePress,The Progressive Farmer,,agripress_dgm_agr_mentioner_entities,37b91f37e816c252170d3bbba7c3c98e,agripress_dgm_agr_mentioner_entities__37b91f37e816c252170d3bbba7c3c98e
biofuelsmag,Biofuels International,"morden, uk",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Morden, UK",51.394943,-0.19446,,"51.394943, -0.19446",AgriculturePress,Biofuels International,,agripress_dgm_agr_mentioner_entities,1595fb837f0658b3a0f44c24f96b2a77,agripress_dgm_agr_mentioner_entities__1595fb837f0658b3a0f44c24f96b2a77
farmjournal,Farm Journal,"philadelphia, pa",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Philadelphia, PA",39.9525839,-75.1652215,,"39.9525839, -75.1652215",AgriculturePress,Farm Journal,,agripress_dgm_agr_mentioner_entities,d92fe4d9736238b031a2991424f31e7f,agripress_dgm_agr_mentioner_entities__d92fe4d9736238b031a2991424f31e7f
farmersadviser,The Daily Scoop,"webster city, ia",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Webster City, IA",42.4694321,-93.8159149,,"42.4694321, -93.8159149",AgriculturePress,The Daily Scoop,,agripress_dgm_agr_mentioner_entities,e010184af8631c9abc005c866764dc19,agripress_dgm_agr_mentioner_entities__e010184af8631c9abc005c866764dc19
farmfutures,Farm Progress,"irving, tx",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Irving, TX",32.8140177,-96.9488945,,"32.8140177, -96.9488945",AgriculturePress,Farm Progress,,agripress_dgm_agr_mentioner_entities,bedae6161f658e275a4b4af1b80459e4,agripress_dgm_agr_mentioner_entities__bedae6161f658e275a4b4af1b80459e4
ethanolmagazine,Ethanol Producer Magazine,"grand forks, nd",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Grand Forks, ND",47.9252568,-97.0328547,,"47.9252568, -97.0328547",AgriculturePress,Ethanol Producer Magazine,,agripress_dgm_agr_mentioner_entities,e67f25ad6a3908e05d438fefd2cdf289,agripress_dgm_agr_mentioner_entities__e67f25ad6a3908e05d438fefd2cdf289
worldgrain,World Grain,"kansas city, mo",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Kansas City, MO",39.0997265,-94.5785667,,"39.0997265, -94.5785667",AgriculturePress,World Grain,,agripress_dgm_agr_mentioner_entities,6933e1c71a52ec2c3d906e74bb22b537,agripress_dgm_agr_mentioner_entities__6933e1c71a52ec2c3d906e74bb22b537
successfulfarm,Successful Farming,"des moines, io",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Des Moines, IO",41.5868353,-93.6249593,,"41.5868353, -93.6249593",AgriculturePress,Successful Farming,,agripress_dgm_agr_mentioner_entities,6ce9bfcd02810bac0fa137d38681ce58,agripress_dgm_agr_mentioner_entities__6ce9bfcd02810bac0fa137d38681ce58
profarmer,Pro Farmer,"cedar falls, ia",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Cedar Falls, IA",42.5348993,-92.4453161,,"42.5348993, -92.4453161",AgriculturePress,Pro Farmer,,agripress_dgm_agr_mentioner_entities,c1f64dc849b6d118040191667a6c4554,agripress_dgm_agr_mentioner_entities__c1f64dc849b6d118040191667a6c4554
agrilandireland,Agriland,"dublin, ireland",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Dublin, Ireland",53.3498053,-6.2603097,,"53.3498053, -6.2603097",AgriculturePress,Agriland,,agripress_dgm_agr_mentioner_entities,f608fc365d5db2e98f8be495d8741262,agripress_dgm_agr_mentioner_entities__f608fc365d5db2e98f8be495d8741262
nhf_magazine,National Hog Farmer,"st. charles, il",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"St. Charles, IL",41.9141945,-88.3086867,,"41.9141945, -88.3086867",AgriculturePress,National Hog Farmer,,agripress_dgm_agr_mentioner_entities,24f46a762561d3738d6b1d3c6340af8c,agripress_dgm_agr_mentioner_entities__24f46a762561d3738d6b1d3c6340af8c
fj_pork,Pork Business,"philadelphia, pa",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Philadelphia, PA",39.9525839,-75.1652215,,"39.9525839, -75.1652215",AgriculturePress,Pork Business,,agripress_dgm_agr_mentioner_entities,132e1125a7092087e36462c4fd7786d4,agripress_dgm_agr_mentioner_entities__132e1125a7092087e36462c4fd7786d4
