keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
amber,Amber,IndustryTerm,Amber,,amberalerttype,88068e33c78eb72f1b371c7110846085,amberalerttype__88068e33c78eb72f1b371c7110846085
silver,Silver,News,Silver,,amberalerttype,f96e345fdc19cbd4cf15256c251a39a0,amberalerttype__f96e345fdc19cbd4cf15256c251a39a0
endangered missing person,Endangered Missing Person,Legislator,Endangered Missing Person,,amberalerttype,28789b868f533fb53899215e4d470d6c,amberalerttype__28789b868f533fb53899215e4d470d6c
missing child,Missing Child,Pipeline,Missing Child,,amberalerttype,00907e97e496f3a1d0ed4440271d3778,amberalerttype__00907e97e496f3a1d0ed4440271d3778
blue,Blue,News,Blue,,amberalerttype,9594eec95be70e7b1710f730fdda33d9,amberalerttype__9594eec95be70e7b1710f730fdda33d9
clear,Clear,LegislativeCommittee,Clear,,amberalerttype,dc30bc0c7914db5918da4263fce93ad2,amberalerttype__dc30bc0c7914db5918da4263fce93ad2
camo,Camo,LegislativeCommittee,Camo,,amberalerttype,2fc3c3a57bb1dbaa8b7be1efa74c2005,amberalerttype__2fc3c3a57bb1dbaa8b7be1efa74c2005
endangered missing juvenile,Endangered Missing Child,Person,Endangered Missing Child,,amberalerttype,b7dd82fdbed9dc92fc96be8796e16730,amberalerttype__b7dd82fdbed9dc92fc96be8796e16730
endangered missing child,Endangered Missing Child,Pipeline,Endangered Missing Child,,amberalerttype,b7dd82fdbed9dc92fc96be8796e16730,amberalerttype__b7dd82fdbed9dc92fc96be8796e16730
endangered and missing,Endangered Missing Person,Wells,Endangered Missing Person,,amberalerttype,28789b868f533fb53899215e4d470d6c,amberalerttype__28789b868f533fb53899215e4d470d6c
missing endangered person,Endangered Missing Person,Exec,Endangered Missing Person,,amberalerttype,28789b868f533fb53899215e4d470d6c,amberalerttype__28789b868f533fb53899215e4d470d6c
missing person,Missing Person,Person,Missing Person,,amberalerttype,03b2c220d024b7e47e43ac56fce93b81,amberalerttype__03b2c220d024b7e47e43ac56fce93b81
missing and endangered,Endangered Missing Person,Wells,Endangered Missing Person,,amberalerttype,28789b868f533fb53899215e4d470d6c,amberalerttype__28789b868f533fb53899215e4d470d6c
missing adult,Missing Person,Consulates,Missing Person,,amberalerttype,03b2c220d024b7e47e43ac56fce93b81,amberalerttype__03b2c220d024b7e47e43ac56fce93b81
emergency missing child,Emergency Missing Child,Keyphrase,Emergency Missing Child,,amberalerttype,7edcac39f9a86ac99b8a8649d95f4ee0,amberalerttype__7edcac39f9a86ac99b8a8649d95f4ee0
missing senior,Missing Senior,Refinery,Missing Senior,,amberalerttype,8783a004bd522921136e67632bbf85fc,amberalerttype__8783a004bd522921136e67632bbf85fc
missing juvenile,Missing Child,Legislator,Missing Child,,amberalerttype,00907e97e496f3a1d0ed4440271d3778,amberalerttype__00907e97e496f3a1d0ed4440271d3778
endangered missing,Endangered Missing Person,Shipping,Endangered Missing Person,,amberalerttype,28789b868f533fb53899215e4d470d6c,amberalerttype__28789b868f533fb53899215e4d470d6c
