keyword,caption_name,location,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
kadena air base,US Kadena Air Base,a1,188258,ForeignMinistry,US Kadena Air Base,,basementions_mentionee,8ce2ae5fade4f1835f55204be80a073b,basementions_mentionee__8ce2ae5fade4f1835f55204be80a073b
marine corps air station futenma,US Marine Corps Air Station Futenma,a2,188258,AAEntity,US Marine Corps Air Station Futenma,,basementions_mentionee,886b6a618f2130c54b7c068ee465a83b,basementions_mentionee__886b6a618f2130c54b7c068ee465a83b
misawa air base,US Misawa Air Base,a3,188258,Consulates,US Misawa Air Base,,basementions_mentionee,9c6cc22a71137dcb6126ba907c6fc4bb,basementions_mentionee__9c6cc22a71137dcb6126ba907c6fc4bb
yokota air base,US Yokota Air Base,a4,188258,Pipeline,US Yokota Air Base,,basementions_mentionee,269e054d10292e6d801465aa6902a2da,basementions_mentionee__269e054d10292e6d801465aa6902a2da
camp zama,US Army installation Camp Zama,a5,188258,LegislativeCommittee,US Army installation Camp Zama,,basementions_mentionee,c91bfc9bdba2307c315ce19d5bb76dc8,basementions_mentionee__c91bfc9bdba2307c315ce19d5bb76dc8
torii station,US Army Garrison Torii Station,a6,188258,Shipping,US Army Garrison Torii Station,,basementions_mentionee,42103f5d4757562303b0e5270a580731,basementions_mentionee__42103f5d4757562303b0e5270a580731
camp courtney,US Marine Corps base Camp Courtney,a7,188258,Exec,US Marine Corps base Camp Courtney,,basementions_mentionee,3457caa9f33e72ce46d4aaca499742c5,basementions_mentionee__3457caa9f33e72ce46d4aaca499742c5
camp foster,US Marine Corps base Camp Foster,a8,188258,ForeignMinistry,US Marine Corps base Camp Foster,,basementions_mentionee,a3037314fbf5388e1675692f2f2babf7,basementions_mentionee__a3037314fbf5388e1675692f2f2babf7
camp fuji,US Marine Corps installation Camp Fuji,a9,188258,LegislativeCommittee,US Marine Corps installation Camp Fuji,,basementions_mentionee,6e05b6902a314b60072d858278277969,basementions_mentionee__6e05b6902a314b60072d858278277969
camp hansen,US Marine Corps base Camp Hansen,a10,188258,Legislator,US Marine Corps base Camp Hansen,,basementions_mentionee,4738dda22e70bd60fd7c331b177265f5,basementions_mentionee__4738dda22e70bd60fd7c331b177265f5
camp kinser,US Marine Corps base Camp Kinser,a11,188258,space,US Marine Corps base Camp Kinser,,basementions_mentionee,b38e587474742ec8cecd01d9f3dca1c7,basementions_mentionee__b38e587474742ec8cecd01d9f3dca1c7
camp mctureous,US Marine Corps base Camp McTureous,a12,188258,AAEntity,US Marine Corps base Camp McTureous,,basementions_mentionee,3c69857a20baf6ddf80913020e98c37e,basementions_mentionee__3c69857a20baf6ddf80913020e98c37e
marine corps air station iwakuni,US Marine Corps Air Station Iwakuni,a13,188258,Legislator,US Marine Corps Air Station Iwakuni,,basementions_mentionee,ae7f139a3326805e6158e5afe1da2baa,basementions_mentionee__ae7f139a3326805e6158e5afe1da2baa
marine corps base camp smedley d butler,US Marine Corps base Camp Smedley D Butler,a14,188258,Pipeline,US Marine Corps base Camp Smedley D Butler,,basementions_mentionee,941cbebaa8bd0b1d018ffcc6c99a5fd8,basementions_mentionee__941cbebaa8bd0b1d018ffcc6c99a5fd8
camp schwab,US Marine Corps base Camp Schwab,a15,188258,CompanyKeyword,US Marine Corps base Camp Schwab,,basementions_mentionee,86e9f2eac216ab794b51cebb4e74f273,basementions_mentionee__86e9f2eac216ab794b51cebb4e74f273
camp gonsalves,US Marine Corps base Camp Gonsalves,a16,188258,Refinery,US Marine Corps base Camp Gonsalves,,basementions_mentionee,d65d268da06a37ff3493d91bb52935e9,basementions_mentionee__d65d268da06a37ff3493d91bb52935e9
united states fleet activities yokosuka,US Commander Fleet Activities Yokosuka,a17,188258,Legislator,US Commander Fleet Activities Yokosuka,,basementions_mentionee,db8d6a451bd27ba98ab2cbe5d25e73dd,basementions_mentionee__db8d6a451bd27ba98ab2cbe5d25e73dd
united states fleet activities sasebo,US Commander Fleet Activities Sasebo,a18,188258,space,US Commander Fleet Activities Sasebo,,basementions_mentionee,5454d97ac419db347141409540ba3aad,basementions_mentionee__5454d97ac419db347141409540ba3aad
naval air facility atsugi,US Naval Air Facility Atsugi,a19,188258,ForeignMinistry,US Naval Air Facility Atsugi,,basementions_mentionee,fb95d2fb0ab0f2fcdbc048f064438d45,basementions_mentionee__fb95d2fb0ab0f2fcdbc048f064438d45
robertson barracks,US Marine Corps Rotational Force Darwin at Robertson Barracks,a20,188258,AAEntity,US Marine Corps Rotational Force Darwin at Robertson Barracks,,basementions_mentionee,0ff4868ab8d121e6dec52b9cec0ea9ec,basementions_mentionee__0ff4868ab8d121e6dec52b9cec0ea9ec
camp lester,US Marine Corps base Camp Lester,a21,188258,IndustryTerm,US Marine Corps base Camp Lester,,basementions_mentionee,8ffa0c58a0718f8ffc76679472340d3f,basementions_mentionee__8ffa0c58a0718f8ffc76679472340d3f
"naval computer and telecommunications station, far east","US Naval Computer and Telecommunications Station, Far East",a22,188258,DiplomaticFacilities,"US Naval Computer and Telecommunications Station, Far East",,basementions_mentionee,4fd4e2d82c19bec12b24438d1f0d9c8c,basementions_mentionee__4fd4e2d82c19bec12b24438d1f0d9c8c
"naval computer and telecommunications station naples, italy",US Naval Computer and Telecommunications Station Naples,a23,188258,LegislativeCommittee,US Naval Computer and Telecommunications Station Naples,,basementions_mentionee,ca84f59f790b4b40bd2d41a9b270bea0,basementions_mentionee__ca84f59f790b4b40bd2d41a9b270bea0
naval support activity naples,US Naval Support Activity Naples,a24,188258,Media,US Naval Support Activity Naples,,basementions_mentionee,e7c1a4c1075bc9436290fa5a8d273fde,basementions_mentionee__e7c1a4c1075bc9436290fa5a8d273fde
naval air station sigonella,US Naval Air Station Sigonella,a25,188258,CompanyKeyword,US Naval Air Station Sigonella,,basementions_mentionee,3aeb46fc47a60deb67aac692f7631617,basementions_mentionee__3aeb46fc47a60deb67aac692f7631617
caserma ederle,US Army installation Camp Ederle,a26,188258,Media,US Army installation Camp Ederle,,basementions_mentionee,e5a897fd43cc630d41078b33893230d7,basementions_mentionee__e5a897fd43cc630d41078b33893230d7
darby military community,US Army installation Camp Darby,a27,188258,Exec,US Army installation Camp Darby,,basementions_mentionee,16c7cf5ac113bedf5d58c55dc600b1a6,basementions_mentionee__16c7cf5ac113bedf5d58c55dc600b1a6
aviano air base,Aviano Air Base,a28,188258,Media,Aviano Air Base,,basementions_mentionee,3f4c1bc5b38c50e58345288fccbe5fec,basementions_mentionee__3f4c1bc5b38c50e58345288fccbe5fec
al asad airbase,Ain al-Asad Air Base,a29,188258,Organization,Ain al-Asad Air Base,,basementions_mentionee,31d211b21b1c2ef4d5112262550dc071,basementions_mentionee__31d211b21b1c2ef4d5112262550dc071
kunsan air base,US Kunsan Air Base,a30,188258,Organization,US Kunsan Air Base,,basementions_mentionee,46c0ec8eaa613f68246d0ef43165e706,basementions_mentionee__46c0ec8eaa613f68246d0ef43165e706
osan air base,US Osan Air Base,a31,188258,Wells,US Osan Air Base,,basementions_mentionee,1764168273d001648bb918fe80401efc,basementions_mentionee__1764168273d001648bb918fe80401efc
"camp carroll, south korea",US Army Base Camp Carroll,a32,188258,Media,US Army Base Camp Carroll,,basementions_mentionee,c47ce06e26eb48d45395d990aa26353e,basementions_mentionee__c47ce06e26eb48d45395d990aa26353e
camp humphreys,US Army Garrison Camp Humphreys,a33,188258,Person,US Army Garrison Camp Humphreys,,basementions_mentionee,8df2dcf87217c9add16256815217bb6b,basementions_mentionee__8df2dcf87217c9add16256815217bb6b
camp market,US Army Base Camp Market,a34,188258,News,US Army Base Camp Market,,basementions_mentionee,4aede7c20649ef238ab9b5502d78bfb9,basementions_mentionee__4aede7c20649ef238ab9b5502d78bfb9
camp red cloud,US Army Base Camp Red Cloud,a35,188258,DiplomaticFacilities,US Army Base Camp Red Cloud,,basementions_mentionee,d1e2b0d52e6379b22b3ed87393e9c269,basementions_mentionee__d1e2b0d52e6379b22b3ed87393e9c269
camp hovey,US Army Base Camp Hovey,a36,188258,FTO,US Army Base Camp Hovey,,basementions_mentionee,a008a27185b2bac08606d07d8939b5c2,basementions_mentionee__a008a27185b2bac08606d07d8939b5c2
"camp casey, south korea",US Army Base Camp Casey,a37,188258,Diplomat,US Army Base Camp Casey,,basementions_mentionee,11f2096b464ed9c27459e545f11778a3,basementions_mentionee__11f2096b464ed9c27459e545f11778a3
seoul air base,US Seoul Air Base,a38,188258,Consulates,US Seoul Air Base,,basementions_mentionee,e39e7bc94e9f1555cf367a358c870918,basementions_mentionee__e39e7bc94e9f1555cf367a358c870918
yongsan garrison,US Army Garrison Yongsan,a39,188258,Exec,US Army Garrison Yongsan,,basementions_mentionee,c3d2ff082627e8ee37e18a8b27360423,basementions_mentionee__c3d2ff082627e8ee37e18a8b27360423
united states army garrison daegu,US Army Garrison Daegu,a40,188258,Media,US Army Garrison Daegu,,basementions_mentionee,d9555d8748e13483872680396e6aa484,basementions_mentionee__d9555d8748e13483872680396e6aa484
commander fleet activities chinhae,US Commander Fleet Activities Chinhae,a41,188258,Wells,US Commander Fleet Activities Chinhae,,basementions_mentionee,ffb8c17c47465100663b6080afea1266,basementions_mentionee__ffb8c17c47465100663b6080afea1266
bagram airfield,former US Bagram Air Base,a42,188258,FTO,former US Bagram Air Base,,basementions_mentionee,3f6e512b782375f24a2c1e95c0d744d8,basementions_mentionee__3f6e512b782375f24a2c1e95c0d744d8
camp dwyer,US forward operating base Camp Dwyer,a43,188258,IndustryTerm,US forward operating base Camp Dwyer,,basementions_mentionee,8e8c9f85df849947b1d4c88bc6dc624b,basementions_mentionee__8e8c9f85df849947b1d4c88bc6dc624b
ramstein air base,US Ramstein Air Base,a44,188258,Person,US Ramstein Air Base,,basementions_mentionee,e2ce1e2c942ee0c9834fca4fd6338c88,basementions_mentionee__e2ce1e2c942ee0c9834fca4fd6338c88
spangdahlem air base,US Spangdahlem Air Base,a45,188258,Shipping,US Spangdahlem Air Base,,basementions_mentionee,daefd9d52ee29b0636171ec5e1dad989,basementions_mentionee__daefd9d52ee29b0636171ec5e1dad989
katterbach kaserne,US Army Air Station Katterbach Kaserne,a46,188258,Media,US Army Air Station Katterbach Kaserne,,basementions_mentionee,297516b14293e21b6fd7e885b0ae9646,basementions_mentionee__297516b14293e21b6fd7e885b0ae9646
dagger complex,US Army Base Dagger Complex,a47,188258,IndustryTerm,US Army Base Dagger Complex,,basementions_mentionee,4025552f7afb038f1647585509a236f4,basementions_mentionee__4025552f7afb038f1647585509a236f4
u s army garrison bavaria,US Army Garrison Bavaria,a48,188258,LegislativeCommittee,US Army Garrison Bavaria,,basementions_mentionee,3398aa22dec30b2c2e6cc48964eed1c6,basementions_mentionee__3398aa22dec30b2c2e6cc48964eed1c6
patch barracks,US Army installation Patch Barracks,a49,188258,Consulates,US Army installation Patch Barracks,,basementions_mentionee,590857591b860f1661c7dc9968ae5f68,basementions_mentionee__590857591b860f1661c7dc9968ae5f68
panzer kaserne,US Army installation Panzer Kaserne,a50,188258,IndustryTerm,US Army installation Panzer Kaserne,,basementions_mentionee,58950e7c3ca88ade90bb11daecdb2168,basementions_mentionee__58950e7c3ca88ade90bb11daecdb2168
lucius d clay kaserne,US Army installation Lucius D Clay Kaserne,a51,188258,Wells,US Army installation Lucius D Clay Kaserne,,basementions_mentionee,75ebbc34f075d75086a5c0d94e41eec4,basementions_mentionee__75ebbc34f075d75086a5c0d94e41eec4
landstuhl regional medical center,US Army Landstuhl Regional Medical Center,a52,188258,Refinery,US Army Landstuhl Regional Medical Center,,basementions_mentionee,e9451cc0b4045050b7f83645b43e3466,basementions_mentionee__e9451cc0b4045050b7f83645b43e3466
nato air base geilenkirchen,NATO Air Base Geilenkirchen,a53,188258,IndustryTerm,NATO Air Base Geilenkirchen,,basementions_mentionee,cc2d9ce405ddfcab0ce5d5e1986b7b56,basementions_mentionee__cc2d9ce405ddfcab0ce5d5e1986b7b56
al dhafra air base,Al Dhafra Air Base,a54,188258,IndustryTerm,Al Dhafra Air Base,,basementions_mentionee,603485a01ff0ebe889e00a9282bf45f3,basementions_mentionee__603485a01ff0ebe889e00a9282bf45f3
raf alconbury,UK RAF Alconbury,a55,188258,News,UK RAF Alconbury,,basementions_mentionee,ca453ae0a3233e56ab55354418ad8fcc,basementions_mentionee__ca453ae0a3233e56ab55354418ad8fcc
raf fairford,UK RAF Fairford,a56,188258,DiplomaticFacilities,UK RAF Fairford,,basementions_mentionee,b2ea54f31198c6bda9498959ed675266,basementions_mentionee__b2ea54f31198c6bda9498959ed675266
raf lakenheath,UK RAF Lakenheath,a57,188258,FTO,UK RAF Lakenheath,,basementions_mentionee,14cd2b60791f43da79b4e0be44b0d9f2,basementions_mentionee__14cd2b60791f43da79b4e0be44b0d9f2
raf mildenhall,UK RAF Mildenhall,a58,188258,DiplomaticFacilities,UK RAF Mildenhall,,basementions_mentionee,15bd2b829a7f7c731ce01de118f82c7a,basementions_mentionee__15bd2b829a7f7c731ce01de118f82c7a
