handle,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
jblm_pao,JBLM News,Refinery,JBLM News,,basementions_mentioner,8833011b49005f27888d609a4d577de4,basementions_mentioner__8833011b49005f27888d609a4d577de4
abc7,ABC7,Legislator,ABC7,,basementions_mentioner,aa15d744f2013d0b0e6bf4fce120e88b,basementions_mentioner__aa15d744f2013d0b0e6bf4fce120e88b
theitem,The Sumter Item,Shipping,The Sumter Item,,basementions_mentioner,7429c82a666ee512792d50b3eac11ea1,basementions_mentioner__7429c82a666ee512792d50b3eac11ea1
kansasdotcom,The Wichita Eagle,Consulates,The Wichita Eagle,,basementions_mentioner,e75481e69833ca717ee6fb413fb1b076,basementions_mentioner__e75481e69833ca717ee6fb413fb1b076
hawaiinewsnow,Hawaii News Now,AAEntity,Hawaii News Now,,basementions_mentioner,34fdf0c8104d943c2af9967f34af8049,basementions_mentioner__34fdf0c8104d943c2af9967f34af8049
rcjournal,Rapid City Journal,Keyphrase,Rapid City Journal,,basementions_mentioner,51b52fec8a8b2957fc9185ed73312601,basementions_mentioner__51b52fec8a8b2957fc9185ed73312601
lompocrecord,Lompoc Record,Legislator,Lompoc Record,,basementions_mentioner,5d8766b4ceb02c4facd52f6328e0767e,basementions_mentioner__5d8766b4ceb02c4facd52f6328e0767e
wwlp22news,WWLP,Keyphrase,WWLP,,basementions_mentioner,377036e2db3b114364bb691af2f108ce,basementions_mentioner__377036e2db3b114364bb691af2f108ce
spacecoastdaily,Space Coast Daily,Consulates,Space Coast Daily,,basementions_mentioner,85a46cf216b04f74858b9f9e0a498074,basementions_mentioner__85a46cf216b04f74858b9f9e0a498074
enidnews,Enid News & Eagle,IndustryTerm,Enid News & Eagle,,basementions_mentioner,0aa694fb02c47b4ec79557fd7035f972,basementions_mentioner__0aa694fb02c47b4ec79557fd7035f972
kswo_7news,KSWO 7News,ForeignMinister,KSWO 7News,,basementions_mentioner,31adaeb4465bfb0636462a4cca72f01d,basementions_mentioner__31adaeb4465bfb0636462a4cca72f01d
cbssacramento,CBS Sacramento,AAEntity,CBS Sacramento,,basementions_mentioner,860934bc18a22e076bc6b707af316ea0,basementions_mentioner__860934bc18a22e076bc6b707af316ea0
ksatnews,KSAT,Exec,KSAT,,basementions_mentioner,61dbc6340c17be99309b60f944110965,basementions_mentioner__61dbc6340c17be99309b60f944110965
cbsla,CBS Los Angeles,space,CBS Los Angeles,,basementions_mentioner,63e3fd8e5b29d60f754d963b94f39234,basementions_mentioner__63e3fd8e5b29d60f754d963b94f39234
mgmadvertiser,Montgomery Advertiser,Wells,Montgomery Advertiser,,basementions_mentioner,4f35e520f3de3af666555866e490fc37,basementions_mentioner__4f35e520f3de3af666555866e490fc37
arkansasonline,The Arkansas Democrat-Gazette,LegislativeCommittee,The Arkansas Democrat-Gazette,,basementions_mentioner,074ae4ccec6ca913c02c50caaef92e91,basementions_mentioner__074ae4ccec6ca913c02c50caaef92e91
