handle,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
jblm_pao,JBLM News,AAEntity,JBLM News,,basementions_mentionereng,8833011b49005f27888d609a4d577de4,basementions_mentionereng__8833011b49005f27888d609a4d577de4
abc7,ABC7,Wells,ABC7,,basementions_mentionereng,aa15d744f2013d0b0e6bf4fce120e88b,basementions_mentionereng__aa15d744f2013d0b0e6bf4fce120e88b
theitem,The Sumter Item,DiplomaticFacilities,The Sumter Item,,basementions_mentionereng,7429c82a666ee512792d50b3eac11ea1,basementions_mentionereng__7429c82a666ee512792d50b3eac11ea1
kansasdotcom,The Wichita Eagle,Media,The Wichita Eagle,,basementions_mentionereng,e75481e69833ca717ee6fb413fb1b076,basementions_mentionereng__e75481e69833ca717ee6fb413fb1b076
hawaiinewsnow,Hawaii News Now,Person,Hawaii News Now,,basementions_mentionereng,34fdf0c8104d943c2af9967f34af8049,basementions_mentionereng__34fdf0c8104d943c2af9967f34af8049
rcjournal,Rapid City Journal,News,Rapid City Journal,,basementions_mentionereng,51b52fec8a8b2957fc9185ed73312601,basementions_mentionereng__51b52fec8a8b2957fc9185ed73312601
lompocrecord,Lompoc Record,Refinery,Lompoc Record,,basementions_mentionereng,5d8766b4ceb02c4facd52f6328e0767e,basementions_mentionereng__5d8766b4ceb02c4facd52f6328e0767e
wwlp22news,WWLP,Organization,WWLP,,basementions_mentionereng,377036e2db3b114364bb691af2f108ce,basementions_mentionereng__377036e2db3b114364bb691af2f108ce
spacecoastdaily,Space Coast Daily,Media,Space Coast Daily,,basementions_mentionereng,85a46cf216b04f74858b9f9e0a498074,basementions_mentionereng__85a46cf216b04f74858b9f9e0a498074
enidnews,Enid News & Eagle,Person,Enid News & Eagle,,basementions_mentionereng,0aa694fb02c47b4ec79557fd7035f972,basementions_mentionereng__0aa694fb02c47b4ec79557fd7035f972
kswo_7news,KSWO 7News,ForeignMinistry,KSWO 7News,,basementions_mentionereng,31adaeb4465bfb0636462a4cca72f01d,basementions_mentionereng__31adaeb4465bfb0636462a4cca72f01d
cbssacramento,CBS Sacramento,ForeignMinister,CBS Sacramento,,basementions_mentionereng,860934bc18a22e076bc6b707af316ea0,basementions_mentionereng__860934bc18a22e076bc6b707af316ea0
ksatnews,KSAT,Wells,KSAT,,basementions_mentionereng,61dbc6340c17be99309b60f944110965,basementions_mentionereng__61dbc6340c17be99309b60f944110965
cbsla,CBS Los Angeles,Refinery,CBS Los Angeles,,basementions_mentionereng,63e3fd8e5b29d60f754d963b94f39234,basementions_mentionereng__63e3fd8e5b29d60f754d963b94f39234
mgmadvertiser,Montgomery Advertiser,Wells,Montgomery Advertiser,,basementions_mentionereng,4f35e520f3de3af666555866e490fc37,basementions_mentionereng__4f35e520f3de3af666555866e490fc37
arkansasonline,The Arkansas Democrat-Gazette,Keyphrase,The Arkansas Democrat-Gazette,,basementions_mentionereng,074ae4ccec6ca913c02c50caaef92e91,basementions_mentionereng__074ae4ccec6ca913c02c50caaef92e91
annistonstar,Anniston Star,FTO,Anniston Star,,basementions_mentionereng,423d8374483823f57df40c2fab09e05f,basementions_mentionereng__423d8374483823f57df40c2fab09e05f
elpasotimes,El Paso Times,FTO,El Paso Times,,basementions_mentionereng,7b922c383ee470e3e32d71ef51262419,basementions_mentionereng__7b922c383ee470e3e32d71ef51262419
macombdaily,Macomb Daily,Pipeline,Macomb Daily,,basementions_mentionereng,3da99c981daa6bd91c037a12a09efdde,basementions_mentionereng__3da99c981daa6bd91c037a12a09efdde
8news,8NEWS,LegislativeCommittee,8NEWS,,basementions_mentionereng,936cdcd384c4693e9d94de277135ff2d,basementions_mentionereng__936cdcd384c4693e9d94de277135ff2d
tullahomanews,Tullahoma News,Pipeline,Tullahoma News,,basementions_mentionereng,e5ef8445b11c2a9df8941ab36fd389c7,basementions_mentionereng__e5ef8445b11c2a9df8941ab36fd389c7
dispatch_argus,The Dispatch Argus,Legislator,The Dispatch Argus,,basementions_mentionereng,8737d3f45effe2edece75a99ad2a96ee,basementions_mentionereng__8737d3f45effe2edece75a99ad2a96ee
azds,Arizona Daily Sun,LegislativeCommittee,Arizona Daily Sun,,basementions_mentionereng,b8e92dc6a0317563a9465d4561c9341e,basementions_mentionereng__b8e92dc6a0317563a9465d4561c9341e
timesnewsonline,Times News,AAEntity,Times News,,basementions_mentionereng,e1e9c1a3f26e3ec9789f028a3ff3bfa0,basementions_mentionereng__e1e9c1a3f26e3ec9789f028a3ff3bfa0
plaqgazette,Plaquemines Gazette,ForeignMinistry,Plaquemines Gazette,,basementions_mentionereng,aeeef03c01f7c5b9d0f83f3dabfaa0b1,basementions_mentionereng__aeeef03c01f7c5b9d0f83f3dabfaa0b1
richmondrnews,Richmond Register,Shipping,Richmond Register,,basementions_mentionereng,c6753176d07afe728c9399b1680da035,basementions_mentionereng__c6753176d07afe728c9399b1680da035
mysa,My San Antonio,Consulates,My San Antonio,,basementions_mentionereng,a2c74ec27113f76ee6b8a0e08cdc05ae,basementions_mentionereng__a2c74ec27113f76ee6b8a0e08cdc05ae
bklyneagle,Brooklyn Daily Eagle,ForeignMinister,Brooklyn Daily Eagle,,basementions_mentionereng,afba0b5c9f17f986ef40e238bf0dd814,basementions_mentionereng__afba0b5c9f17f986ef40e238bf0dd814
pinebeltnews,Pine Belt News,ForeignMinistry,Pine Belt News,,basementions_mentionereng,57fe85b5d9d11ec34d36f52caf813274,basementions_mentionereng__57fe85b5d9d11ec34d36f52caf813274
jdnews,The Daily News,space,The Daily News,,basementions_mentionereng,d8a067c94c5aa4cfe9a65f8f17fa18a8,basementions_mentionereng__d8a067c94c5aa4cfe9a65f8f17fa18a8
egreenwichnews,East Greenwich News,Exec,East Greenwich News,,basementions_mentionereng,e01da69607ac73c153b40a65923e93a0,basementions_mentionereng__e01da69607ac73c153b40a65923e93a0
ccavalanche,Crawford County Avalanche,DiplomaticFacilities,Crawford County Avalanche,,basementions_mentionereng,e1212af6aaf20ff564c26e2a03cd2915,basementions_mentionereng__e1212af6aaf20ff564c26e2a03cd2915
muskogeephoenix,Muskogee Phoenix,Wells,Muskogee Phoenix,,basementions_mentionereng,71ca46aab74dff5c6886cb1be461f488,basementions_mentionereng__71ca46aab74dff5c6886cb1be461f488
guernseygazette,The Guernsey Gazette,Refinery,The Guernsey Gazette,,basementions_mentionereng,aa27c64593eefe4dba4946389119ce7e,basementions_mentionereng__aa27c64593eefe4dba4946389119ce7e
gtimes,Gainsville Times,Wells,Gainsville Times,,basementions_mentionereng,6b5d795ab64b7195b09b40e866ddf843,basementions_mentionereng__6b5d795ab64b7195b09b40e866ddf843
sdut,San Diego Union Tribune,FTO,San Diego Union Tribune,,basementions_mentionereng,d0e9de74575227ec8dfd8cea05a991c7,basementions_mentionereng__d0e9de74575227ec8dfd8cea05a991c7
dailyastorian,The Astorian,DiplomaticFacilities,The Astorian,,basementions_mentionereng,77d79c67efe4c5aacdbad8037c106551,basementions_mentionereng__77d79c67efe4c5aacdbad8037c106551
bastropnews,Austin American-Statesman,Legislator,Austin American-Statesman,,basementions_mentionereng,2bb268e32ac45698b90fede4fb150a64,basementions_mentionereng__2bb268e32ac45698b90fede4fb150a64
easternnmnews,The Eastern New Mexico News,space,The Eastern New Mexico News,,basementions_mentionereng,eb36eeefb2faf2dfbabc640fe5ee18b0,basementions_mentionereng__eb36eeefb2faf2dfbabc640fe5ee18b0
cumberlink,The Sentinel,LegislativeCommittee,The Sentinel,,basementions_mentionereng,e6278b93876757d4f2f796fb11d6f1ec,basementions_mentionereng__e6278b93876757d4f2f796fb11d6f1ec
