handle,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
ryukyushimpo,Ryukyu Shimpo,LegislativeCommittee,Ryukyu Shimpo,,basementions_mentionerfor,4a123a994a15cfbb36b983953c0764a2,basementions_mentionerfor__4a123a994a15cfbb36b983953c0764a2
daily_tohoku,Daily Tohoku Shimbun,Pipeline,Daily Tohoku Shimbun,,basementions_mentionerfor,b62942ada42ffcd7f722f01a956af50b,basementions_mentionerfor__b62942ada42ffcd7f722f01a956af50b
tokyo_shimbun,Tokyo Shimbun,DiplomaticFacilities,Tokyo Shimbun,,basementions_mentionerfor,6be86021864c529457120fcac73de1fb,basementions_mentionerfor__6be86021864c529457120fcac73de1fb
shizushin,Your Shizuoka Shimbun,LegislativeCommittee,Your Shizuoka Shimbun,,basementions_mentionerfor,432f147411def7b63d3faedb023ef157,basementions_mentionerfor__432f147411def7b63d3faedb023ef157
chugokushimbun,Chugoku Shimbun,Refinery,Chugoku Shimbun,,basementions_mentionerfor,39f6f40575792873767843ed47900a74,basementions_mentionerfor__39f6f40575792873767843ed47900a74
asahi_yokohama,Asahi Yokohama,Diplomat,Asahi Yokohama,,basementions_mentionerfor,489d825f1cbcce47e80dec78e1dfd470,basementions_mentionerfor__489d825f1cbcce47e80dec78e1dfd470
nagasaki_np,Nagasaki Shimbun,Consulates,Nagasaki Shimbun,,basementions_mentionerfor,4a9000dd46a96bf050cbf93da1c3c109,basementions_mentionerfor__4a9000dd46a96bf050cbf93da1c3c109
abcdarwin,ABC News Darwin,ForeignMinister,ABC News Darwin,,basementions_mentionerfor,b458799345317277ea4eaa3fcb448782,basementions_mentionerfor__b458799345317277ea4eaa3fcb448782
mattinodinapoli,Il Mattino,FTO,Il Mattino,,basementions_mentionerfor,4bc5b73588b35519713765a95403de24,basementions_mentionerfor__4bc5b73588b35519713765a95403de24
cataniatoday,Catania Today,Keyphrase,Catania Today,,basementions_mentionerfor,c7e77a47753be10422072cc9d51953ca,basementions_mentionerfor__c7e77a47753be10422072cc9d51953ca
vicenzapiu_com,VicenzaPiù,Wells,VicenzaPiù,,basementions_mentionerfor,497a4c5e0dcda6b2d31aa5a1aab0b08e,basementions_mentionerfor__497a4c5e0dcda6b2d31aa5a1aab0b08e
iltirreno,Il Tirreno,Keyphrase,Il Tirreno,,basementions_mentionerfor,b9359fefd54b8aa0656edf9866b08b3f,basementions_mentionerfor__b9359fefd54b8aa0656edf9866b08b3f
udinetoday,Udine Today,ForeignMinistry,Udine Today,,basementions_mentionerfor,4856800c28b73d3a2feb48e9ff92816c,basementions_mentionerfor__4856800c28b73d3a2feb48e9ff92816c
yonhaptweet,Yonhap News Agency,AAEntity,Yonhap News Agency,,basementions_mentionerfor,c2b55091efe4d0db1d9ab5b26739c4de,basementions_mentionerfor__c2b55091efe4d0db1d9ab5b26739c4de
nunnasia,nunn.asia,IndustryTerm,nunn.asia,,basementions_mentionerfor,fe2fd3e8566e39f9f113cefe28201d6d,basementions_mentionerfor__fe2fd3e8566e39f9f113cefe28201d6d
tolonews,TOLOnews,LegislativeCommittee,TOLOnews,,basementions_mentionerfor,fcba2c1194351db6d625f74549b66364,basementions_mentionerfor__fcba2c1194351db6d625f74549b66364
rheinpfalz,Die Rheinpfalz,Wells,Die Rheinpfalz,,basementions_mentionerfor,4162fd6db77c33a7e6337b48a39a2bcc,basementions_mentionerfor__4162fd6db77c33a7e6337b48a39a2bcc
br24,BR24,ForeignMinistry,BR24,,basementions_mentionerfor,616cc90bda6a0844725328f5bcd7e7d9,basementions_mentionerfor__616cc90bda6a0844725328f5bcd7e7d9
echo_online,Echo,ForeignMinister,Echo,,basementions_mentionerfor,d31ef811301c6b4111380dda959d6125,basementions_mentionerfor__d31ef811301c6b4111380dda959d6125
nordbayern,Nord Bayern,Shipping,Nord Bayern,,basementions_mentionerfor,ce05af74fb6d15a70b3bf341489685cc,basementions_mentionerfor__ce05af74fb6d15a70b3bf341489685cc
stn_news,Sttruttgarter Nachrichten,Wells,Sttruttgarter Nachrichten,,basementions_mentionerfor,9f749bb58c85d991da81684028ddcf44,basementions_mentionerfor__9f749bb58c85d991da81684028ddcf44
wknachrichten,Wiesbadener Kurier,LegislativeCommittee,Wiesbadener Kurier,,basementions_mentionerfor,cc3d43d6a43e54f28b67ee8a7a07e8e8,basementions_mentionerfor__cc3d43d6a43e54f28b67ee8a7a07e8e8
aachenerzeitung,Aachener Zeitung,Person,Aachener Zeitung,,basementions_mentionerfor,f8fe60615a5aa1425a1235f89b260e46,basementions_mentionerfor__f8fe60615a5aa1425a1235f89b260e46
huntspost,The Hunts Post,Refinery,The Hunts Post,,basementions_mentionerfor,555d0af3a14b4a123ee111d32558d998,basementions_mentionerfor__555d0af3a14b4a123ee111d32558d998
raffdspotters,RAF Fairford Spotters,AAEntity,RAF Fairford Spotters,,basementions_mentionerfor,ebe2a89fa74d495e2c9e1963c8acf20e,basementions_mentionerfor__ebe2a89fa74d495e2c9e1963c8acf20e
thestrayferret,The Stray Ferret,ForeignMinistry,The Stray Ferret,,basementions_mentionerfor,f80948806a2ccbb4dd30ef4d79f1e518,basementions_mentionerfor__f80948806a2ccbb4dd30ef4d79f1e518
diariocadiz,Diario de Cadiz,Legislator,Diario de Cadiz,,basementions_mentionerfor,668d7f6db92390bce543d3c4541fa85f,basementions_mentionerfor__668d7f6db92390bce543d3c4541fa85f
diariosevilla,Diario de Sevilla,AAEntity,Diario de Sevilla,,basementions_mentionerfor,50c48ff13cdcef8e10b7804a6e6f1786,basementions_mentionerfor__50c48ff13cdcef8e10b7804a6e6f1786
bna_ar,Bahrain News Agency,LegislativeCommittee,Bahrain News Agency,,basementions_mentionerfor,de90835d8f07effd97ad3d7e88982265,basementions_mentionerfor__de90835d8f07effd97ad3d7e88982265
bladetlokalavis,Bladet,Legislator,Bladet,,basementions_mentionerfor,20f549e71e5c31b91f33b68c96478a93,basementions_mentionerfor__20f549e71e5c31b91f33b68c96478a93
fosnafolket,Fosna Folket,FTO,Fosna Folket,,basementions_mentionerfor,3e277559f02f073bf135c5c38c977124,basementions_mentionerfor__3e277559f02f073bf135c5c38c977124
lavenir_net,La venir,Legislator,La venir,,basementions_mentionerfor,fff0847584c14247769245cc8fcdc005,basementions_mentionerfor__fff0847584c14247769245cc8fcdc005
alraimediagroup,al-Rai,Wells,al-Rai,,basementions_mentionerfor,99c95cb325193e596549c7e5554e1e50,basementions_mentionerfor__99c95cb325193e596549c7e5554e1e50
koravko,YambolPres,Wells,YambolPres,,basementions_mentionerfor,555fb7a1f9bf66101d02ce298be645c2,basementions_mentionerfor__555fb7a1f9bf66101d02ce298be645c2
monitor_agency,Monitor,LegislativeCommittee,Monitor,,basementions_mentionerfor,d2986ac8cb6bd55892099c1ffd6b1f6f,basementions_mentionerfor__d2986ac8cb6bd55892099c1ffd6b1f6f
darikplovdiv,Darik Radio,LegislativeCommittee,Darik Radio,,basementions_mentionerfor,d4835fe58cfee6c203abb5d6ee273031,basementions_mentionerfor__d4835fe58cfee6c203abb5d6ee273031
merkur_de,Merkur,Person,Merkur,,basementions_mentionerfor,2c5545b326c663b9815bbead3690ab22,basementions_mentionerfor__2c5545b326c663b9815bbead3690ab22
ferizaj24,Ferizaj24,Legislator,Ferizaj24,,basementions_mentionerfor,e90d5be45c732d452932a00257466366,basementions_mentionerfor__e90d5be45c732d452932a00257466366
voixdedjibouti,La Voix de Djibouti,Diplomat,La Voix de Djibouti,,basementions_mentionerfor,4e73c6f4028f25b0dc34661eb11dd2ff,basementions_mentionerfor__4e73c6f4028f25b0dc34661eb11dd2ff
neakritigr,Nea Kriti,Shipping,Nea Kriti,,basementions_mentionerfor,45ca862862dcdd6a5a21e764b08e43ca,basementions_mentionerfor__45ca862862dcdd6a5a21e764b08e43ca
dxb_barq,Barq Dubai,ForeignMinister,Barq Dubai,,basementions_mentionerfor,e92f0c2278008623c03287966fa1ab52,basementions_mentionerfor__e92f0c2278008623c03287966fa1ab52
anadoluajansi,Anadlou Agency,Pipeline,Anadlou Agency,,basementions_mentionerfor,6e62cc63241283b9c8b4da3e11d637d6,basementions_mentionerfor__6e62cc63241283b9c8b4da3e11d637d6
vgtvolt,VGtv Regional,Consulates,VGtv Regional,,basementions_mentionerfor,914dfc495de05ba4b4be61ad317bf43b,basementions_mentionerfor__914dfc495de05ba4b4be61ad317bf43b
ziuadeconstanta,Ziua de Constanta,Exec,Ziua de Constanta,,basementions_mentionerfor,cebbdbcfc642bc39d557c91263d4ab68,basementions_mentionerfor__cebbdbcfc642bc39d557c91263d4ab68
ajabreaking,Al-Jazeera,Organization,Al-Jazeera,,basementions_mentionerfor,a71d31eb2a9c4addaaf13770a1ef1cb0,basementions_mentionerfor__a71d31eb2a9c4addaaf13770a1ef1cb0
latribunahn,Diario La Tribuna,Person,Diario La Tribuna,,basementions_mentionerfor,8100d08fe981f3ee9a51a8083c5b4ca3,basementions_mentionerfor__8100d08fe981f3ee9a51a8083c5b4ca3
observadorpt,Observador,CompanyKeyword,Observador,,basementions_mentionerfor,08dddfcba663e03ddc2afc1c7cfa512b,basementions_mentionerfor__08dddfcba663e03ddc2afc1c7cfa512b
highnorthnews,High North News,Organization,High North News,,basementions_mentionerfor,8feacc78ddb1d5d7c3b7a1ace62bcc3d,basementions_mentionerfor__8feacc78ddb1d5d7c3b7a1ace62bcc3d
hbvl,HBVL,Exec,HBVL,,basementions_mentionerfor,cc202fa262b3187af96c61b9d58b62c1,basementions_mentionerfor__cc202fa262b3187af96c61b9d58b62c1
harjuelu,Harju Elu,ForeignMinister,Harju Elu,,basementions_mentionerfor,ba99c2d2ae9e528fe6d5ade73b714279,basementions_mentionerfor__ba99c2d2ae9e528fe6d5ade73b714279
actuniger,Actu Niger,ForeignMinister,Actu Niger,,basementions_mentionerfor,fe01a8b5b34c525ca36cba5f66962c6a,basementions_mentionerfor__fe01a8b5b34c525ca36cba5f66962c6a
airinfoagadez,Air Info,DiplomaticFacilities,Air Info,,basementions_mentionerfor,27c4fb54ab75e577fbd8bd17e6e88b62,basementions_mentionerfor__27c4fb54ab75e577fbd8bd17e6e88b62
stiridecluj,Stiri de Cluj,ForeignMinistry,Stiri de Cluj,,basementions_mentionerfor,6b90b09a341bf8616f120bfb46d718b0,basementions_mentionerfor__6b90b09a341bf8616f120bfb46d718b0
pictanews,News in Lyon,IndustryTerm,News in Lyon,,basementions_mentionerfor,9a55c1fc261f410c181bf15935bfa9f7,basementions_mentionerfor__9a55c1fc261f410c181bf15935bfa9f7
leberry_fr,Republican Berry newspaper,Keyphrase,Republican Berry newspaper,,basementions_mentionerfor,f823212d27650f703c5e0c1d8a645cf4,basementions_mentionerfor__f823212d27650f703c5e0c1d8a645cf4
actufrbordeaux,News Bordeaux,DiplomaticFacilities,News Bordeaux,,basementions_mentionerfor,9d3030183ade199b7484083c44e4caa4,basementions_mentionerfor__9d3030183ade199b7484083c44e4caa4
franceguyane,France Guyana,Consulates,France Guyana,,basementions_mentionerfor,8593664e9aed9a7bae54d598328300c0,basementions_mentionerfor__8593664e9aed9a7bae54d598328300c0
f3aquitaine,France 3 Aquitaine,Wells,France 3 Aquitaine,,basementions_mentionerfor,0d8eb289a6a150d78598026d9f3ab7d2,basementions_mentionerfor__0d8eb289a6a150d78598026d9f3ab7d2
leparisien_60,The Parisian 60,Exec,The Parisian 60,,basementions_mentionerfor,04282c6bfcbae90b65f3456e71bcc3d4,basementions_mentionerfor__04282c6bfcbae90b65f3456e71bcc3d4
eureinfodepeche,Eure-infos-LaDépêche,Consulates,Eure-infos-LaDépêche,,basementions_mentionerfor,57e21be8a05f97f4dfb80196001f30d9,basementions_mentionerfor__57e21be8a05f97f4dfb80196001f30d9
laprovence,La Provence,Refinery,La Provence,,basementions_mentionerfor,897e005cb444e661fae3af77bd07148d,basementions_mentionerfor__897e005cb444e661fae3af77bd07148d
f3franchecomte,France 3 Franche-Comté,LegislativeCommittee,France 3 Franche-Comté,,basementions_mentionerfor,c0abb54a1206f35afd12b59783f776df,basementions_mentionerfor__c0abb54a1206f35afd12b59783f776df
leslandes40,Landes Department,Media,Landes Department,,basementions_mentionerfor,3c4d29deafff6381864a276ae69d8e01,basementions_mentionerfor__3c4d29deafff6381864a276ae69d8e01
lncnc,The New Caledonians,Pipeline,The New Caledonians,,basementions_mentionerfor,bcd22d8557b12b17db233868825d13d0,basementions_mentionerfor__bcd22d8557b12b17db233868825d13d0
lpavignon,La Provence Vaucluse,CompanyKeyword,La Provence Vaucluse,,basementions_mentionerfor,970b0dc06736f8d4f2a9e6c215fc5ddf,basementions_mentionerfor__970b0dc06736f8d4f2a9e6c215fc5ddf
larep_fr,La République du Centre,LegislativeCommittee,La République du Centre,,basementions_mentionerfor,2563f96823b81d6f69e2097dd705e455,basementions_mentionerfor__2563f96823b81d6f69e2097dd705e455
hautemarne_actu,Haute-Marne-Actu,Media,Haute-Marne-Actu,,basementions_mentionerfor,cc1d7a6a8211b0a3f44a9b404b9ba754,basementions_mentionerfor__cc1d7a6a8211b0a3f44a9b404b9ba754
corse_matin,Corse-Matin,IndustryTerm,Corse-Matin,,basementions_mentionerfor,e40a5746db18387bb9f5922d5e6deb4c,basementions_mentionerfor__e40a5746db18387bb9f5922d5e6deb4c
indreetloire37,Indre et Loire,Refinery,Indre et Loire,,basementions_mentionerfor,83fcad3115e1288e75b244088d4a2235,basementions_mentionerfor__83fcad3115e1288e75b244088d4a2235
78actu,78actu,Media,78actu,,basementions_mentionerfor,454c0aa17c7429555dec6e9cbbc588ef,basementions_mentionerfor__454c0aa17c7429555dec6e9cbbc588ef
lalsace,Journal L'Alsace,CompanyKeyword,Journal L'Alsace,,basementions_mentionerfor,e2e68479b58bfe51692bc89f73a3598b,basementions_mentionerfor__e2e68479b58bfe51692bc89f73a3598b
lestrepverdun,L'Est Républicain Verdun,Person,L'Est Républicain Verdun,,basementions_mentionerfor,df7300742476b8b491c03399114f1cc1,basementions_mentionerfor__df7300742476b8b491c03399114f1cc1
f3cotedazur,France 3 Côte d'Azur,FTO,France 3 Côte d'Azur,,basementions_mentionerfor,d8f435aa13057fe7afaaf24a2eed593f,basementions_mentionerfor__d8f435aa13057fe7afaaf24a2eed593f
ouestfrance29,Ouest-France 29,Refinery,Ouest-France 29,,basementions_mentionerfor,42a50f0a0296e144bb7dbb90f8a1ec19,basementions_mentionerfor__42a50f0a0296e144bb7dbb90f8a1ec19
ouestfrance_56,Ouest-France 56,Legislator,Ouest-France 56,,basementions_mentionerfor,07b1549db42e27bb3b7970198df065b3,basementions_mentionerfor__07b1549db42e27bb3b7970198df065b3
f3rhone_alpes,France 3 Rhône-Alpes,Person,France 3 Rhône-Alpes,,basementions_mentionerfor,4b878ec65892b56e1ee6810bc956fdde,basementions_mentionerfor__4b878ec65892b56e1ee6810bc956fdde
actufr94,Actu Val-de-Marne,Pipeline,Actu Val-de-Marne,,basementions_mentionerfor,ebe80fb8f5472a15536f8ac137c7759a,basementions_mentionerfor__ebe80fb8f5472a15536f8ac137c7759a
lorraineactu,Lorraine Actu,IndustryTerm,Lorraine Actu,,basementions_mentionerfor,fca800b907e753183b27a9e5a3449a21,basementions_mentionerfor__fca800b907e753183b27a9e5a3449a21
lapressemanche,La Presse de la Manche,space,La Presse de la Manche,,basementions_mentionerfor,0e24f757ec0679008f0cca0aac876061,basementions_mentionerfor__0e24f757ec0679008f0cca0aac876061
so_charente,Sud Ouest Charente,IndustryTerm,Sud Ouest Charente,,basementions_mentionerfor,356a0492b8465b319de52312e2a64ba2,basementions_mentionerfor__356a0492b8465b319de52312e2a64ba2
letelegramme,Le Télégramme,AAEntity,Le Télégramme,,basementions_mentionerfor,bd8fdb4dbb4c7c9103761488574f1f4f,basementions_mentionerfor__bd8fdb4dbb4c7c9103761488574f1f4f
larepdpyrenees,La Rép des Pyrénées,LegislativeCommittee,La Rép des Pyrénées,,basementions_mentionerfor,e4380f6c923b37aa680f73f39bb93d8a,basementions_mentionerfor__e4380f6c923b37aa680f73f39bb93d8a
