keyword,caption_name,groups,Location,Title,City,Organization Name (child),Organization Name (Intermediate),Twitter Handle,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
angeli achrekar,US Global AIDS Coordinator and U.S. Special Representative for Global Health Diplomacy Angeli Achrekar,,USA,Global AIDS Coordinator and U.S. Special Representative for Global Health Diplomacy,Washington DC,Office of Global AIDS Coordinator and Health Diplomacy,Office of the Secretary,PEPFAR,space,US Global AIDS Coordinator and U.S. Special Representative for Global Health Diplomacy Angeli Achrekar,,bp_mentionee,cde13f1c8d6d72dcbe3b2b8cf0af537b,bp_mentionee__cde13f1c8d6d72dcbe3b2b8cf0af537b
kwami adoboe-herrera,US Member Kwami Adoboe-Herrera,,USA,Member,Washington DC,United States Advisory Council on Human Trafficking,,,News,US Member Kwami Adoboe-Herrera,,bp_mentionee,86993ef6fd2d43a57a55c05729fb94a0,bp_mentionee__86993ef6fd2d43a57a55c05729fb94a0
timothy ballard,US Member Timothy Ballard,,USA,Member,Washington DC,Public-Private Partnership Advisory Council to End Human Trafficking,,,Pipeline,US Member Timothy Ballard,,bp_mentionee,f2589ec2f33849045845a98c241533fb,bp_mentionee__f2589ec2f33849045845a98c241533fb
erica barks-ruggles,US Assistant Secretary Erica Barks-Ruggles,,USA,Assistant Secretary,Washington DC,Bureau of International Organization Affairs,Under Secretary for Political Affairs,State_IO,Person,US Assistant Secretary Erica Barks-Ruggles,,bp_mentionee,b9bcd824eb21bb951ff6d5b1ff47b644,bp_mentionee__b9bcd824eb21bb951ff6d5b1ff47b644
richard bell,US Ambassador Richard Bell,,Cote d'Ivoire,Ambassador,Abidjan,Office of the U.S. Ambassador to Côte d'Ivoire,U.S. Embassy in Côte d'Ivoire,USEmbAbidjan,Exec,US Ambassador Richard Bell,,bp_mentionee,e8cfec001079a69a2086dca03dda9355,bp_mentionee__e8cfec001079a69a2086dca03dda9355
marcia bernicat,US Assistant Secretary Marcia Bernicat,,USA,Assistant Secretary,Washington DC,Bureau of Oceans and International Environmental and Scientific Affairs,"Under Secretary for Economic Growth, Energy, and the Environment",mbernicat,AAEntity,US Assistant Secretary Marcia Bernicat,,bp_mentionee,ba3dd2f08536e7c29baf6e982aae431f,bp_mentionee__ba3dd2f08536e7c29baf6e982aae431f
randy berry,US Ambassador Randy Berry,,Nepal,Ambassador,Kathmandu,Office of the U.S. Ambassador to Nepal,U.S. Embassy in Nepal,USAmbNepal,IndustryTerm,US Ambassador Randy Berry,,bp_mentionee,4b1e9bfb9e7261b043184505551648a5,bp_mentionee__4b1e9bfb9e7261b043184505551648a5
timothy betts,US Assistant Secretary Timothy Betts,,USA,Assistant Secretary,Washington DC,Bureau of Political-Military Affairs,Under Secretary for Arms Control and International Security,,ForeignMinistry,US Assistant Secretary Timothy Betts,,bp_mentionee,627bd7e01c2a91085cdb0a1d1ab8ac45,bp_mentionee__627bd7e01c2a91085cdb0a1d1ab8ac45
kevin blackstone,US Ambassador Kevin Blackstone,,Democratic Republic of Timor-Leste,Ambassador,Dili,Office of the U.S. Ambassador to Timor-Leste,U.S. Embassy in Timor-Leste,USEmbassyDili,Shipping,US Ambassador Kevin Blackstone,,bp_mentionee,0b71229361ac07504108ba1ce94b28c1,bp_mentionee__0b71229361ac07504108ba1ce94b28c1
steven bledsoe,US Member Steven Bledsoe,,USA,Member,Washington DC,Cultural Property Advisory Committee,Bureau of Educational and Cultural Affairs,,Person,US Member Steven Bledsoe,,bp_mentionee,224940b90536e0bae8a15637db66893d,bp_mentionee__224940b90536e0bae8a15637db66893d
