org,caption_name,guid,hq_address,hq_lat,hq_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
u.s. dept of defense,U.S. Dept Of Defense,,"The Pentagon, Arlington, VA",38.8719,-77.0563,CompanyKeyword,U.S. Dept Of Defense,,bug_bounty_hackerone_mapping,92886b723754e7085df439806a3fb3f7,bug_bounty_hackerone_mapping__92886b723754e7085df439806a3fb3f7
verizon media,Verizon Media,,"Verizon Communications HQ, New York, NY, USA",44.9866589,-93.2541383,Media,Verizon Media,,bug_bounty_hackerone_mapping,9dabc559645e96575dd34ac1a7a67794,bug_bounty_hackerone_mapping__9dabc559645e96575dd34ac1a7a67794
mail.ru,Mail.ru,77b60b649e9f89e053d1c49b8dd45f00,"Moscow, Russia",55.7968802,37.537294,space,Mail.ru,,bug_bounty_hackerone_mapping,81bb942f62aaff968877aecfdaf8a75d,bug_bounty_hackerone_mapping__81bb942f62aaff968877aecfdaf8a75d
https://t.co/pkOyhwSTRP,Mail.ru,77b60b649e9f89e053d1c49b8dd45f00,"Moscow, Russia",55.7968802,37.537294,Shipping,Mail.ru,,bug_bounty_hackerone_mapping,81bb942f62aaff968877aecfdaf8a75d,bug_bounty_hackerone_mapping__81bb942f62aaff968877aecfdaf8a75d
at&t,AT&T,eb4c37efac8ef073aaf6d5e9f4120e0a,"AT&T HQ, Dallas, TX, USA",32.7795597,-96.7988939,FTO,AT&T,,bug_bounty_hackerone_mapping,b74e69c4545cf7fc29395289f96240c2,bug_bounty_hackerone_mapping__b74e69c4545cf7fc29395289f96240c2
adobe,Adobe,aea069334333a347c1433a9a8c0ff7c2,"Adobe HQ, San Jose, CA, USA",37.3317153,-121.8934805,DiplomaticFacilities,Adobe,,bug_bounty_hackerone_mapping,71f698950c9cdadc3d19bb7411177a78,bug_bounty_hackerone_mapping__71f698950c9cdadc3d19bb7411177a78
ibm,IBM,c23e4ad3ad3f861e1c83270299273139,"IBM Corporation HQ, Armonk, NY, USA",41.1083018,-73.7204677,Refinery,IBM,,bug_bounty_hackerone_mapping,cbf44511d041dc6d1dd73cc0c033122c,bug_bounty_hackerone_mapping__cbf44511d041dc6d1dd73cc0c033122c
ford,Ford,81942bef7df5d8a6537067008763ab73,"Dearborn, MI, USA",42.3147537,-83.2101594,DiplomaticFacilities,Ford,,bug_bounty_hackerone_mapping,01083da2df15d6ebfe62186418a76863,bug_bounty_hackerone_mapping__01083da2df15d6ebfe62186418a76863
uber,Uber,c0f40627427dacd06ff9438863c83be7,"Uber Inc HQ, San Francisco, CA, USA",37.7756852,-122.4179707,Pipeline,Uber,,bug_bounty_hackerone_mapping,af00a7270cc3dc7b1bfd41fdb533f6e0,bug_bounty_hackerone_mapping__af00a7270cc3dc7b1bfd41fdb533f6e0
sony,Sony,61a341a90a1f8e0bd1383a5d95dd458e,"Sony Pictures Studios HQ, Culver City, CA, USA",35.6311111,139.7438574,Refinery,Sony,,bug_bounty_hackerone_mapping,2da860f7216f34598e5cdc6fd7e3098c,bug_bounty_hackerone_mapping__2da860f7216f34598e5cdc6fd7e3098c
twitter,Twitter,d7e6c32993a18cd808bc47ac0af51f31,"Twitter HQ, San Francisco, CA, USA",37.7764685,-122.4172004,AAEntity,Twitter,,bug_bounty_hackerone_mapping,2491bc9c7d8731e1ae33124093bc7026,bug_bounty_hackerone_mapping__2491bc9c7d8731e1ae33124093bc7026
magento,Magento,,"Magento, San Jose, CA, USA",37.3308855,-121.8938777,FTO,Magento,,bug_bounty_hackerone_mapping,fcd7f001e9274fdefb14bff91c799306,bug_bounty_hackerone_mapping__fcd7f001e9274fdefb14bff91c799306
slack,Slack,f48898b32f95415ef52b3248a3f0dddf,"500 Howard Street San Francisco, CA, USA",37.7885306,-122.3967284,space,Slack,,bug_bounty_hackerone_mapping,3561f3a3c5576e2ce0dc0d1e268bb9b2,bug_bounty_hackerone_mapping__3561f3a3c5576e2ce0dc0d1e268bb9b2
starbucks,Starbucks,,"Starbucks Corporation HQ, Seattle, WA, USA",47.581142,-122.3357333,Consulates,Starbucks,,bug_bounty_hackerone_mapping,e486aeca0b12918313aba2cc445c5cb4,bug_bounty_hackerone_mapping__e486aeca0b12918313aba2cc445c5cb4
ubiquiti inc.,Ubiquiti Inc.,0c5f0685c88aee07d0e2cfc21878a008,"Ubiquiti, NY, USA",40.7514593,-73.9735056,ForeignMinister,Ubiquiti Inc.,,bug_bounty_hackerone_mapping,d450f832730dd9c61662adbf6854fb04,bug_bounty_hackerone_mapping__d450f832730dd9c61662adbf6854fb04
shopify,Shopify,8bc153257b06fbb6afe6a4c50b026b2e,"Shopify, Ontario, Canada",45.420453,-75.692777,Media,Shopify,,bug_bounty_hackerone_mapping,48b1feaa8b0d1805a23f59f268fc7c91,bug_bounty_hackerone_mapping__48b1feaa8b0d1805a23f59f268fc7c91
