keyword,caption_name,priority,topic_id,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
(zoning; appeals),Zoning appeals meeting,2,188120,general.alert5,Pipeline,Zoning appeals meeting,,burbio_events,72c3741673f3a64b5c3958cb17b41e48,burbio_events__72c3741673f3a64b5c3958cb17b41e48
(zoning; board),Zoning board meeting,2,188120,general.alert5,Refinery,Zoning board meeting,,burbio_events,b45386fbb40c9fadca62329e61026dc4,burbio_events__b45386fbb40c9fadca62329e61026dc4
(zoning; meeting),Zoning meeting,3,188120,general.alert5,Keyphrase,Zoning meeting,,burbio_events,83ee507ebec7c91d5588b03ee7f92cb3,burbio_events__83ee507ebec7c91d5588b03ee7f92cb3
(zoning; committee),Zoning committee meeting,2,188120,general.alert5,ForeignMinister,Zoning committee meeting,,burbio_events,bc85e8342771f1ae3ca81a46e3a37741,burbio_events__bc85e8342771f1ae3ca81a46e3a37741
(zoning; commission),Zoning commission meeting,2,188120,general.alert5,Person,Zoning commission meeting,,burbio_events,c1ffbd23488036a3629c0f4b2406f5a8,burbio_events__c1ffbd23488036a3629c0f4b2406f5a8
(zoning; authority),Zoning authority meeting,2,188120,general.alert5,Pipeline,Zoning authority meeting,,burbio_events,ef9767d1dba28437c4011414076b39c8,burbio_events__ef9767d1dba28437c4011414076b39c8
(zoning; forum),Zoning forum,2,188120,general.alert5,Legislator,Zoning forum,,burbio_events,bd11ac9a4ac5e8e532b40bcf3309498e,burbio_events__bd11ac9a4ac5e8e532b40bcf3309498e
(planning; authority),Planning authority meeting,2,188120,general.alert5,Refinery,Planning authority meeting,,burbio_events,9146bd01c6a0b171007c60458552d9fd,burbio_events__9146bd01c6a0b171007c60458552d9fd
(planning; appeals),Planning appeals meeting,2,188120,general.alert5,ForeignMinister,Planning appeals meeting,,burbio_events,f86779c36b4f7a0ce48741c8337ab69b,burbio_events__f86779c36b4f7a0ce48741c8337ab69b
(planning; board),Planning board meeting,2,188120,general.alert5,Wells,Planning board meeting,,burbio_events,551f7053fdbc9b010a1a19b6208c79e5,burbio_events__551f7053fdbc9b010a1a19b6208c79e5
(planning; meeting),Planning meeting,3,188120,general.alert5,AAEntity,Planning meeting,,burbio_events,177f4a121647d063332f97c23479107a,burbio_events__177f4a121647d063332f97c23479107a
(planning; committee),Planning committee meeting,2,188120,general.alert5,IndustryTerm,Planning committee meeting,,burbio_events,8e4ea1331ad8a2a7537bbd67fc97e745,burbio_events__8e4ea1331ad8a2a7537bbd67fc97e745
(planning; commission),Planning commission meeting,2,188120,general.alert5,Person,Planning commission meeting,,burbio_events,af3fc06b03f9c3dfabcba15ee0cdc2cd,burbio_events__af3fc06b03f9c3dfabcba15ee0cdc2cd
(planning; forum),Planning forum,2,188120,general.alert5,space,Planning forum,,burbio_events,101b771eaa950d1ec8a09ed5ec67553d,burbio_events__101b771eaa950d1ec8a09ed5ec67553d
(town; council; meeting),Town council meeting,2,188120,general.alert5,News,Town council meeting,,burbio_events,7a674dab4545a15b395427c8be224da0,burbio_events__7a674dab4545a15b395427c8be224da0
(city; council; meeting),City council meeting,2,188120,general.alert5,Exec,City council meeting,,burbio_events,c571f3be77ee9c7b92fbb40cb0d11378,burbio_events__c571f3be77ee9c7b92fbb40cb0d11378
(law; council; meeting),Law council meeting,2,188120,general.alert5,Refinery,Law council meeting,,burbio_events,a3cad7617e26e37514d4167e1df4d8b0,burbio_events__a3cad7617e26e37514d4167e1df4d8b0
(council; meeting),Council meeting,3,188120,general.alert5,IndustryTerm,Council meeting,,burbio_events,c72486becf92fd97eb51c08efe855300,burbio_events__c72486becf92fd97eb51c08efe855300
(pre-council; meeting),Pre-council meeting,2,188120,general.alert5,News,Pre-council meeting,,burbio_events,1d322e50e4578f27fb7aa642519ba4ce,burbio_events__1d322e50e4578f27fb7aa642519ba4ce
(municipal; authority; meeting),Municipal authority meeting,2,188120,general.alert5,IndustryTerm,Municipal authority meeting,,burbio_events,453bc9adbd1415c62638fe5044bff62c,burbio_events__453bc9adbd1415c62638fe5044bff62c
(transportation; appeals),Transportation appeals meeting,2,188120,general.alert5,Media,Transportation appeals meeting,,burbio_events,d7c036265f51eab876fe99c7b8be075e,burbio_events__d7c036265f51eab876fe99c7b8be075e
(transportation; board),Transportation board meeting,2,188120,general.alert5,Media,Transportation board meeting,,burbio_events,be31ec1f19c2163f47e9b6f30253363d,burbio_events__be31ec1f19c2163f47e9b6f30253363d
(transportation; meeting),Transportation meeting,3,188120,general.alert5,Refinery,Transportation meeting,,burbio_events,6b89149e9c8fe0ac8e63a6822d145390,burbio_events__6b89149e9c8fe0ac8e63a6822d145390
(transportation; committee),Transportation committee meeting,2,188120,general.alert5,DiplomaticFacilities,Transportation committee meeting,,burbio_events,fcfdecf78f1df61b51b8623f2e7c4195,burbio_events__fcfdecf78f1df61b51b8623f2e7c4195
(transportation; commission),Transportation commission meeting,2,188120,general.alert5,Diplomat,Transportation commission meeting,,burbio_events,65b3e766a69912e3acb54d8c5263ff99,burbio_events__65b3e766a69912e3acb54d8c5263ff99
(transportation; authority),Transportation authority meeting,2,188120,general.alert5,Organization,Transportation authority meeting,,burbio_events,94fa14a3f5655473f994d05755163977,burbio_events__94fa14a3f5655473f994d05755163977
(transportation; forum),Transportation forum,2,188120,general.alert5,Media,Transportation forum,,burbio_events,9d9463d46db1d098dd9185cc5f381abe,burbio_events__9d9463d46db1d098dd9185cc5f381abe
(traffic; appeals),Traffic appeals meeting,2,188120,general.alert5,Media,Traffic appeals meeting,,burbio_events,6dad5759e2e89c0a88e150f514dfb346,burbio_events__6dad5759e2e89c0a88e150f514dfb346
(traffic; board),Traffic board meeting,2,188120,general.alert5,Legislator,Traffic board meeting,,burbio_events,736970a3eb76d05789d367f06bcc7228,burbio_events__736970a3eb76d05789d367f06bcc7228
(traffic; meeting),Traffic meeting,3,188120,general.alert5,Consulates,Traffic meeting,,burbio_events,8cdfd7f6ccf7153ffb1af506885ab0a9,burbio_events__8cdfd7f6ccf7153ffb1af506885ab0a9
(traffic; committee),Traffic committee meeting,2,188120,general.alert5,Shipping,Traffic committee meeting,,burbio_events,f3ebb84a15044a310a32432fb8a0c16c,burbio_events__f3ebb84a15044a310a32432fb8a0c16c
(traffic; commission),Traffic commission meeting,2,188120,general.alert5,LegislativeCommittee,Traffic commission meeting,,burbio_events,c21ce1eaa0813a6fb67891196a4f834f,burbio_events__c21ce1eaa0813a6fb67891196a4f834f
(traffic; authority),Traffic authority meeting,2,188120,general.alert5,Consulates,Traffic authority meeting,,burbio_events,37d7b4599996382390736b16aca5a3d3,burbio_events__37d7b4599996382390736b16aca5a3d3
(traffic; forum),Traffic forum,2,188120,general.alert5,ForeignMinistry,Traffic forum,,burbio_events,efc99ededf22dabb578a8f04ad235b27,burbio_events__efc99ededf22dabb578a8f04ad235b27
(public; safety; appeals),Public safety appeals meeting,2,188120,general.alert5,Refinery,Public safety appeals meeting,,burbio_events,e58bbd7512aa6845a7f5229ddc53ee74,burbio_events__e58bbd7512aa6845a7f5229ddc53ee74
(public; safety; board),Public safety board meeting,2,188120,general.alert5,News,Public safety board meeting,,burbio_events,6cd5e40317d59ba5dee7b25161ceef74,burbio_events__6cd5e40317d59ba5dee7b25161ceef74
(public; safety; meeting),Public safety meeting,3,188120,general.alert5,Legislator,Public safety meeting,,burbio_events,172255217256412b15f206e04f06e575,burbio_events__172255217256412b15f206e04f06e575
(public; safety; committee),Public safety committee meeting,2,188120,general.alert5,Exec,Public safety committee meeting,,burbio_events,4fbc5597b99c201fd92cf60872d61ca9,burbio_events__4fbc5597b99c201fd92cf60872d61ca9
(public; safety; commission),Public safety commission meeting,2,188120,general.alert5,Consulates,Public safety commission meeting,,burbio_events,abb8949fd6d9123059517157431adad9,burbio_events__abb8949fd6d9123059517157431adad9
(public; safety; authority),Public safety authority meeting,2,188120,general.alert5,ForeignMinister,Public safety authority meeting,,burbio_events,8b755a14dcf422ed21dd0ad764a882e9,burbio_events__8b755a14dcf422ed21dd0ad764a882e9
