keyword,caption_name,topic_id,.1,.2,.3,.4,.5,.6,.7,.8,.9,.10,.11,.12,.13,.14,.15,.16,.17,Source link,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
bay county animal services and adoption center,Bay County Animal Services and Adoption Center,188153,,,,,,,,,,,,,,,,,,https://www.baycounty-mi.gov/,Refinery,Bay County Animal Services and Adoption Center,,burbio_groups,b9fb758e008051c7da6968d54525b93e,burbio_groups__b9fb758e008051c7da6968d54525b93e
bryant animal control & adoption center,Bryant Animal Control and Adoption Center,188153,,,,,,,,,,,,,,,,,,http://cityofbryant.com,ForeignMinistry,Bryant Animal Control and Adoption Center,,burbio_groups,9e81640394e510a11f37019651cfaf69,burbio_groups__9e81640394e510a11f37019651cfaf69
louisville metro animal services animal house adoption center,Louisville Metro Animal Services Animal House Adoption Center,188153,,,,,,,,,,,,,,,,,,http://louisvilleky.gov,Consulates,Louisville Metro Animal Services Animal House Adoption Center,,burbio_groups,994b7ba624a95b9c3024862fd9913254,burbio_groups__994b7ba624a95b9c3024862fd9913254
lubbock animal shelter & adoption center,Lubbock Animal Shelter and Adoption Center,188153,,,,,,,,,,,,,,,,,,https://ci.lubbock.tx.us/,Diplomat,Lubbock Animal Shelter and Adoption Center,,burbio_groups,296442be3eb5ec974df83a46c550634d,burbio_groups__296442be3eb5ec974df83a46c550634d
norfolk animal care and adoption center,Norfolk Animal Care and Adoption Center,188153,,,,,,,,,,,,,,,,,,https://www.norfolk.gov/,Organization,Norfolk Animal Care and Adoption Center,,burbio_groups,cfcbb264d18cf6a1fe818f4aa6260d2c,burbio_groups__cfcbb264d18cf6a1fe818f4aa6260d2c
rancho cucamonga animal center,Rancho Cucamonga Animal Center,188153,,,,,,,,,,,,,,,,,,http://cityofrc.us,ForeignMinister,Rancho Cucamonga Animal Center,,burbio_groups,a55c0bb26a471ddb8880a1bc24748202,burbio_groups__a55c0bb26a471ddb8880a1bc24748202
city of rio rancho animal resource center,City of Rio Rancho Animal Resource Center,188153,,,,,,,,,,,,,,,,,,http://rrnm.gov,ForeignMinistry,City of Rio Rancho Animal Resource Center,,burbio_groups,cdb572aa1a570c03fb47b529608a2a24,burbio_groups__cdb572aa1a570c03fb47b529608a2a24
terrell animal adoption center,Terrell Animal Adoption Center,188153,,,,,,,,,,,,,,,,,,https://www.cityofterrell.org/,Exec,Terrell Animal Adoption Center,,burbio_groups,7f74f838b34fc70aec248f93935bc141,burbio_groups__7f74f838b34fc70aec248f93935bc141
friends of east baton rouge parish animal control & rescue center,Friends of East Baton Rouge Parish Animal Control and Rescue Center,188153,,,,,,,,,,,,,,,,,,http://brla.gov,Refinery,Friends of East Baton Rouge Parish Animal Control and Rescue Center,,burbio_groups,40f63738794adcfb6f15de40499cc4bb,burbio_groups__40f63738794adcfb6f15de40499cc4bb
friends of east baton rouge parish animal control & rescue center,Friends of East Baton Rouge Parish Animal Control and Rescue Center,188153,,,,,,,,,,,,,,,,,,https://www.brla.gov/148/Animal-Control-Rescue-Center,space,Friends of East Baton Rouge Parish Animal Control and Rescue Center,,burbio_groups,40f63738794adcfb6f15de40499cc4bb,burbio_groups__40f63738794adcfb6f15de40499cc4bb
baldwin park animal care center,Baldwin Park Animal Care Center,188153,,,,,,,,,,,,,,,,,,http://animalcare.lacounty.gov,Consulates,Baldwin Park Animal Care Center,,burbio_groups,86d9643b5122362c3638ffcdc3fdf370,burbio_groups__86d9643b5122362c3638ffcdc3fdf370
palmdale animal care center,Palmdale Animal Care Center,188153,,,,,,,,,,,,,,,,,,http://animalcare.lacounty.gov,Keyphrase,Palmdale Animal Care Center,,burbio_groups,6dbacad5d31d9b9a7812e959d6660f6c,burbio_groups__6dbacad5d31d9b9a7812e959d6660f6c
macon county animal control and care center,Macon County Animal Control and Care Center,188153,,,,,,,,,,,,,,,,,,http://sheriff-macon-il.us,AAEntity,Macon County Animal Control and Care Center,,burbio_groups,43018c13bcb71cb213126055e36009ba,burbio_groups__43018c13bcb71cb213126055e36009ba
mchenry county animal control and adoption center,McHenry County Animal Control and Adoption Center,188153,,,,,,,,,,,,,,,,,,https://www.mchenrycountyil.gov/county-government/departments-a-i/health-department/veterinary-division-animal-control,Shipping,McHenry County Animal Control and Adoption Center,,burbio_groups,661ef98903cb4e8f7ea73e690b0622b8,burbio_groups__661ef98903cb4e8f7ea73e690b0622b8
miami-dade animal services pet adoption & protection center,Miami-Dade Animal Services Pet Adoption and Protection Center,188153,,,,,,,,,,,,,,,,,,http://miamidade.gov,FTO,Miami-Dade Animal Services Pet Adoption and Protection Center,,burbio_groups,ab918119ece9165f42a0db78e9fc216c,burbio_groups__ab918119ece9165f42a0db78e9fc216c
montgomery county animal care and adoption center,Montgomery County Animal Care and Adoption Center,188153,,,,,,,,,,,,,,,,,,http://montgomerycountyva.gov,Pipeline,Montgomery County Animal Care and Adoption Center,,burbio_groups,55f61eb824cd1276d23baf93f45adf87,burbio_groups__55f61eb824cd1276d23baf93f45adf87
pima animal care center (animal shelter),Pima Animal Care Center,188153,,,,,,,,,,,,,,,,,,http://webcms.pima.gov,Consulates,Pima Animal Care Center,,burbio_groups,71f3d4a0b915e2dfc3e71e0528ee05de,burbio_groups__71f3d4a0b915e2dfc3e71e0528ee05de
baldwin county animal shelter,Baldwin County Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://baldwincountyal.gov,Diplomat,Baldwin County Animal Shelter,,burbio_groups,429653d2ed37ec4420caaa561af51964,burbio_groups__429653d2ed37ec4420caaa561af51964
baltimore county animal services,Baltimore County Animal Services,188153,,,,,,,,,,,,,,,,,,https://baltimorecountymd.gov/,Legislator,Baltimore County Animal Services,,burbio_groups,6e80277bcc23da21a23a37a16ae39321,burbio_groups__6e80277bcc23da21a23a37a16ae39321
campbell county animal control,Campbell County Animal Control,188153,,,,,,,,,,,,,,,,,,https://www.co.campbell.va.us/,Diplomat,Campbell County Animal Control,,burbio_groups,3494796a34c36b07920efcb558d612c0,burbio_groups__3494796a34c36b07920efcb558d612c0
chesterfield county animal services,Chesterfield County Animal Services,188153,,,,,,,,,,,,,,,,,,https://www.chesterfield.gov/,News,Chesterfield County Animal Services,,burbio_groups,3fdb4d9509c2284a1b7ffa9c74e90e21,burbio_groups__3fdb4d9509c2284a1b7ffa9c74e90e21
cicero waggin' tails animal shelter,Cicero Waggin' Tails Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://thetownofcicero.com,Organization,Cicero Waggin' Tails Animal Shelter,,burbio_groups,dac562c37a50ba03678768fae06dea08,burbio_groups__dac562c37a50ba03678768fae06dea08
