keyword,guid,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1 800 flowers,894fb3718aef4fac966643eb37b49dea,1800Flowers,ForeignMinister,1800Flowers,,company_to_guid_court_listener,588595d2af6c06c1f4884081101931c9,company_to_guid_court_listener__588595d2af6c06c1f4884081101931c9
1-800-flowers,894fb3718aef4fac966643eb37b49dea,894fb3718aef4fac966643eb37b49dea,Shipping,894fb3718aef4fac966643eb37b49dea,,company_to_guid_court_listener,b154226d48f2ed5a9bc1ea55163b231c,company_to_guid_court_listener__b154226d48f2ed5a9bc1ea55163b231c
1800flowers,894fb3718aef4fac966643eb37b49dea,894fb3718aef4fac966643eb37b49dea,IndustryTerm,894fb3718aef4fac966643eb37b49dea,,company_to_guid_court_listener,b154226d48f2ed5a9bc1ea55163b231c,company_to_guid_court_listener__b154226d48f2ed5a9bc1ea55163b231c
3m,48562aee0bffd911051ef423793942e0,48562aee0bffd911051ef423793942e0,Pipeline,48562aee0bffd911051ef423793942e0,,company_to_guid_court_listener,0c04edb43b64b075e3aa14b15c289e2c,company_to_guid_court_listener__0c04edb43b64b075e3aa14b15c289e2c
7 eleven,245b0259ae4cedd5cd8c07e8f06e24fc,245b0259ae4cedd5cd8c07e8f06e24fc,IndustryTerm,245b0259ae4cedd5cd8c07e8f06e24fc,,company_to_guid_court_listener,25e413a0a431664ebcd584ca45f6b0c4,company_to_guid_court_listener__25e413a0a431664ebcd584ca45f6b0c4
7-eleven,245b0259ae4cedd5cd8c07e8f06e24fc,245b0259ae4cedd5cd8c07e8f06e24fc,Keyphrase,245b0259ae4cedd5cd8c07e8f06e24fc,,company_to_guid_court_listener,25e413a0a431664ebcd584ca45f6b0c4,company_to_guid_court_listener__25e413a0a431664ebcd584ca45f6b0c4
99 cents only stores,54d2775a1c0ab095f9610aece04e858c,54d2775a1c0ab095f9610aece04e858c,Legislator,54d2775a1c0ab095f9610aece04e858c,,company_to_guid_court_listener,0ed1aa2d8a8015fb5c17982c815acfd0,company_to_guid_court_listener__0ed1aa2d8a8015fb5c17982c815acfd0
aarp,2f7155bb7a483ecb151b2c6ef70bc228,2f7155bb7a483ecb151b2c6ef70bc228,Wells,2f7155bb7a483ecb151b2c6ef70bc228,,company_to_guid_court_listener,ca4478438b55b41ba91c82abcd7cf7bc,company_to_guid_court_listener__ca4478438b55b41ba91c82abcd7cf7bc
abbott laboratories,d625cbb483cc5cfc4cc85c88d86f34d3,Abbott Laboratories,Legislator,Abbott Laboratories,,company_to_guid_court_listener,85f68b724587f17d75725f58db29012c,company_to_guid_court_listener__85f68b724587f17d75725f58db29012c
abbvie,7f7f1f259450586c8366da36a1489ff8,7f7f1f259450586c8366da36a1489ff8,ForeignMinister,7f7f1f259450586c8366da36a1489ff8,,company_to_guid_court_listener,a8cf3784d499c8ade2a0f5ca4b1eccc0,company_to_guid_court_listener__a8cf3784d499c8ade2a0f5ca4b1eccc0
abercrombie & fitch,28b90de4465d6cc6c42f81bd1822ad17,28b90de4465d6cc6c42f81bd1822ad17,AAEntity,28b90de4465d6cc6c42f81bd1822ad17,,company_to_guid_court_listener,81a4abef41bd62346b1e4732488a09bb,company_to_guid_court_listener__81a4abef41bd62346b1e4732488a09bb
acco brands,0ef21d01bd663d2e64315cbafdd54d71,0ef21d01bd663d2e64315cbafdd54d71,IndustryTerm,0ef21d01bd663d2e64315cbafdd54d71,,company_to_guid_court_listener,bedd8d26040ddee6dd1088e71339afcf,company_to_guid_court_listener__bedd8d26040ddee6dd1088e71339afcf
acco brands corporation,0ef21d01bd663d2e64315cbafdd54d71,0ef21d01bd663d2e64315cbafdd54d71,Shipping,0ef21d01bd663d2e64315cbafdd54d71,,company_to_guid_court_listener,bedd8d26040ddee6dd1088e71339afcf,company_to_guid_court_listener__bedd8d26040ddee6dd1088e71339afcf
ace hardware,33d12e35c640c5bfe758459e5c0cea86,33d12e35c640c5bfe758459e5c0cea86,Person,33d12e35c640c5bfe758459e5c0cea86,,company_to_guid_court_listener,7f6f495197c687cfac5176c227e958a3,company_to_guid_court_listener__7f6f495197c687cfac5176c227e958a3
activision blizzard,5f1a65971ad63c9cf9be9b25b89b5e28,5f1a65971ad63c9cf9be9b25b89b5e28,AAEntity,5f1a65971ad63c9cf9be9b25b89b5e28,,company_to_guid_court_listener,1c7a326cd16743c985955a642f72cb5d,company_to_guid_court_listener__1c7a326cd16743c985955a642f72cb5d
