Keyword,caption_name,guid,org_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
3M.com,3M domain 3M.com,48562aee0bffd911051ef423793942e0,3M,Consulates,3M domain 3M.com,,corp_domain_mention,a353a14ecc8378718e313730ff65c16e,corp_domain_mention__a353a14ecc8378718e313730ff65c16e
abbott.com,Abbott Laboratories domain abbott.com,d625cbb483cc5cfc4cc85c88d86f34d3,Abbott Laboratories,ForeignMinistry,Abbott Laboratories domain abbott.com,,corp_domain_mention,560adc41a1fd3ac4a3207c64b8e39e4e,corp_domain_mention__560adc41a1fd3ac4a3207c64b8e39e4e
www.blizzard.com,Activision Blizzard domain www.blizzard.com,5f1a65971ad63c9cf9be9b25b89b5e28,Activision Blizzard,Organization,Activision Blizzard domain www.blizzard.com,,corp_domain_mention,93a2fa7521d2c82c00703064e1a7705a,corp_domain_mention__93a2fa7521d2c82c00703064e1a7705a
adtalem.com,Adtalem Global Education Inc domain adtalem.com,a03153bd0b88c5aa0c4015b844de032e,Adtalem Global Education Inc,Legislator,Adtalem Global Education Inc domain adtalem.com,,corp_domain_mention,f53f1a2388b33fdc1c1f5c41579366f2,corp_domain_mention__f53f1a2388b33fdc1c1f5c41579366f2
www.advanceautoparts.com,Advance Auto Business Support domain www.advanceautoparts.com,ed08dbd0692173ac9a5c41ccafe27878,Advance Auto Business Support,ForeignMinister,Advance Auto Business Support domain www.advanceautoparts.com,,corp_domain_mention,777b088ad96d7b499dd6aced7ca15e93,corp_domain_mention__777b088ad96d7b499dd6aced7ca15e93
aetna.com,Aetna domain aetna.com,ade4c68cba85e3beb73a3413c0888b7d,Aetna,IndustryTerm,Aetna domain aetna.com,,corp_domain_mention,7ef2b0425ae559e52b06d5fedb0140ef,corp_domain_mention__7ef2b0425ae559e52b06d5fedb0140ef
www.airbus.com,Airbus domain www.airbus.com,252db0d6399cb907417e6bc9b56042d5,Airbus,News,Airbus domain www.airbus.com,,corp_domain_mention,7223f627293178b9fd9e112815f19c34,corp_domain_mention__7223f627293178b9fd9e112815f19c34
albertsons.com,Albertsons Companies Inc domain albertsons.com,949eebc349bda3ce68cb04fe43baa843,Albertsons companies inc,CompanyKeyword,Albertsons Companies Inc domain albertsons.com,,corp_domain_mention,d062ebd03806d15350206f5b973493ea,corp_domain_mention__d062ebd03806d15350206f5b973493ea
s3.amazonaws.com,"Amazon.com, Inc domain s3.amazonaws.com","d71e902f67e79b2f1e56c393f7c5f41f,32ec5fc746a720416749e18927068772","Amazon.com, inc",CompanyKeyword,"Amazon.com, Inc domain s3.amazonaws.com",,corp_domain_mention,e48b357745030e9e86ec35e50dad2847,corp_domain_mention__e48b357745030e9e86ec35e50dad2847
aws.amazon.com,"Amazon.com, Inc domain aws.amazon.com","d71e902f67e79b2f1e56c393f7c5f41f,32ec5fc746a720416749e18927068772","Amazon.com, inc",ForeignMinister,"Amazon.com, Inc domain aws.amazon.com",,corp_domain_mention,89b6f466d637a755d00ce4edbc252b9f,corp_domain_mention__89b6f466d637a755d00ce4edbc252b9f
amazonaws.com,"Amazon.com, Inc domain amazonaws.com","d71e902f67e79b2f1e56c393f7c5f41f,32ec5fc746a720416749e18927068772","Amazon.com, inc",ForeignMinister,"Amazon.com, Inc domain amazonaws.com",,corp_domain_mention,5edcaf9b03373a49c52a5a2046cda21c,corp_domain_mention__5edcaf9b03373a49c52a5a2046cda21c
wholefoodsmarket.com,"Amazon.com, Inc domain wholefoodsmarket.com","d71e902f67e79b2f1e56c393f7c5f41f,32ec5fc746a720416749e18927068772","Amazon.com, inc",IndustryTerm,"Amazon.com, Inc domain wholefoodsmarket.com",,corp_domain_mention,f4f2de282319792d9291a72ee83d85f3,corp_domain_mention__f4f2de282319792d9291a72ee83d85f3
aa.com,American Airlines domain aa.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,FTO,American Airlines domain aa.com,,corp_domain_mention,cd43ca9e732efe956400636842b55d9d,corp_domain_mention__cd43ca9e732efe956400636842b55d9d
americanairlines.com,American Airlines domain americanairlines.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Legislator,American Airlines domain americanairlines.com,,corp_domain_mention,c4d3be7afd42b867424b86988e67246f,corp_domain_mention__c4d3be7afd42b867424b86988e67246f
americanair.com,American Airlines domain americanair.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Pipeline,American Airlines domain americanair.com,,corp_domain_mention,2e5719c2870bc388ee3ff96376224648,corp_domain_mention__2e5719c2870bc388ee3ff96376224648
121pilot.com,American Airlines domain 121pilot.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Refinery,American Airlines domain 121pilot.com,,corp_domain_mention,46b55725966db2f63eb13f7c074897e0,corp_domain_mention__46b55725966db2f63eb13f7c074897e0
121pilots.com,American Airlines domain 121pilots.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,News,American Airlines domain 121pilots.com,,corp_domain_mention,6788000f24c547c6a8f548421fef4a14,corp_domain_mention__6788000f24c547c6a8f548421fef4a14
121regional.com,American Airlines domain 121regional.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Consulates,American Airlines domain 121regional.com,,corp_domain_mention,be79e4aea7ee0a246ab3c2fd8dab36f6,corp_domain_mention__be79e4aea7ee0a246ab3c2fd8dab36f6
121regionals.com,American Airlines domain 121regionals.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Organization,American Airlines domain 121regionals.com,,corp_domain_mention,0292cd4c1254ab7554b84b3831100cd4,corp_domain_mention__0292cd4c1254ab7554b84b3831100cd4
