Keyword.1,Keyword.2,caption_name,guid,org_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
@3m.com,3M.com,3M email credential for @3m.com,48562aee0bffd911051ef423793942e0,3M,IndustryTerm,3M email credential for @3m.com,,corp_email_mention,550afc47ade3e050befbb3ebd71e8225,corp_email_mention__550afc47ade3e050befbb3ebd71e8225
@abbott.com,abbott.com,Abbott Laboratories email credential for @abbott.com,d625cbb483cc5cfc4cc85c88d86f34d3,Abbott Laboratories,DiplomaticFacilities,Abbott Laboratories email credential for @abbott.com,,corp_email_mention,61d3ab8bf0aa2b7dcf3a247e3d02ecdf,corp_email_mention__61d3ab8bf0aa2b7dcf3a247e3d02ecdf
@www.blizzard.com,www.blizzard.com,Activision Blizzard email credential for @www.blizzard.com,5f1a65971ad63c9cf9be9b25b89b5e28,Activision Blizzard,AAEntity,Activision Blizzard email credential for @www.blizzard.com,,corp_email_mention,6ca460fa5a2d5b6b15ee1609f217554c,corp_email_mention__6ca460fa5a2d5b6b15ee1609f217554c
@adtalem.com,adtalem.com,Adtalem Global Education Inc email credential for @adtalem.com,a03153bd0b88c5aa0c4015b844de032e,Adtalem Global Education Inc,Organization,Adtalem Global Education Inc email credential for @adtalem.com,,corp_email_mention,7dddb6438ae0b06e90fb599a2eb3e1df,corp_email_mention__7dddb6438ae0b06e90fb599a2eb3e1df
@www.advanceautoparts.com,www.advanceautoparts.com,Advance Auto Business Support email credential for @www.advanceautoparts.com,ed08dbd0692173ac9a5c41ccafe27878,Advance Auto Business Support,Shipping,Advance Auto Business Support email credential for @www.advanceautoparts.com,,corp_email_mention,9234312ac442c71e01ea5818a1165848,corp_email_mention__9234312ac442c71e01ea5818a1165848
@aetna.com,aetna.com,Aetna email credential for @aetna.com,ade4c68cba85e3beb73a3413c0888b7d,Aetna,CompanyKeyword,Aetna email credential for @aetna.com,,corp_email_mention,7d8579c57c491d428bedd4fa0d9ad99d,corp_email_mention__7d8579c57c491d428bedd4fa0d9ad99d
@www.airbus.com,www.airbus.com,Airbus email credential for @www.airbus.com,252db0d6399cb907417e6bc9b56042d5,Airbus,Consulates,Airbus email credential for @www.airbus.com,,corp_email_mention,608585c76d3cf9e14516d8aab635c238,corp_email_mention__608585c76d3cf9e14516d8aab635c238
@albertsons.com,albertsons.com,Albertsons Companies Inc email credential for @albertsons.com,949eebc349bda3ce68cb04fe43baa843,Albertsons Companies Inc,FTO,Albertsons Companies Inc email credential for @albertsons.com,,corp_email_mention,a6f02828b92de36b98bd7ab5fd9f7009,corp_email_mention__a6f02828b92de36b98bd7ab5fd9f7009
@s3.amazonaws.com,s3.amazonaws.com,"Amazon.com, Inc email credential for @s3.amazonaws.com","d71e902f67e79b2f1e56c393f7c5f41f,32ec5fc746a720416749e18927068772","Amazon.com, Inc",ForeignMinistry,"Amazon.com, Inc email credential for @s3.amazonaws.com",,corp_email_mention,6194be633c966e94a82fa73c20c16a7d,corp_email_mention__6194be633c966e94a82fa73c20c16a7d
@aws.amazon.com,aws.amazon.com,"Amazon.com, Inc email credential for @aws.amazon.com","d71e902f67e79b2f1e56c393f7c5f41f,32ec5fc746a720416749e18927068772","Amazon.com, Inc",Media,"Amazon.com, Inc email credential for @aws.amazon.com",,corp_email_mention,b59a679a483b108c01142eb3d0f57eac,corp_email_mention__b59a679a483b108c01142eb3d0f57eac
@amazonaws.com,amazonaws.com,"Amazon.com, Inc email credential for @amazonaws.com","d71e902f67e79b2f1e56c393f7c5f41f,32ec5fc746a720416749e18927068772","Amazon.com, Inc",Pipeline,"Amazon.com, Inc email credential for @amazonaws.com",,corp_email_mention,6f56d4b83524eade0a803fd3476be103,corp_email_mention__6f56d4b83524eade0a803fd3476be103
@wholefoodsmarket.com,wholefoodsmarket.com,"Amazon.com, Inc email credential for @wholefoodsmarket.com","d71e902f67e79b2f1e56c393f7c5f41f,32ec5fc746a720416749e18927068772","Amazon.com, Inc",Exec,"Amazon.com, Inc email credential for @wholefoodsmarket.com",,corp_email_mention,6d6001548f39d78f223e21a412da5488,corp_email_mention__6d6001548f39d78f223e21a412da5488
@aa.com,aa.com,American Airlines email credential for @aa.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Organization,American Airlines email credential for @aa.com,,corp_email_mention,46af28a317e329fd83721a393f3b7b01,corp_email_mention__46af28a317e329fd83721a393f3b7b01
@americanairlines.com,americanairlines.com,American Airlines email credential for @americanairlines.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,FTO,American Airlines email credential for @americanairlines.com,,corp_email_mention,928ab54df18afd24ea18779917ff849a,corp_email_mention__928ab54df18afd24ea18779917ff849a
@americanair.com,americanair.com,American Airlines email credential for @americanair.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Exec,American Airlines email credential for @americanair.com,,corp_email_mention,9086785aa53d67dccb0e3d3aabbab561,corp_email_mention__9086785aa53d67dccb0e3d3aabbab561
@121pilot.com,121pilot.com,American Airlines email credential for @121pilot.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Consulates,American Airlines email credential for @121pilot.com,,corp_email_mention,767b1a06bf3827e47f2e18a4da58ed60,corp_email_mention__767b1a06bf3827e47f2e18a4da58ed60
@121pilots.com,121pilots.com,American Airlines email credential for @121pilots.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Refinery,American Airlines email credential for @121pilots.com,,corp_email_mention,2749c287697168b38839fcfe6c059467,corp_email_mention__2749c287697168b38839fcfe6c059467
@121regional.com,121regional.com,American Airlines email credential for @121regional.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,FTO,American Airlines email credential for @121regional.com,,corp_email_mention,a049da9edddff50709016d628ca10d53,corp_email_mention__a049da9edddff50709016d628ca10d53
@121regionals.com,121regionals.com,American Airlines email credential for @121regionals.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Refinery,American Airlines email credential for @121regionals.com,,corp_email_mention,c7b49371fae91b0d62e126dc02983b8a,corp_email_mention__c7b49371fae91b0d62e126dc02983b8a
@a-amos.uk,a-amos.uk,American Airlines email credential for @a-amos.uk,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Wells,American Airlines email credential for @a-amos.uk,,corp_email_mention,93bbcc33fd401d8b6ef1103c8be85765,corp_email_mention__93bbcc33fd401d8b6ef1103c8be85765
@aa-ecs.com,aa-ecs.com,American Airlines email credential for @aa-ecs.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Media,American Airlines email credential for @aa-ecs.com,,corp_email_mention,582914e15653866d25f7ecb7a9365220,corp_email_mention__582914e15653866d25f7ecb7a9365220
@aa-gmc.org,aa-gmc.org,American Airlines email credential for @aa-gmc.org,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Consulates,American Airlines email credential for @aa-gmc.org,,corp_email_mention,03eb3ab7221108af768f11f06c81349a,corp_email_mention__03eb3ab7221108af768f11f06c81349a
@aa-mro.com,aa-mro.com,American Airlines email credential for @aa-mro.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,AAEntity,American Airlines email credential for @aa-mro.com,,corp_email_mention,9e071d0781d479219cda34a0dfa80f51,corp_email_mention__9e071d0781d479219cda34a0dfa80f51
@aa-promo.com,aa-promo.com,American Airlines email credential for @aa-promo.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Exec,American Airlines email credential for @aa-promo.com,,corp_email_mention,30d8e7498f68b476a3d49d3901d4acef,corp_email_mention__30d8e7498f68b476a3d49d3901d4acef
