location,geo,description,lat,lon,threshold_text,threshold,geo_captions,ENTITY_LABEL,name,source,source_identifier,global_identifier
Abkhazia,"Sukhumi, Abkhazia",,43.001525,41.023415,Urgent National,general.alert2,no_geo,Diplomat,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Afghanistan,"Kabul, Afghanistan",,34.575503,69.240073,Urgent National,general.alert2,no_geo,Shipping,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Aland Islands,"Mariehamn, Aland Islands",,60.1,19.933333,Urgent National,general.alert2,no_geo,Media,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Albania,"Tirana, Albania",,41.327546,19.818698,Urgent National,general.alert2,no_geo,ForeignMinister,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Algeria,"Algiers, Algeria",,36.752887,3.042048,Urgent National,general.alert2,no_geo,Pipeline,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
American Samoa,"Pago Pago, American Samoa",,-14.275632,-170.70204,Urgent National,general.alert2,no_geo,DiplomaticFacilities,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Andorra,"Andorra la Vella, Andorra",,42.506317,1.521835,Urgent National,general.alert2,no_geo,FTO,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Angola,"Luanda, Angola",,-8.839988,13.289437,Urgent National,general.alert2,no_geo,CompanyKeyword,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Anguilla,"The Valley, Anguilla",,18.214813,-63.057441,Urgent National,general.alert2,no_geo,ForeignMinister,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Antarctica,"South Pole, Antarctica",,-90,0,Urgent National,general.alert2,no_geo,Consulates,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Antigua and Barbuda,"St. John's, Antigua and Barbuda",,17.12741,-61.846772,Urgent National,general.alert2,no_geo,LegislativeCommittee,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Argentina,"Buenos Aires, Argentina",,-34.603684,-58.381559,Urgent National,general.alert2,no_geo,Legislator,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Armenia,"Yerevan, Armenia",,40.179186,44.499103,Urgent National,general.alert2,no_geo,Refinery,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Aruba,"Oranjestad, Aruba",,12.509204,-70.008631,Urgent National,general.alert2,no_geo,News,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Australia,"Canberra, Australia",,-35.282,149.128684,Urgent National,general.alert2,no_geo,Organization,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Austria,"Vienna, Austria",,48.208174,16.373819,Urgent National,general.alert2,no_geo,ForeignMinister,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Azerbaijan,"Baku, Azerbaijan",,40.409262,49.867092,Urgent National,general.alert2,no_geo,ForeignMinistry,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Bahamas,"Nassau, Bahamas",,25.047984,-77.355413,Urgent National,general.alert2,no_geo,Shipping,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Bahrain,"Manama, Bahrain",,26.228516,50.58605,Urgent National,general.alert2,no_geo,space,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Bangladesh,"Dhaka, Bangladesh",,23.810332,90.412518,Urgent National,general.alert2,no_geo,Organization,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Barbados,"Bridgetown, Barbados",,13.113222,-59.598809,Urgent National,general.alert2,no_geo,Shipping,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Belarus,"Minsk, Belarus",,53.90454,27.561524,Urgent National,general.alert2,no_geo,Keyphrase,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Belgium,"Brussels, Belgium",,50.85034,4.35171,Urgent National,general.alert2,no_geo,space,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Belize,"Belmopan, Belize",,17.251011,-88.75902,Urgent National,general.alert2,no_geo,LegislativeCommittee,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Benin,"Porto-Novo, Benin",,6.496857,2.628852,Urgent National,general.alert2,no_geo,LegislativeCommittee,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Bermuda,"Hamilton, Bermuda",,32.294816,-64.781375,Urgent National,general.alert2,no_geo,CompanyKeyword,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Bhutan,"Thimphu, Bhutan",,27.472792,89.639286,Urgent National,general.alert2,no_geo,Organization,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Bolivia,"La Paz, Bolivia",,-16.489689,-68.119294,Urgent National,general.alert2,no_geo,space,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",,43.856259,18.413076,Urgent National,general.alert2,no_geo,DiplomaticFacilities,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Botswana,"Gaborone, Botswana",,-24.628208,25.923147,Urgent National,general.alert2,no_geo,DiplomaticFacilities,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Bouvet Island,"Bouvet Island, Bouvet Island",,-54.43,3.38,Urgent National,general.alert2,no_geo,Shipping,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Brazil,"Brasilia, Brazil",,-15.794229,-47.882166,Urgent National,general.alert2,no_geo,ForeignMinister,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
British Indian Ocean Territory,"Camp Justice, British Indian Ocean Territory",,21.3419,55.4778,Urgent National,general.alert2,no_geo,ForeignMinistry,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
British Virgin Islands,"Road Town, British Virgin Islands",,18.428612,-64.618466,Urgent National,general.alert2,no_geo,Shipping,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Brunei,"Bandar Seri Begawan, Brunei",,4.903052,114.939821,Urgent National,general.alert2,no_geo,Consulates,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Bulgaria,"Sofia, Bulgaria",,42.697708,23.321868,Urgent National,general.alert2,no_geo,ForeignMinister,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Burkina Faso,"Ouagadougou, Burkina Faso",,12.371428,-1.51966,Urgent National,general.alert2,no_geo,DiplomaticFacilities,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Burundi,"Bujumbura, Burundi",,-3.361378,29.359878,Urgent National,general.alert2,no_geo,Refinery,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
Cambodia,"Phnom Penh, Cambodia",,11.544873,104.892167,Urgent National,general.alert2,no_geo,Shipping,no_geo,covid_jhu_location_mapping,583d3fecd6a03b886a5ae1c6e6e76703,covid_jhu_location_mapping__583d3fecd6a03b886a5ae1c6e6e76703
