keyword,caption_name,topic_id,guid,groups,entity_type,.1,.2,.3,.4,.5,.6,.7,.8,.9,.10,.11,.12,.13,.14,.15,.16,.17,.18,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
79m6 kontakt,79M6 Kontakt anti-satellite missile,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,188261;188253;188257,Antisatsystem,79M6 Kontakt anti-satellite missile,,defmin_mentionee,58bb4257c3566e8d56f39976b92a9de0,defmin_mentionee__cfc6756f4c01c6273b828fe598619642
79m6 contact,79M6 Kontakt anti-satellite missile,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,79M6 Kontakt anti-satellite missile,,defmin_mentionee,e71f702fc50bb1f7ea37e2b815533e00,defmin_mentionee__cfc6756f4c01c6273b828fe598619642
79м6 контакт,79M6 Kontakt anti-satellite missile,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,79M6 Kontakt anti-satellite missile,,defmin_mentionee,d7176c7cf058ca598015f78178e5664f,defmin_mentionee__cfc6756f4c01c6273b828fe598619642
9m730 burevestnik,9M730 Burevestnik nuclear-powered cruise missile,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,9M730 Burevestnik nuclear-powered cruise missile,,defmin_mentionee,db79114bb3f37c83a00f136ffb482d06,defmin_mentionee__9fc029c5b3854de1952d0cbdfd91086a
petrel missile,9M730 Burevestnik nuclear-powered cruise missile,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,9M730 Burevestnik nuclear-powered cruise missile,,defmin_mentionee,d802a1c02ac88398a4c24161cb6e7e37,defmin_mentionee__9fc029c5b3854de1952d0cbdfd91086a
буревестник,9M730 Burevestnik nuclear-powered cruise missile,188258;188253,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,9M730 Burevestnik nuclear-powered cruise missile,,defmin_mentionee,3410acd6c3247eb070f2cae5095645d4,defmin_mentionee__9fc029c5b3854de1952d0cbdfd91086a
a-235 pl-19 nudol,A-235 PL-19 Nudol anti-satellite missile system,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,A-235 PL-19 Nudol anti-satellite missile system,,defmin_mentionee,d696956caa2a2ba3ca75b50f9fe80162,defmin_mentionee__ba194df9e636d29ab607cdf986ef4e2d
система а-235,A-235 PL-19 Nudol anti-satellite missile system,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,A-235 PL-19 Nudol anti-satellite missile system,,defmin_mentionee,514803953a618fd79be91e8182dd307c,defmin_mentionee__ba194df9e636d29ab607cdf986ef4e2d
ртц-181м,A-235 PL-19 Nudol anti-satellite missile system,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,A-235 PL-19 Nudol anti-satellite missile system,,defmin_mentionee,ed20137340f0a9a309b89d4ffe155cfc,defmin_mentionee__ba194df9e636d29ab607cdf986ef4e2d
rtts-181m,A-235 PL-19 Nudol anti-satellite missile system,188261;188253;188257;188258,,,antisatsystem,,,,,,,,,,,,,,,,,,,Antisatsystem,A-235 PL-19 Nudol anti-satellite missile system,,defmin_mentionee,8aa0e3ad3b9117a92f6bc953faf7eac2,defmin_mentionee__ba194df9e636d29ab607cdf986ef4e2d
