handle,caption_name,location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
armeniamodteam,Armenian Defense Ministry,2505,Exec,Armenian Defense Ministry,,defmin_mentioner,9388eac729eafd294efbe55600085c3c,defmin_mentioner__9388eac729eafd294efbe55600085c3c
deptdefence,Australian Defence Department,2506,Shipping,Australian Defence Department,,defmin_mentioner,9cab2598933dde47190ede4d7515c2ef,defmin_mentioner__9cab2598933dde47190ede4d7515c2ef
wwwmodgovaz,Azerbaijani Defense Ministry,2507,Diplomat,Azerbaijani Defense Ministry,,defmin_mentioner,fc4483eeb46c5210ea65a071c3ed2bc3,defmin_mentioner__fc4483eeb46c5210ea65a071c3ed2bc3
belarusmfa,Belarusian Foreign Ministry,2508,Keyphrase,Belarusian Foreign Ministry,,defmin_mentioner,bc6296eced591da6036ba238d99a6157,defmin_mentioner__bc6296eced591da6036ba238d99a6157
belgiumdefence,Belgian Defense Ministry,2509,Shipping,Belgian Defense Ministry,,defmin_mentioner,4dabe1d588be52dba3983a049038b080,defmin_mentioner__4dabe1d588be52dba3983a049038b080
nationaldefence,Canadian Defence Ministry,2510,ForeignMinistry,Canadian Defence Ministry,,defmin_mentioner,2941542bc5b018d2215d0e752fb77b3c,defmin_mentioner__2941542bc5b018d2215d0e752fb77b3c
defencecyprus,Cypriot Defense Ministry,2511,DiplomaticFacilities,Cypriot Defense Ministry,,defmin_mentioner,aad4e92038210ca28586880a104a244e,defmin_mentioner__aad4e92038210ca28586880a104a244e
forsvarsmin,Danish Defense Ministry,2512,AAEntity,Danish Defense Ministry,,defmin_mentioner,1c4448858add3dd3de70f1ff01728862,defmin_mentioner__1c4448858add3dd3de70f1ff01728862
mod_estonia,Estonian Defense Ministry,2513,FTO,Estonian Defense Ministry,,defmin_mentioner,26e170f5bfb20284210fecfc4a13cbd3,defmin_mentioner__26e170f5bfb20284210fecfc4a13cbd3
rfmf_media,Fiji Military Forces,2514,Diplomat,Fiji Military Forces,,defmin_mentioner,de73df496bcea126e46e376bf1927da9,defmin_mentioner__de73df496bcea126e46e376bf1927da9
defencefinland,Finnish Defense Ministry,2515,DiplomaticFacilities,Finnish Defense Ministry,,defmin_mentioner,8d8448761425dbc38f0a3b30b686e419,defmin_mentioner__8d8448761425dbc38f0a3b30b686e419
ministry_gambia,Gambian Defense Ministry,2516,Keyphrase,Gambian Defense Ministry,,defmin_mentioner,c45287957f6afd234da08779d3e3371f,defmin_mentioner__c45287957f6afd234da08779d3e3371f
modgovge,Georgian Defense Ministry,2517,ForeignMinistry,Georgian Defense Ministry,,defmin_mentioner,e3bc2247d584f241b99d3dca5e54d368,defmin_mentioner__e3bc2247d584f241b99d3dca5e54d368
hellenic_mod,Greek Defense Ministry,2518,Refinery,Greek Defense Ministry,,defmin_mentioner,0608f7a754aa441bf989fd33ce2c0058,defmin_mentioner__0608f7a754aa441bf989fd33ce2c0058
spokespersonmod,Indian Defense Ministry,2519,Exec,Indian Defense Ministry,,defmin_mentioner,50ba737660ae347654a7d2342b845e2d,defmin_mentioner__50ba737660ae347654a7d2342b845e2d
irldeptdefence,Irish Defence Department,2520,Exec,Irish Defence Department,,defmin_mentioner,5f51413dcb4a75a8613094b1597fe4b9,defmin_mentioner__5f51413dcb4a75a8613094b1597fe4b9
