handle,caption_name,location,exclude_groups,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
armeniamodteam,Armenian Defense Ministry,a447,armenia,Armenia,ForeignMinistry,Armenian Defense Ministry,,defmin_mentioner2,9388eac729eafd294efbe55600085c3c,defmin_mentioner2__9388eac729eafd294efbe55600085c3c
deptdefence,Australian Defence Department,a448,australia,Australia,LegislativeCommittee,Australian Defence Department,,defmin_mentioner2,9cab2598933dde47190ede4d7515c2ef,defmin_mentioner2__9cab2598933dde47190ede4d7515c2ef
wwwmodgovaz,Azerbaijani Defense Ministry,a449,azerbaijan,Azerbaijan,LegislativeCommittee,Azerbaijani Defense Ministry,,defmin_mentioner2,fc4483eeb46c5210ea65a071c3ed2bc3,defmin_mentioner2__fc4483eeb46c5210ea65a071c3ed2bc3
belgiumdefence,Belgian Defense Ministry,a451,belgium,Belgium,space,Belgian Defense Ministry,,defmin_mentioner2,4dabe1d588be52dba3983a049038b080,defmin_mentioner2__4dabe1d588be52dba3983a049038b080
nationaldefence,Canadian Defence Ministry,a452,canada,Canada,space,Canadian Defence Ministry,,defmin_mentioner2,2941542bc5b018d2215d0e752fb77b3c,defmin_mentioner2__2941542bc5b018d2215d0e752fb77b3c
defencecyprus,Cypriot Defense Ministry,a453,cyprus,Cyprus,Refinery,Cypriot Defense Ministry,,defmin_mentioner2,aad4e92038210ca28586880a104a244e,defmin_mentioner2__aad4e92038210ca28586880a104a244e
forsvarsmin,Danish Defense Ministry,a454,denmark,Denmark,Wells,Danish Defense Ministry,,defmin_mentioner2,1c4448858add3dd3de70f1ff01728862,defmin_mentioner2__1c4448858add3dd3de70f1ff01728862
mod_estonia,Estonian Defense Ministry,a455,estonia,Estonia,Organization,Estonian Defense Ministry,,defmin_mentioner2,26e170f5bfb20284210fecfc4a13cbd3,defmin_mentioner2__26e170f5bfb20284210fecfc4a13cbd3
rfmf_media,Fiji Military Forces,a456,fiji,Fiji,Pipeline,Fiji Military Forces,,defmin_mentioner2,de73df496bcea126e46e376bf1927da9,defmin_mentioner2__de73df496bcea126e46e376bf1927da9
defencefinland,Finnish Defense Ministry,a457,finland,Finland,Legislator,Finnish Defense Ministry,,defmin_mentioner2,8d8448761425dbc38f0a3b30b686e419,defmin_mentioner2__8d8448761425dbc38f0a3b30b686e419
