keyword,keyword_upper,caption_name,location,location_lower,location (state),type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
new york city police department,New York City Police Department,New York City Police Department,NYC,nyc,,PoliceDept,,188120,3140002,Policedept,New York City Police Department,,dgm_EO_Mentionee_Int,7da7b7ab9794fdde4175677bf74c3665,dgm_EO_Mentionee_Int__48c8005a2be6768a46c29fe7c5ff73b7
nypdnews,NYPDNews,New York City Police Department,NYC,nyc,,PoliceDept,,188120,3140002,Policedept,New York City Police Department,,dgm_EO_Mentionee_Int,d4b12417cc8dced69b87fe10343f3b5c,dgm_EO_Mentionee_Int__48c8005a2be6768a46c29fe7c5ff73b7
nypd,NYPD,New York City Police Department,NYC,nyc,,PoliceDept,,188120,3140002,Policedept,New York City Police Department,,dgm_EO_Mentionee_Int,2572211e7fd61bfe762e71ab43335c82,dgm_EO_Mentionee_Int__48c8005a2be6768a46c29fe7c5ff73b7
los angeles police department,Los Angeles Police Department,Los Angeles Police Department,Los Angeles,los angeles,,PoliceDept,,188120,3140002,Policedept,Los Angeles Police Department,,dgm_EO_Mentionee_Int,96777dc6952a3ed15ab1f1540904c3cb,dgm_EO_Mentionee_Int__dada3222a1d88143fb7e561e96e8ca1b
lapd,LAPD,Los Angeles Police Department,Los Angeles,los angeles,,PoliceDept,,188120,3140002,Policedept,Los Angeles Police Department,,dgm_EO_Mentionee_Int,3affae9be830480d08d3835c43c9967c,dgm_EO_Mentionee_Int__dada3222a1d88143fb7e561e96e8ca1b
lapdhq,LAPDHQ,Los Angeles Police Department,Los Angeles,los angeles,,PoliceDept,,188120,3140002,Policedept,Los Angeles Police Department,,dgm_EO_Mentionee_Int,f6b0ef04ed7cd1c9ad8b6c9352caa874,dgm_EO_Mentionee_Int__dada3222a1d88143fb7e561e96e8ca1b
dc mpd,DC MPD,"Washington, DC Metropolitan Police Department",DC,dc,,PoliceDept,,188120,3140002,Policedept,"Washington, DC Metropolitan Police Department",,dgm_EO_Mentionee_Int,5a1b58283fca5956896b6e03c8d9213e,dgm_EO_Mentionee_Int__d8d105aff1260da44806fab1b82e9945
metropolitan police department of the district of columbia,Metropolitan Police Department of the District of Columbia,"Washington, DC Metropolitan Police Department",DC,dc,,PoliceDept,,188120,3140002,Policedept,"Washington, DC Metropolitan Police Department",,dgm_EO_Mentionee_Int,ed436181254c006a5d898d376971ac2c,dgm_EO_Mentionee_Int__d8d105aff1260da44806fab1b82e9945
(mpd; dc),(MPD; DC),"Washington, DC Metropolitan Police Department",DC,dc,,PoliceDept,,188120,3140002,Policedept,"Washington, DC Metropolitan Police Department",,dgm_EO_Mentionee_Int,5cfc87dc12cf627c177ad2525e827971,dgm_EO_Mentionee_Int__d8d105aff1260da44806fab1b82e9945
dcpolicedept,DCPoliceDept,"Washington, DC Metropolitan Police Department",DC,dc,,PoliceDept,,188120,3140002,Policedept,"Washington, DC Metropolitan Police Department",,dgm_EO_Mentionee_Int,7078b9f1c330ccf7f286526f93213fe1,dgm_EO_Mentionee_Int__d8d105aff1260da44806fab1b82e9945
