keyword,keyword_upper,caption_name,location,location_lower,type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
sandradayoconnor,sandradayoconnor,Former US Supreme Court Justice Sandra Day O'Connor,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice Sandra Day O'Connor,,dgm_SCOTUS,69d703fddc975453444496958d798579,dgm_SCOTUS__69d703fddc975453444496958d798579
sandraoconnor,sandraoconnor,Former US Supreme Court Justice Sandra Day O'Connor,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice Sandra Day O'Connor,,dgm_SCOTUS,69d703fddc975453444496958d798579,dgm_SCOTUS__69d703fddc975453444496958d798579
justiceoconnor,justiceoconnor,Former US Supreme Court Justice Sandra Day O'Connor,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice Sandra Day O'Connor,,dgm_SCOTUS,69d703fddc975453444496958d798579,dgm_SCOTUS__69d703fddc975453444496958d798579
sandra day o connor,sandra day o connor,Former US Supreme Court Justice Sandra Day O'Connor,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice Sandra Day O'Connor,,dgm_SCOTUS,69d703fddc975453444496958d798579,dgm_SCOTUS__69d703fddc975453444496958d798579
sandra o connor,sandra o connor,Former US Supreme Court Justice Sandra Day O'Connor,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice Sandra Day O'Connor,,dgm_SCOTUS,69d703fddc975453444496958d798579,dgm_SCOTUS__69d703fddc975453444496958d798579
sandra o'connor,sandra o'connor,Former US Supreme Court Justice Sandra Day O'Connor,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice Sandra Day O'Connor,,dgm_SCOTUS,69d703fddc975453444496958d798579,dgm_SCOTUS__69d703fddc975453444496958d798579
sandra day o'connor,sandra day o'connor,Former US Supreme Court Justice Sandra Day O'Connor,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice Sandra Day O'Connor,,dgm_SCOTUS,69d703fddc975453444496958d798579,dgm_SCOTUS__69d703fddc975453444496958d798579
justice o'connor,justice o'connor,Former US Supreme Court Justice Sandra Day O'Connor,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice Sandra Day O'Connor,,dgm_SCOTUS,69d703fddc975453444496958d798579,dgm_SCOTUS__69d703fddc975453444496958d798579
justice o connor,justice o connor,Former US Supreme Court Justice Sandra Day O'Connor,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice Sandra Day O'Connor,,dgm_SCOTUS,69d703fddc975453444496958d798579,dgm_SCOTUS__69d703fddc975453444496958d798579
davidhsouter,davidhsouter,Former US Supreme Court Justice David Souter,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice David Souter,,dgm_SCOTUS,2b8f45071955666eff4c9cf1c5e9ace1,dgm_SCOTUS__2b8f45071955666eff4c9cf1c5e9ace1
davidsouter,davidsouter,Former US Supreme Court Justice David Souter,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice David Souter,,dgm_SCOTUS,2b8f45071955666eff4c9cf1c5e9ace1,dgm_SCOTUS__2b8f45071955666eff4c9cf1c5e9ace1
justicesouter,justicesouter,Former US Supreme Court Justice David Souter,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice David Souter,,dgm_SCOTUS,2b8f45071955666eff4c9cf1c5e9ace1,dgm_SCOTUS__2b8f45071955666eff4c9cf1c5e9ace1
david h. souter,david h. souter,Former US Supreme Court Justice David Souter,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice David Souter,,dgm_SCOTUS,2b8f45071955666eff4c9cf1c5e9ace1,dgm_SCOTUS__2b8f45071955666eff4c9cf1c5e9ace1
david souter,david souter,Former US Supreme Court Justice David Souter,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,Former US Supreme Court Justice David Souter,,dgm_SCOTUS,2b8f45071955666eff4c9cf1c5e9ace1,dgm_SCOTUS__2b8f45071955666eff4c9cf1c5e9ace1
