keyword,keyword_upper,caption_name,location,location_lower,type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
mcconnellpress,mcconnellpress,US Senator McConnell,Washington,washington,US Senators,,188285,,UsSenators,US Senator McConnell,,dgm_USSenate,dbaebfe863f1c7cace3c546d806102c4,dgm_USSenate__dbaebfe863f1c7cace3c546d806102c4
senatemajldr,senatemajldr,US Senator McConnell,Washington,washington,US Senators,,188285,,UsSenators,US Senator McConnell,,dgm_USSenate,dbaebfe863f1c7cace3c546d806102c4,dgm_USSenate__dbaebfe863f1c7cace3c546d806102c4
mitchmcconnell,mitchmcconnell,US Senator McConnell,Washington,washington,US Senators,,188285,,UsSenators,US Senator McConnell,,dgm_USSenate,dbaebfe863f1c7cace3c546d806102c4,dgm_USSenate__dbaebfe863f1c7cace3c546d806102c4
senatormcconnell,senatormcconnell,US Senator McConnell,Washington,washington,US Senators,,188285,,UsSenators,US Senator McConnell,,dgm_USSenate,dbaebfe863f1c7cace3c546d806102c4,dgm_USSenate__dbaebfe863f1c7cace3c546d806102c4
senmcconnell,senmcconnell,US Senator McConnell,Washington,washington,US Senators,,188285,,UsSenators,US Senator McConnell,,dgm_USSenate,dbaebfe863f1c7cace3c546d806102c4,dgm_USSenate__dbaebfe863f1c7cace3c546d806102c4
mitch mcconnell,mitch mcconnell,US Senator McConnell,Washington,washington,US Senators,,188285,,UsSenators,US Senator McConnell,,dgm_USSenate,dbaebfe863f1c7cace3c546d806102c4,dgm_USSenate__dbaebfe863f1c7cace3c546d806102c4
senator mcconnell,senator mcconnell,US Senator McConnell,Washington,washington,US Senators,,188285,,UsSenators,US Senator McConnell,,dgm_USSenate,dbaebfe863f1c7cace3c546d806102c4,dgm_USSenate__dbaebfe863f1c7cace3c546d806102c4
sen mcconnell,sen mcconnell,US Senator McConnell,Washington,washington,US Senators,,188285,,UsSenators,US Senator McConnell,,dgm_USSenate,dbaebfe863f1c7cace3c546d806102c4,dgm_USSenate__dbaebfe863f1c7cace3c546d806102c4
sen. mcconnell,sen. mcconnell,US Senator McConnell,Washington,washington,US Senators,,188285,,UsSenators,US Senator McConnell,,dgm_USSenate,dbaebfe863f1c7cace3c546d806102c4,dgm_USSenate__dbaebfe863f1c7cace3c546d806102c4
chuckschumer,chuckschumer,US Senator Schumer,Washington,washington,US Senators,,188285,,UsSenators,US Senator Schumer,,dgm_USSenate,8889f2beb459383345a2bc171c637094,dgm_USSenate__8889f2beb459383345a2bc171c637094
senschumer,senschumer,US Senator Schumer,Washington,washington,US Senators,,188285,,UsSenators,US Senator Schumer,,dgm_USSenate,8889f2beb459383345a2bc171c637094,dgm_USSenate__8889f2beb459383345a2bc171c637094
johnneelykennedy,johnneelykennedy,US Senator Neely Kennedy,Washington,washington,US Senators,,188285,,UsSenators,US Senator Neely Kennedy,,dgm_USSenate,b368fc610c4280b4ce5e702d2bbdc418,dgm_USSenate__b368fc610c4280b4ce5e702d2bbdc418
john neely kennedy,john neely kennedy,US Senator Neely Kennedy,Washington,washington,US Senators,,188285,,UsSenators,US Senator Neely Kennedy,,dgm_USSenate,b368fc610c4280b4ce5e702d2bbdc418,dgm_USSenate__b368fc610c4280b4ce5e702d2bbdc418
catherinefornv,catherinefornv,US Senator Cortez Masto,Washington,washington,US Senators,,188285,,UsSenators,US Senator Cortez Masto,,dgm_USSenate,de456c8c96882c2a94d5cd4a93215753,dgm_USSenate__de456c8c96882c2a94d5cd4a93215753
sencortezmasto,sencortezmasto,US Senator Cortez Masto,Washington,washington,US Senators,,188285,,UsSenators,US Senator Cortez Masto,,dgm_USSenate,de456c8c96882c2a94d5cd4a93215753,dgm_USSenate__de456c8c96882c2a94d5cd4a93215753
catherinecortezmasto,catherinecortezmasto,US Senator Cortez Masto,Washington,washington,US Senators,,188285,,UsSenators,US Senator Cortez Masto,,dgm_USSenate,de456c8c96882c2a94d5cd4a93215753,dgm_USSenate__de456c8c96882c2a94d5cd4a93215753
senmasto,senmasto,US Senator Cortez Masto,Washington,washington,US Senators,,188285,,UsSenators,US Senator Cortez Masto,,dgm_USSenate,de456c8c96882c2a94d5cd4a93215753,dgm_USSenate__de456c8c96882c2a94d5cd4a93215753
catherine cortez masto,catherine cortez masto,US Senator Cortez Masto,Washington,washington,US Senators,,188285,,UsSenators,US Senator Cortez Masto,,dgm_USSenate,de456c8c96882c2a94d5cd4a93215753,dgm_USSenate__de456c8c96882c2a94d5cd4a93215753
senator masto,senator masto,US Senator Cortez Masto,Washington,washington,US Senators,,188285,,UsSenators,US Senator Cortez Masto,,dgm_USSenate,de456c8c96882c2a94d5cd4a93215753,dgm_USSenate__de456c8c96882c2a94d5cd4a93215753
sen masto,sen masto,US Senator Cortez Masto,Washington,washington,US Senators,,188285,,UsSenators,US Senator Cortez Masto,,dgm_USSenate,de456c8c96882c2a94d5cd4a93215753,dgm_USSenate__de456c8c96882c2a94d5cd4a93215753
sen. masto,sen. masto,US Senator Cortez Masto,Washington,washington,US Senators,,188285,,UsSenators,US Senator Cortez Masto,,dgm_USSenate,de456c8c96882c2a94d5cd4a93215753,dgm_USSenate__de456c8c96882c2a94d5cd4a93215753
catherine masto,catherine masto,US Senator Cortez Masto,Washington,washington,US Senators,,188285,,UsSenators,US Senator Cortez Masto,,dgm_USSenate,de456c8c96882c2a94d5cd4a93215753,dgm_USSenate__de456c8c96882c2a94d5cd4a93215753
chrisvanhollen,chrisvanhollen,US Senator Van Hollen,Washington,washington,US Senators,,188285,,UsSenators,US Senator Van Hollen,,dgm_USSenate,e92a981ab8ce069f0a74bbb20a5787a4,dgm_USSenate__e92a981ab8ce069f0a74bbb20a5787a4
