keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1 1 2021,January 1,FTO,January 1,,dgm_aadate,d6743413169cd555b53420030786c132,dgm_aadate__d6743413169cd555b53420030786c132
1 2 2021,January 2,FTO,January 2,,dgm_aadate,71e919f1b54d02dca8f42f7b462eab65,dgm_aadate__71e919f1b54d02dca8f42f7b462eab65
1 3 2021,January 3,AAEntity,January 3,,dgm_aadate,5055c053f328f1eaaef28d9c0576bf85,dgm_aadate__5055c053f328f1eaaef28d9c0576bf85
1 4 2021,January 4,ForeignMinister,January 4,,dgm_aadate,83e47ea4af09a77b9511fa49111cab6c,dgm_aadate__83e47ea4af09a77b9511fa49111cab6c
1 5 2021,January 5,Organization,January 5,,dgm_aadate,c1ad9484f0da455210bcc55ce4aa7098,dgm_aadate__c1ad9484f0da455210bcc55ce4aa7098
1 6 2021,January 6,Keyphrase,January 6,,dgm_aadate,625cb2ef2de6cc00c789b2bf53f25b18,dgm_aadate__625cb2ef2de6cc00c789b2bf53f25b18
1 7 2021,January 7,space,January 7,,dgm_aadate,8c58bc68d22b78aba712d395d7044196,dgm_aadate__8c58bc68d22b78aba712d395d7044196
1 8 2021,January 8,Organization,January 8,,dgm_aadate,ad8247f5f9c13c576b964f187f003bd4,dgm_aadate__ad8247f5f9c13c576b964f187f003bd4
1 9 2021,January 9,space,January 9,,dgm_aadate,7054331910164a15e18f283586da9790,dgm_aadate__7054331910164a15e18f283586da9790
1 10 2021,January 10,Legislator,January 10,,dgm_aadate,ed753e9f87cbbe17a743dc0b0690f3a3,dgm_aadate__ed753e9f87cbbe17a743dc0b0690f3a3
1 11 2021,January 11,Shipping,January 11,,dgm_aadate,569d378e395f734bc714ef805fbdd7a2,dgm_aadate__569d378e395f734bc714ef805fbdd7a2
1 12 2021,January 12,CompanyKeyword,January 12,,dgm_aadate,2ad0774431532588da46a90c91b777de,dgm_aadate__2ad0774431532588da46a90c91b777de
1 13 2021,January 13,ForeignMinister,January 13,,dgm_aadate,ea19b0ae86cc04297f313e9f337eb9ed,dgm_aadate__ea19b0ae86cc04297f313e9f337eb9ed
1 14 2021,January 14,AAEntity,January 14,,dgm_aadate,9a82cd6c0db4499805e98f8ab2907866,dgm_aadate__9a82cd6c0db4499805e98f8ab2907866
1 15 2021,January 15,AAEntity,January 15,,dgm_aadate,50efe58ef73091a6a047cd81ef39f324,dgm_aadate__50efe58ef73091a6a047cd81ef39f324
1 16 2021,January 16,ForeignMinistry,January 16,,dgm_aadate,3ca24a89d0eb4dd405c166ff4467fddf,dgm_aadate__3ca24a89d0eb4dd405c166ff4467fddf
1 17 2021,January 17,DiplomaticFacilities,January 17,,dgm_aadate,488bd0324298978365be9132525499a0,dgm_aadate__488bd0324298978365be9132525499a0
1 18 2021,January 18,Person,January 18,,dgm_aadate,b0b196d4b850563f83d172cded2fd42a,dgm_aadate__b0b196d4b850563f83d172cded2fd42a
1 19 2021,January 19,News,January 19,,dgm_aadate,f0450227eb6026cac012649b4c44da45,dgm_aadate__f0450227eb6026cac012649b4c44da45
1 20 2021,January 20,Refinery,January 20,,dgm_aadate,a24aff68218f85d27bb6cc76928719ad,dgm_aadate__a24aff68218f85d27bb6cc76928719ad
1 21 2021,January 21,Consulates,January 21,,dgm_aadate,f907b4c645fd799ae01b456517303167,dgm_aadate__f907b4c645fd799ae01b456517303167
1 22 2021,January 22,CompanyKeyword,January 22,,dgm_aadate,3859e2002ddd9060b4568f09f3ee4b5d,dgm_aadate__3859e2002ddd9060b4568f09f3ee4b5d
1 23 2021,January 23,Exec,January 23,,dgm_aadate,7602e2aaa5355091a000698fed8b1a49,dgm_aadate__7602e2aaa5355091a000698fed8b1a49
1 24 2021,January 24,AAEntity,January 24,,dgm_aadate,0a0abde94bd8116251bf55d8f6a584d8,dgm_aadate__0a0abde94bd8116251bf55d8f6a584d8
1 25 2021,January 25,FTO,January 25,,dgm_aadate,a65e03f3cbdbbd047975c5f1de5b79f3,dgm_aadate__a65e03f3cbdbbd047975c5f1de5b79f3
1 26 2021,January 26,FTO,January 26,,dgm_aadate,edc326673f6c730dd0ae0fd67889d409,dgm_aadate__edc326673f6c730dd0ae0fd67889d409
1 27 2021,January 27,Exec,January 27,,dgm_aadate,8aa1ea2d4125d69cb8aea13148eb91ce,dgm_aadate__8aa1ea2d4125d69cb8aea13148eb91ce
1 28 2021,January 28,Legislator,January 28,,dgm_aadate,36583ad25b968a8a6629adca1dd21284,dgm_aadate__36583ad25b968a8a6629adca1dd21284
1 29 2021,January 29,Diplomat,January 29,,dgm_aadate,ba0f43582b674e241216bd46f35db1a8,dgm_aadate__ba0f43582b674e241216bd46f35db1a8
1 30 2021,January 30,ForeignMinistry,January 30,,dgm_aadate,6e7db8ab00b9ff8c84aceec818e2672d,dgm_aadate__6e7db8ab00b9ff8c84aceec818e2672d
1 31 2021,January 31,Diplomat,January 31,,dgm_aadate,35a55bd14c1e9ff9230bd8811d25b217,dgm_aadate__35a55bd14c1e9ff9230bd8811d25b217
2 1 2021,February 1,Wells,February 1,,dgm_aadate,38e1f76c4fa449adc6c3b15327492c55,dgm_aadate__38e1f76c4fa449adc6c3b15327492c55
2 2 2021,February 2,Keyphrase,February 2,,dgm_aadate,a90accde2b4efacf1063b328f7a4299f,dgm_aadate__a90accde2b4efacf1063b328f7a4299f
2 3 2021,February 3,Media,February 3,,dgm_aadate,60d2842151518a817aff28464598b879,dgm_aadate__60d2842151518a817aff28464598b879
2 4 2021,February 4,ForeignMinistry,February 4,,dgm_aadate,7190ebb055a79293165a4bdea5f2caf8,dgm_aadate__7190ebb055a79293165a4bdea5f2caf8
2 5 2021,February 5,FTO,February 5,,dgm_aadate,32df19f653e06be3f086d9fc5d1025e2,dgm_aadate__32df19f653e06be3f086d9fc5d1025e2
2 6 2021,February 6,Shipping,February 6,,dgm_aadate,0db9fdccdf40cddeda36a3a2b36f1bf4,dgm_aadate__0db9fdccdf40cddeda36a3a2b36f1bf4
2 7 2021,February 7,Wells,February 7,,dgm_aadate,e7e266996895840cddf41b8e88aca3e0,dgm_aadate__e7e266996895840cddf41b8e88aca3e0
2 8 2021,February 8,DiplomaticFacilities,February 8,,dgm_aadate,5f67644dd823e791ff826a592f5d69fe,dgm_aadate__5f67644dd823e791ff826a592f5d69fe
2 9 2021,February 9,space,February 9,,dgm_aadate,01d57799c317cad0b434cc6ed2210878,dgm_aadate__01d57799c317cad0b434cc6ed2210878
2 10 2021,February 10,Pipeline,February 10,,dgm_aadate,02c8a9bf4ddcb118a07b67d4ffb73785,dgm_aadate__02c8a9bf4ddcb118a07b67d4ffb73785
2 11 2021,February 11,Wells,February 11,,dgm_aadate,f9160c6aff15379d5909946a8784d99f,dgm_aadate__f9160c6aff15379d5909946a8784d99f
