handle,caption_name,location_lower,include_groups,entity_type,location,lat,long,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
agriculturaar,Argentina agriculture ministry,argentina,,agriculture ministry,Argentina,-38.416097,-63.616672,argentina;country;stateprovince,AgricultureMinistry,Argentina agriculture ministry,,dgm_agr_mentioner_government,5e0a0327874f35fbaa0e87c96de69c74,dgm_agr_mentioner_government__5e0a0327874f35fbaa0e87c96de69c74
deptagnews,Australian Department of Agriculture,australia,,agriculture ministry,Australia,-25.274398,133.775136,australia;country;stateprovince,AgricultureMinistry,Australian Department of Agriculture,,dgm_agr_mentioner_government,d938b45f82c65deeca6032bb8a26eb35,dgm_agr_mentioner_government__d938b45f82c65deeca6032bb8a26eb35
mapa_brasil,Brazil Ministry of Agriculture,brazil,,agriculture ministry,Brazil,-14.235004,-51.92528,brazil;country;stateprovince,AgricultureMinistry,Brazil Ministry of Agriculture,,dgm_agr_mentioner_government,c13cc6a69be963c1ac3173d8ef73872e,dgm_agr_mentioner_government__c13cc6a69be963c1ac3173d8ef73872e
aafc_canada,Canadian Department of Agriculture and Agri-Food,canada,,agriculture ministry,Canada,56.130366,-106.346771,canada;country;stateprovince,AgricultureMinistry,Canadian Department of Agriculture and Agri-Food,,dgm_agr_mentioner_government,40206f168fcfb17cdba239a40961557f,dgm_agr_mentioner_government__40206f168fcfb17cdba239a40961557f
aac_canada,Canadian Department of Agriculture and Agri-Food,canada,,agriculture ministry,Canada,56.130366,-106.346771,canada;country;stateprovince,AgricultureMinistry,Canadian Department of Agriculture and Agri-Food,,dgm_agr_mentioner_government,40206f168fcfb17cdba239a40961557f,dgm_agr_mentioner_government__40206f168fcfb17cdba239a40961557f
agri_gouv,French Ministry of Agriculture and Food,france,,agriculture ministry,France,46.227638,2.213749,france;country;stateprovince,AgricultureMinistry,French Ministry of Agriculture and Food,,dgm_agr_mentioner_government,f93ce164cf146b353b770492f0c1f930,dgm_agr_mentioner_government__f93ce164cf146b353b770492f0c1f930
bmel,German Federal Ministry of Food and Agriculture,germany,,agriculture ministry,Germany,51.165691,10.451526,germany;country;stateprovince,AgricultureMinistry,German Federal Ministry of Food and Agriculture,,dgm_agr_mentioner_government,6468065b579a00e483d04da1cc106be9,dgm_agr_mentioner_government__6468065b579a00e483d04da1cc106be9
agrigoi,India agriculture ministry,india,,agriculture ministry,India,20.593684,78.96288,india;country;stateprovince,AgricultureMinistry,India agriculture ministry,,dgm_agr_mentioner_government,ca7bc088a3e043e586b9779910408b4a,dgm_agr_mentioner_government__ca7bc088a3e043e586b9779910408b4a
kementan,Indonesia agriculture ministry,indonesia,,agriculture ministry,Indonesia,-0.789275,113.921327,indonesia;country;stateprovince,AgricultureMinistry,Indonesia agriculture ministry,,dgm_agr_mentioner_government,c3536d4a823fa7f88fd74abf96adaf71,dgm_agr_mentioner_government__c3536d4a823fa7f88fd74abf96adaf71
mipaaf_,Italy agriculture ministry,italy,,agriculture ministry,Italy,41.87194,12.56738,italy;country;stateprovince,AgricultureMinistry,Italy agriculture ministry,,dgm_agr_mentioner_government,c779e6107068183e02261c331bed7b88,dgm_agr_mentioner_government__c779e6107068183e02261c331bed7b88
