keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#alabama,AL,ForeignMinister,AL,,dgm_amberalertstate,e892e780304dc3ef15e69b9f3fed3669,dgm_amberalertstate__e892e780304dc3ef15e69b9f3fed3669
#alaska,AK,ForeignMinister,AK,,dgm_amberalertstate,631de3eab18d35e667a73157e91a8aa6,dgm_amberalertstate__631de3eab18d35e667a73157e91a8aa6
#arizona,AZ,ForeignMinistry,AZ,,dgm_amberalertstate,546a9a80eb981c7f0aabcaeb34d9514e,dgm_amberalertstate__546a9a80eb981c7f0aabcaeb34d9514e
#arkansas,AR,Legislator,AR,,dgm_amberalertstate,5b61a1b298a0d06efa6933a97e68d763,dgm_amberalertstate__5b61a1b298a0d06efa6933a97e68d763
#california,CA,Organization,CA,,dgm_amberalertstate,3e8d115eb4b32b9e9479f387dbe14ee1,dgm_amberalertstate__3e8d115eb4b32b9e9479f387dbe14ee1
#colorado,CO,Legislator,CO,,dgm_amberalertstate,42983b05e2f2cc22822e30beb7bdd668,dgm_amberalertstate__42983b05e2f2cc22822e30beb7bdd668
#connecticut,CT,FTO,CT,,dgm_amberalertstate,112c61a276d0376f2f6b25dd3a337b1d,dgm_amberalertstate__112c61a276d0376f2f6b25dd3a337b1d
#delaware,DE,Legislator,DE,,dgm_amberalertstate,3a52f3c22ed6fcde5bf696a6c02c9e73,dgm_amberalertstate__3a52f3c22ed6fcde5bf696a6c02c9e73
#florida,FL,ForeignMinister,FL,,dgm_amberalertstate,ac717902757f64247e6ee5ec9b2d1a9b,dgm_amberalertstate__ac717902757f64247e6ee5ec9b2d1a9b
#georgia,GA,CompanyKeyword,GA,,dgm_amberalertstate,cd957338498985e538753ea8d071e0f9,dgm_amberalertstate__cd957338498985e538753ea8d071e0f9
#hawaii,HI,LegislativeCommittee,HI,,dgm_amberalertstate,bf8c144140b15befb8ce662632a7b76e,dgm_amberalertstate__bf8c144140b15befb8ce662632a7b76e
#idaho,ID,Legislator,ID,,dgm_amberalertstate,b718adec73e04ce3ec720dd11a06a308,dgm_amberalertstate__b718adec73e04ce3ec720dd11a06a308
#illinois,IL,Person,IL,,dgm_amberalertstate,88588bacf0dad76870d7ede67a0ddbdf,dgm_amberalertstate__88588bacf0dad76870d7ede67a0ddbdf
#indiana,IN,Consulates,IN,,dgm_amberalertstate,c86ee0d9d7ed3e7b4fdbf486fa6c0ebb,dgm_amberalertstate__c86ee0d9d7ed3e7b4fdbf486fa6c0ebb
#iowa,IA,Media,IA,,dgm_amberalertstate,b97267fa7855e04401fb12fa8a4c516f,dgm_amberalertstate__b97267fa7855e04401fb12fa8a4c516f
#kansas,KS,LegislativeCommittee,KS,,dgm_amberalertstate,a32356331cf2a7f56e45306fc6d328d9,dgm_amberalertstate__a32356331cf2a7f56e45306fc6d328d9
#kentucky,KY,IndustryTerm,KY,,dgm_amberalertstate,b8ea98de1a83f61d1976027741a458be,dgm_amberalertstate__b8ea98de1a83f61d1976027741a458be
#louisiana,LA,Keyphrase,LA,,dgm_amberalertstate,6b40fe07a0e5a93eef07242975e83ec1,dgm_amberalertstate__6b40fe07a0e5a93eef07242975e83ec1
#maine,ME,DiplomaticFacilities,ME,,dgm_amberalertstate,9ee9d85a86f0118c40ba2385bb314fd7,dgm_amberalertstate__9ee9d85a86f0118c40ba2385bb314fd7
#maryland,MD,LegislativeCommittee,MD,,dgm_amberalertstate,7dc10e66da5549d351765bd940b81be9,dgm_amberalertstate__7dc10e66da5549d351765bd940b81be9
#massachusetts,MA,DiplomaticFacilities,MA,,dgm_amberalertstate,2a6039655313bf5dab1e43523b62c374,dgm_amberalertstate__2a6039655313bf5dab1e43523b62c374
#michigan,MI,space,MI,,dgm_amberalertstate,9b38067e23298837802635d5172733d7,dgm_amberalertstate__9b38067e23298837802635d5172733d7
#minnesota,MN,Wells,MN,,dgm_amberalertstate,943afaf25ac17fe7bc39fdaae916e3a4,dgm_amberalertstate__943afaf25ac17fe7bc39fdaae916e3a4
#mississippi,MS,Media,MS,,dgm_amberalertstate,7a663caea1b722a63dc2868158ed584d,dgm_amberalertstate__7a663caea1b722a63dc2868158ed584d
#missouri,MO,Legislator,MO,,dgm_amberalertstate,eb0459bfce4185888ecf61fb07987581,dgm_amberalertstate__eb0459bfce4185888ecf61fb07987581
#montana,MT,CompanyKeyword,MT,,dgm_amberalertstate,08ad08f6491037714d09263a79bebfba,dgm_amberalertstate__08ad08f6491037714d09263a79bebfba
#nebraska,NE,Refinery,NE,,dgm_amberalertstate,dc33066c3993e0d50896e533fd692ce0,dgm_amberalertstate__dc33066c3993e0d50896e533fd692ce0
#nevada,NV,AAEntity,NV,,dgm_amberalertstate,5343f615ee8aea842a0c5220a4df8d1c,dgm_amberalertstate__5343f615ee8aea842a0c5220a4df8d1c
#newhampshire,NH,DiplomaticFacilities,NH,,dgm_amberalertstate,d41b7e52a4d4a8b4368f46611d066ece,dgm_amberalertstate__d41b7e52a4d4a8b4368f46611d066ece
#newjersey,NJ,LegislativeCommittee,NJ,,dgm_amberalertstate,e22389dd541af625943f34756093b4c9,dgm_amberalertstate__e22389dd541af625943f34756093b4c9
