keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
amber,Amber,Person,Amber,,dgm_amberalerttype,88068e33c78eb72f1b371c7110846085,dgm_amberalerttype__88068e33c78eb72f1b371c7110846085
silver,Silver,FTO,Silver,,dgm_amberalerttype,f96e345fdc19cbd4cf15256c251a39a0,dgm_amberalerttype__f96e345fdc19cbd4cf15256c251a39a0
endangered missing person,Endangered Missing Person,AAEntity,Endangered Missing Person,,dgm_amberalerttype,28789b868f533fb53899215e4d470d6c,dgm_amberalerttype__28789b868f533fb53899215e4d470d6c
missing child,Missing Child,Person,Missing Child,,dgm_amberalerttype,00907e97e496f3a1d0ed4440271d3778,dgm_amberalerttype__00907e97e496f3a1d0ed4440271d3778
blue,Blue,CompanyKeyword,Blue,,dgm_amberalerttype,9594eec95be70e7b1710f730fdda33d9,dgm_amberalerttype__9594eec95be70e7b1710f730fdda33d9
clear,Clear,Organization,Clear,,dgm_amberalerttype,dc30bc0c7914db5918da4263fce93ad2,dgm_amberalerttype__dc30bc0c7914db5918da4263fce93ad2
camo,Camo,FTO,Camo,,dgm_amberalerttype,2fc3c3a57bb1dbaa8b7be1efa74c2005,dgm_amberalerttype__2fc3c3a57bb1dbaa8b7be1efa74c2005
endangered missing juvenile,Endangered Missing Child,Media,Endangered Missing Child,,dgm_amberalerttype,b7dd82fdbed9dc92fc96be8796e16730,dgm_amberalerttype__b7dd82fdbed9dc92fc96be8796e16730
endangered missing child,Endangered Missing Child,Diplomat,Endangered Missing Child,,dgm_amberalerttype,b7dd82fdbed9dc92fc96be8796e16730,dgm_amberalerttype__b7dd82fdbed9dc92fc96be8796e16730
endangered and missing,Endangered Missing Person,Legislator,Endangered Missing Person,,dgm_amberalerttype,28789b868f533fb53899215e4d470d6c,dgm_amberalerttype__28789b868f533fb53899215e4d470d6c
missing endangered person,Endangered Missing Person,Legislator,Endangered Missing Person,,dgm_amberalerttype,28789b868f533fb53899215e4d470d6c,dgm_amberalerttype__28789b868f533fb53899215e4d470d6c
missing person,Missing Person,Keyphrase,Missing Person,,dgm_amberalerttype,03b2c220d024b7e47e43ac56fce93b81,dgm_amberalerttype__03b2c220d024b7e47e43ac56fce93b81
missing and endangered,Endangered Missing Person,DiplomaticFacilities,Endangered Missing Person,,dgm_amberalerttype,28789b868f533fb53899215e4d470d6c,dgm_amberalerttype__28789b868f533fb53899215e4d470d6c
missing adult,Missing Person,Exec,Missing Person,,dgm_amberalerttype,03b2c220d024b7e47e43ac56fce93b81,dgm_amberalerttype__03b2c220d024b7e47e43ac56fce93b81
emergency missing child,Emergency Missing Child,Consulates,Emergency Missing Child,,dgm_amberalerttype,7edcac39f9a86ac99b8a8649d95f4ee0,dgm_amberalerttype__7edcac39f9a86ac99b8a8649d95f4ee0
missing senior alert,Missing Senior,space,Missing Senior,,dgm_amberalerttype,8783a004bd522921136e67632bbf85fc,dgm_amberalerttype__8783a004bd522921136e67632bbf85fc
senior alert,Missing Senior,LegislativeCommittee,Missing Senior,,dgm_amberalerttype,8783a004bd522921136e67632bbf85fc,dgm_amberalerttype__8783a004bd522921136e67632bbf85fc
missing juvenile,Missing Child,Shipping,Missing Child,,dgm_amberalerttype,00907e97e496f3a1d0ed4440271d3778,dgm_amberalerttype__00907e97e496f3a1d0ed4440271d3778
endangered missing,Endangered Missing Person,Refinery,Endangered Missing Person,,dgm_amberalerttype,28789b868f533fb53899215e4d470d6c,dgm_amberalerttype__28789b868f533fb53899215e4d470d6c
