permalink,caption_name,permalink_location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1683322745,Beijing Capital Airport in China,beijingcapital,Person,Beijing Capital Airport in China,,dgm_cairporthandles,e3665ae24e5cbca5439492e47d0ce1d8,dgm_cairporthandles__e3665ae24e5cbca5439492e47d0ce1d8
7187772287,Beijing Daxing Airport in China,beijingdaxing,FTO,Beijing Daxing Airport in China,,dgm_cairporthandles,c7cd9f729d9334e34881d4ad5b6794f2,dgm_cairporthandles__c7cd9f729d9334e34881d4ad5b6794f2
6008253025,Tianjin Binhai Airport in China,tianjinairport,space,Tianjin Binhai Airport in China,,dgm_cairporthandles,8cfe1ef68660476b9651bca4b2fe5c94,dgm_cairporthandles__8cfe1ef68660476b9651bca4b2fe5c94
1823196243,Shijiazhuang Zhengding Airport in China,shijiazhuangairport,ForeignMinistry,Shijiazhuang Zhengding Airport in China,,dgm_cairporthandles,3b8b9face56e30f3eed976f9a0e653c2,dgm_cairporthandles__3b8b9face56e30f3eed976f9a0e653c2
2519159225,Qinhuangdao Beidaihe Airport in China,bpeairport,CompanyKeyword,Qinhuangdao Beidaihe Airport in China,,dgm_cairporthandles,91348b78227411ce48746b2caeadd7c4,dgm_cairporthandles__91348b78227411ce48746b2caeadd7c4
2499741703,Tangshan Sannvhe Airport in China,tangshanairport,Consulates,Tangshan Sannvhe Airport in China,,dgm_cairporthandles,32abddd080740c545957c9239a9e3675,dgm_cairporthandles__32abddd080740c545957c9239a9e3675
3840839252,Zhangjiakou Ningyuan Airport in China,zhangjiakouairport,Consulates,Zhangjiakou Ningyuan Airport in China,,dgm_cairporthandles,1a22ccc7a3487e0b0756b86d2539520d,dgm_cairporthandles__1a22ccc7a3487e0b0756b86d2539520d
7375154321,Taiyuan Airport in China,taiyuanairport,IndustryTerm,Taiyuan Airport in China,,dgm_cairporthandles,be129c157b5d554449188fcdfc1a284a,dgm_cairporthandles__be129c157b5d554449188fcdfc1a284a
2357482085,Hohhot Baita Airport in China,hohhotairport,Shipping,Hohhot Baita Airport in China,,dgm_cairporthandles,dbd8348bd4dbd3d1cf09aa8ef90e1844,dgm_cairporthandles__dbd8348bd4dbd3d1cf09aa8ef90e1844
2398679825,Ordos Airport in China,ordosairport,DiplomaticFacilities,Ordos Airport in China,,dgm_cairporthandles,c7cfedbeea9f758b3ef75baf4c89543c,dgm_cairporthandles__c7cfedbeea9f758b3ef75baf4c89543c
