keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
航班改道,flight diversions,space,flight diversions,,dgm_cairportincident,87f45bc65d0a4ffdc84298a172c4af10,dgm_cairportincident__87f45bc65d0a4ffdc84298a172c4af10
改道,flight diversions,ForeignMinistry,flight diversions,,dgm_cairportincident,87f45bc65d0a4ffdc84298a172c4af10,dgm_cairportincident__87f45bc65d0a4ffdc84298a172c4af10
可能导致航班延误,possible flight delays,News,possible flight delays,,dgm_cairportincident,a368c78f1e4d43938f23e3e7f32a8606,dgm_cairportincident__a368c78f1e4d43938f23e3e7f32a8606
进港航班延误,inbound flights delays,Diplomat,inbound flights delays,,dgm_cairportincident,1547b7072ff59eb4298441471801c01b,dgm_cairportincident__1547b7072ff59eb4298441471801c01b
出港航班延误,outbound flights delays,Diplomat,outbound flights delays,,dgm_cairportincident,f8f13aed9d35e48239b2ef33648c480e,dgm_cairportincident__f8f13aed9d35e48239b2ef33648c480e
取消,flight cancellations,Diplomat,flight cancellations,,dgm_cairportincident,0e99cad8f213cfbc32f60879eae41caf,dgm_cairportincident__0e99cad8f213cfbc32f60879eae41caf
延误,delays,Legislator,delays,,dgm_cairportincident,77fdbb0717320d37c96a542b56f07b69,dgm_cairportincident__77fdbb0717320d37c96a542b56f07b69
紧急着陆,emergency landing of aircraft,Keyphrase,emergency landing of aircraft,,dgm_cairportincident,14ebfcfc10f08f22847d62e34fdac2a2,dgm_cairportincident__14ebfcfc10f08f22847d62e34fdac2a2
紧急迫降,emergency landing of aircraft,space,emergency landing of aircraft,,dgm_cairportincident,14ebfcfc10f08f22847d62e34fdac2a2,dgm_cairportincident__14ebfcfc10f08f22847d62e34fdac2a2
线路调整,line adjustment,ForeignMinister,line adjustment,,dgm_cairportincident,848b78cf0c05b93477811dda9492c7c8,dgm_cairportincident__848b78cf0c05b93477811dda9492c7c8
航班变动,flight changes,Diplomat,flight changes,,dgm_cairportincident,b8ab6c0a16e26645429462a6f256e755,dgm_cairportincident__b8ab6c0a16e26645429462a6f256e755
公司计划原因取消,airline cancellations,Keyphrase,airline cancellations,,dgm_cairportincident,87df8b455049d6e3ed18cbd71bbf0f7b,dgm_cairportincident__87df8b455049d6e3ed18cbd71bbf0f7b
