keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
alert adelanto,Adelanto,IndustryTerm,Adelanto,,dgm_catown,25ce4be2ecc7e7e8a3c7724e273f91fe,dgm_catown__25ce4be2ecc7e7e8a3c7724e273f91fe
alert agoura hills,Agoura Hills,News,Agoura Hills,,dgm_catown,a4a3778f22cb7702af9a2ee342af6b4b,dgm_catown__a4a3778f22cb7702af9a2ee342af6b4b
alert alameda,Alameda,CompanyKeyword,Alameda,,dgm_catown,dbd87685a27c291d6496487a45a6e47b,dgm_catown__dbd87685a27c291d6496487a45a6e47b
alert albany,Albany,ForeignMinister,Albany,,dgm_catown,08d9eaf148bca47f7fd699c606e4558e,dgm_catown__08d9eaf148bca47f7fd699c606e4558e
alert alhambra,Alhambra,Shipping,Alhambra,,dgm_catown,c5829dff85d1f1cb5ab4e3ad173ff686,dgm_catown__c5829dff85d1f1cb5ab4e3ad173ff686
alert aliso viejo,Aliso Viejo,Media,Aliso Viejo,,dgm_catown,d83471d86fb8d2f219147b4f38079eb8,dgm_catown__d83471d86fb8d2f219147b4f38079eb8
alert alturas,Alturas,DiplomaticFacilities,Alturas,,dgm_catown,e98ffb9c1f7108695359ccea6c512cd5,dgm_catown__e98ffb9c1f7108695359ccea6c512cd5
alert amador city,Amador City,AAEntity,Amador City,,dgm_catown,e48099135a084cf2037c2c1ca46e6e8a,dgm_catown__e48099135a084cf2037c2c1ca46e6e8a
alert american canyon,American Canyon,Shipping,American Canyon,,dgm_catown,5331816767830339fee82f4a9cc36028,dgm_catown__5331816767830339fee82f4a9cc36028
alert anaheim,Anaheim,LegislativeCommittee,Anaheim,,dgm_catown,4047530ecbc0170039e76fe1657bdb01,dgm_catown__4047530ecbc0170039e76fe1657bdb01
alert anderson,Anderson,Organization,Anderson,,dgm_catown,b32b1b822dd59451b17b08f97fdfe81e,dgm_catown__b32b1b822dd59451b17b08f97fdfe81e
alert angels camp,Angels Camp,Legislator,Angels Camp,,dgm_catown,59414dadd63fa0da648e14a893fbc47b,dgm_catown__59414dadd63fa0da648e14a893fbc47b
alert antioch,Antioch,Person,Antioch,,dgm_catown,137d99d98ccf62af2705e76db950175c,dgm_catown__137d99d98ccf62af2705e76db950175c
alert apple valley,Apple Valley,CompanyKeyword,Apple Valley,,dgm_catown,05189efc653986a0b6502dc155f06fa0,dgm_catown__05189efc653986a0b6502dc155f06fa0
alert arcadia,Arcadia,Media,Arcadia,,dgm_catown,eecb6314d680be2b9a9ceacae6b96fb9,dgm_catown__eecb6314d680be2b9a9ceacae6b96fb9
alert arcata,Arcata,Pipeline,Arcata,,dgm_catown,fcf3196063676ba0bacfd9c66feec3d0,dgm_catown__fcf3196063676ba0bacfd9c66feec3d0
alert arroyo grande,Arroyo Grande,Organization,Arroyo Grande,,dgm_catown,d1cfa99a62004d85af05892933b4d384,dgm_catown__d1cfa99a62004d85af05892933b4d384
alert artesia,Artesia,FTO,Artesia,,dgm_catown,dc534feca9a7b2b694dfc3bfc5fa6e71,dgm_catown__dc534feca9a7b2b694dfc3bfc5fa6e71
alert arvin,Arvin,DiplomaticFacilities,Arvin,,dgm_catown,192eae6e14d3fd22a7ebe4cb708d8e88,dgm_catown__192eae6e14d3fd22a7ebe4cb708d8e88
alert atascadero,Atascadero,Person,Atascadero,,dgm_catown,6caa3876cab0ba70cd36978387dc3fca,dgm_catown__6caa3876cab0ba70cd36978387dc3fca
alert atherton,Atherton,FTO,Atherton,,dgm_catown,369b14f840e485931db9f3f3afe263ce,dgm_catown__369b14f840e485931db9f3f3afe263ce
alert atwater,Atwater,Media,Atwater,,dgm_catown,be621b4e8b44c435e544764aac35db95,dgm_catown__be621b4e8b44c435e544764aac35db95
alert auburn,Auburn,Exec,Auburn,,dgm_catown,6877cb2dd003a6b27e352890bfc393e1,dgm_catown__6877cb2dd003a6b27e352890bfc393e1
alert avalon,Avalon,Person,Avalon,,dgm_catown,76dbe559f557d065613840d49fd0c7a8,dgm_catown__76dbe559f557d065613840d49fd0c7a8
alert avenal,Avenal,Person,Avenal,,dgm_catown,4f50fdf982c985e89fbf71facddbaea8,dgm_catown__4f50fdf982c985e89fbf71facddbaea8
alert azusa,Azusa,Keyphrase,Azusa,,dgm_catown,6184d1eef10e1ec48d0249547dc325aa,dgm_catown__6184d1eef10e1ec48d0249547dc325aa
alert bakersfield,Bakersfield,Keyphrase,Bakersfield,,dgm_catown,ec6a6a6719ac490420240dd248a50b36,dgm_catown__ec6a6a6719ac490420240dd248a50b36
alert baldwin park,Baldwin Park,ForeignMinistry,Baldwin Park,,dgm_catown,84cd0e76e3aa5f425197b9b593cc38db,dgm_catown__84cd0e76e3aa5f425197b9b593cc38db
alert banning,Banning,Person,Banning,,dgm_catown,db1f8e91e765e24afbb7f267df1099ac,dgm_catown__db1f8e91e765e24afbb7f267df1099ac
alert barstow,Barstow,Media,Barstow,,dgm_catown,60c22ba7c32920b012b9f632676cdcbc,dgm_catown__60c22ba7c32920b012b9f632676cdcbc
alert beaumont,Beaumont,CompanyKeyword,Beaumont,,dgm_catown,2cae68cda70b895bcb454691656b7584,dgm_catown__2cae68cda70b895bcb454691656b7584
alert bell,Bell,IndustryTerm,Bell,,dgm_catown,999a06f28346262ef9e1699d9fc1ab56,dgm_catown__999a06f28346262ef9e1699d9fc1ab56
alert bell gardens,Bell Gardens,News,Bell Gardens,,dgm_catown,1065d84af8543bcb7a2561b0bb7abab6,dgm_catown__1065d84af8543bcb7a2561b0bb7abab6
alert bellflower,Bellflower,ForeignMinister,Bellflower,,dgm_catown,c8824a4bf607405c99ea68dbd99b7fb2,dgm_catown__c8824a4bf607405c99ea68dbd99b7fb2
alert belmont,Belmont,Exec,Belmont,,dgm_catown,addef10fe928b4f8224ca24811e5d36e,dgm_catown__addef10fe928b4f8224ca24811e5d36e
