chinacity_identifier,chinacitycaption_name,chinatagging_location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
辛集市,"Xinji, Hebei, China",xinjihebei,DiplomaticFacilities,"Xinji, Hebei, China",,dgm_chinacitylocations,1c815737eb67513cb0c26a7855999767,dgm_chinacitylocations__1c815737eb67513cb0c26a7855999767
晋州市,"Jinzhou, Hebei, China",jinzhouhebei,Person,"Jinzhou, Hebei, China",,dgm_chinacitylocations,6c0022bd76420c96bd6c7a7703b88b6e,dgm_chinacitylocations__6c0022bd76420c96bd6c7a7703b88b6e
新乐市,"Xinle, Hebei, China",xinlehebei,Legislator,"Xinle, Hebei, China",,dgm_chinacitylocations,073abd5c239e1cef73df90d21408ce90,dgm_chinacitylocations__073abd5c239e1cef73df90d21408ce90
遵化市,"Zunhua, Hebei, China",zunhuahebei,Legislator,"Zunhua, Hebei, China",,dgm_chinacitylocations,85a7febfbc33bb8d26effc367b831ae9,dgm_chinacitylocations__85a7febfbc33bb8d26effc367b831ae9
迁安市,"Qian'an, Hebei, China",qiananhebei,Person,"Qian'an, Hebei, China",,dgm_chinacitylocations,3e015318471995ac5e612dff7175ee8f,dgm_chinacitylocations__3e015318471995ac5e612dff7175ee8f
武安市,"Wu'an, Hebei, China",wuanhebei,Organization,"Wu'an, Hebei, China",,dgm_chinacitylocations,0e322d176d0003f69334f482d2400db8,dgm_chinacitylocations__0e322d176d0003f69334f482d2400db8
南宫市,"Nangong, Hebei, China",nangonghebei,Wells,"Nangong, Hebei, China",,dgm_chinacitylocations,f3f8873ef419f9c3d040a13ec662e306,dgm_chinacitylocations__f3f8873ef419f9c3d040a13ec662e306
沙河市,"Shahe, Hebei, China",shahehebei,IndustryTerm,"Shahe, Hebei, China",,dgm_chinacitylocations,bdb23cca6ff0e83ae82faee31fd65a11,dgm_chinacitylocations__bdb23cca6ff0e83ae82faee31fd65a11
涿州市,"Zuozhou, Hebei, China",zuozhouhebei,Organization,"Zuozhou, Hebei, China",,dgm_chinacitylocations,7dd393b8163ed5d60fdb923c09bfb501,dgm_chinacitylocations__7dd393b8163ed5d60fdb923c09bfb501
定州市,"Dingzhou, Hebei, China",dingzhouhebei,Consulates,"Dingzhou, Hebei, China",,dgm_chinacitylocations,20c3e0ff356d130956a486675054c18f,dgm_chinacitylocations__20c3e0ff356d130956a486675054c18f
安国市,"Anguo, Hebei, China",anguohebei,Exec,"Anguo, Hebei, China",,dgm_chinacitylocations,c58445854daed22a3c98979ce160c996,dgm_chinacitylocations__c58445854daed22a3c98979ce160c996
高碑店市,"Gaobeidian, Hebei, China",gaobeidianhebei,Consulates,"Gaobeidian, Hebei, China",,dgm_chinacitylocations,ffe987189d6505cfefbfbf28d7579f18,dgm_chinacitylocations__ffe987189d6505cfefbfbf28d7579f18
平泉市,"Pingquan, Hebei, China",pingquanhebei,FTO,"Pingquan, Hebei, China",,dgm_chinacitylocations,ad18d46fcde054f2c63bb3037d10abfa,dgm_chinacitylocations__ad18d46fcde054f2c63bb3037d10abfa
