keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1月1日,January 1,Consulates,January 1,,dgm_chinadatesshorts,d6743413169cd555b53420030786c132,dgm_chinadatesshorts__d6743413169cd555b53420030786c132
1月2日,January 2,Pipeline,January 2,,dgm_chinadatesshorts,71e919f1b54d02dca8f42f7b462eab65,dgm_chinadatesshorts__71e919f1b54d02dca8f42f7b462eab65
1月3日,January 3,Legislator,January 3,,dgm_chinadatesshorts,5055c053f328f1eaaef28d9c0576bf85,dgm_chinadatesshorts__5055c053f328f1eaaef28d9c0576bf85
1月4日,January 4,ForeignMinistry,January 4,,dgm_chinadatesshorts,83e47ea4af09a77b9511fa49111cab6c,dgm_chinadatesshorts__83e47ea4af09a77b9511fa49111cab6c
1月5日,January 5,Shipping,January 5,,dgm_chinadatesshorts,c1ad9484f0da455210bcc55ce4aa7098,dgm_chinadatesshorts__c1ad9484f0da455210bcc55ce4aa7098
1月6日,January 6,DiplomaticFacilities,January 6,,dgm_chinadatesshorts,625cb2ef2de6cc00c789b2bf53f25b18,dgm_chinadatesshorts__625cb2ef2de6cc00c789b2bf53f25b18
1月7日,January 7,Exec,January 7,,dgm_chinadatesshorts,8c58bc68d22b78aba712d395d7044196,dgm_chinadatesshorts__8c58bc68d22b78aba712d395d7044196
1月8日,January 8,ForeignMinistry,January 8,,dgm_chinadatesshorts,ad8247f5f9c13c576b964f187f003bd4,dgm_chinadatesshorts__ad8247f5f9c13c576b964f187f003bd4
1月9日,January 9,Person,January 9,,dgm_chinadatesshorts,7054331910164a15e18f283586da9790,dgm_chinadatesshorts__7054331910164a15e18f283586da9790
1月10日,January 10,Pipeline,January 10,,dgm_chinadatesshorts,ed753e9f87cbbe17a743dc0b0690f3a3,dgm_chinadatesshorts__ed753e9f87cbbe17a743dc0b0690f3a3
1月11日,January 11,space,January 11,,dgm_chinadatesshorts,569d378e395f734bc714ef805fbdd7a2,dgm_chinadatesshorts__569d378e395f734bc714ef805fbdd7a2
1月12日,January 12,space,January 12,,dgm_chinadatesshorts,2ad0774431532588da46a90c91b777de,dgm_chinadatesshorts__2ad0774431532588da46a90c91b777de
1月13日,January 13,CompanyKeyword,January 13,,dgm_chinadatesshorts,ea19b0ae86cc04297f313e9f337eb9ed,dgm_chinadatesshorts__ea19b0ae86cc04297f313e9f337eb9ed
1月14日,January 14,Pipeline,January 14,,dgm_chinadatesshorts,9a82cd6c0db4499805e98f8ab2907866,dgm_chinadatesshorts__9a82cd6c0db4499805e98f8ab2907866
1月15日,January 15,Shipping,January 15,,dgm_chinadatesshorts,50efe58ef73091a6a047cd81ef39f324,dgm_chinadatesshorts__50efe58ef73091a6a047cd81ef39f324
1月16日,January 16,FTO,January 16,,dgm_chinadatesshorts,3ca24a89d0eb4dd405c166ff4467fddf,dgm_chinadatesshorts__3ca24a89d0eb4dd405c166ff4467fddf
1月17日,January 17,Consulates,January 17,,dgm_chinadatesshorts,488bd0324298978365be9132525499a0,dgm_chinadatesshorts__488bd0324298978365be9132525499a0
1月18日,January 18,DiplomaticFacilities,January 18,,dgm_chinadatesshorts,b0b196d4b850563f83d172cded2fd42a,dgm_chinadatesshorts__b0b196d4b850563f83d172cded2fd42a
1月19日,January 19,Consulates,January 19,,dgm_chinadatesshorts,f0450227eb6026cac012649b4c44da45,dgm_chinadatesshorts__f0450227eb6026cac012649b4c44da45
1月20日,January 20,FTO,January 20,,dgm_chinadatesshorts,a24aff68218f85d27bb6cc76928719ad,dgm_chinadatesshorts__a24aff68218f85d27bb6cc76928719ad
1月21日,January 21,Wells,January 21,,dgm_chinadatesshorts,f907b4c645fd799ae01b456517303167,dgm_chinadatesshorts__f907b4c645fd799ae01b456517303167
1月22日,January 22,Organization,January 22,,dgm_chinadatesshorts,3859e2002ddd9060b4568f09f3ee4b5d,dgm_chinadatesshorts__3859e2002ddd9060b4568f09f3ee4b5d
1月23日,January 23,Media,January 23,,dgm_chinadatesshorts,7602e2aaa5355091a000698fed8b1a49,dgm_chinadatesshorts__7602e2aaa5355091a000698fed8b1a49
