chinadc_identifier,dccaption_name,chinatagging_location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
黄浦区,"Huangpu district of Shanghai, China",huangpushanghai,Wells,"Huangpu district of Shanghai, China",,dgm_chinadclocations,e9bbaf060c05e03cf1a6aedd3594bfd2,dgm_chinadclocations__e9bbaf060c05e03cf1a6aedd3594bfd2
徐汇区,"Xuhui district of Shanghai, China",xuhuishanghai,AAEntity,"Xuhui district of Shanghai, China",,dgm_chinadclocations,3565c036d66d6bbdf05855cd2fb147ec,dgm_chinadclocations__3565c036d66d6bbdf05855cd2fb147ec
长宁区,"Changning district of Shanghai, China",changningshanghai,News,"Changning district of Shanghai, China",,dgm_chinadclocations,2e349312b53bbb90f41fa24bf5e35397,dgm_chinadclocations__2e349312b53bbb90f41fa24bf5e35397
静安区,"Jing'an district of Shanghai, China",jinganshanghai,DiplomaticFacilities,"Jing'an district of Shanghai, China",,dgm_chinadclocations,c9fc13521679fa6a51273b85c2a779f5,dgm_chinadclocations__c9fc13521679fa6a51273b85c2a779f5
普陀区,"Putuo district of Shanghai, China",putuoshanghai,space,"Putuo district of Shanghai, China",,dgm_chinadclocations,b410363ccf1ddae605b4d50d313b255b,dgm_chinadclocations__b410363ccf1ddae605b4d50d313b255b
虹口区,"Hongkou district of Shanghai, China",hongkoushanghai,Keyphrase,"Hongkou district of Shanghai, China",,dgm_chinadclocations,52a72314e41d14f9b8e54f3faae2b0c0,dgm_chinadclocations__52a72314e41d14f9b8e54f3faae2b0c0
杨浦区,"Yangpu district of Shanghai, China",yangpushanghai,Diplomat,"Yangpu district of Shanghai, China",,dgm_chinadclocations,7ecce8652d61923f2ebc069cdc56832a,dgm_chinadclocations__7ecce8652d61923f2ebc069cdc56832a
闵行区,"Minhang district of Shanghai, China",minhangshanghai,ForeignMinistry,"Minhang district of Shanghai, China",,dgm_chinadclocations,8f3b8a89003ad00fe360cfae638c24d0,dgm_chinadclocations__8f3b8a89003ad00fe360cfae638c24d0
宝山区,"Baoshan district of Shanghai, China",baoshanshanghai,space,"Baoshan district of Shanghai, China",,dgm_chinadclocations,fd495edc9cefbf8e82aec8c118af11b3,dgm_chinadclocations__fd495edc9cefbf8e82aec8c118af11b3
嘉定区,"Jiading district of Shanghai, China",jiadingshanghai,Person,"Jiading district of Shanghai, China",,dgm_chinadclocations,ac0d0bc41d3be9f458af0fb73c23536c,dgm_chinadclocations__ac0d0bc41d3be9f458af0fb73c23536c
