earthquake_keyword,caption_name,alert_threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1 9级,Magnitude 1.9 earthquake,general.alert4,Diplomat,Magnitude 1.9 earthquake,,dgm_chinaearthquakemagnitude,989854f611c2a0177e64e8cc6a4ff4eb,dgm_chinaearthquakemagnitude__989854f611c2a0177e64e8cc6a4ff4eb
2级,Magnitude 2.0 earthquake,general.alert4,Media,Magnitude 2.0 earthquake,,dgm_chinaearthquakemagnitude,a42c76bd4297be546cc9f4cedf392a42,dgm_chinaearthquakemagnitude__a42c76bd4297be546cc9f4cedf392a42
2 0级,Magnitude 2.0 earthquake,general.alert4,Exec,Magnitude 2.0 earthquake,,dgm_chinaearthquakemagnitude,a42c76bd4297be546cc9f4cedf392a42,dgm_chinaearthquakemagnitude__a42c76bd4297be546cc9f4cedf392a42
2 1级,Magnitude 2.1 earthquake,general.alert4,ForeignMinistry,Magnitude 2.1 earthquake,,dgm_chinaearthquakemagnitude,af292c65d623ed3e72c22f0218475ad8,dgm_chinaearthquakemagnitude__af292c65d623ed3e72c22f0218475ad8
2 2级,Magnitude 2.2 earthquake,general.alert4,Diplomat,Magnitude 2.2 earthquake,,dgm_chinaearthquakemagnitude,59907700c66ba0e16922137988e5d270,dgm_chinaearthquakemagnitude__59907700c66ba0e16922137988e5d270
2 3级,Magnitude 2.3 earthquake,general.alert4,Diplomat,Magnitude 2.3 earthquake,,dgm_chinaearthquakemagnitude,3e44aa689cc52d38ccf27ca23145913d,dgm_chinaearthquakemagnitude__3e44aa689cc52d38ccf27ca23145913d
2 4级,Magnitude 2.4 earthquake,general.alert4,News,Magnitude 2.4 earthquake,,dgm_chinaearthquakemagnitude,14d9a8915ba46754f6539ec073d5e93e,dgm_chinaearthquakemagnitude__14d9a8915ba46754f6539ec073d5e93e
2 5级,Magnitude 2.5 earthquake,general.alert4,Legislator,Magnitude 2.5 earthquake,,dgm_chinaearthquakemagnitude,e010592ba4c4a13047186cf638751d94,dgm_chinaearthquakemagnitude__e010592ba4c4a13047186cf638751d94
2 6级,Magnitude 2.6 earthquake,general.alert4,Refinery,Magnitude 2.6 earthquake,,dgm_chinaearthquakemagnitude,5f450f82f4f3c1583315caf63bf55167,dgm_chinaearthquakemagnitude__5f450f82f4f3c1583315caf63bf55167
2 7级,Magnitude 2.7 earthquake,general.alert4,AAEntity,Magnitude 2.7 earthquake,,dgm_chinaearthquakemagnitude,e4090c36c4dc72543d2442005afe533b,dgm_chinaearthquakemagnitude__e4090c36c4dc72543d2442005afe533b
