aircraft,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
z-9 asw*1,one Harbin Z-9 anti-submarine warfare,Shipping,one Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,c6edbbdf0ad7cf2734f96e3f8b51966c,dgm_chineseaircrafttaiwan__c6edbbdf0ad7cf2734f96e3f8b51966c
z-9 asw*2,two Harbin Z-9 anti-submarine warfare,Keyphrase,two Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,bb9eb40e0679c4e2fd8d1e7ed6086155,dgm_chineseaircrafttaiwan__bb9eb40e0679c4e2fd8d1e7ed6086155
z-9 asw*3,three Harbin Z-9 anti-submarine warfare,CompanyKeyword,three Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,593aad945e67015a98f2aa449cfd91b0,dgm_chineseaircrafttaiwan__593aad945e67015a98f2aa449cfd91b0
z-9 asw*4,four Harbin Z-9 anti-submarine warfare,CompanyKeyword,four Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,33b3a9c80a1e7f513702b090a22ee309,dgm_chineseaircrafttaiwan__33b3a9c80a1e7f513702b090a22ee309
z-9 asw*5,five Harbin Z-9 anti-submarine warfare,Exec,five Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,b8d5f53770459db9bb0838a3f55dd6b1,dgm_chineseaircrafttaiwan__b8d5f53770459db9bb0838a3f55dd6b1
z-9 asw*6,six Harbin Z-9 anti-submarine warfare,Person,six Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,a5579050c1a28ae3d0adce3a4c349010,dgm_chineseaircrafttaiwan__a5579050c1a28ae3d0adce3a4c349010
z-9 asw*7,seven Harbin Z-9 anti-submarine warfare,Keyphrase,seven Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,3ac24d41b986e5d14fad37fd3539ea25,dgm_chineseaircrafttaiwan__3ac24d41b986e5d14fad37fd3539ea25
z-9 asw*8,eight Harbin Z-9 anti-submarine warfare,Diplomat,eight Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,2b7ab681627bba5b52940dc5b13d2ec6,dgm_chineseaircrafttaiwan__2b7ab681627bba5b52940dc5b13d2ec6
z-9 asw*9,nine Harbin Z-9 anti-submarine warfare,DiplomaticFacilities,nine Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,284bb66dc54af86659e83df67ff6c0d6,dgm_chineseaircrafttaiwan__284bb66dc54af86659e83df67ff6c0d6
z-9 asw*10,ten Harbin Z-9 anti-submarine warfare,Legislator,ten Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,b3afa902031c3185bdba90f1b2756cf8,dgm_chineseaircrafttaiwan__b3afa902031c3185bdba90f1b2756cf8
z-9 asw*11,11 Harbin Z-9 anti-submarine warfare,Organization,11 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,8fa1321fc25e2b29814e9e80747a501a,dgm_chineseaircrafttaiwan__8fa1321fc25e2b29814e9e80747a501a
z-9 asw*12,12 Harbin Z-9 anti-submarine warfare,Media,12 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,40722ccaeb4382bc0eaa80a5750a17d4,dgm_chineseaircrafttaiwan__40722ccaeb4382bc0eaa80a5750a17d4
z-9 asw*13,13 Harbin Z-9 anti-submarine warfare,Keyphrase,13 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,f304f81ed2af6a406c5b7a2487b5949c,dgm_chineseaircrafttaiwan__f304f81ed2af6a406c5b7a2487b5949c
z-9 asw*14,14 Harbin Z-9 anti-submarine warfare,Media,14 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,35c2c519816e8438c1360a71bc651965,dgm_chineseaircrafttaiwan__35c2c519816e8438c1360a71bc651965
z-9 asw*15,15 Harbin Z-9 anti-submarine warfare,Diplomat,15 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,d4bb4678531d2f7bda5a2acfa9af2932,dgm_chineseaircrafttaiwan__d4bb4678531d2f7bda5a2acfa9af2932
z-9 asw*16,16 Harbin Z-9 anti-submarine warfare,Refinery,16 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,effa0e317387cf3c061b173ccf92703f,dgm_chineseaircrafttaiwan__effa0e317387cf3c061b173ccf92703f
z-9 asw*17,17 Harbin Z-9 anti-submarine warfare,AAEntity,17 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,3e69454a0ffa792153a876d4ba151799,dgm_chineseaircrafttaiwan__3e69454a0ffa792153a876d4ba151799
z-9 asw*18,18 Harbin Z-9 anti-submarine warfare,Wells,18 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,d8dfe2b9c13a2e56c05fa28410278b51,dgm_chineseaircrafttaiwan__d8dfe2b9c13a2e56c05fa28410278b51
z-9 asw*19,19 Harbin Z-9 anti-submarine warfare,Diplomat,19 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,7c4ceb0538b04ad8df984abee5b761c1,dgm_chineseaircrafttaiwan__7c4ceb0538b04ad8df984abee5b761c1
z-9 asw*20,20 Harbin Z-9 anti-submarine warfare,Person,20 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,79b28bfee53c9e48e62e8a044802fbc3,dgm_chineseaircrafttaiwan__79b28bfee53c9e48e62e8a044802fbc3
z-9 asw*21,21 Harbin Z-9 anti-submarine warfare,Pipeline,21 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,9296c7d22d1e033a457889e1f5288304,dgm_chineseaircrafttaiwan__9296c7d22d1e033a457889e1f5288304
z-9 asw*22,22 Harbin Z-9 anti-submarine warfare,Shipping,22 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,4b7384f1fd6f749bfb270bfabd639617,dgm_chineseaircrafttaiwan__4b7384f1fd6f749bfb270bfabd639617
z-9 asw*23,23 Harbin Z-9 anti-submarine warfare,Organization,23 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,a8b668050e6bc9ca5f599d69de35412a,dgm_chineseaircrafttaiwan__a8b668050e6bc9ca5f599d69de35412a
z-9 asw*24,24 Harbin Z-9 anti-submarine warfare,IndustryTerm,24 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,83ed9b8f58fbeae5abcb98869004033a,dgm_chineseaircrafttaiwan__83ed9b8f58fbeae5abcb98869004033a
z-9 asw*25,25 Harbin Z-9 anti-submarine warfare,Pipeline,25 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,f159364398232f68700bc4498ddace7c,dgm_chineseaircrafttaiwan__f159364398232f68700bc4498ddace7c
z-9 asw*26,26 Harbin Z-9 anti-submarine warfare,Pipeline,26 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,70bbfa6a828ca80b0826549a3ef5e58c,dgm_chineseaircrafttaiwan__70bbfa6a828ca80b0826549a3ef5e58c
z-9 asw*27,27 Harbin Z-9 anti-submarine warfare,Wells,27 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,9113ec72e9c9f628756ba53d8130ad0b,dgm_chineseaircrafttaiwan__9113ec72e9c9f628756ba53d8130ad0b
z-9 asw*28,28 Harbin Z-9 anti-submarine warfare,Legislator,28 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,5f68c237582fb20f906cb46845f90e08,dgm_chineseaircrafttaiwan__5f68c237582fb20f906cb46845f90e08
z-9 asw*29,29 Harbin Z-9 anti-submarine warfare,AAEntity,29 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,78e898bf6837f150608229d30a9ab509,dgm_chineseaircrafttaiwan__78e898bf6837f150608229d30a9ab509
z-9 asw*30,30 Harbin Z-9 anti-submarine warfare,AAEntity,30 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,9a9b957bd0ec1654afe33714bc1b8886,dgm_chineseaircrafttaiwan__9a9b957bd0ec1654afe33714bc1b8886
z-9 asw*31,31 Harbin Z-9 anti-submarine warfare,Pipeline,31 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,ffa3dfd89f7718b9dc3408adb3b2d68b,dgm_chineseaircrafttaiwan__ffa3dfd89f7718b9dc3408adb3b2d68b
z-9 asw*32,32 Harbin Z-9 anti-submarine warfare,Person,32 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,88cac1683f5c2a760ad397c972df361e,dgm_chineseaircrafttaiwan__88cac1683f5c2a760ad397c972df361e
z-9 asw*33,33 Harbin Z-9 anti-submarine warfare,Consulates,33 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,e5480f9395d2adc1033147c091ef575f,dgm_chineseaircrafttaiwan__e5480f9395d2adc1033147c091ef575f
z-9 asw*34,34 Harbin Z-9 anti-submarine warfare,Refinery,34 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,89114f522be669e454c55c34f7254c40,dgm_chineseaircrafttaiwan__89114f522be669e454c55c34f7254c40
z-9 asw*35,35 Harbin Z-9 anti-submarine warfare,ForeignMinister,35 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,a562851b4ba5ac74275b912ddff1c711,dgm_chineseaircrafttaiwan__a562851b4ba5ac74275b912ddff1c711
z-9 asw*36,36 Harbin Z-9 anti-submarine warfare,ForeignMinister,36 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,07b0bb55b482d95207a22ef9efa308d8,dgm_chineseaircrafttaiwan__07b0bb55b482d95207a22ef9efa308d8
z-9 asw*37,37 Harbin Z-9 anti-submarine warfare,Media,37 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,15ce2557c12a2eedb997aba4fa6f73fb,dgm_chineseaircrafttaiwan__15ce2557c12a2eedb997aba4fa6f73fb
z-9 asw*38,38 Harbin Z-9 anti-submarine warfare,Pipeline,38 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,3518a7dde8da4946be8c91413003b540,dgm_chineseaircrafttaiwan__3518a7dde8da4946be8c91413003b540
z-9 asw*39,39 Harbin Z-9 anti-submarine warfare,Wells,39 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,d3fdc3c0e95920fbab452512a0021d10,dgm_chineseaircrafttaiwan__d3fdc3c0e95920fbab452512a0021d10
z-9 asw*40,40 Harbin Z-9 anti-submarine warfare,CompanyKeyword,40 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,e07f0cd24a2f004f1a6bb39221dcdc80,dgm_chineseaircrafttaiwan__e07f0cd24a2f004f1a6bb39221dcdc80
z-9 asw*41,41 Harbin Z-9 anti-submarine warfare,Refinery,41 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,ff6e66200e1ab9ecf16436589c8a020a,dgm_chineseaircrafttaiwan__ff6e66200e1ab9ecf16436589c8a020a
z-9 asw*42,42 Harbin Z-9 anti-submarine warfare,AAEntity,42 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,77c0f93a54045f4c83b00657f718474e,dgm_chineseaircrafttaiwan__77c0f93a54045f4c83b00657f718474e
z-9 asw*43,43 Harbin Z-9 anti-submarine warfare,Shipping,43 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,9ab4787ff8ff7a8da14c0266710b4e73,dgm_chineseaircrafttaiwan__9ab4787ff8ff7a8da14c0266710b4e73
z-9 asw*44,44 Harbin Z-9 anti-submarine warfare,DiplomaticFacilities,44 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,b0e43ac6be6b9750dcab9a4f8b0d2fa1,dgm_chineseaircrafttaiwan__b0e43ac6be6b9750dcab9a4f8b0d2fa1
z-9 asw*45,45 Harbin Z-9 anti-submarine warfare,Refinery,45 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,86751960806fb939c8096a3ca1fbb157,dgm_chineseaircrafttaiwan__86751960806fb939c8096a3ca1fbb157
z-9 asw*46,46 Harbin Z-9 anti-submarine warfare,Pipeline,46 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,10cb280cc43c5fe87514883a2f6da0d3,dgm_chineseaircrafttaiwan__10cb280cc43c5fe87514883a2f6da0d3
z-9 asw*47,47 Harbin Z-9 anti-submarine warfare,Person,47 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,4829b00bbdf1f1524a042b54b52dd93d,dgm_chineseaircrafttaiwan__4829b00bbdf1f1524a042b54b52dd93d
z-9 asw*48,48 Harbin Z-9 anti-submarine warfare,LegislativeCommittee,48 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,0ec42e5fd5ebd3f7f6fd16297ea7ad4b,dgm_chineseaircrafttaiwan__0ec42e5fd5ebd3f7f6fd16297ea7ad4b
z-9 asw*49,49 Harbin Z-9 anti-submarine warfare,Legislator,49 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,b5713fc255367cd78f7b7344156f9162,dgm_chineseaircrafttaiwan__b5713fc255367cd78f7b7344156f9162
z-9 asw*50,50 Harbin Z-9 anti-submarine warfare,Person,50 Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,f443d57d1807980ab03bb3430f2b5767,dgm_chineseaircrafttaiwan__f443d57d1807980ab03bb3430f2b5767
z-9 aswx1,one Harbin Z-9 anti-submarine warfare,Organization,one Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,c6edbbdf0ad7cf2734f96e3f8b51966c,dgm_chineseaircrafttaiwan__c6edbbdf0ad7cf2734f96e3f8b51966c
z-9 aswx2,two Harbin Z-9 anti-submarine warfare,Pipeline,two Harbin Z-9 anti-submarine warfare,,dgm_chineseaircrafttaiwan,bb9eb40e0679c4e2fd8d1e7ed6086155,dgm_chineseaircrafttaiwan__bb9eb40e0679c4e2fd8d1e7ed6086155
