day_keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
january 1,January 1,Legislator,January 1,,dgm_chineseday,d6743413169cd555b53420030786c132,dgm_chineseday__d6743413169cd555b53420030786c132
january 2,January 2,LegislativeCommittee,January 2,,dgm_chineseday,71e919f1b54d02dca8f42f7b462eab65,dgm_chineseday__71e919f1b54d02dca8f42f7b462eab65
january 3,January 3,News,January 3,,dgm_chineseday,5055c053f328f1eaaef28d9c0576bf85,dgm_chineseday__5055c053f328f1eaaef28d9c0576bf85
january 4,January 4,CompanyKeyword,January 4,,dgm_chineseday,83e47ea4af09a77b9511fa49111cab6c,dgm_chineseday__83e47ea4af09a77b9511fa49111cab6c
january 5,January 5,space,January 5,,dgm_chineseday,c1ad9484f0da455210bcc55ce4aa7098,dgm_chineseday__c1ad9484f0da455210bcc55ce4aa7098
january 6,January 6,News,January 6,,dgm_chineseday,625cb2ef2de6cc00c789b2bf53f25b18,dgm_chineseday__625cb2ef2de6cc00c789b2bf53f25b18
january 7,January 7,ForeignMinistry,January 7,,dgm_chineseday,8c58bc68d22b78aba712d395d7044196,dgm_chineseday__8c58bc68d22b78aba712d395d7044196
january 8,January 8,AAEntity,January 8,,dgm_chineseday,ad8247f5f9c13c576b964f187f003bd4,dgm_chineseday__ad8247f5f9c13c576b964f187f003bd4
january 9,January 9,Keyphrase,January 9,,dgm_chineseday,7054331910164a15e18f283586da9790,dgm_chineseday__7054331910164a15e18f283586da9790
january 10,January 10,Legislator,January 10,,dgm_chineseday,ed753e9f87cbbe17a743dc0b0690f3a3,dgm_chineseday__ed753e9f87cbbe17a743dc0b0690f3a3
january 11,January 11,Organization,January 11,,dgm_chineseday,569d378e395f734bc714ef805fbdd7a2,dgm_chineseday__569d378e395f734bc714ef805fbdd7a2
january 12,January 12,IndustryTerm,January 12,,dgm_chineseday,2ad0774431532588da46a90c91b777de,dgm_chineseday__2ad0774431532588da46a90c91b777de
january 13,January 13,Person,January 13,,dgm_chineseday,ea19b0ae86cc04297f313e9f337eb9ed,dgm_chineseday__ea19b0ae86cc04297f313e9f337eb9ed
january 14,January 14,ForeignMinistry,January 14,,dgm_chineseday,9a82cd6c0db4499805e98f8ab2907866,dgm_chineseday__9a82cd6c0db4499805e98f8ab2907866
january 15,January 15,ForeignMinister,January 15,,dgm_chineseday,50efe58ef73091a6a047cd81ef39f324,dgm_chineseday__50efe58ef73091a6a047cd81ef39f324
january 16,January 16,Diplomat,January 16,,dgm_chineseday,3ca24a89d0eb4dd405c166ff4467fddf,dgm_chineseday__3ca24a89d0eb4dd405c166ff4467fddf
january 17,January 17,Organization,January 17,,dgm_chineseday,488bd0324298978365be9132525499a0,dgm_chineseday__488bd0324298978365be9132525499a0
january 18,January 18,Keyphrase,January 18,,dgm_chineseday,b0b196d4b850563f83d172cded2fd42a,dgm_chineseday__b0b196d4b850563f83d172cded2fd42a
january 19,January 19,Exec,January 19,,dgm_chineseday,f0450227eb6026cac012649b4c44da45,dgm_chineseday__f0450227eb6026cac012649b4c44da45
january 20,January 20,Keyphrase,January 20,,dgm_chineseday,a24aff68218f85d27bb6cc76928719ad,dgm_chineseday__a24aff68218f85d27bb6cc76928719ad
january 21,January 21,ForeignMinistry,January 21,,dgm_chineseday,f907b4c645fd799ae01b456517303167,dgm_chineseday__f907b4c645fd799ae01b456517303167
january 22,January 22,Diplomat,January 22,,dgm_chineseday,3859e2002ddd9060b4568f09f3ee4b5d,dgm_chineseday__3859e2002ddd9060b4568f09f3ee4b5d
january 23,January 23,Pipeline,January 23,,dgm_chineseday,7602e2aaa5355091a000698fed8b1a49,dgm_chineseday__7602e2aaa5355091a000698fed8b1a49
january 24,January 24,News,January 24,,dgm_chineseday,0a0abde94bd8116251bf55d8f6a584d8,dgm_chineseday__0a0abde94bd8116251bf55d8f6a584d8
january 25,January 25,Media,January 25,,dgm_chineseday,a65e03f3cbdbbd047975c5f1de5b79f3,dgm_chineseday__a65e03f3cbdbbd047975c5f1de5b79f3
january 26,January 26,CompanyKeyword,January 26,,dgm_chineseday,edc326673f6c730dd0ae0fd67889d409,dgm_chineseday__edc326673f6c730dd0ae0fd67889d409
january 27,January 27,Organization,January 27,,dgm_chineseday,8aa1ea2d4125d69cb8aea13148eb91ce,dgm_chineseday__8aa1ea2d4125d69cb8aea13148eb91ce
january 28,January 28,ForeignMinister,January 28,,dgm_chineseday,36583ad25b968a8a6629adca1dd21284,dgm_chineseday__36583ad25b968a8a6629adca1dd21284
january 29,January 29,AAEntity,January 29,,dgm_chineseday,ba0f43582b674e241216bd46f35db1a8,dgm_chineseday__ba0f43582b674e241216bd46f35db1a8
january 30,January 30,Person,January 30,,dgm_chineseday,6e7db8ab00b9ff8c84aceec818e2672d,dgm_chineseday__6e7db8ab00b9ff8c84aceec818e2672d
january 31,January 31,Consulates,January 31,,dgm_chineseday,35a55bd14c1e9ff9230bd8811d25b217,dgm_chineseday__35a55bd14c1e9ff9230bd8811d25b217
february 1,February 1,DiplomaticFacilities,February 1,,dgm_chineseday,38e1f76c4fa449adc6c3b15327492c55,dgm_chineseday__38e1f76c4fa449adc6c3b15327492c55
february 2,February 2,ForeignMinister,February 2,,dgm_chineseday,a90accde2b4efacf1063b328f7a4299f,dgm_chineseday__a90accde2b4efacf1063b328f7a4299f
february 3,February 3,Organization,February 3,,dgm_chineseday,60d2842151518a817aff28464598b879,dgm_chineseday__60d2842151518a817aff28464598b879
