keyword,caption_name,topic_id,guid,keyword type,groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
澳大拉西亚地中海,Mediterranean Sea,188134,,bodiesofwater,,Media,Mediterranean Sea,,dgm_chinesepsentities,98fba5125ef59755e82a370856c84f29,dgm_chinesepsentities__98fba5125ef59755e82a370856c84f29
菲律宾海,Philippine Sea,188134,,bodiesofwater,,space,Philippine Sea,,dgm_chinesepsentities,eb6657c3b460a5f7fa3c2f73363aa408,dgm_chinesepsentities__eb6657c3b460a5f7fa3c2f73363aa408
珊瑚海,Coral Sea,188134,,bodiesofwater,,CompanyKeyword,Coral Sea,,dgm_chinesepsentities,757710f96a554414b63028ce3d633240,dgm_chinesepsentities__757710f96a554414b63028ce3d633240
美洲地中海,Mediterranean Sea,188134,,bodiesofwater,,Legislator,Mediterranean Sea,,dgm_chinesepsentities,94702d4882606e795320fb3900615ef1,dgm_chinesepsentities__94702d4882606e795320fb3900615ef1
阿拉伯海,Arabian Sea,188134,,bodiesofwater,,space,Arabian Sea,,dgm_chinesepsentities,d2f749c5657e78b4b1c52ae33eaedd48,dgm_chinesepsentities__d2f749c5657e78b4b1c52ae33eaedd48
马尾藻海,Sargasso Sea,188134,,bodiesofwater,,Person,Sargasso Sea,,dgm_chinesepsentities,364f3de9fe0e201c13a7ed8454e46f53,dgm_chinesepsentities__364f3de9fe0e201c13a7ed8454e46f53
南海,South China Sea,188134,,bodiesofwater,,Keyphrase,South China Sea,,dgm_chinesepsentities,f1f74a5656c82478b8bd7dcfc77603d0,dgm_chinesepsentities__f1f74a5656c82478b8bd7dcfc77603d0
威德尔海,Weddell Sea,188134,,bodiesofwater,,Refinery,Weddell Sea,,dgm_chinesepsentities,3b16e334834683f1f25493044a2c51a4,dgm_chinesepsentities__3b16e334834683f1f25493044a2c51a4
加勒比海,Caribbean Sea,188134,,bodiesofwater,,Legislator,Caribbean Sea,,dgm_chinesepsentities,877917fecc0370c8082b9b9ff4634aab,dgm_chinesepsentities__877917fecc0370c8082b9b9ff4634aab
地中海,Mediterranean Sea,188134,,bodiesofwater,,Diplomat,Mediterranean Sea,,dgm_chinesepsentities,59867a68f557de79d1726004aee7ca32,dgm_chinesepsentities__59867a68f557de79d1726004aee7ca32
