keyword,keyword_upper,caption_name,location,location_lower,threshold,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
u.s. secretary of state,U.S. Secretary of State,US Secretary of State Blinken,Glasgow,glasgow,general.alert4,188285,LegislativeCommittee,US Secretary of State Blinken,,dgm_cop26,2db6047aebcfb72be1ec81ea15bfc177,dgm_cop26__2db6047aebcfb72be1ec81ea15bfc177
us secretary of state,US Secretary of State,US Secretary of State Blinken,Glasgow,glasgow,general.alert4,188285,space,US Secretary of State Blinken,,dgm_cop26,2db6047aebcfb72be1ec81ea15bfc177,dgm_cop26__2db6047aebcfb72be1ec81ea15bfc177
ussecretaryofstate,ussecretaryofstate,US Secretary of State Blinken,Glasgow,glasgow,general.alert4,188285,ForeignMinistry,US Secretary of State Blinken,,dgm_cop26,2db6047aebcfb72be1ec81ea15bfc177,dgm_cop26__2db6047aebcfb72be1ec81ea15bfc177
#ussecretaryofstate,#ussecretaryofstate,US Secretary of State Blinken,Glasgow,glasgow,general.alert4,188285,ForeignMinistry,US Secretary of State Blinken,,dgm_cop26,2db6047aebcfb72be1ec81ea15bfc177,dgm_cop26__2db6047aebcfb72be1ec81ea15bfc177
blinken,Blinken,US Secretary of State Blinken,Glasgow,glasgow,general.alert4,188285,Pipeline,US Secretary of State Blinken,,dgm_cop26,2db6047aebcfb72be1ec81ea15bfc177,dgm_cop26__2db6047aebcfb72be1ec81ea15bfc177
anthonyblinken,AnthonyBlinken,US Secretary of State Blinken,Glasgow,glasgow,general.alert4,188285,CompanyKeyword,US Secretary of State Blinken,,dgm_cop26,2db6047aebcfb72be1ec81ea15bfc177,dgm_cop26__2db6047aebcfb72be1ec81ea15bfc177
tonyblinken,TonyBlinken,US Secretary of State Blinken,Glasgow,glasgow,general.alert4,188285,Organization,US Secretary of State Blinken,,dgm_cop26,2db6047aebcfb72be1ec81ea15bfc177,dgm_cop26__2db6047aebcfb72be1ec81ea15bfc177
#blinken,#Blinken,US Secretary of State Blinken,Glasgow,glasgow,general.alert4,188285,Shipping,US Secretary of State Blinken,,dgm_cop26,2db6047aebcfb72be1ec81ea15bfc177,dgm_cop26__2db6047aebcfb72be1ec81ea15bfc177
#anthonyblinken,#AnthonyBlinken,US Secretary of State Blinken,Glasgow,glasgow,general.alert4,188285,Keyphrase,US Secretary of State Blinken,,dgm_cop26,2db6047aebcfb72be1ec81ea15bfc177,dgm_cop26__2db6047aebcfb72be1ec81ea15bfc177
#tonyblinken,#TonyBlinken,US Secretary of State Blinken,Glasgow,glasgow,general.alert4,188285,LegislativeCommittee,US Secretary of State Blinken,,dgm_cop26,2db6047aebcfb72be1ec81ea15bfc177,dgm_cop26__2db6047aebcfb72be1ec81ea15bfc177
secretaryblinken,SecretaryBlinken,US Secretary of State Blinken,Glasgow,glasgow,general.alert4,188285,Pipeline,US Secretary of State Blinken,,dgm_cop26,2db6047aebcfb72be1ec81ea15bfc177,dgm_cop26__2db6047aebcfb72be1ec81ea15bfc177
#secretaryblinken,#SecretaryBlinken,US Secretary of State Blinken,Glasgow,glasgow,general.alert4,188285,Consulates,US Secretary of State Blinken,,dgm_cop26,2db6047aebcfb72be1ec81ea15bfc177,dgm_cop26__2db6047aebcfb72be1ec81ea15bfc177
john kerry,John Kerry,US Climate Envoy John Kerry,Glasgow,glasgow,general.alert4,188285,Refinery,US Climate Envoy John Kerry,,dgm_cop26,6d930b2cd0a062590655165667d12b6f,dgm_cop26__6d930b2cd0a062590655165667d12b6f
johnkerry,JohnKerry,US Climate Envoy John Kerry,Glasgow,glasgow,general.alert4,188285,Keyphrase,US Climate Envoy John Kerry,,dgm_cop26,6d930b2cd0a062590655165667d12b6f,dgm_cop26__6d930b2cd0a062590655165667d12b6f
#johnkerry,#johnkerry,US Climate Envoy John Kerry,Glasgow,glasgow,general.alert4,188285,Pipeline,US Climate Envoy John Kerry,,dgm_cop26,6d930b2cd0a062590655165667d12b6f,dgm_cop26__6d930b2cd0a062590655165667d12b6f
#kerry,#kerry,US Climate Envoy John Kerry,Glasgow,glasgow,general.alert4,188285,ForeignMinistry,US Climate Envoy John Kerry,,dgm_cop26,6d930b2cd0a062590655165667d12b6f,dgm_cop26__6d930b2cd0a062590655165667d12b6f
kerry,Kerry,US Climate Envoy John Kerry,Glasgow,glasgow,general.alert4,188285,LegislativeCommittee,US Climate Envoy John Kerry,,dgm_cop26,6d930b2cd0a062590655165667d12b6f,dgm_cop26__6d930b2cd0a062590655165667d12b6f
u.s. climate envoy,U.S. Climate Envoy,US Climate Envoy John Kerry,Glasgow,glasgow,general.alert4,188285,space,US Climate Envoy John Kerry,,dgm_cop26,6d930b2cd0a062590655165667d12b6f,dgm_cop26__6d930b2cd0a062590655165667d12b6f
