keyword,caption_name,guid,groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
a-mark precious metals hq,A-Mark Precious Metals headquarters,b5e723e9410262e8195a48045c201b49,,Person,A-Mark Precious Metals headquarters,,dgm_corp_hq,b29f1b081836137ed475bd5849c3589c,dgm_corp_hq__b29f1b081836137ed475bd5849c3589c
abc supply hq,ABC Supply headquarters,05d1da021c08510012a6892f8f4bfafc,,Consulates,ABC Supply headquarters,,dgm_corp_hq,87198db2eee1b0c5789f4c5ff0fe039a,dgm_corp_hq__87198db2eee1b0c5789f4c5ff0fe039a
abm industries hq,ABM Industries  headquarters,75281c1dd310569fe2bf55fac09e5238,,Organization,ABM Industries  headquarters,,dgm_corp_hq,484d642f3b4cd238e5348d0c30971179,dgm_corp_hq__484d642f3b4cd238e5348d0c30971179
abn amro bank hq,ABN AMRO Bank headquarters,49aa493c17c822226bf64bcca438ac6c,,Organization,ABN AMRO Bank headquarters,,dgm_corp_hq,9d8f440509b6f19f0ba5421390217875,dgm_corp_hq__9d8f440509b6f19f0ba5421390217875
abu dhabi national energy company pjsc hq,Abu Dhabi National Energy Company PJSC headquarters,7acc00c7fd66502d8a2a5e0b46fbca89,,Wells,Abu Dhabi National Energy Company PJSC headquarters,,dgm_corp_hq,2ec736a6aba5fde556e843f7a6264069,dgm_corp_hq__2ec736a6aba5fde556e843f7a6264069
academy sports and outdoors hq,Academy Sports and Outdoors headquarters,98af37f60e9da3f730c8bcfd0cfcc55f,,Consulates,Academy Sports and Outdoors headquarters,,dgm_corp_hq,87ebca223a2498c524e0b289a461b925,dgm_corp_hq__87ebca223a2498c524e0b289a461b925
acbl transportation services hq,ACBL Transportation Services headquarters,275d8b197885f0e4710d15d62a894c03,,Wells,ACBL Transportation Services headquarters,,dgm_corp_hq,84ee48974f0c15c9e19c17ef73b3e1a3,dgm_corp_hq__84ee48974f0c15c9e19c17ef73b3e1a3
accenture hq,Accenture headquarters,23f2482029477cdcc861ccbbf55de206,,Diplomat,Accenture headquarters,,dgm_corp_hq,1fc7f67318cb21e56e462925649557bd,dgm_corp_hq__1fc7f67318cb21e56e462925649557bd
acciona hq,Acciona headquarters,63f23ea175aadb338ba038b6dd691b90,,Legislator,Acciona headquarters,,dgm_corp_hq,778fcb1a1dd74ca77646b4e4ef267e58,dgm_corp_hq__778fcb1a1dd74ca77646b4e4ef267e58
acer orporated hq,Acer orporated headquarters,c986de33a22102c7d7b4b8148fcf485a,,AAEntity,Acer orporated headquarters,,dgm_corp_hq,b900a08266913d484e578b075d1387be,dgm_corp_hq__b900a08266913d484e578b075d1387be
acerinox hq,Acerinox headquarters,3e2347d692e175e828155ddbaa2c3920,,Consulates,Acerinox headquarters,,dgm_corp_hq,43ba4e67990a5d1e7275203e285e0bb8,dgm_corp_hq__43ba4e67990a5d1e7275203e285e0bb8
"acs, actividades de construcción y servicios, s.a. hq","ACS, Actividades de Construcción y Servicios, S.A. headquarters",69d5112c3e8458076b63e187bcbe6661,,Diplomat,"ACS, Actividades de Construcción y Servicios, S.A. headquarters",,dgm_corp_hq,0976cb1bf42ae34baa9f0414ff4bb635,dgm_corp_hq__0976cb1bf42ae34baa9f0414ff4bb635
adani group hq,Adani Group headquarters,aefcf6bb209978a1f1d0b39f8e5e45bc,,Consulates,Adani Group headquarters,,dgm_corp_hq,3babea0d556fa6f403cd466f7231f8b8,dgm_corp_hq__3babea0d556fa6f403cd466f7231f8b8
adecco group hq,Adecco Group headquarters,5c0936d75f2c8417a085e0885243ad8b,,IndustryTerm,Adecco Group headquarters,,dgm_corp_hq,998e567cbabfcce2b2e512e474e5e95f,dgm_corp_hq__998e567cbabfcce2b2e512e474e5e95f
adidas hq,adidas headquarters,cff0a299674bfe020606511679e8350f,,IndustryTerm,adidas headquarters,,dgm_corp_hq,a746274ea51334198399047d653d2ed5,dgm_corp_hq__a746274ea51334198399047d653d2ed5
adient plc hq,Adient plc headquarters,8cf0d3262bab6190ed54d90f6940f85b,,ForeignMinistry,Adient plc headquarters,,dgm_corp_hq,802eb57b9c9abd9a57c7a645fce9456d,dgm_corp_hq__802eb57b9c9abd9a57c7a645fce9456d
