keyword,caption_name,topic_id,guid,groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
اکتیویسین بلیززرد,Activision Blizzard,,5f1a65971ad63c9cf9be9b25b89b5e28,Farsi,Media,Activision Blizzard,,dgm_crisk_variants,c87cb90e721691623d804d736e398318,dgm_crisk_variants__c87cb90e721691623d804d736e398318
ادتلم گلبل ادوکتین,Adtalem Global Education,,a03153bd0b88c5aa0c4015b844de032e,Farsi,Organization,Adtalem Global Education,,dgm_crisk_variants,f0aa9ad0650e70b44c61877da70b6e7f,dgm_crisk_variants__f0aa9ad0650e70b44c61877da70b6e7f
اتنا,Aetna,,ade4c68cba85e3beb73a3413c0888b7d,Farsi,LegislativeCommittee,Aetna,,dgm_crisk_variants,a090692640b320d9fb346567fe22cc0d,dgm_crisk_variants__a090692640b320d9fb346567fe22cc0d
ایر کانادا,Air Canada,,e2437347300ecc96b6855502ea951918,Farsi,Pipeline,Air Canada,,dgm_crisk_variants,76a25b8511a5f39c1bdc761f65636e4b,dgm_crisk_variants__76a25b8511a5f39c1bdc761f65636e4b
ایرباس,Airbus,,252db0d6399cb907417e6bc9b56042d5,Farsi,Pipeline,Airbus,,dgm_crisk_variants,b110aa10dc3e3aa939ba099440938e65,dgm_crisk_variants__b110aa10dc3e3aa939ba099440938e65
الخین فرمکوتیکلس,Alexion Pharmaceuticals,,0561c22457ce25c15c5251b4100d79e7,Farsi,Shipping,Alexion Pharmaceuticals,,dgm_crisk_variants,d704a832f6a812950e2e502282ae05a3,dgm_crisk_variants__d704a832f6a812950e2e502282ae05a3
اللی فیننکیل,Ally Financial,,dd4bc800f9a4c4d6659f7f7818d8c45d,Farsi,Wells,Ally Financial,,dgm_crisk_variants,fc7809369342e4f094cba19dcc955b79,dgm_crisk_variants__fc7809369342e4f094cba19dcc955b79
آمازون,Amazon,,32ec5fc746a720416749e18927068772,Farsi,AAEntity,Amazon,,dgm_crisk_variants,b3b3a6ac74ecbd56bcdbefa4799fb9df,dgm_crisk_variants__b3b3a6ac74ecbd56bcdbefa4799fb9df
آمریکن الکتریک پاور,American Electric Power,,41a6ce85ffd66124357de8ba23e871ba,Farsi,News,American Electric Power,,dgm_crisk_variants,35ea1836d307e9d2646c8afc87d239a2,dgm_crisk_variants__35ea1836d307e9d2646c8afc87d239a2
امگن,Amgen,,cbbf605ac8c153dab40ee70a8371ed1b,Farsi,Organization,Amgen,,dgm_crisk_variants,c142e310cf1889900ac13cc74784585c,dgm_crisk_variants__c142e310cf1889900ac13cc74784585c
اپل,Apple,,2adac6e9b077021a8c4e5de1a3aa057b,Farsi,IndustryTerm,Apple,,dgm_crisk_variants,9f6290f4436e5a2351f12e03b6433c3c,dgm_crisk_variants__9f6290f4436e5a2351f12e03b6433c3c
درپبکس,Dropbox,,75a6131f845974797c5c2823b234ec0f,Farsi,Keyphrase,Dropbox,,dgm_crisk_variants,f92aa92725095d5531f54b4589d99264,dgm_crisk_variants__f92aa92725095d5531f54b4589d99264
ارچر دنیلس میدلند کمپانی,Archer Daniels Midland Company,,b77236a889ac01314f318337ee2f9524,Farsi,Diplomat,Archer Daniels Midland Company,,dgm_crisk_variants,d59dd55023c2b3b119d4511d567fd061,dgm_crisk_variants__d59dd55023c2b3b119d4511d567fd061
جنرال الکتریک,General Electric,,322ac38925c136d0cdf64421568a1bf7,Farsi,Diplomat,General Electric,,dgm_crisk_variants,b7dd9335262c963353fe9f12165a5a86,dgm_crisk_variants__b7dd9335262c963353fe9f12165a5a86
فرددی مککای,Freddie Mac,,2f73a63fa56565bb8209179dfe056f48,Farsi,ForeignMinistry,Freddie Mac,,dgm_crisk_variants,99fc3471b2182beaebe91a3f43131979,dgm_crisk_variants__99fc3471b2182beaebe91a3f43131979
پاناسونیک,Panasonic,,300414e91c9cf1d0de9a668688a8db4b,Farsi,Media,Panasonic,,dgm_crisk_variants,4db2eb60906233021c65b511fe814034,dgm_crisk_variants__4db2eb60906233021c65b511fe814034
کهل`س,Kohl's,,bebe2053a8d82be1e8c0986f277a27ba,Farsi,space,Kohl's,,dgm_crisk_variants,f47914299f3d8460ea82dd21f435b624,dgm_crisk_variants__f47914299f3d8460ea82dd21f435b624
بعع سیستمس,BAE Systems,,68de11995b3eaa7243a40b135a58219b,Farsi,space,BAE Systems,,dgm_crisk_variants,48c7e055cb46ce0c9f686921c0ac63b2,dgm_crisk_variants__48c7e055cb46ce0c9f686921c0ac63b2
بانک آف آمریکا,Bank Of America,,e672678f644ea6ca9d8396db9db0bdf0,Farsi,IndustryTerm,Bank Of America,,dgm_crisk_variants,ccededfed262f8c0ad2f3921440fc57b,dgm_crisk_variants__ccededfed262f8c0ad2f3921440fc57b
بسف,BASF,,8d49b8dc5ba98024dc999c10317deae7,Farsi,FTO,BASF,,dgm_crisk_variants,1672f5c14b0beab044c02884a30f1e5b,dgm_crisk_variants__1672f5c14b0beab044c02884a30f1e5b
بستن کنسولتینگ گروپ,Boston Consulting Group,,2e782cdf90647fa9b827009f6d6818e9,Farsi,Keyphrase,Boston Consulting Group,,dgm_crisk_variants,7ddcc78d3f09886602edbfc226721ad6,dgm_crisk_variants__7ddcc78d3f09886602edbfc226721ad6
بیگن,Biogen,,1f46a67ae7e6023e6cffca51f4a46c16,Farsi,LegislativeCommittee,Biogen,,dgm_crisk_variants,b34193a9204d2f50d15aedf8b222dbad,dgm_crisk_variants__b34193a9204d2f50d15aedf8b222dbad
بهپ گروپ لیمیتد,BHP Group Limited,,c503f35fcdc52d4912f2ca64ea221306,Farsi,Legislator,BHP Group Limited,,dgm_crisk_variants,f458659825cb5b9141b09d1e658f6132,dgm_crisk_variants__f458659825cb5b9141b09d1e658f6132
بوز,Bose,,960e0d172242014d2a3c40d906cdefce,Farsi,IndustryTerm,Bose,,dgm_crisk_variants,20383fe03b614c5fb3a4da13e1d0b873,dgm_crisk_variants__20383fe03b614c5fb3a4da13e1d0b873
بستن سکینتیفیک,Boston Scientific,,19ed1a9f49895c64e95dc95d23bf95f7,Farsi,Keyphrase,Boston Scientific,,dgm_crisk_variants,fc7e7271fb92a64ec66a3c9974fb1aaa,dgm_crisk_variants__fc7e7271fb92a64ec66a3c9974fb1aaa
بپ,BP,,38d8b69ed5061389a56cf5a9dad770db,Farsi,Refinery,BP,,dgm_crisk_variants,96d4cdff8ed57e93e3b3d843cffe3af7,dgm_crisk_variants__96d4cdff8ed57e93e3b3d843cffe3af7
لاقسلا,British American Tobacco,,2037bdb717b3511c220447491342823c,Farsi,Keyphrase,British American Tobacco,,dgm_crisk_variants,a13c37478a66be4a7bbe4b077a1816c5,dgm_crisk_variants__a13c37478a66be4a7bbe4b077a1816c5
