handle,caption_name,location_lower,Location,Entity Type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
cointelegraph,CoinTelegraph,"san francisco, ca","San Francisco, CA",Cryptocurrency Press,News,CoinTelegraph,,dgm_crypto_press,5a9b0294cf4a9d3f30d2363aeae60cc0,dgm_crypto_press__5a9b0294cf4a9d3f30d2363aeae60cc0
coindesk,CoinDesk,"san francisco, ca","San Francisco, CA",Cryptocurrency Press,ForeignMinistry,CoinDesk,,dgm_crypto_press,c5f8ed4b12cfa3871ccbabaf87c606bb,dgm_crypto_press__c5f8ed4b12cfa3871ccbabaf87c606bb
btctn,Bitcoin News,"san francisco, ca","San Francisco, CA",Cryptocurrency Press,space,Bitcoin News,,dgm_crypto_press,a866650adc25049c5fc412117da6923b,dgm_crypto_press__a866650adc25049c5fc412117da6923b
utoday_en,U.Today,"san francisco, ca","San Francisco, CA",Cryptocurrency Press,Organization,U.Today,,dgm_crypto_press,fd292662d61a40746293348bd0bfb818,dgm_crypto_press__fd292662d61a40746293348bd0bfb818
bitcoinmagazine,Bitcoin Magazine,"san francisco, ca","San Francisco, CA",Cryptocurrency Press,ForeignMinister,Bitcoin Magazine,,dgm_crypto_press,e051a8ab1a350fd08ef4d53c7f424911,dgm_crypto_press__e051a8ab1a350fd08ef4d53c7f424911
crypto_briefing,Crypto Briefing,"san francisco, ca","San Francisco, CA",Cryptocurrency Press,ForeignMinistry,Crypto Briefing,,dgm_crypto_press,9b057a3686c0fc61bbf3f93099facdef,dgm_crypto_press__9b057a3686c0fc61bbf3f93099facdef
cryptoamb,AMB Crypto,"san francisco, ca","San Francisco, CA",Cryptocurrency Press,ForeignMinister,AMB Crypto,,dgm_crypto_press,9f8b881d26448c6db9ad7d2a5ab06d3f,dgm_crypto_press__9f8b881d26448c6db9ad7d2a5ab06d3f
coinspeaker,Coinspeaker,"san francisco, ca","San Francisco, CA",Cryptocurrency Press,LegislativeCommittee,Coinspeaker,,dgm_crypto_press,d14f3c9f71992fbdc96dc100b4ca9496,dgm_crypto_press__d14f3c9f71992fbdc96dc100b4ca9496
coingapemedia,CoinGape,"san francisco, ca","San Francisco, CA",Cryptocurrency Press,Organization,CoinGape,,dgm_crypto_press,644103fcaecb019661e4cf09d069d340,dgm_crypto_press__644103fcaecb019661e4cf09d069d340
beincrypto,BeInCrypto,"san francisco, ca","San Francisco, CA",Cryptocurrency Press,DiplomaticFacilities,BeInCrypto,,dgm_crypto_press,ee1e9f3bb22a1122687d5f36da57f08b,dgm_crypto_press__ee1e9f3bb22a1122687d5f36da57f08b
