keyword,caption_name,groups,Entity Type,Handle (if applicable),,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
bitcoin,Bitcoin,bitcoin,Coin,,,FTO,Bitcoin,,dgm_crypto_terms,d023ec040f79f1a9b2ac960b43785089,dgm_crypto_terms__d023ec040f79f1a9b2ac960b43785089
btc,Bitcoin,bitcoin,Coin,,,Organization,Bitcoin,,dgm_crypto_terms,d023ec040f79f1a9b2ac960b43785089,dgm_crypto_terms__d023ec040f79f1a9b2ac960b43785089
ethereum,Ethereum,ethereum,Coin,ethereum,ethereum,Keyphrase,Ethereum,,dgm_crypto_terms,94195b7b439ec3bda396c8df3d53e0c0,dgm_crypto_terms__94195b7b439ec3bda396c8df3d53e0c0
eth,Ethereum,ethereum,Coin,ethereum,ethereum,IndustryTerm,Ethereum,,dgm_crypto_terms,94195b7b439ec3bda396c8df3d53e0c0,dgm_crypto_terms__94195b7b439ec3bda396c8df3d53e0c0
binance coin,Binance Coin cryptocurrency,binance coin cryptocurrency,Coin,binance,binance,News,Binance Coin cryptocurrency,,dgm_crypto_terms,de4808a863fb264b9b710231e51cf015,dgm_crypto_terms__de4808a863fb264b9b710231e51cf015
bnb,Binance Coin cryptocurrency,binance coin cryptocurrency,Coin,binance,binance,space,Binance Coin cryptocurrency,,dgm_crypto_terms,de4808a863fb264b9b710231e51cf015,dgm_crypto_terms__de4808a863fb264b9b710231e51cf015
"tether
usdt",Tether cryptocurrency,tether cryptocurrency,Coin,Tether_to,tether_to,Consulates,Tether cryptocurrency,,dgm_crypto_terms,5fe075f245c57aadf67a1daac2d046ed,dgm_crypto_terms__5fe075f245c57aadf67a1daac2d046ed
usdt,Tether cryptocurrency,tether cryptocurrency,Coin,Tether_to,tether_to,Shipping,Tether cryptocurrency,,dgm_crypto_terms,5fe075f245c57aadf67a1daac2d046ed,dgm_crypto_terms__5fe075f245c57aadf67a1daac2d046ed
cardano,Cardano cryptocurrency,cardano cryptocurrency,Coin,Cardano,cardano,LegislativeCommittee,Cardano cryptocurrency,,dgm_crypto_terms,d58dc8b8918e65b45ee1c2b9da351233,dgm_crypto_terms__d58dc8b8918e65b45ee1c2b9da351233
ada,Cardano cryptocurrency,cardano cryptocurrency,Coin,Cardano,cardano,Person,Cardano cryptocurrency,,dgm_crypto_terms,d58dc8b8918e65b45ee1c2b9da351233,dgm_crypto_terms__d58dc8b8918e65b45ee1c2b9da351233
xrp,XRP cryptocurrency,xrp cryptocurrency,Coin,Ripple,ripple,Shipping,XRP cryptocurrency,,dgm_crypto_terms,7902525300a2b7864193ccf4bc7043a7,dgm_crypto_terms__7902525300a2b7864193ccf4bc7043a7
dogecoin,Dogecoin,dogecoin,Coin,dogecoin,dogecoin,Wells,Dogecoin,,dgm_crypto_terms,4a2e40ad6bec49a9016996064a5f3c8a,dgm_crypto_terms__4a2e40ad6bec49a9016996064a5f3c8a
doge,Dogecoin,dogecoin,Coin,dogecoin,dogecoin,Person,Dogecoin,,dgm_crypto_terms,4a2e40ad6bec49a9016996064a5f3c8a,dgm_crypto_terms__4a2e40ad6bec49a9016996064a5f3c8a
usd coin,USD Coin cryptocurrency,usd coin cryptocurrency,Coin,,,Legislator,USD Coin cryptocurrency,,dgm_crypto_terms,139e0924d60edb8938effde76ad5b500,dgm_crypto_terms__139e0924d60edb8938effde76ad5b500
usdc,USD Coin cryptocurrency,usd coin cryptocurrency,Coin,,,Pipeline,USD Coin cryptocurrency,,dgm_crypto_terms,139e0924d60edb8938effde76ad5b500,dgm_crypto_terms__139e0924d60edb8938effde76ad5b500
polkadot,Polkadot cryptocurrency,polkadot cryptocurrency,Coin,Polkadot,polkadot,Keyphrase,Polkadot cryptocurrency,,dgm_crypto_terms,271958734150a68441fd6dd58d940362,dgm_crypto_terms__271958734150a68441fd6dd58d940362
dot,Polkadot cryptocurrency,polkadot cryptocurrency,Coin,Polkadot,polkadot,DiplomaticFacilities,Polkadot cryptocurrency,,dgm_crypto_terms,271958734150a68441fd6dd58d940362,dgm_crypto_terms__271958734150a68441fd6dd58d940362
uniswap,Uniswap cryptocurrency,uniswap cryptocurrency,Coin,Uniswap,uniswap,News,Uniswap cryptocurrency,,dgm_crypto_terms,743f08ab74dbd3be3fe25fbc23122c74,dgm_crypto_terms__743f08ab74dbd3be3fe25fbc23122c74
uni,Uniswap cryptocurrency,uniswap cryptocurrency,Coin,Uniswap,uniswap,Consulates,Uniswap cryptocurrency,,dgm_crypto_terms,743f08ab74dbd3be3fe25fbc23122c74,dgm_crypto_terms__743f08ab74dbd3be3fe25fbc23122c74
binance usd,Binance USD cryptocurrency,binance usd cryptocurrency,Coin,,,News,Binance USD cryptocurrency,,dgm_crypto_terms,5da2596af9ac91404a9661f65f7f6de4,dgm_crypto_terms__5da2596af9ac91404a9661f65f7f6de4
busd,Binance USD cryptocurrency,binance usd cryptocurrency,Coin,,,Legislator,Binance USD cryptocurrency,,dgm_crypto_terms,5da2596af9ac91404a9661f65f7f6de4,dgm_crypto_terms__5da2596af9ac91404a9661f65f7f6de4
chainlink,Chainlink cryptocurrency,chainlink cryptocurrency,Coin,chainlink,chainlink,AAEntity,Chainlink cryptocurrency,,dgm_crypto_terms,829b9c18794e7e596fbbf94df489ccab,dgm_crypto_terms__829b9c18794e7e596fbbf94df489ccab
solana,Solana cryptocurrency,solana cryptocurrency,Coin,solana,solana,Exec,Solana cryptocurrency,,dgm_crypto_terms,4f6462e3f9fbaa875d8956606bf666b1,dgm_crypto_terms__4f6462e3f9fbaa875d8956606bf666b1
sol,Solana cryptocurrency,solana cryptocurrency,Coin,solana,solana,DiplomaticFacilities,Solana cryptocurrency,,dgm_crypto_terms,4f6462e3f9fbaa875d8956606bf666b1,dgm_crypto_terms__4f6462e3f9fbaa875d8956606bf666b1
bitcoin cash,Bitcoin Cash cryptocurrency,bitcoin cash cryptocurrency,Coin,bitcoincashorg,bitcoincashorg,Pipeline,Bitcoin Cash cryptocurrency,,dgm_crypto_terms,b35c5aa65460f4bfd220858a46a66b45,dgm_crypto_terms__b35c5aa65460f4bfd220858a46a66b45
bch,Bitcoin Cash cryptocurrency,bitcoin cash cryptocurrency,Coin,bitcoincashorg,bitcoincashorg,Exec,Bitcoin Cash cryptocurrency,,dgm_crypto_terms,b35c5aa65460f4bfd220858a46a66b45,dgm_crypto_terms__b35c5aa65460f4bfd220858a46a66b45
litecoin,Litecoin cryptocurrency,litecoin cryptocurrency,Coin,litecoin,litecoin,AAEntity,Litecoin cryptocurrency,,dgm_crypto_terms,eef5ead88b8449c04d11cfc05bd7b42d,dgm_crypto_terms__eef5ead88b8449c04d11cfc05bd7b42d
ltc,Litecoin cryptocurrency,litecoin cryptocurrency,Coin,litecoin,litecoin,Organization,Litecoin cryptocurrency,,dgm_crypto_terms,eef5ead88b8449c04d11cfc05bd7b42d,dgm_crypto_terms__eef5ead88b8449c04d11cfc05bd7b42d
internet computer,Internet Computer cryptocurrency,internet computer cryptocurrency,Coin,DfinityComputer,dfinitycomputer,Organization,Internet Computer cryptocurrency,,dgm_crypto_terms,cb6c9f6c340698e9972a3c7fdba4cf14,dgm_crypto_terms__cb6c9f6c340698e9972a3c7fdba4cf14
