handle,caption_name,location,include_groups,location_lower,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
haveibeenpwned,Have I Been Pwned,"San Francisco, CA",skimmers;jackpotting;carding;cryptocurrency_scam;aml;fraud,"san francisco, ca",Exec,Have I Been Pwned,,dgm_cyber_crypto_handles,ae59b65fd1193bdc23e10673e4998584,dgm_cyber_crypto_handles__ae59b65fd1193bdc23e10673e4998584
thehackernews,The Hacker News,"San Francisco, CA",skimmers;jackpotting;carding;cryptocurrency_scam;aml;fraud,"san francisco, ca",Exec,The Hacker News,,dgm_cyber_crypto_handles,f68d17c6684d5da258186a063f83c987,dgm_cyber_crypto_handles__f68d17c6684d5da258186a063f83c987
sucurilabs,Sucuri Labs,"San Francisco, CA",skimmers;jackpotting;carding;cryptocurrency_scam;aml;fraud,"san francisco, ca",Consulates,Sucuri Labs,,dgm_cyber_crypto_handles,ccba56e6ede6b5435de0e9c16dd6d0f7,dgm_cyber_crypto_handles__ccba56e6ede6b5435de0e9c16dd6d0f7
boannews,Boan News,"San Francisco, CA",skimmers;jackpotting;carding;cryptocurrency_scam;aml;fraud,"san francisco, ca",AAEntity,Boan News,,dgm_cyber_crypto_handles,e1fc87cf5b4a3113ccdda74d5d8a9e50,dgm_cyber_crypto_handles__e1fc87cf5b4a3113ccdda74d5d8a9e50
mitreattack,Mitre ATT&CK,"San Francisco, CA",skimmers;jackpotting;carding;cryptocurrency_scam;aml;fraud,"san francisco, ca",Legislator,Mitre ATT&CK,,dgm_cyber_crypto_handles,7a777941e2bca7dcba45c572b0057612,dgm_cyber_crypto_handles__7a777941e2bca7dcba45c572b0057612
hackread,HackRead,"San Francisco, CA",skimmers;jackpotting;carding;cryptocurrency_scam;aml;fraud,"san francisco, ca",FTO,HackRead,,dgm_cyber_crypto_handles,8135cc6c1006c565e97a96a49e62f80d,dgm_cyber_crypto_handles__8135cc6c1006c565e97a96a49e62f80d
bleepincomputer,Bleeping Computer,"San Francisco, CA",skimmers;jackpotting;carding;cryptocurrency_scam;aml;fraud,"san francisco, ca",AAEntity,Bleeping Computer,,dgm_cyber_crypto_handles,e84f8e246751e94cc291da175cc955d3,dgm_cyber_crypto_handles__e84f8e246751e94cc291da175cc955d3
knowbe4,KnowBe4,"San Francisco, CA",skimmers;jackpotting;carding;cryptocurrency_scam;aml;fraud,"san francisco, ca",News,KnowBe4,,dgm_cyber_crypto_handles,8435c61abd01150f2b5cd3b7c52ac20a,dgm_cyber_crypto_handles__8435c61abd01150f2b5cd3b7c52ac20a
darkreading,DarkReading,"San Francisco, CA",skimmers;jackpotting;carding;cryptocurrency_scam;aml;fraud,"san francisco, ca",LegislativeCommittee,DarkReading,,dgm_cyber_crypto_handles,90a775891914bb133f97dc695ebbddbc,dgm_cyber_crypto_handles__90a775891914bb133f97dc695ebbddbc
threatpost,Threatpost,"San Francisco, CA",skimmers;jackpotting;carding;cryptocurrency_scam;aml;fraud,"san francisco, ca",Exec,Threatpost,,dgm_cyber_crypto_handles,b6d2071c0dfaf9c6007cf78e88965851,dgm_cyber_crypto_handles__b6d2071c0dfaf9c6007cf78e88965851
