handle,caption_name,location_lower,location,type,groups,exclude_group,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
alfred_lin,investor Alfred Lin,san francisco,San Francisco,VC Investor,,,VcInvestor,investor Alfred Lin,,dgm_emergingtech_mentioner,1595a915b382a82dc57bd6060513c6b2,dgm_emergingtech_mentioner__1595a915b382a82dc57bd6060513c6b2
hanstung,investor Hans Tung,san francisco,San Francisco,VC Investor,,,VcInvestor,investor Hans Tung,,dgm_emergingtech_mentioner,c22bac5046f366538900be06fa7616a9,dgm_emergingtech_mentioner__c22bac5046f366538900be06fa7616a9
laserlikemike,investor Mike Speiser,san francisco,San Francisco,VC Investor,,,VcInvestor,investor Mike Speiser,,dgm_emergingtech_mentioner,27e5d17901163f1e5bf8fc6c0db17a57,dgm_emergingtech_mentioner__27e5d17901163f1e5bf8fc6c0db17a57
satishd,investor Satish Dharmaraj,san francisco,San Francisco,VC Investor,,,VcInvestor,investor Satish Dharmaraj,,dgm_emergingtech_mentioner,1352bd53911defa13addebc812869447,dgm_emergingtech_mentioner__1352bd53911defa13addebc812869447
cdixon,investor Chris Dixon,san francisco,San Francisco,VC Investor,,,VcInvestor,investor Chris Dixon,,dgm_emergingtech_mentioner,c4a85cae32ce92a3852b6749b1dfea33,dgm_emergingtech_mentioner__c4a85cae32ce92a3852b6749b1dfea33
roelofbotha,investor Roelof Botha,san francisco,San Francisco,VC Investor,,,VcInvestor,investor Roelof Botha,,dgm_emergingtech_mentioner,1c5e02b2f69faa98cc00e637acbc5fc2,dgm_emergingtech_mentioner__1c5e02b2f69faa98cc00e637acbc5fc2
leefixel,investor Lee Fixel,san francisco,San Francisco,VC Investor,,,VcInvestor,investor Lee Fixel,,dgm_emergingtech_mentioner,623c3b3d7e4611ba20e46aa996af3608,dgm_emergingtech_mentioner__623c3b3d7e4611ba20e46aa996af3608
navinchaddha,investor Navin Chaddha,san francisco,San Francisco,VC Investor,,,VcInvestor,investor Navin Chaddha,,dgm_emergingtech_mentioner,779c1255839caecfcf1befd6fee00e73,dgm_emergingtech_mentioner__779c1255839caecfcf1befd6fee00e73
jeff_jordan,investor Jeff Jordan,san francisco,San Francisco,VC Investor,,,VcInvestor,investor Jeff Jordan,,dgm_emergingtech_mentioner,f4d2b4bb55315ec51c9574f1d2d42164,dgm_emergingtech_mentioner__f4d2b4bb55315ec51c9574f1d2d42164
janatindex,investor Jan Hammer,san francisco,San Francisco,VC Investor,,,VcInvestor,investor Jan Hammer,,dgm_emergingtech_mentioner,ef08b5a4561b7afa5174a99fa7f37c14,dgm_emergingtech_mentioner__ef08b5a4561b7afa5174a99fa7f37c14
