keyword,caption_name,topic_id,entity_type,threshold,Paired term,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#commercialize,commercialization,188178;188331,Startups,general.alert3,,Startups,commercialization,,dgm_emergingtech_term,6b94d94e2724cad2bbc261a57c03dded,dgm_emergingtech_term__6b94d94e2724cad2bbc261a57c03dded
(#ai; technology),AI,188233;188202,Startups,general.alert3,,Startups,AI,,dgm_emergingtech_term,0a40e3c91a3a55c9a37428c6d194d0e5,dgm_emergingtech_term__0a40e3c91a3a55c9a37428c6d194d0e5
(#iot; internet),IoT,188358;188233,Startups,general.alert3,internet,Startups,IoT,,dgm_emergingtech_term,589f8ced60a13f2f4c7e11c7b0875efa,dgm_emergingtech_term__589f8ced60a13f2f4c7e11c7b0875efa
(#internetofthings; internet),IoT,188358;188233,Startups,general.alert3,internet,Startups,IoT,,dgm_emergingtech_term,589f8ced60a13f2f4c7e11c7b0875efa,dgm_emergingtech_term__589f8ced60a13f2f4c7e11c7b0875efa
#internetofthings,internet of things,188233;188202,Startups,general.alert3,internet,Startups,internet of things,,dgm_emergingtech_term,52179ba9f6f4f0576b6ceb9420a426ba,dgm_emergingtech_term__52179ba9f6f4f0576b6ceb9420a426ba
#serverlesscomputing,serverless computing,188233,Startups,general.alert3,,Startups,serverless computing,,dgm_emergingtech_term,8fc1cfce076edbff522214c69538255a,dgm_emergingtech_term__8fc1cfce076edbff522214c69538255a
#augmentedreality,augmented reality,188233;188202,Startups,general.alert3,,Startups,augmented reality,,dgm_emergingtech_term,3f07c0296b6963d432e81b69abc59f8a,dgm_emergingtech_term__3f07c0296b6963d432e81b69abc59f8a
(#augmentedreality; venture),augmented reality,188233;188202,Startups,general.alert3,,Startups,augmented reality,,dgm_emergingtech_term,3f07c0296b6963d432e81b69abc59f8a,dgm_emergingtech_term__3f07c0296b6963d432e81b69abc59f8a
(#augmentedreality; vc),augmented reality,188233;188202,Startups,general.alert3,,Startups,augmented reality,,dgm_emergingtech_term,3f07c0296b6963d432e81b69abc59f8a,dgm_emergingtech_term__3f07c0296b6963d432e81b69abc59f8a
(#augmentedreality; startup),augmented reality,188233;188202,Startups,general.alert3,,Startups,augmented reality,,dgm_emergingtech_term,3f07c0296b6963d432e81b69abc59f8a,dgm_emergingtech_term__3f07c0296b6963d432e81b69abc59f8a
(#augmentedreality; technology),augmented reality,188233;188202,Startups,general.alert3,,Startups,augmented reality,,dgm_emergingtech_term,3f07c0296b6963d432e81b69abc59f8a,dgm_emergingtech_term__3f07c0296b6963d432e81b69abc59f8a
#ar,AR,188233;188203,Startups,general.alert3,,Startups,AR,,dgm_emergingtech_term,5b61a1b298a0d06efa6933a97e68d763,dgm_emergingtech_term__5b61a1b298a0d06efa6933a97e68d763
#virtualreality,virtual reality,188233;188202,Startups,general.alert3,,Startups,virtual reality,,dgm_emergingtech_term,c6fc1666e5154c082540c5b3d86a2f17,dgm_emergingtech_term__c6fc1666e5154c082540c5b3d86a2f17
#vr,VR,188233;188202,Startups,general.alert3,,Startups,VR,,dgm_emergingtech_term,ef8a9f751393cecaf3e811c30ee3e756,dgm_emergingtech_term__ef8a9f751393cecaf3e811c30ee3e756
#blockchain,blockchain,188273;188233,Startups,general.alert3,,Startups,blockchain,,dgm_emergingtech_term,5510a843bc1b7acb9507a5f71de51b98,dgm_emergingtech_term__5510a843bc1b7acb9507a5f71de51b98
(#blockchain; venture),blockchain,188273;188233,Startups,general.alert3,,Startups,blockchain,,dgm_emergingtech_term,5510a843bc1b7acb9507a5f71de51b98,dgm_emergingtech_term__5510a843bc1b7acb9507a5f71de51b98
(#blockchain; vc),blockchain,188273;188233,Startups,general.alert3,,Startups,blockchain,,dgm_emergingtech_term,5510a843bc1b7acb9507a5f71de51b98,dgm_emergingtech_term__5510a843bc1b7acb9507a5f71de51b98
(#blockchain; startup),blockchain,188273;188233,Startups,general.alert3,,Startups,blockchain,,dgm_emergingtech_term,5510a843bc1b7acb9507a5f71de51b98,dgm_emergingtech_term__5510a843bc1b7acb9507a5f71de51b98
(#blockchain; technology),blockchain,188273;188233,Startups,general.alert3,,Startups,blockchain,,dgm_emergingtech_term,5510a843bc1b7acb9507a5f71de51b98,dgm_emergingtech_term__5510a843bc1b7acb9507a5f71de51b98
(#naturallanguageprocesses; venture),natural language processing,188233,Startups,general.alert3,,Startups,natural language processing,,dgm_emergingtech_term,81861c829fa095b479dbcbbfb24ecd65,dgm_emergingtech_term__81861c829fa095b479dbcbbfb24ecd65
(#naturallanguageprocesses; vc),natural language processing,188233,Startups,general.alert3,,Startups,natural language processing,,dgm_emergingtech_term,81861c829fa095b479dbcbbfb24ecd65,dgm_emergingtech_term__81861c829fa095b479dbcbbfb24ecd65
(#naturallanguageprocesses; startup),natural language processing,188233,Startups,general.alert3,,Startups,natural language processing,,dgm_emergingtech_term,81861c829fa095b479dbcbbfb24ecd65,dgm_emergingtech_term__81861c829fa095b479dbcbbfb24ecd65
(#naturallanguageprocesses; technology),natural language processing,188233,Startups,general.alert3,,Startups,natural language processing,,dgm_emergingtech_term,81861c829fa095b479dbcbbfb24ecd65,dgm_emergingtech_term__81861c829fa095b479dbcbbfb24ecd65
#naturallanguageprocessing,natural language processing,188233,Startups,general.alert3,,Startups,natural language processing,,dgm_emergingtech_term,81861c829fa095b479dbcbbfb24ecd65,dgm_emergingtech_term__81861c829fa095b479dbcbbfb24ecd65
(#nlp; venture),NLP,188233,Startups,general.alert3,,Startups,NLP,,dgm_emergingtech_term,85587c49afa2ea2adacd4bbcdb57d064,dgm_emergingtech_term__85587c49afa2ea2adacd4bbcdb57d064
(#nlp; vc),NLP,188233,Startups,general.alert3,,Startups,NLP,,dgm_emergingtech_term,85587c49afa2ea2adacd4bbcdb57d064,dgm_emergingtech_term__85587c49afa2ea2adacd4bbcdb57d064
(#nlp; startup),NLP,188233,Startups,general.alert3,,Startups,NLP,,dgm_emergingtech_term,85587c49afa2ea2adacd4bbcdb57d064,dgm_emergingtech_term__85587c49afa2ea2adacd4bbcdb57d064
(#nlp; technology),NLP,188233,Startups,general.alert3,,Startups,NLP,,dgm_emergingtech_term,85587c49afa2ea2adacd4bbcdb57d064,dgm_emergingtech_term__85587c49afa2ea2adacd4bbcdb57d064
#nlp,NLP,188233,Startups,general.alert3,,Startups,NLP,,dgm_emergingtech_term,85587c49afa2ea2adacd4bbcdb57d064,dgm_emergingtech_term__85587c49afa2ea2adacd4bbcdb57d064
#quantumcomputing,quantum computing,188233,Startups,general.alert3,,Startups,quantum computing,,dgm_emergingtech_term,7dd56d2da8bf51d0a4f437e791bb0058,dgm_emergingtech_term__7dd56d2da8bf51d0a4f437e791bb0058
#low-codeplatforms,low-code platforms,188233,Startups,general.alert3,,Startups,low-code platforms,,dgm_emergingtech_term,62c2942dc4a4890176c60ad15e7a4de9,dgm_emergingtech_term__62c2942dc4a4890176c60ad15e7a4de9
#roboticprocessautomation,robotic process automation,188233;188202,Startups,general.alert3,,Startups,robotic process automation,,dgm_emergingtech_term,8e727206b35bd3a0d776ae2d1e21df61,dgm_emergingtech_term__8e727206b35bd3a0d776ae2d1e21df61
#rpa,RPA,188233;188203,Startups,general.alert3,,Startups,RPA,,dgm_emergingtech_term,9882ff214fe0d780e8f904d91c2f9090,dgm_emergingtech_term__9882ff214fe0d780e8f904d91c2f9090
#byoe,BYOE,188233;188203,Startups,general.alert3,,Startups,BYOE,,dgm_emergingtech_term,7a4d23a1428ef11e51fae3ca9000266e,dgm_emergingtech_term__7a4d23a1428ef11e51fae3ca9000266e
(#byoe; venture),BYOE,188233;188203,Startups,general.alert3,,Startups,BYOE,,dgm_emergingtech_term,7a4d23a1428ef11e51fae3ca9000266e,dgm_emergingtech_term__7a4d23a1428ef11e51fae3ca9000266e
(#byoe; vc),BYOE,188233;188203,Startups,general.alert3,,Startups,BYOE,,dgm_emergingtech_term,7a4d23a1428ef11e51fae3ca9000266e,dgm_emergingtech_term__7a4d23a1428ef11e51fae3ca9000266e
(#byoe; startup),BYOE,188233;188203,Startups,general.alert3,,Startups,BYOE,,dgm_emergingtech_term,7a4d23a1428ef11e51fae3ca9000266e,dgm_emergingtech_term__7a4d23a1428ef11e51fae3ca9000266e
(#byoe; technology),BYOE,188233;188203,Startups,general.alert3,,Startups,BYOE,,dgm_emergingtech_term,7a4d23a1428ef11e51fae3ca9000266e,dgm_emergingtech_term__7a4d23a1428ef11e51fae3ca9000266e
#multipartysystems,multiparty systems,188233;188202,Startups,general.alert3,,Startups,multiparty systems,,dgm_emergingtech_term,3eaa7f69be7deda3b4f54a4a8684873e,dgm_emergingtech_term__3eaa7f69be7deda3b4f54a4a8684873e
